Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-25,12.35,12.56,7.19,10.03,775900,0,0
2019-10-28,9.31,9.8,8.18,9.35,98600,0,0
2019-10-29,9.74,9.8,8.92,9.21,43400,0,0
2019-10-30,8.3,9.27,8.27,8.8,44200,0,0
2019-10-31,8.8,8.8,8.8,8.8,0,0,0
2019-11-01,8.73,8.73,8.27,8.37,91700,0,0
2019-11-04,8.36,8.44,8.1,8.34,70200,0,0
2019-11-05,8.38,8.59,8.3,8.33,66300,0,0
2019-11-06,8.3,8.4,8.08,8.22,77800,0,0
2019-11-07,8.44,8.55,8.26,8.31,72300,0,0
2019-11-08,8.59,8.59,8.29,8.38,71600,0,0
2019-11-11,8.35,8.47,8.19,8.39,75300,0,0
2019-11-12,8.31,8.45,8.16,8.16,63500,0,0
2019-11-13,8.17,8.3,8.02,8.21,43200,0,0
2019-11-14,8.02,8.13,7.2,7.6,35300,0,0
2019-11-15,7.38,7.38,6.89,6.95,81000,0,0
2019-11-18,7.15,7.16,7.0,7.1,82600,0,0
2019-11-19,7.24,7.4,7.1,7.14,105100,0,0
2019-11-20,7.16,7.48,6.16,6.39,115400,0,0
2019-11-21,6.45,6.47,6.12,6.4,80800,0,0
2019-11-22,6.25,6.42,6.25,6.41,54400,0,0
2019-11-25,6.5,6.8,6.5,6.63,45500,0,0
2019-11-26,6.71,6.96,6.69,6.8,45200,0,0
2019-11-27,6.79,7.1,6.77,6.87,78400,0,0
2019-11-29,6.92,7.1,6.76,6.87,48400,0,0
2019-12-02,6.71,6.84,6.58,6.58,75600,0,0
2019-12-03,6.6,6.67,6.49,6.59,42400,0,0
2019-12-04,6.5,6.82,6.49,6.75,40700,0,0
2019-12-05,6.73,6.78,6.34,6.68,70100,0,0
2019-12-06,6.64,6.86,6.38,6.82,100800,0,0
2019-12-09,6.92,6.97,6.5,6.74,100400,0,0
2019-12-10,6.6,6.9,6.32,6.66,127500,0,0
2019-12-11,6.63,6.78,6.59,6.66,115400,0,0
2019-12-12,6.63,6.89,6.26,6.48,75100,0,0
2019-12-13,6.72,6.76,6.36,6.43,52700,0,0
2019-12-16,6.44,6.61,6.26,6.34,51800,0,0
2019-12-17,6.5,6.6,6.1,6.27,48200,0,0
2019-12-18,6.22,6.82,6.15,6.77,72200,0,0
2019-12-19,6.75,6.75,6.16,6.53,120100,0,0
2019-12-20,6.54,6.88,6.5,6.57,69600,0,0
2019-12-23,6.69,6.84,6.35,6.39,63200,0,0
2019-12-24,6.46,6.5,6.09,6.19,65900,0,0
2019-12-26,6.24,6.45,6.17,6.25,22000,0,0
2019-12-27,6.3,6.47,6.16,6.4,61300,0,0
2019-12-30,6.3,6.75,6.03,6.28,106700,0,0
2019-12-31,6.2,6.68,6.11,6.42,62300,0,0
