Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,6.44,6.48,6.43,6.46,28400,0.0,0
2010-01-05,6.47,6.47,6.42,6.42,12800,0.0,0
2010-01-06,6.46,6.49,6.44,6.49,10900,0.0,0
2010-01-07,6.49,6.51,6.48,6.51,6900,0.0,0
2010-01-08,6.52,6.53,6.5,6.51,7100,0.0,0
2010-01-11,6.55,6.56,6.45,6.49,39300,0.0,0
2010-01-12,6.47,6.5,6.46,6.49,10400,0.0,0
2010-01-13,6.54,6.54,6.49,6.51,20200,0.07,0
2010-01-14,6.54,6.54,6.49,6.5,14000,0.0,0
2010-01-15,6.49,6.52,6.49,6.5,12400,0.0,0
2010-01-19,6.51,6.55,6.5,6.53,8800,0.0,0
2010-01-20,6.58,6.61,6.53,6.58,24800,0.0,0
2010-01-21,6.58,6.61,6.58,6.61,5800,0.0,0
2010-01-22,6.61,6.63,6.6,6.63,4500,0.0,0
2010-01-25,6.62,6.62,6.53,6.54,30100,0.0,0
2010-01-26,6.58,6.58,6.55,6.55,2900,0.0,0
2010-01-27,6.6,6.6,6.58,6.58,4300,0.0,0
2010-01-28,6.61,6.61,6.58,6.59,6000,0.0,0
2010-01-29,6.61,6.62,6.57,6.59,9200,0.0,0
2010-02-01,6.58,6.64,6.57,6.59,16200,0.0,0
2010-02-02,6.59,6.62,6.58,6.62,10100,0.0,0
2010-02-03,6.62,6.63,6.61,6.63,7800,0.0,0
2010-02-04,6.62,6.63,6.59,6.61,16700,0.0,0
2010-02-05,6.57,6.63,6.57,6.59,4300,0.0,0
2010-02-08,6.63,6.64,6.6,6.62,11800,0.0,0
2010-02-09,6.64,6.67,6.63,6.64,8700,0.0,0
2010-02-10,6.68,6.71,6.67,6.7,15800,0.07,0
2010-02-11,6.65,6.73,6.65,6.65,30700,0.0,0
2010-02-12,6.69,6.69,6.68,6.69,1500,0.0,0
2010-02-16,6.64,6.69,6.62,6.66,9700,0.0,0
2010-02-17,6.64,6.72,6.62,6.66,17300,0.0,0
2010-02-18,6.77,6.77,6.64,6.66,11800,0.0,0
2010-02-19,6.63,6.67,6.63,6.66,7800,0.0,0
2010-02-22,6.63,6.64,6.54,6.56,19600,0.0,0
2010-02-23,6.59,6.59,6.54,6.56,7200,0.0,0
2010-02-24,6.61,6.68,6.6,6.68,6800,0.0,0
2010-02-25,6.68,6.68,6.64,6.64,8400,0.0,0
2010-02-26,6.69,6.75,6.63,6.68,15000,0.0,0
2010-03-01,6.8,6.8,6.73,6.76,11800,0.0,0
2010-03-02,6.76,6.8,6.76,6.8,8900,0.0,0
