Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-07,23.82,23.82,23.7,23.76,625371,0.0,0
2019-03-08,23.79,23.79,23.63,23.65,194606,0.0,0
2019-03-11,23.71,23.77,23.68,23.75,531661,0.0,0
2019-03-12,23.75,23.82,23.71,23.75,626887,0.0,0
2019-03-13,23.82,23.86,23.75,23.82,386655,0.0,0
2019-03-14,23.82,23.87,23.8,23.84,257633,0.0,0
2019-03-15,23.84,23.92,23.79,23.84,121685,0.0,0
2019-03-18,23.85,23.87,23.79,23.81,391172,0.0,0
2019-03-19,23.84,23.84,23.76,23.81,174248,0.0,0
2019-03-20,23.77,23.81,23.72,23.8,148678,0.0,0
2019-03-21,23.81,23.96,23.77,23.92,173339,0.0,0
2019-03-22,23.97,23.97,23.84,23.9,63047,0.0,0
2019-03-25,23.9,23.92,23.77,23.92,153801,0.0,0
2019-03-26,23.92,23.96,23.89,23.94,157318,0.0,0
2019-03-27,23.97,24.01,23.94,24.01,229607,0.0,0
2019-03-28,24.01,24.13,24.0,24.13,149372,0.0,0
2019-03-29,24.17,24.25,23.95,23.95,353573,0.0,0
2019-04-01,23.97,24.06,23.86,24.06,130423,0.0,0
2019-04-02,24.06,24.19,24.01,24.19,396926,0.0,0
2019-04-03,24.16,24.4,24.13,24.37,206152,0.0,0
2019-04-04,24.33,24.43,24.32,24.38,240702,0.0,0
2019-04-05,24.39,24.44,24.34,24.37,47209,0.0,0
2019-04-08,24.37,24.43,24.37,24.4,73101,0.0,0
2019-04-09,24.33,24.51,24.32,24.42,205401,0.0,0
2019-04-10,24.46,24.46,24.37,24.41,27530,0.0,0
2019-04-11,24.47,24.47,24.41,24.44,30075,0.0,0
2019-04-12,24.53,24.53,24.47,24.5,6992,0.0,0
2019-04-15,24.5,24.54,24.47,24.54,19273,0.0,0
2019-04-16,24.54,24.54,24.44,24.51,274429,0.0,0
2019-04-17,24.48,24.49,24.26,24.27,53106,0.0,0
2019-04-18,24.38,24.39,24.19,24.24,122189,0.0,0
2019-04-22,24.3,24.33,24.19,24.21,34914,0.0,0
2019-04-23,24.24,24.35,24.24,24.33,40938,0.0,0
2019-04-24,24.38,24.4,24.32,24.4,17646,0.0,0
2019-04-25,24.4,24.4,24.24,24.34,37966,0.0,0
2019-04-26,24.37,24.38,24.27,24.35,19431,0.0,0
2019-04-29,24.33,24.37,24.32,24.37,7214,0.0,0
2019-04-30,24.37,24.45,24.35,24.41,100507,0.0,0
2019-05-01,24.4,24.4,24.25,24.3,12835,0.0,0
2019-05-02,24.39,24.39,24.26,24.26,9513,0.0,0
2019-05-03,24.32,24.32,24.26,24.31,7847,0.0,0
2019-05-06,24.27,24.32,24.27,24.31,11476,0.0,0
2019-05-07,24.33,24.34,24.17,24.23,21898,0.0,0
2019-05-08,24.24,24.24,24.16,24.19,37603,0.0,0
2019-05-09,24.16,24.27,24.13,24.24,25567,0.0,0
2019-05-10,24.29,24.33,24.26,24.33,29838,0.0,0
2019-05-13,24.3,24.34,24.26,24.34,17019,0.0,0
2019-05-14,24.34,24.4,24.31,24.34,50313,0.0,0
2019-05-15,24.37,24.44,24.37,24.44,38811,0.0,0
