Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,9.49,9.51,9.29,9.47,34300,0.0,0
2010-01-05,9.48,9.55,9.41,9.41,51800,0.0,0
2010-01-06,9.42,9.61,9.33,9.34,41500,0.0,0
2010-01-07,9.44,9.44,9.32,9.42,25000,0.0,0
2010-01-08,9.4,9.58,9.37,9.5,11800,0.0,0
2010-01-11,9.56,9.6,9.3,9.51,17500,0.0,0
2010-01-12,9.43,9.51,9.39,9.47,17900,0.0,0
2010-01-13,9.5,9.58,9.44,9.49,22300,0.0,0
2010-01-14,9.5,9.68,9.5,9.64,8100,0.0,0
2010-01-15,9.69,9.69,9.37,9.56,43100,0.0,0
2010-01-19,9.59,9.62,9.45,9.6,24400,0.0,0
2010-01-20,9.54,9.7,9.35,9.58,30100,0.0,0
2010-01-21,9.62,9.62,9.36,9.4,29400,0.0,0
2010-01-22,9.46,9.49,9.35,9.41,25100,0.0,0
2010-01-25,9.51,9.62,9.38,9.47,9700,0.0,0
2010-01-26,9.42,9.48,9.16,9.24,21800,0.0,0
2010-01-27,9.22,9.55,9.2,9.51,14800,0.0,0
2010-01-28,9.51,9.51,9.17,9.3,22200,0.0,0
2010-01-29,9.48,9.51,9.23,9.48,42600,0.0,0
2010-02-01,9.49,9.57,9.27,9.57,37200,0.0,0
2010-02-02,9.54,9.56,9.5,9.53,35000,0.0,0
2010-02-03,9.52,9.58,9.52,9.53,18200,0.0,0
2010-02-04,9.49,9.59,9.36,9.48,30400,0.0,0
2010-02-05,9.47,9.7,9.45,9.7,23700,0.0,0
2010-02-08,9.54,9.68,9.49,9.5,16600,0.0,0
2010-02-09,9.58,9.64,9.42,9.6,14300,0.0,0
2010-02-10,9.54,9.56,9.28,9.31,64200,0.0,0
2010-02-11,9.29,9.44,9.14,9.38,56600,0.0,0
2010-02-12,9.3,9.36,9.23,9.34,126500,0.0,0
2010-02-16,9.39,9.39,9.18,9.35,98900,0.0,0
2010-02-17,9.38,9.4,9.31,9.38,47100,0.0,0
2010-02-18,9.38,9.55,9.29,9.37,92900,0.0,0
2010-02-19,9.38,9.39,9.27,9.3,50100,0.0,0
2010-02-22,9.3,9.39,9.29,9.37,20200,0.0,0
2010-02-23,9.33,9.48,9.3,9.3,24600,0.0,0
2010-02-24,9.32,9.42,9.25,9.38,35400,0.0,0
2010-02-25,9.27,9.44,9.24,9.39,36800,0.0,0
2010-02-26,9.37,9.38,9.06,9.36,78800,0.0,0
2010-03-01,9.36,9.58,9.34,9.58,41100,0.0,0
2010-03-02,9.6,9.75,9.46,9.75,28400,0.0,0
2010-03-03,9.74,10.12,9.74,10.04,40800,0.0,0
2010-03-04,10.09,10.27,9.78,10.27,25700,0.0,0
2010-03-05,10.3,10.58,10.2,10.57,36900,0.0,0
2010-03-08,10.48,10.5,10.34,10.38,56900,0.0,0
2010-03-09,10.38,10.4,10.36,10.39,56100,0.0,0
2010-03-10,10.34,10.4,10.2,10.39,46000,0.0,0
2010-03-11,10.3,10.4,10.3,10.38,26700,0.0,0
2010-03-12,10.38,10.38,10.29,10.32,39500,0.0,0
2010-03-15,10.34,10.36,10.26,10.35,21700,0.0,0
2010-03-16,10.34,10.39,10.29,10.36,39300,0.0,0
2010-03-17,10.39,10.39,10.3,10.34,29600,0.0,0
2010-03-18,10.29,10.34,10.28,10.3,23400,0.0,0
2010-03-19,10.36,10.4,10.27,10.36,60600,0.0,0
2010-03-22,10.34,10.41,10.32,10.38,44800,0.05,0
2010-03-23,10.36,10.46,10.33,10.43,41700,0.0,0
2010-03-24,10.37,10.51,10.35,10.38,44500,0.0,0
2010-03-25,10.46,10.48,10.35,10.43,46700,0.0,0
2010-03-26,10.43,10.44,10.36,10.39,24700,0.0,0
2010-03-29,10.38,10.38,9.98,10.18,47700,0.0,0
2010-03-30,10.13,10.3,10.13,10.28,30200,0.0,0
2010-03-31,10.2,10.44,10.06,10.07,71200,0.0,0
2010-04-01,10.13,10.27,10.07,10.27,30800,0.0,0
2010-04-05,10.32,10.52,10.16,10.45,56400,0.0,0
2010-04-06,10.36,10.86,10.36,10.75,31500,0.0,0
2010-04-07,10.63,10.78,10.55,10.6,32700,0.0,0
2010-04-08,10.54,10.54,10.39,10.41,14900,0.0,0
2010-04-09,10.38,10.48,10.25,10.28,23700,0.0,0
2010-04-12,10.26,10.27,10.02,10.05,47000,0.0,0
2010-04-13,10.05,10.05,9.73,9.94,27900,0.0,0
2010-04-14,9.95,10.45,9.91,10.43,36800,0.0,0
2010-04-15,10.37,10.43,10.16,10.4,39700,0.0,0
2010-04-16,10.38,10.38,9.99,10.22,35800,0.0,0
2010-04-19,10.16,10.32,10.12,10.26,12000,0.0,0
2010-04-20,10.25,10.28,9.95,10.23,10400,0.0,0
2010-04-21,10.2,10.24,10.06,10.18,31500,0.0,0
2010-04-22,10.08,10.44,10.08,10.44,25000,0.0,0
2010-04-23,10.4,10.62,10.26,10.59,23100,0.0,0
2010-04-26,10.55,10.59,10.29,10.34,21500,0.0,0
2010-04-27,10.34,10.35,10.1,10.29,33900,0.0,0
2010-04-28,10.37,10.53,10.28,10.33,13800,0.0,0
2010-04-29,10.38,10.6,10.18,10.51,20700,0.0,0
2010-04-30,10.48,10.55,10.1,10.1,24600,0.0,0
2010-05-03,10.16,10.58,10.04,10.46,25800,0.0,0
2010-05-04,10.29,10.52,10.12,10.41,42200,0.0,0
2010-05-05,10.32,10.32,10.15,10.18,25700,0.0,0
2010-05-06,10.14,10.51,9.78,9.78,36300,0.0,0
2010-05-07,9.81,9.95,9.24,9.36,50500,0.0,0
2010-05-10,9.72,10.14,9.72,10.07,60300,0.0,0
2010-05-11,9.94,10.31,9.83,10.24,44700,0.0,0
2010-05-12,10.24,10.56,10.07,10.49,56700,0.0,0
2010-05-13,10.43,10.51,10.14,10.47,25900,0.0,0
2010-05-14,10.41,10.55,10.13,10.43,38100,0.0,0
2010-05-17,10.52,10.68,10.34,10.61,35800,0.0,0
2010-05-18,10.7,10.7,10.44,10.47,30900,0.0,0
2010-05-19,10.39,10.54,10.18,10.4,48700,0.0,0
2010-05-20,10.18,10.41,9.82,9.84,78100,0.0,0
2010-05-21,9.73,10.06,9.71,9.89,62800,0.0,0
2010-05-24,9.92,10.17,9.64,9.72,40900,0.0,0
2010-05-25,9.57,9.82,9.33,9.77,51800,0.0,0
2010-05-26,9.55,10.06,9.48,9.84,77400,0.0,0
2010-05-27,10.08,10.08,9.46,10.02,61100,0.0,0
2010-05-28,9.96,10.14,9.73,10.07,152400,0.0,0
2010-06-01,9.98,10.35,9.89,9.95,61700,0.0,0
2010-06-02,9.99,10.4,9.76,10.4,58000,0.0,0
2010-06-03,10.36,10.45,10.24,10.35,45300,0.0,0
2010-06-04,10.03,10.17,9.66,9.71,61800,0.0,0
2010-06-07,9.73,9.94,9.72,9.8,30900,0.0,0
2010-06-08,9.81,9.85,9.53,9.81,39600,0.0,0
2010-06-09,9.86,9.99,9.75,9.81,37700,0.0,0
2010-06-10,9.94,10.07,9.86,10.0,35000,0.0,0
2010-06-11,10.02,10.13,9.92,10.1,24800,0.0,0
2010-06-14,10.2,10.36,10.03,10.11,48000,0.05,0
2010-06-15,10.18,10.28,9.97,10.18,56900,0.0,0
2010-06-16,10.1,10.39,10.1,10.32,33000,0.0,0
2010-06-17,10.4,10.4,10.24,10.27,34100,0.0,0
2010-06-18,10.34,10.34,10.23,10.32,57400,0.0,0
2010-06-21,10.41,10.41,10.22,10.26,19800,0.0,0
2010-06-22,10.32,10.36,10.24,10.26,38400,0.0,0
2010-06-23,10.28,10.35,10.18,10.33,17300,0.0,0
2010-06-24,10.24,10.37,10.14,10.27,12900,0.0,0
2010-06-25,10.35,10.35,9.92,10.09,256200,0.0,0
2010-06-28,10.16,10.34,10.04,10.27,26400,0.0,0
2010-06-29,10.09,10.14,9.85,9.96,33200,0.0,0
2010-06-30,9.99,10.17,9.84,9.93,24900,0.0,0
2010-07-01,9.89,10.08,9.77,10.02,24200,0.0,0
2010-07-02,10.06,10.06,9.82,9.82,17500,0.0,0
2010-07-06,9.99,10.03,9.68,9.73,26500,0.0,0
