Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-11-16,10.06,10.06,10.03,10.04,2041600,0,0
2018-11-19,10.08,10.08,10.02,10.04,295000,0,0
2018-11-20,10.03,10.05,10.0,10.02,172400,0,0
2018-11-21,10.0,10.02,10.0,10.02,2200,0,0
2018-11-23,10.02,10.02,10.02,10.02,0,0,0
2018-11-26,10.03,10.03,10.0,10.0,209100,0,0
2018-11-27,10.02,10.02,10.0,10.0,8700,0,0
2018-11-28,10.0,10.01,10.0,10.01,7000,0,0
2018-11-29,10.01,10.01,10.01,10.01,100,0,0
2018-11-30,10.01,10.01,10.01,10.01,7000,0,0
2018-12-03,10.01,10.01,10.01,10.01,0,0,0
2018-12-04,10.01,10.01,10.01,10.01,0,0,0
2018-12-06,10.0,10.05,10.0,10.05,410300,0,0
2018-12-07,10.0,10.05,10.0,10.05,5500,0,0
2018-12-10,10.04,10.04,10.04,10.04,500,0,0
2018-12-11,10.0,10.04,10.0,10.0,300000,0,0
2018-12-12,10.0,10.03,9.98,10.03,1305000,0,0
2018-12-13,10.03,10.03,10.03,10.03,0,0,0
2018-12-14,10.03,10.03,10.03,10.03,0,0,0
2018-12-17,10.03,10.03,10.03,10.03,100,0,0
2018-12-18,9.99,10.03,9.99,10.03,41000,0,0
2018-12-19,10.01,10.04,10.01,10.04,3100,0,0
2018-12-20,10.03,10.03,10.03,10.03,17000,0,0
2018-12-21,10.0,10.04,10.0,10.03,136800,0,0
2018-12-24,10.03,10.03,10.03,10.03,0,0,0
2018-12-26,10.03,10.03,10.03,10.03,0,0,0
2018-12-27,10.03,10.03,10.03,10.03,0,0,0
2018-12-28,10.05,10.05,9.93,9.96,95900,0,0
2018-12-31,9.98,10.04,9.98,10.0,115900,0,0
2019-01-02,10.03,10.04,10.03,10.04,10100,0,0
2019-01-03,10.0,10.04,10.0,10.04,4000,0,0
2019-01-04,10.02,10.02,10.0,10.0,8500,0,0
2019-01-07,10.0,10.01,10.0,10.0,151100,0,0
2019-01-08,10.0,10.02,10.0,10.02,373900,0,0
2019-01-09,9.98,10.05,9.98,10.02,700,0,0
2019-01-10,10.02,10.05,9.98,10.04,33000,0,0
2019-01-11,10.03,10.04,9.99,10.04,35400,0,0
2019-01-14,10.03,10.05,10.0,10.04,36200,0,0
2019-01-15,10.03,10.05,10.0,10.04,12500,0,0
2019-01-16,10.04,10.04,10.03,10.04,41100,0,0
2019-01-17,10.01,10.08,10.01,10.08,104500,0,0
2019-01-18,10.04,10.08,10.04,10.08,1500,0,0
2019-01-22,10.08,10.08,10.03,10.08,142300,0,0
2019-01-23,10.08,10.11,10.02,10.08,28800,0,0
2019-01-24,10.03,10.12,10.02,10.05,10900,0,0
2019-01-25,10.05,10.05,10.05,10.05,0,0,0
2019-01-28,10.04,10.14,10.03,10.05,1900,0,0
2019-01-29,10.05,10.09,10.03,10.05,150700,0,0
2019-01-30,10.03,10.1,10.03,10.05,1000,0,0
2019-01-31,10.14,10.14,10.03,10.05,700,0,0
2019-02-01,10.05,10.05,10.05,10.05,100,0,0
2019-02-04,10.05,10.05,10.05,10.05,700,0,0
2019-02-05,10.05,10.05,10.05,10.05,25200,0,0
2019-02-06,10.05,10.05,10.05,10.05,100,0,0
