Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-03-31,17.89,18.15,17.79,18.07,753747,0.0,0
2015-04-01,18.18,18.18,17.97,18.11,266616,0.0,0
2015-04-06,18.18,18.25,18.04,18.15,216143,0.0,0
2015-04-08,18.29,18.68,18.22,18.56,503523,0.0,0
2015-04-09,18.51,18.71,18.47,18.54,249420,0.0,0
2015-04-10,18.69,18.69,18.56,18.58,75667,0.0,0
2015-04-13,18.58,18.6,18.38,18.38,186225,0.0,0
2015-04-14,18.4,18.51,18.35,18.45,123489,0.0,0
2015-04-15,18.48,18.54,18.35,18.39,156485,0.0,0
2015-04-16,18.4,18.4,18.37,18.39,41669,0.0,0
2015-04-17,18.38,18.43,18.33,18.39,42636,0.0,0
2015-04-21,18.37,18.43,18.36,18.42,77191,0.0,0
2015-04-23,18.44,18.44,18.38,18.43,31862,0.0,0
2015-04-24,18.41,18.55,18.41,18.53,23813,0.0,0
2015-04-27,18.53,18.72,18.45,18.68,49049,0.0,0
2015-04-28,18.69,18.71,18.63,18.67,27634,0.0,0
2015-04-29,18.65,18.65,18.47,18.47,38758,0.0,0
2015-04-30,18.47,18.58,18.36,18.38,50710,0.0,0
2015-05-01,18.43,18.53,18.41,18.44,26679,0.0,0
2015-05-04,18.47,18.5,18.43,18.45,34457,0.0,0
2015-05-05,18.5,18.5,18.38,18.4,46690,0.0,0
2015-05-07,18.32,18.32,18.08,18.12,93338,0.0,0
2015-05-12,18.19,18.26,18.19,18.24,35193,0.0,0
2015-05-15,18.25,18.36,18.22,18.33,103708,0.0,0
2015-05-18,18.36,18.4,18.24,18.33,42590,0.0,0
2015-05-19,18.39,18.39,18.29,18.34,23840,0.0,0
2015-05-21,18.43,18.47,18.36,18.42,22390,0.0,0
2015-05-22,18.37,18.68,18.34,18.63,12179,0.0,0
2015-05-27,18.55,18.61,18.45,18.51,24093,0.0,0
2015-05-28,18.47,18.54,18.4,18.53,23314,0.0,0
2015-06-01,18.46,18.54,18.4,18.4,9995,0.0,0
2015-06-02,18.4,18.4,18.23,18.29,16765,0.0,0
2015-06-03,18.33,18.36,18.26,18.3,23879,0.0,0
2015-06-04,18.69,18.7,18.4,18.4,25274,0.0,0
2015-06-08,18.47,18.51,18.43,18.51,14161,0.0,0
2015-06-10,18.54,18.55,18.43,18.47,15677,0.0,0
2015-06-11,18.55,18.7,18.44,18.51,36336,0.0,0
2015-06-16,18.51,18.51,18.37,18.4,26570,0.0,0
2015-06-18,18.41,18.61,18.4,18.45,23522,0.0,0
2015-06-19,18.41,18.71,18.41,18.71,26700,0.0,0
2015-06-26,18.65,18.92,18.65,18.92,14939,0.510417,0
2015-07-06,18.97,19.22,18.92,19.17,120917,0.0,0
2015-07-07,19.12,19.17,19.0,19.06,61126,0.0,0
2015-07-08,19.03,19.08,18.92,18.94,17662,0.0,0
2015-07-09,19.0,19.0,18.94,18.99,44919,0.0,0
2015-07-10,18.97,19.06,18.97,19.05,28105,0.0,0
2015-07-13,19.03,19.05,18.97,19.03,63458,0.0,0
2015-07-14,19.06,19.1,18.99,19.08,101017,0.0,0
2015-07-15,19.11,19.11,19.04,19.06,48057,0.0,0
2015-07-16,19.09,19.09,19.05,19.06,44754,0.0,0
2015-07-17,19.09,19.32,18.93,19.02,393625,0.0,0
2015-07-20,18.95,19.08,18.81,19.02,84271,0.0,0
2015-07-21,19.1,19.17,18.99,19.06,11757,0.0,0
2015-07-22,18.98,19.06,18.98,18.98,17246,0.0,0
2015-07-23,19.13,19.13,18.99,19.02,27535,0.0,0
2015-07-24,19.02,19.1,19.0,19.02,2579,0.0,0
2015-07-27,19.0,19.03,18.88,18.88,22686,0.0,0
2015-07-28,18.88,19.12,18.78,18.81,82932,0.0,0
2015-07-29,18.82,18.88,18.61,18.67,20990,0.0,0
2015-07-30,18.69,18.71,18.59,18.66,15206,0.0,0
2015-07-31,18.72,18.77,18.66,18.76,10977,0.0,0
2015-08-03,18.81,18.88,18.73,18.81,7309,0.0,0
2015-08-04,18.77,18.86,18.63,18.64,16230,0.0,0
2015-08-05,18.72,18.72,17.44,17.48,84438,0.0,0
2015-08-06,17.18,17.59,17.09,17.45,70900,0.0,0
2015-08-07,17.56,17.7,17.37,17.68,18900,0.0,0
2015-08-10,17.95,18.2,17.65,18.17,25409,0.0,0
2015-08-11,17.82,18.18,17.82,18.0,13931,0.0,0
2015-08-12,17.92,18.14,17.8,18.14,24126,0.0,0
2015-08-13,18.22,18.23,18.1,18.18,5637,0.0,0
2015-08-14,18.29,18.51,18.29,18.41,15112,0.0,0
2015-08-17,18.54,18.55,18.18,18.46,26716,0.0,0
2015-08-18,18.36,18.47,18.34,18.44,6410,0.0,0
2015-08-19,18.36,18.36,18.0,18.25,23596,0.0,0
2015-08-20,18.22,18.5,18.12,18.36,79580,0.0,0
2015-08-21,18.24,18.43,18.0,18.08,29682,0.0,0
2015-08-24,17.92,18.5,17.92,18.14,24098,0.0,0
2015-08-25,18.1,18.37,18.1,18.29,21397,0.0,0
2015-08-26,18.24,18.51,18.15,18.28,14399,0.0,0
2015-08-27,18.63,18.63,18.36,18.4,16747,0.0,0
2015-08-28,18.43,18.61,18.29,18.43,16935,0.0,0
2015-08-31,18.41,18.41,18.29,18.41,7860,0.0,0
2015-09-01,18.32,18.34,18.23,18.34,1945,0.0,0
2015-09-02,18.3,18.51,18.28,18.4,8241,0.0,0
2015-09-03,18.55,18.56,18.41,18.56,5083,0.0,0
