Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-02,24.36,24.43,23.99,24.06,51223,0.0,0
2018-01-03,24.17,24.17,23.86,23.88,64833,0.0,0
2018-01-04,23.9,24.05,23.86,23.9,48073,0.0,0
2018-01-05,23.99,23.99,23.89,23.91,23402,0.0,0
2018-01-08,23.93,23.94,23.86,23.94,50225,0.0,0
2018-01-09,23.93,23.97,23.88,23.93,13805,0.0,0
2018-01-10,23.75,23.87,23.66,23.87,51129,0.0,0
2018-01-11,23.87,24.0,23.87,23.93,17294,0.0,0
2018-01-12,23.93,23.94,23.84,23.84,46875,0.0,0
2018-01-16,23.84,23.95,23.79,23.85,53107,0.0,0
2018-01-17,23.85,23.85,23.78,23.84,26891,0.0,0
2018-01-18,23.66,23.72,23.57,23.72,33870,0.0,0
2018-01-19,23.62,24.0,23.58,23.66,82010,0.0,0
2018-01-22,23.67,23.82,23.67,23.78,43355,0.0,0
2018-01-23,23.75,23.86,23.72,23.79,53244,0.0,0
2018-01-24,23.78,23.87,23.78,23.85,91347,0.0,0
2018-01-25,23.88,24.1,23.77,24.03,49487,0.39375,0
2018-01-26,23.89,24.06,23.81,23.9,67114,0.0,0
2018-01-29,23.81,23.88,23.39,23.56,59247,0.0,0
2018-01-30,23.52,23.56,23.28,23.41,54983,0.0,0
2018-01-31,23.6,23.6,23.35,23.47,42427,0.0,0
2018-02-01,23.46,23.48,23.39,23.41,47306,0.0,0
2018-02-02,23.38,23.38,23.04,23.28,59390,0.0,0
2018-02-05,23.09,23.34,23.09,23.21,67495,0.0,0
2018-02-06,23.17,23.35,23.07,23.35,64678,0.0,0
2018-02-07,23.35,23.54,23.28,23.36,33267,0.0,0
2018-02-08,23.35,23.41,23.24,23.27,92868,0.0,0
2018-02-09,23.24,23.32,23.06,23.17,129643,0.0,0
2018-02-12,23.18,23.26,23.11,23.19,120046,0.0,0
2018-02-13,23.19,23.25,23.08,23.16,155131,0.0,0
2018-02-14,23.14,23.22,23.13,23.17,137743,0.0,0
2018-02-15,23.17,23.34,23.17,23.3,52696,0.0,0
2018-02-16,23.25,23.39,23.25,23.38,54990,0.0,0
2018-02-20,23.26,23.36,23.25,23.34,37726,0.0,0
2018-02-21,23.35,23.47,23.35,23.41,46754,0.0,0
2018-02-22,23.4,23.65,23.39,23.45,127978,0.0,0
2018-02-23,23.51,23.6,23.5,23.53,36700,0.0,0
2018-02-26,23.6,23.7,23.56,23.66,49643,0.0,0
2018-02-27,23.74,23.77,23.64,23.72,43930,0.0,0
2018-02-28,23.67,23.82,23.66,23.76,48426,0.0,0
2018-03-01,23.75,23.8,23.61,23.66,44139,0.0,0
2018-03-02,23.66,23.66,23.5,23.54,130473,0.0,0
2018-03-05,23.5,23.57,23.49,23.57,31827,0.0,0
2018-03-06,23.57,23.69,23.57,23.64,19127,0.0,0
2018-03-07,23.65,23.72,23.6,23.67,21523,0.0,0
2018-03-08,23.65,23.78,23.65,23.74,44134,0.0,0
2018-03-09,23.77,23.82,23.67,23.67,35907,0.0,0
2018-03-12,23.75,23.82,23.66,23.68,52087,0.0,0
2018-03-13,23.68,23.76,23.64,23.76,27031,0.0,0
2018-03-14,23.77,23.83,23.73,23.82,24367,0.0,0
2018-03-15,23.81,23.87,23.78,23.83,101709,0.0,0
2018-03-16,23.76,23.96,23.76,23.91,30232,0.0,0
2018-03-19,23.84,23.94,23.8,23.87,43700,0.0,0
2018-03-20,23.81,23.86,23.74,23.82,102965,0.0,0
2018-03-21,23.71,23.79,23.68,23.76,12409,0.0,0
2018-03-22,23.72,23.78,23.66,23.66,23952,0.0,0
2018-03-23,23.76,23.76,23.64,23.64,17461,0.0,0
2018-03-26,23.66,23.74,23.59,23.7,54338,0.0,0
2018-03-27,23.64,23.74,23.64,23.7,36024,0.0,0
2018-03-28,23.65,23.7,23.65,23.69,25454,0.0,0
2018-03-29,23.66,23.81,23.66,23.81,23469,0.0,0
2018-04-02,23.74,23.8,23.7,23.72,47485,0.0,0
2018-04-03,23.75,23.75,23.34,23.58,212755,0.0,0
