Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,12.27,12.27,11.92,12.16,17800,0.0,0
2010-01-05,12.17,12.19,11.96,12.01,18300,0.0,0
2010-01-06,12.13,12.13,11.37,11.37,18000,0.0,0
2010-01-07,11.39,11.78,11.38,11.73,22200,0.0,0
2010-01-08,11.86,12.13,11.73,12.05,35100,0.0,0
2010-01-11,12.39,12.39,11.5,11.6,24600,0.0,0
2010-01-12,11.48,11.75,11.38,11.52,15100,0.0,0
2010-01-13,11.76,11.78,11.45,11.51,20000,0.0,0
2010-01-14,11.45,11.67,11.27,11.44,19700,0.0,0
2010-01-15,11.54,11.64,11.23,11.39,32900,0.0,0
2010-01-19,11.39,11.76,11.27,11.76,12400,0.0,0
2010-01-20,11.59,11.8,11.26,11.44,11600,0.0,0
2010-01-21,11.67,11.67,11.17,11.27,47400,0.0,0
2010-01-22,11.56,11.83,11.33,11.52,25900,0.0,0
2010-01-25,11.29,11.64,11.29,11.64,9900,0.0,0
2010-01-26,11.18,11.63,11.17,11.48,33600,0.0,0
2010-01-27,11.36,11.89,11.36,11.77,24400,0.0,0
2010-01-28,11.83,11.91,11.58,11.81,61800,0.0,0
2010-01-29,11.94,11.94,11.76,11.76,71100,0.0,0
2010-02-01,11.84,11.91,11.63,11.82,36600,0.0,0
2010-02-02,11.8,11.84,11.77,11.77,29400,0.0,0
2010-02-03,11.69,11.85,11.69,11.8,45500,0.0,0
2010-02-04,11.67,12.01,11.67,11.75,45500,0.0,0
2010-02-05,11.83,12.01,11.76,11.87,28700,0.0,0
2010-02-08,11.82,11.82,11.28,11.28,53600,0.0,0
2010-02-09,11.51,11.73,11.27,11.6,18400,0.0,0
2010-02-10,11.5,11.5,11.17,11.37,17400,0.0,0
2010-02-11,11.38,11.74,11.22,11.73,17600,0.0,0
2010-02-12,11.56,11.81,11.44,11.8,24300,0.0,0
2010-02-16,11.91,11.91,11.66,11.91,13100,0.0,0
2010-02-17,11.96,12.01,11.77,12.01,33100,0.0,0
2010-02-18,11.9,12.01,11.85,12.01,25000,0.0,0
2010-02-19,11.93,12.01,11.8,11.91,18700,0.0,0
2010-02-22,11.61,12.13,11.61,12.06,20600,0.0,0
2010-02-23,11.99,12.19,11.76,12.17,13500,0.0,0
2010-02-24,12.27,12.44,12.1,12.32,23700,0.1,0
2010-02-25,12.18,12.44,12.18,12.35,16300,0.0,0
2010-02-26,12.4,12.49,11.85,12.33,40500,0.0,0
2010-03-01,12.33,12.63,12.18,12.61,27500,0.0,0
2010-03-02,12.6,12.74,12.35,12.74,22200,0.0,0
2010-03-03,12.81,12.81,12.48,12.57,16600,0.0,0
2010-03-04,12.64,12.79,12.64,12.79,12500,0.0,0
2010-03-05,12.85,13.58,12.63,13.51,21300,0.0,0
2010-03-08,13.46,13.75,13.45,13.57,31200,0.0,0
2010-03-09,13.56,14.01,13.41,14.0,28800,0.0,0
2010-03-10,13.96,14.4,13.9,14.22,15500,0.0,0
2010-03-11,14.08,14.29,13.75,14.16,11300,0.0,0
2010-03-12,14.28,14.28,14.01,14.06,7200,0.0,0
2010-03-15,13.98,13.98,13.75,13.86,14900,0.0,0
2010-03-16,13.92,13.92,13.46,13.64,6000,0.0,0
2010-03-17,13.58,13.71,13.45,13.63,13600,0.0,0
2010-03-18,13.57,13.57,13.38,13.42,8000,0.0,0
2010-03-19,13.58,13.77,13.58,13.77,58900,0.0,0
2010-03-22,13.64,13.8,13.58,13.8,22500,0.0,0
2010-03-23,13.76,13.79,13.4,13.62,34400,0.0,0
2010-03-24,13.57,13.57,13.37,13.43,13400,0.0,0
2010-03-25,13.53,13.58,13.27,13.53,11500,0.0,0
2010-03-26,13.56,13.79,13.51,13.79,20700,0.0,0
2010-03-29,13.8,13.8,13.45,13.67,16100,0.0,0
2010-03-30,13.74,13.79,13.25,13.48,18600,0.0,0
2010-03-31,13.36,13.65,13.36,13.56,23700,0.0,0
2010-04-01,13.61,13.65,13.29,13.46,18700,0.0,0
2010-04-05,13.49,13.77,13.3,13.77,13200,0.0,0
2010-04-06,13.64,14.02,13.64,13.87,8500,0.0,0
2010-04-07,13.8,14.01,13.73,13.88,20800,0.0,0
2010-04-08,13.85,13.95,13.85,13.89,5800,0.0,0
2010-04-09,13.84,13.92,13.64,13.69,23100,0.0,0
2010-04-12,13.67,13.8,13.54,13.69,10300,0.0,0
2010-04-13,13.75,14.01,13.67,13.99,14500,0.0,0
2010-04-14,14.01,14.42,13.93,14.4,29300,0.0,0
2010-04-15,14.32,14.43,14.28,14.37,11600,0.0,0
2010-04-16,14.34,14.43,14.17,14.31,24800,0.0,0
2010-04-19,14.23,14.39,14.16,14.29,8700,0.0,0
2010-04-20,14.15,14.61,14.15,14.61,15300,0.0,0
2010-04-21,14.52,14.63,14.43,14.58,9500,0.0,0
2010-04-22,14.37,15.04,14.37,14.98,17500,0.0,0
2010-04-23,15.04,15.27,14.79,15.22,32000,0.0,0
2010-04-26,15.23,15.68,15.18,15.37,34500,0.0,0
2010-04-27,15.79,16.5,15.35,15.72,50200,0.0,0
