Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-02-14,4.94,5.01,4.89,5.01,244300,0.0,0
2013-02-15,4.97,5.02,4.94,5.01,23800,0.0,0
2013-02-19,5.04,5.21,4.97,4.99,11000,0.0,0
2013-02-20,5.01,5.04,4.94,5.01,28400,0.0,0
2013-02-21,4.97,4.99,4.94,4.99,2600,0.0,0
2013-02-22,4.96,4.99,4.94,4.99,5000,0.0,0
2013-02-25,4.97,4.98,4.94,4.96,7000,0.0,0
2013-02-26,4.94,4.98,4.94,4.97,16100,0.0,0
2013-02-27,4.99,4.99,4.94,4.94,6800,0.0,0
2013-02-28,4.97,4.97,4.87,4.9,16200,0.0,0
2013-03-01,4.92,4.92,4.87,4.87,59700,0.0,0
2013-03-04,4.87,4.9,4.81,4.9,11100,0.0,0
2013-03-05,4.84,4.87,4.8,4.87,12300,0.0,0
2013-03-06,4.86,4.89,4.84,4.89,16300,0.0,0
2013-03-07,4.86,4.88,4.86,4.87,4300,0.0,0
2013-03-08,4.9,4.97,4.9,4.97,1100,0.0,0
2013-03-11,4.97,4.97,4.74,4.92,16300,0.0,0
2013-03-12,4.89,4.91,4.74,4.87,18900,0.0,0
2013-03-13,4.91,4.94,4.86,4.91,12700,0.0,0
2013-03-14,4.91,4.94,4.89,4.92,5700,0.0,0
2013-03-15,4.88,4.92,4.77,4.77,21700,0.0,0
2013-03-18,4.79,4.85,4.75,4.82,13700,0.0,0
2013-03-19,4.86,4.86,4.78,4.8,19300,0.0,0
2013-03-20,4.84,4.87,4.77,4.86,8900,0.0,0
2013-03-21,4.88,4.88,4.78,4.85,7900,0.135,0
2013-03-22,4.86,4.87,4.65,4.72,57900,0.0,0
2013-03-25,4.86,4.86,4.69,4.69,1800,0.0,0
2013-03-26,4.83,4.83,4.61,4.78,21000,0.0,0
2013-03-27,4.78,4.78,4.7,4.73,19700,0.0,0
2013-03-28,4.69,4.78,4.61,4.78,12500,0.0,0
2013-04-01,4.76,4.77,4.73,4.76,3700,0.0,0
2013-04-02,4.75,4.78,4.62,4.71,10500,0.0,0
2013-04-03,4.71,4.76,4.7,4.7,5300,0.0,0
2013-04-04,4.71,4.78,4.71,4.72,3800,0.0,0
2013-04-05,4.71,4.77,4.7,4.77,4600,0.0,0
2013-04-08,4.77,4.77,4.65,4.66,7600,0.0,0
2013-04-09,4.66,4.71,4.5,4.69,13200,0.0,0
2013-04-10,4.69,4.78,4.69,4.77,28000,0.0,0
2013-04-11,4.75,4.77,4.73,4.77,19300,0.0,0
2013-04-12,4.72,4.75,4.65,4.66,9300,0.0,0
2013-04-15,4.68,4.75,4.63,4.63,8500,0.0,0
2013-04-16,4.68,4.71,4.62,4.62,7400,0.0,0
2013-04-17,4.61,4.65,4.53,4.55,13800,0.0,0
2013-04-18,4.58,4.73,4.58,4.58,25700,0.0,0
2013-04-19,4.59,4.62,4.51,4.51,17800,0.0,0
2013-04-22,4.54,4.64,4.54,4.57,23500,0.0,0
2013-04-23,4.58,4.59,4.54,4.56,13800,0.135,0
2013-04-24,4.59,4.59,4.49,4.56,20900,0.0,0
2013-04-25,4.55,4.59,4.54,4.55,9300,0.0,0
2013-04-26,4.55,4.62,4.55,4.56,13800,0.0,0
2013-04-29,4.64,4.67,4.62,4.64,4900,0.0,0
2013-04-30,4.62,4.68,4.62,4.62,9000,0.0,0
2013-05-01,4.66,4.66,4.6,4.62,1700,0.0,0
2013-05-02,4.66,4.66,4.59,4.62,9900,0.0,0
2013-05-03,4.65,4.67,4.54,4.66,26800,0.0,0
