Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,20.94,21.3,20.76,20.91,1433400,0.0,0
2010-01-05,20.96,21.3,20.58,20.98,1060800,0.0,0
2010-01-06,21.3,21.67,21.14,21.43,1652300,0.0,0
2010-01-07,21.56,21.56,21.02,21.41,1393400,0.0,0
2010-01-08,21.48,21.8,21.29,21.76,1178100,0.0,0
2010-01-11,22.35,22.37,21.69,21.75,1445300,0.0,0
2010-01-12,21.5,21.52,20.87,21.07,1670200,0.0,0
2010-01-13,21.25,21.8,20.79,21.74,1912600,0.0,0
2010-01-14,21.73,21.85,21.26,21.55,915800,0.0,0
2010-01-15,21.33,21.43,20.9,21.15,1205700,0.0,0
2010-01-19,20.97,21.4,20.9,21.38,1341200,0.0,0
2010-01-20,20.94,20.94,19.86,20.05,1795900,0.0,0
2010-01-21,19.97,20.13,19.03,19.03,1776000,0.0,0
2010-01-22,18.95,19.64,18.65,19.1,1224500,0.0,0
2010-01-25,19.31,19.31,18.71,18.91,795400,0.0,0
2010-01-26,18.61,19.23,18.24,18.91,1020200,0.0,0
2010-01-27,18.7,19.09,18.44,18.94,1123500,0.0,0
2010-01-28,19.25,19.25,18.34,18.65,1865900,0.0,0
2010-01-29,18.55,18.87,17.87,17.93,1314800,0.0,0
2010-02-01,18.1,19.08,18.1,19.07,1301800,0.0,0
2010-02-02,19.28,19.33,18.71,19.13,907400,0.0,0
2010-02-03,19.14,19.49,18.79,18.87,714700,0.0,0
2010-02-04,18.29,18.49,17.44,17.58,2232000,0.0,0
2010-02-05,17.68,18.6,17.13,18.59,2732700,0.0,0
2010-02-08,18.76,18.76,17.46,17.55,1615400,0.0,0
2010-02-09,17.97,18.61,17.86,18.19,1376300,0.0,0
2010-02-10,18.19,18.43,17.92,18.2,1049500,0.0,0
2010-02-11,18.21,19.18,18.21,19.02,1102800,0.0,0
2010-02-12,18.41,18.84,18.21,18.78,904100,0.0,0
2010-02-16,19.19,19.75,19.19,19.31,1195200,0.0,0
2010-02-17,19.08,19.23,18.4,18.47,2296100,0.0,0
2010-02-18,18.36,18.88,18.23,18.38,2056800,0.0,0
2010-02-19,18.22,18.59,17.96,18.34,1364800,0.0,0
2010-02-22,18.37,18.53,18.15,18.26,951400,0.0,0
2010-02-23,18.25,18.25,17.39,17.61,1726200,0.0,0
2010-02-24,17.46,17.8,17.3,17.36,1300600,0.025,0
2010-02-25,17.14,18.13,16.94,18.02,1846000,0.0,0
2010-02-26,18.31,18.31,17.81,18.21,736700,0.0,0
2010-03-01,18.3,18.52,17.99,18.46,1017600,0.0,0
2010-03-02,18.63,19.24,18.47,18.95,1335500,0.0,0
2010-03-03,19.18,19.39,18.91,19.13,1053500,0.0,0
2010-03-04,19.05,19.23,18.83,19.01,919700,0.0,0
2010-03-05,19.3,19.48,19.19,19.31,842300,0.0,0
2010-03-08,19.53,19.53,18.89,19.13,1009300,0.0,0
2010-03-09,18.88,19.52,18.85,19.24,985300,0.0,0
2010-03-10,19.45,19.52,18.8,19.18,1135300,0.0,0
2010-03-11,19.16,19.46,18.82,19.33,989100,0.0,0
2010-03-12,19.46,19.54,19.14,19.25,922300,0.0,0
2010-03-15,19.21,19.44,19.06,19.4,725700,0.0,0
2010-03-16,19.72,20.35,19.6,20.13,1420700,0.0,0
2010-03-17,20.1,20.53,20.06,20.45,1471800,0.0,0
2010-03-18,20.54,20.75,19.85,19.9,1526500,0.0,0
2010-03-19,19.94,20.08,19.28,19.62,2649800,0.0,0
2010-03-22,19.29,19.91,19.1,19.9,1218700,0.0,0
2010-03-23,19.74,20.25,19.52,20.03,971700,0.0,0
2010-03-24,19.68,19.68,19.0,19.03,1082700,0.0,0
2010-03-25,19.31,19.36,18.57,18.57,1395800,0.0,0
2010-03-26,18.58,19.33,18.52,19.01,1324500,0.0,0
2010-03-29,19.35,19.46,19.11,19.4,616400,0.0,0
2010-03-30,19.54,19.54,19.1,19.13,550900,0.0,0
2010-03-31,19.46,19.8,19.44,19.61,737300,0.0,0
2010-04-01,19.97,20.52,19.89,20.43,1124800,0.0,0
2010-04-05,20.51,20.96,20.51,20.87,842500,0.0,0
2010-04-06,20.73,20.97,20.59,20.6,695300,0.0,0
2010-04-07,20.68,21.18,20.64,20.95,971300,0.0,0
2010-04-08,20.83,21.14,20.43,20.85,717400,0.0,0
2010-04-09,21.12,21.53,20.92,21.53,1126700,0.0,0
2010-04-12,21.49,21.9,21.45,21.51,1431200,0.0,0
2010-04-13,21.45,21.5,20.85,21.32,877000,0.0,0
