Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,10.82,10.85,10.59,10.77,442000,0.0,0.0
2010-01-05,10.77,10.88,10.65,10.88,342600,0.0,0.0
2010-01-06,10.88,10.92,10.85,10.89,259400,0.0,0.0
2010-01-07,10.87,10.93,10.78,10.91,608200,0.0,0.0
2010-01-08,10.86,10.95,10.85,10.91,127000,0.0,0.0
2010-01-11,10.93,10.96,10.84,10.88,176600,0.0,0.0
2010-01-12,10.86,11.12,10.86,11.11,341200,0.0,0.0
2010-01-13,11.14,11.33,11.04,11.3,254200,0.0,0.0
2010-01-14,11.31,11.6,11.21,11.5,335000,0.0,0.0
2010-01-15,11.55,11.55,11.16,11.29,299200,0.0,0.0
2010-01-19,11.27,11.58,11.1,11.58,175600,0.0,0.0
2010-01-20,11.47,11.6,11.23,11.31,205000,0.0,0.0
2010-01-21,11.35,11.49,11.03,11.06,306000,0.0,0.0
2010-01-22,10.96,11.04,10.79,10.83,209600,0.0,0.0
2010-01-25,10.85,10.85,10.5,10.56,406400,0.0,0.0
2010-01-26,10.5,10.56,10.48,10.49,337000,0.0,0.0
2010-01-27,10.46,10.7,10.46,10.7,153400,0.0,0.0
2010-01-28,10.72,10.76,10.51,10.66,137600,0.0,0.0
2010-01-29,10.7,10.87,10.7,10.78,289000,0.0,0.0
2010-02-01,10.78,10.9,10.68,10.88,135000,0.0,0.0
2010-02-02,10.92,10.92,10.44,10.49,514600,0.0,0.0
2010-02-03,10.49,10.53,10.46,10.48,408600,0.0,0.0
2010-02-04,10.42,10.53,10.2,10.21,296200,0.0,0.0
2010-02-05,10.21,10.26,10.06,10.25,266800,0.0,0.0
2010-02-08,10.28,10.36,10.12,10.21,182600,0.0,0.0
2010-02-09,10.31,10.41,10.11,10.31,308200,0.0,0.0
2010-02-10,10.31,10.31,9.9,9.94,880600,0.0,0.0
2010-02-11,9.94,10.05,9.82,10.03,353600,0.0,0.0
2010-02-12,9.95,10.07,9.9,10.01,317200,0.0,0.0
2010-02-16,10.16,10.38,10.05,10.35,461600,0.0,0.0
2010-02-17,10.33,10.41,10.2,10.3,180600,0.0,0.0
2010-02-18,10.33,10.51,10.25,10.5,309200,0.0,0.0
2010-02-19,10.51,10.59,10.47,10.51,174400,0.0,0.0
2010-02-22,10.57,10.59,10.46,10.58,213400,0.0,0.0
2010-02-23,10.58,10.66,10.49,10.59,620400,0.0,0.0
2010-02-24,10.69,11.53,10.54,11.36,1494600,0.0,0.0
2010-02-25,11.28,11.42,11.19,11.23,680600,0.0,0.0
2010-02-26,11.25,11.36,11.15,11.15,467200,0.0,0.0
2010-03-01,11.15,11.24,11.02,11.19,561800,0.0,0.0
2010-03-02,11.26,11.31,11.0,11.05,866400,0.0,0.0
2010-03-03,11.13,11.15,10.94,10.98,729600,0.0,0.0
2010-03-04,10.97,11.02,10.83,10.97,640000,0.0,0.0
2010-03-05,11.04,11.25,10.88,11.21,372200,0.0,0.0
2010-03-08,11.19,11.37,11.05,11.36,294800,0.0,0.0
2010-03-09,11.29,11.68,11.28,11.53,443800,0.0,0.0
2010-03-10,11.5,11.58,11.38,11.4,301200,0.0,0.0
2010-03-11,11.32,11.55,11.27,11.55,368200,0.0,0.0
2010-03-12,11.53,11.69,11.53,11.69,386400,0.0,0.0
2010-03-15,11.64,11.73,11.49,11.63,549400,0.0,0.0
2010-03-16,11.67,11.69,11.55,11.65,184800,0.0,0.0
2010-03-17,11.63,11.78,11.63,11.69,151000,0.0,0.0
2010-03-18,11.67,11.74,11.59,11.65,186000,0.0,0.0
2010-03-19,11.7,11.72,11.6,11.61,471000,0.0,0.0
2010-03-22,11.51,11.73,11.49,11.71,236000,0.0,0.0
2010-03-23,11.68,11.84,11.62,11.79,231200,0.0,0.0
2010-03-24,11.77,11.8,11.59,11.64,153400,0.0,0.0
2010-03-25,11.67,11.77,11.53,11.54,152200,0.0,0.0
2010-03-26,11.54,11.59,11.39,11.43,222600,0.0,0.0
2010-03-29,11.44,11.67,11.41,11.66,262000,0.0,0.0
2010-03-30,11.65,11.79,11.65,11.76,354800,0.0,0.0
2010-03-31,11.69,11.84,11.69,11.74,294800,0.0,0.0
2010-04-01,11.77,11.84,11.66,11.79,157400,0.0,0.0
2010-04-05,11.81,11.97,11.81,11.95,203000,0.0,0.0
2010-04-06,12.06,12.86,12.05,12.83,1456800,0.0,0.0
2010-04-07,12.85,12.88,12.55,12.59,413200,0.0,0.0
2010-04-08,12.59,12.69,12.51,12.66,317800,0.0,0.0
2010-04-09,12.65,12.84,12.57,12.71,222600,0.0,0.0
2010-04-12,12.76,12.83,12.7,12.73,151600,0.0,0.0
2010-04-13,12.7,12.83,12.61,12.7,209600,0.0,0.0
2010-04-14,12.76,12.9,12.58,12.89,330400,0.0,0.0
2010-04-15,12.91,13.01,12.77,12.78,306000,0.0,0.0
2010-04-16,12.79,13.1,12.6,12.65,362000,0.0,0.0
2010-04-19,12.46,12.84,12.44,12.77,349000,0.0,0.0
2010-04-20,12.85,12.97,12.72,12.97,227200,0.0,0.0
2010-04-21,12.98,13.07,12.89,13.07,160200,0.0,0.0
2010-04-22,12.71,13.11,12.7,13.02,402800,0.0,0.0
2010-04-23,12.98,13.01,12.84,12.93,132800,0.0,0.0
2010-04-26,12.88,12.98,12.79,12.81,367400,0.0,0.0
2010-04-27,12.73,13.07,12.66,12.7,197800,0.0,0.0
2010-04-28,12.67,12.67,12.44,12.45,525800,0.0,0.0
2010-04-29,12.56,12.9,12.51,12.9,289400,0.0,0.0
2010-04-30,12.83,12.87,12.51,12.51,402200,0.0,0.0
2010-05-03,12.53,13.17,12.51,13.13,459000,0.0,0.0
2010-05-04,12.96,12.96,12.72,12.91,812600,0.0,0.0
2010-05-05,12.49,12.49,11.4,11.46,1374800,0.0,0.0
2010-05-06,11.47,11.7,11.08,11.33,680200,0.0,0.0
2010-05-07,11.33,11.55,11.06,11.21,562000,0.0,0.0
2010-05-10,11.7,11.97,11.64,11.86,652400,0.0,0.0
