Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,9.09,9.09,8.84,8.95,54400,0.0,0.0
2010-01-05,8.98,9.05,8.87,8.89,74700,0.0,0.0
2010-01-06,8.94,9.05,8.59,8.64,105600,0.0,0.0
2010-01-07,9.06,9.06,8.45,8.57,56500,0.0,0.0
2010-01-08,8.58,8.9,8.46,8.53,85300,0.0,0.0
2010-01-11,8.73,8.8,8.44,8.51,50400,0.0,0.0
2010-01-12,8.64,8.64,8.41,8.44,90200,0.0,0.0
2010-01-13,8.45,8.56,8.38,8.44,110500,0.0,0.0
2010-01-14,8.42,8.67,8.41,8.62,33500,0.0,0.0
2010-01-15,8.69,8.75,8.42,8.44,77500,0.0,0.0
2010-01-19,8.48,8.67,8.45,8.52,46100,0.0,0.0
2010-01-20,8.46,8.51,8.22,8.37,120700,0.0,0.0
2010-01-21,8.36,8.54,8.22,8.22,76200,0.0,0.0
2010-01-22,8.22,8.31,8.11,8.13,71100,0.0,0.0
2010-01-25,8.2,8.37,8.05,8.32,46800,0.0,0.0
2010-01-26,8.31,8.31,8.02,8.06,59100,0.0,0.0
2010-01-27,8.04,8.36,8.02,8.31,50900,0.0,0.0
2010-01-28,8.35,8.38,8.1,8.14,47700,0.0,0.0
2010-01-29,8.22,8.56,8.1,8.17,89900,0.0,0.0
2010-02-01,8.25,8.48,8.19,8.26,52500,0.0,0.0
2010-02-02,8.29,8.54,8.29,8.48,78000,0.0,0.0
2010-02-03,8.41,8.54,8.41,8.48,40900,0.0,0.0
2010-02-04,8.41,8.56,8.41,8.44,65800,0.0,0.0
2010-02-05,8.42,8.53,8.38,8.53,48600,0.0,0.0
2010-02-08,8.46,8.52,8.32,8.32,22300,0.0,0.0
2010-02-09,8.46,8.46,8.3,8.38,37400,0.0,0.0
2010-02-10,8.32,8.41,8.19,8.24,51600,0.0,0.0
2010-02-11,8.23,8.48,8.07,8.46,68200,0.0,0.0
2010-02-12,8.38,8.64,8.38,8.62,58800,0.0,0.0
2010-02-16,8.77,8.96,8.64,8.91,44500,0.0,0.0
2010-02-17,8.94,9.09,8.9,9.09,56400,0.0,0.0
2010-02-18,9.06,9.21,8.96,9.21,33300,0.0,0.0
2010-02-19,9.21,9.23,9.1,9.13,41500,0.0,0.0
2010-02-22,9.11,9.25,9.07,9.23,24300,0.0,0.0
2010-02-23,9.22,9.28,9.03,9.16,32700,0.0,0.0
2010-02-24,9.16,9.29,9.12,9.28,60200,0.0,0.0
2010-02-25,9.18,9.29,9.13,9.25,31600,0.0,0.0
2010-02-26,9.29,9.46,9.24,9.38,80500,0.0,0.0
2010-03-01,9.42,9.63,9.32,9.62,66800,0.0,0.0
2010-03-02,9.57,9.81,9.55,9.81,53500,0.0,0.0
2010-03-03,9.87,10.03,9.63,9.95,49400,0.0,0.0
2010-03-04,9.89,10.08,9.89,10.08,30400,0.0,0.0
2010-03-05,10.13,10.57,9.92,10.55,81200,0.0,0.0
2010-03-08,10.59,10.59,10.06,10.22,35300,0.0,0.0
2010-03-09,10.2,10.49,9.94,10.2,35900,0.0,0.0
2010-03-10,10.17,10.53,9.94,10.37,27700,0.0,0.0
2010-03-11,10.3,10.51,10.26,10.5,29600,0.0,0.0
2010-03-12,10.51,10.53,10.42,10.52,25300,0.0,0.0
2010-03-15,10.53,10.7,10.32,10.67,42400,0.0,0.0
2010-03-16,10.69,10.7,10.46,10.64,35900,0.0,0.0
2010-03-17,10.52,10.7,10.52,10.62,19400,0.0,0.0
2010-03-18,10.64,10.64,10.36,10.39,18500,0.0,0.0
2010-03-19,10.46,11.23,10.37,11.2,178400,0.0,0.0
2010-03-22,11.08,11.18,10.86,11.17,45300,0.0,0.0
2010-03-23,11.14,11.46,11.09,11.41,24600,0.0,0.0
2010-03-24,11.4,11.4,11.26,11.33,30500,0.0,0.0
2010-03-25,11.4,11.46,11.01,11.04,31400,0.0,0.0
2010-03-26,11.06,11.2,10.82,10.97,18200,0.0,0.0
2010-03-29,11.04,11.31,10.53,11.07,21400,0.07767,0.0
2010-03-30,11.1,11.52,11.01,11.49,66600,0.0,0.0
2010-03-31,11.39,11.48,10.73,10.73,186300,0.0,0.0
2010-04-01,10.84,10.98,10.76,10.93,43700,0.0,0.0
2010-04-05,11.01,11.23,11.0,11.23,36500,0.0,0.0
2010-04-06,11.11,11.83,10.69,11.8,67000,0.0,0.0
2010-04-07,11.87,12.36,11.44,12.17,68100,0.0,0.0
2010-04-08,12.08,12.17,11.81,12.06,62200,0.0,0.0
2010-04-09,12.02,12.36,12.02,12.14,74300,0.0,0.0
2010-04-12,12.28,12.48,12.2,12.3,57100,0.0,0.0
2010-04-13,12.41,12.41,12.1,12.37,65700,0.0,0.0
2010-04-14,12.41,12.67,12.29,12.67,47600,0.0,0.0
2010-04-15,12.62,12.93,12.54,12.93,55100,0.0,0.0
2010-04-16,12.91,12.99,12.54,12.83,49700,0.0,0.0
2010-04-19,12.89,12.89,12.1,12.67,46200,0.0,0.0
2010-04-20,12.77,12.95,12.61,12.89,21900,0.0,0.0
2010-04-21,12.94,13.21,12.69,13.12,53200,0.0,0.0
2010-04-22,12.94,13.22,12.81,13.03,82800,0.0,0.0
2010-04-23,13.07,13.36,12.41,13.19,80700,0.0,0.0
2010-04-26,13.13,13.3,12.57,12.8,65600,0.0,0.0
2010-04-27,12.66,12.9,12.1,12.15,55900,0.0,0.0
2010-04-28,12.21,12.33,11.81,12.04,29600,0.0,0.0
2010-04-29,12.17,12.56,11.85,12.55,56400,0.0,0.0
2010-04-30,12.55,12.6,12.29,12.32,67800,0.0,0.0
2010-05-03,12.36,12.77,12.24,12.72,76000,0.0,0.0
2010-05-04,12.64,12.67,12.38,12.43,76100,0.0,0.0
2010-05-05,12.37,12.59,12.34,12.4,34700,0.0,0.0
2010-05-06,12.31,12.37,11.57,11.98,60900,0.0,0.0
2010-05-07,11.92,12.07,11.43,11.49,63600,0.0,0.0
2010-05-10,12.04,12.37,11.55,12.3,92800,0.0,0.0
2010-05-11,12.09,12.66,12.09,12.5,44800,0.0,0.0
2010-05-12,12.44,13.03,12.43,12.98,85000,0.0,0.0
2010-05-13,12.87,13.0,12.64,12.91,36100,0.0,0.0
