Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,19.35,19.35,18.95,19.15,42100,0,0
2010-01-05,19.12,19.2,18.9,18.96,18200,0,0
2010-01-06,19.0,19.15,18.8,19.15,43300,0,0
2010-01-07,19.1,19.2,19.0,19.0,64100,0,0
2010-01-08,19.05,19.05,18.93,19.0,59700,0,0
2010-01-11,19.0,19.05,18.0,19.0,28100,0,0
2010-01-12,18.95,18.95,18.65,18.75,56400,0,0
2010-01-13,18.72,18.75,18.59,18.6,27300,0,0
2010-01-14,18.59,18.95,18.0,18.15,295000,0,0
2010-01-15,18.15,18.44,18.1,18.2,19600,0,0
2010-01-19,18.2,18.34,18.07,18.09,55400,0,0
2010-01-20,18.25,18.25,18.0,18.14,46800,0,0
2010-01-21,18.0,18.0,17.2,17.85,55400,0,0
2010-01-22,17.8,18.0,17.5,18.0,41600,0,0
2010-01-25,17.85,18.0,17.85,18.0,17400,0,0
2010-01-26,17.95,18.07,17.55,18.07,145400,0,0
2010-01-27,18.05,18.1,17.81,18.05,152600,0,0
2010-01-28,18.25,18.25,18.06,18.09,20900,0,0
2010-01-29,18.1,18.4,18.05,18.3,103900,0,0
2010-02-01,18.4,19.1,17.73,19.1,65800,0,0
2010-02-02,19.1,19.5,19.1,19.45,59000,0,0
2010-02-03,19.5,19.65,19.45,19.6,44800,0,0
2010-02-04,19.96,22.4,19.96,21.25,149500,0,0
2010-02-05,21.4,21.75,20.75,21.75,73300,0,0
2010-02-08,22.0,22.5,21.65,22.05,26100,0,0
2010-02-09,22.5,22.75,22.15,22.25,12300,0,0
2010-02-10,22.4,22.7,22.0,22.5,61800,0,0
2010-02-11,22.6,23.1,22.16,23.1,15700,0,0
2010-02-12,22.65,23.3,22.6,23.15,82200,0,0
2010-02-16,23.15,23.15,22.75,22.75,23600,0,0
2010-02-17,23.05,23.25,22.75,23.2,47600,0,0
2010-02-18,23.01,23.43,22.31,23.3,34900,0,0
2010-02-19,23.5,23.5,23.0,23.3,12000,0,0
2010-02-22,23.3,23.49,23.3,23.4,13400,0,0
2010-02-23,23.49,23.5,23.15,23.2,26900,0,0
2010-02-24,23.4,23.5,23.25,23.4,99000,0,0
2010-02-25,23.5,23.5,23.15,23.15,13500,0,0
2010-02-26,23.5,23.5,23.45,23.5,34200,0,0
2010-03-01,23.6,24.05,23.6,23.93,76000,0,0
2010-03-02,24.1,24.14,23.95,24.05,17500,0,0
2010-03-03,24.05,24.07,23.2,24.0,93200,0,0
2010-03-04,24.07,24.07,23.6,23.95,42500,0,0
2010-03-05,24.07,24.15,23.95,24.05,7900,0,0
2010-03-08,24.05,24.1,24.01,24.1,37600,0,0
