Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,20.96,21.33,20.95,21.26,16.77,169300,0.0,0
2010-01-05,21.12,21.2,20.75,20.97,16.64,184100,0.135,0
2010-01-06,20.91,21.24,20.89,20.97,16.64,152100,0.0,0
2010-01-07,20.89,21.24,20.64,21.24,16.86,107100,0.0,0
2010-01-08,21.12,21.26,21.01,21.22,16.84,138000,0.0,0
2010-01-11,21.25,21.3,21.14,21.17,16.8,96900,0.0,0
2010-01-12,20.98,21.16,20.81,20.94,16.62,86700,0.0,0
2010-01-13,20.46,21.02,20.41,20.96,16.64,80800,0.0,0
2010-01-14,20.82,20.99,20.75,20.87,16.57,241300,0.0,0
2010-01-15,20.95,20.95,20.13,20.49,16.26,166800,0.0,0
2010-01-19,20.44,20.71,20.31,20.71,16.44,148300,0.0,0
2010-01-20,20.47,20.47,20.0,20.2,16.03,135800,0.0,0
2010-01-21,20.29,20.34,19.59,19.61,15.57,230800,0.0,0
2010-01-22,19.54,19.89,19.45,19.51,15.49,125600,0.0,0
2010-01-25,19.6,19.66,19.42,19.52,15.49,112500,0.0,0
2010-01-26,19.41,19.68,19.38,19.41,15.41,128100,0.0,0
2010-01-27,19.23,19.71,19.23,19.66,15.6,127700,0.0,0
2010-01-28,19.63,19.64,19.31,19.51,15.49,138900,0.0,0
2010-01-29,19.55,19.9,19.42,19.42,15.41,135500,0.0,0
2010-02-01,19.51,19.76,19.42,19.6,15.56,93500,0.0,0
2010-02-02,19.55,19.7,19.44,19.51,15.49,132200,0.0,0
2010-02-03,19.4,19.79,19.38,19.55,15.52,89200,0.0,0
2010-02-04,19.48,19.55,19.13,19.37,15.37,182000,0.0,0
2010-02-05,19.36,19.67,19.25,19.65,15.6,167300,0.0,0
2010-02-08,19.69,19.69,19.23,19.25,15.28,94700,0.0,0
2010-02-09,19.44,19.6,19.25,19.36,15.37,956900,0.0,0
2010-02-10,19.24,19.4,18.96,19.34,15.35,116700,0.0,0
2010-02-11,19.25,19.63,18.98,19.61,15.57,132700,0.0,0
2010-02-12,19.45,19.79,19.44,19.79,15.71,117700,0.0,0
2010-02-16,19.96,19.98,19.73,19.88,15.78,118800,0.0,0
2010-02-17,19.9,19.93,19.63,19.92,15.81,90600,0.0,0
2010-02-18,19.95,20.42,19.81,20.37,16.17,104600,0.0,0
2010-02-19,20.37,20.75,20.22,20.65,16.39,159500,0.0,0
2010-02-22,20.76,20.86,20.54,20.75,16.47,72000,0.0,0
