Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,7.49,7.98,7.39,7.9,7.42,389300,0.0,0
2010-01-05,7.91,7.99,7.61,7.68,7.21,322700,0.0,0
2010-01-06,7.69,8.05,7.66,7.9,7.42,236700,0.0,0
2010-01-07,7.88,8.11,7.84,8.11,7.62,438500,0.0,0
2010-01-08,8.05,8.14,7.9,8.08,7.59,142500,0.0,0
2010-01-11,8.15,8.34,8.08,8.26,7.76,341100,0.0,0
2010-01-12,8.16,8.18,7.87,8.0,7.52,373000,0.0,0
2010-01-13,8.06,8.14,7.82,8.04,7.55,199500,0.0,0
2010-01-14,8.03,8.14,7.93,8.12,7.63,221500,0.0,0
2010-01-15,8.09,8.2,7.75,8.14,7.65,427600,0.0,0
2010-01-19,8.19,8.46,8.19,8.44,7.93,305200,0.0,0
2010-01-20,8.37,8.41,8.06,8.2,7.7,464600,0.0,0
2010-01-21,8.25,8.34,8.03,8.24,7.74,441200,0.0,0
2010-01-22,8.23,8.29,8.11,8.22,7.72,492100,0.0,0
2010-01-25,8.3,8.35,8.13,8.16,7.67,352600,0.0,0
2010-01-26,8.12,8.13,7.97,8.0,7.52,383100,0.0,0
2010-01-27,7.96,8.06,7.66,7.99,7.51,349000,0.0,0
2010-01-28,8.02,8.02,7.56,7.75,7.28,587800,0.0,0
2010-01-29,7.79,7.96,7.63,7.7,7.23,422800,0.0,0
2010-02-01,7.77,7.94,7.61,7.85,7.37,544800,0.0,0
2010-02-02,7.84,7.89,7.63,7.73,7.26,434800,0.0,0
2010-02-03,7.72,7.86,7.46,7.83,7.36,426000,0.0,0
2010-02-04,7.71,7.78,7.2,7.21,6.77,488900,0.0,0
2010-02-05,7.25,7.26,6.89,7.19,6.75,444100,0.0,0
2010-02-08,7.16,7.31,6.98,6.98,6.56,393400,0.0,0
2010-02-09,7.1,7.16,6.94,7.14,6.71,388000,0.0,0
2010-02-10,7.08,7.14,5.92,6.48,6.09,3003300,0.0,0
2010-02-11,6.47,7.53,6.33,7.46,7.01,1304900,0.0,0
2010-02-12,7.34,7.4,7.07,7.25,6.81,923300,0.0,0
2010-02-16,7.36,7.56,7.19,7.5,7.05,401000,0.0,0
2010-02-17,7.53,7.61,7.45,7.49,7.04,349400,0.0,0
2010-02-18,7.5,7.56,7.4,7.5,7.05,228900,0.0,0
2010-02-19,7.5,7.68,7.39,7.51,7.05,246800,0.0,0
2010-02-22,7.55,7.77,7.51,7.54,7.08,267700,0.0,0
2010-02-23,7.5,7.59,7.25,7.25,6.81,551000,0.0,0
2010-02-24,7.27,7.45,7.23,7.38,6.93,352500,0.0,0
2010-02-25,7.17,7.28,6.94,7.26,6.82,256400,0.0,0
2010-02-26,7.25,7.35,7.04,7.17,6.74,221800,0.0,0
2010-03-01,7.21,8.0,7.1,7.95,7.47,394400,0.0,0
2010-03-02,7.95,8.08,7.63,7.68,7.21,469900,0.0,0
2010-03-03,7.72,8.05,7.64,7.9,7.42,186500,0.0,0
2010-03-04,7.9,7.99,7.71,7.8,7.33,121800,0.0,0
2010-03-05,7.88,8.0,7.76,7.85,7.37,247000,0.0,0
2010-03-08,7.87,8.17,7.87,8.1,7.61,201800,0.0,0
2010-03-09,8.06,8.36,8.0,8.29,7.79,392300,0.0,0
2010-03-10,8.27,8.62,8.09,8.16,7.67,283800,0.0,0
2010-03-11,8.07,8.15,7.85,8.07,7.58,164700,0.0,0
2010-03-12,8.1,8.16,7.65,7.76,7.29,229800,0.0,0
2010-03-15,7.77,7.82,7.56,7.76,7.29,176900,0.0,0
2010-03-16,7.78,7.95,7.34,7.42,6.97,251400,0.0,0
2010-03-17,7.42,7.55,7.25,7.49,7.04,202100,0.0,0
2010-03-18,7.46,7.59,7.38,7.48,7.03,153800,0.0,0
2010-03-19,7.13,7.65,7.06,7.13,6.7,1204200,0.0,0
2010-03-22,7.1,7.35,7.02,7.33,6.89,229700,0.0,0
2010-03-23,7.31,7.4,7.09,7.36,6.91,353700,0.0,0
2010-03-24,7.3,7.68,7.3,7.61,7.15,444200,0.0,0
2010-03-25,7.64,7.67,7.55,7.61,7.15,258900,0.0,0
2010-03-26,7.62,7.71,7.55,7.68,7.21,288600,0.0,0
2010-03-29,7.7,7.82,7.63,7.81,7.34,214900,0.0,0
2010-03-30,7.8,7.87,7.7,7.82,7.35,203500,0.0,0
2010-03-31,7.76,7.84,7.59,7.66,7.2,313100,0.0,0
2010-04-01,7.76,7.92,7.56,7.73,7.26,381300,0.0,0
2010-04-05,7.76,7.97,7.64,7.94,7.46,255500,0.0,0
2010-04-06,7.83,8.13,7.73,8.12,7.63,184100,0.0,0
2010-04-07,8.08,8.08,7.79,7.93,7.45,176600,0.0,0
2010-04-08,7.86,7.86,7.53,7.58,7.12,223500,0.0,0
2010-04-09,7.58,7.75,7.48,7.67,7.21,164800,0.0,0
2010-04-12,7.7,7.7,7.45,7.61,7.15,205000,0.0,0
2010-04-13,7.57,7.57,7.32,7.51,7.05,187700,0.0,0
2010-04-14,7.57,7.96,7.51,7.88,7.4,257100,0.0,0
2010-04-15,7.86,7.98,7.69,7.73,7.26,191400,0.0,0
2010-04-16,7.71,7.95,7.4,7.4,6.95,230000,0.0,0
2010-04-19,7.36,7.74,7.36,7.63,7.17,536800,0.0,0
2010-04-20,7.72,7.92,7.68,7.91,7.43,358500,0.0,0
2010-04-21,7.99,8.13,7.9,8.11,7.62,270300,0.0,0
2010-04-22,7.97,8.33,7.96,8.27,7.77,196900,0.0,0
2010-04-23,8.31,8.86,8.26,8.86,8.32,311900,0.0,0
2010-04-26,8.88,9.35,8.85,9.16,8.6,421500,0.0,0
2010-04-27,9.05,9.43,8.98,9.15,8.6,1069400,0.0,0
2010-04-28,9.05,9.38,8.89,9.12,8.57,509500,0.0,0
2010-04-29,9.25,9.47,9.21,9.32,8.76,349000,0.0,0
2010-04-30,9.36,9.46,9.13,9.13,8.58,583700,0.0,0
2010-05-03,9.19,9.3,9.05,9.2,8.64,412700,0.0,0
2010-05-04,8.98,9.0,8.29,8.36,7.85,421500,0.0,0
2010-05-05,8.26,8.36,7.85,8.15,7.66,424300,0.0,0
2010-05-06,8.05,8.53,6.9,7.69,7.22,353600,0.0,0
2010-05-07,7.71,7.73,7.01,7.08,6.65,958900,0.0,0
2010-05-10,7.54,7.79,7.35,7.54,7.08,1201300,0.0,0
2010-05-11,7.35,7.67,7.35,7.62,7.16,519000,0.0,0
2010-05-12,7.67,8.13,7.57,8.06,7.57,357700,0.0,0
2010-05-13,7.98,8.34,7.95,8.02,7.53,313900,0.0,0
2010-05-14,7.93,8.0,7.51,7.64,7.18,433200,0.0,0
2010-05-17,7.71,7.91,7.07,7.35,6.9,534900,0.0,0
2010-05-18,7.5,7.56,6.85,6.9,6.48,448400,0.0,0
2010-05-19,6.9,7.07,6.39,6.8,6.39,490100,0.0,0
2010-05-20,6.49,6.53,6.19,6.23,5.85,399600,0.0,0
2010-05-21,6.06,6.63,5.93,6.53,6.13,426100,0.0,0
2010-05-24,6.54,6.58,6.34,6.37,5.98,295500,0.0,0
2010-05-25,6.09,6.52,6.0,6.5,6.11,511100,0.0,0
2010-05-26,6.61,6.8,6.53,6.61,6.21,640400,0.0,0
2010-05-27,6.87,7.33,6.85,7.3,6.86,424300,0.0,0
2010-05-28,7.22,7.23,6.9,7.06,6.63,332600,0.0,0
2010-06-01,6.96,6.99,6.63,6.67,6.27,424200,0.0,0
2010-06-02,6.71,6.87,6.58,6.74,6.33,432400,0.0,0
2010-06-03,6.67,6.87,6.49,6.58,6.18,461000,0.0,0
2010-06-04,6.31,6.36,6.0,6.03,5.66,631300,0.0,0
2010-06-07,6.1,6.2,5.94,6.11,5.74,559300,0.0,0
2010-06-08,6.15,6.21,5.76,5.83,5.48,859900,0.0,0
2010-06-09,5.93,5.93,5.57,5.62,5.28,407300,0.0,0
2010-06-10,5.79,5.89,5.53,5.73,5.38,462400,0.0,0
2010-06-11,5.66,5.73,5.41,5.49,5.16,830600,0.0,0
2010-06-14,5.53,5.66,5.37,5.4,5.07,418700,0.0,0
2010-06-15,5.47,5.64,5.38,5.56,5.22,782600,0.0,0
2010-06-16,5.47,5.53,5.26,5.34,5.02,704600,0.0,0
2010-06-17,5.33,5.36,5.09,5.17,4.86,769000,0.0,0
2010-06-18,5.2,5.4,5.2,5.34,5.02,715000,0.0,0
2010-06-21,5.46,5.62,5.17,5.25,4.93,409100,0.0,0
2010-06-22,5.3,5.7,5.27,5.46,5.13,906400,0.0,0
2010-06-23,5.43,5.55,5.25,5.4,5.07,557600,0.0,0
2010-06-24,5.34,5.34,5.16,5.31,4.99,661200,0.0,0
2010-06-25,5.35,5.8,5.3,5.69,5.35,1007300,0.0,0
2010-06-28,5.68,5.75,5.42,5.53,5.19,489500,0.0,0
2010-06-29,5.37,5.37,5.03,5.22,4.9,942800,0.0,0
2010-06-30,5.22,5.27,4.93,4.99,4.69,883500,0.0,0
2010-07-01,5.01,5.17,4.77,5.11,4.8,764200,0.0,0
2010-07-02,5.16,5.21,4.9,4.97,4.67,537500,0.0,0
2010-07-06,5.09,5.2,4.79,4.84,4.55,426800,0.0,0
2010-07-07,4.86,5.14,4.63,5.03,4.73,625300,0.0,0
2010-07-08,5.13,5.43,5.11,5.33,5.01,446000,0.0,0
2010-07-09,5.3,5.58,5.25,5.58,5.24,257200,0.0,0
2010-07-12,5.54,5.65,5.28,5.34,5.02,220500,0.0,0
2010-07-13,5.48,5.75,5.4,5.72,5.37,469100,0.0,0
