Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,4.48,4.6,4.36,4.6,4.6,900,0.0,0.0
2010-01-05,4.52,4.6,4.4,4.6,4.6,300,0.0,0.0
2010-01-06,4.44,4.52,4.24,4.24,4.24,2300,0.0,0.0
2010-01-07,4.4,4.52,4.4,4.48,4.48,1000,0.0,0.0
2010-01-08,4.4,4.56,4.32,4.56,4.56,6500,0.0,0.0
2010-01-11,4.48,4.56,4.4,4.48,4.48,3500,0.0,0.0
2010-01-12,4.56,4.6,4.4,4.52,4.52,7000,0.0,0.0
2010-01-13,4.44,5.2,4.4,4.6,4.6,22300,0.0,0.0
2010-01-14,4.64,4.84,4.52,4.72,4.72,8200,0.0,0.0
2010-01-15,4.72,4.96,4.56,4.68,4.68,2500,0.0,0.0
2010-01-19,4.6,4.8,4.52,4.6,4.6,7400,0.0,0.0
2010-01-20,4.6,4.88,4.52,4.76,4.76,3100,0.0,0.0
2010-01-21,4.76,4.76,4.64,4.68,4.68,400,0.0,0.0
2010-01-22,4.8,4.8,4.56,4.8,4.8,7200,0.0,0.0
2010-01-25,4.8,5.0,4.68,4.96,4.96,4400,0.0,0.0
2010-01-26,4.8,4.96,4.6,4.96,4.96,31400,0.0,0.0
2010-01-27,4.8,4.88,4.76,4.88,4.88,2000,0.0,0.0
2010-01-28,4.84,4.96,4.8,4.88,4.88,600,0.0,0.0
2010-01-29,4.72,4.88,4.72,4.88,4.88,2500,0.0,0.0
2010-02-01,5.0,5.8,4.96,5.2,5.2,10100,0.0,0.0
2010-02-02,5.32,5.36,4.72,5.28,5.28,1200,0.0,0.0
2010-02-03,5.4,5.4,5.28,5.32,5.32,1500,0.0,0.0
2010-02-04,5.08,5.24,4.88,5.12,5.12,1500,0.0,0.0
2010-02-05,4.96,5.2,4.8,4.92,4.92,2300,0.0,0.0
2010-02-08,4.92,4.92,4.84,4.84,4.84,1200,0.0,0.0
2010-02-09,5.0,5.16,5.0,5.16,5.16,600,0.0,0.0
2010-02-10,4.88,5.12,4.84,5.12,5.12,900,0.0,0.0
2010-02-11,5.12,5.36,4.84,5.36,5.36,10600,0.0,0.0
2010-02-12,5.4,5.56,5.0,5.44,5.44,26700,0.0,0.0
2010-02-16,5.44,5.44,5.2,5.24,5.24,7000,0.0,0.0
2010-02-17,5.52,5.52,5.0,5.28,5.28,5900,0.0,0.0
2010-02-18,5.36,5.36,4.88,5.12,5.12,11700,0.0,0.0
2010-02-19,4.96,5.36,4.84,5.2,5.2,3400,0.0,0.0
2010-02-22,5.2,5.2,4.68,5.08,5.08,10200,0.0,0.0
2010-02-23,5.04,5.08,4.8,4.88,4.88,33700,0.0,0.0
2010-02-24,4.92,5.16,4.72,5.12,5.12,6600,0.0,0.0
2010-02-25,5.08,5.2,4.8,5.04,5.04,4400,0.0,0.0
2010-02-26,4.88,5.12,4.8,4.96,4.96,4800,0.0,0.0
2010-03-01,5.0,5.12,5.0,5.04,5.04,5100,0.0,0.0
