Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,4.3282,4.4306,4.3218,4.373,884600,0.0,0
2010-01-05,4.4114,4.4434,4.3474,4.405,658000,0.0,0
2010-01-06,4.373,4.3986,4.3474,4.3858,397200,0.0,0
2010-01-07,4.3666,4.4946,4.341,4.4882,797400,0.0,0
2010-01-08,4.5587,4.6419,4.5587,4.6355,611400,0.0,0
2010-01-11,4.6483,4.6611,4.5523,4.5907,580200,0.0,0
2010-01-12,4.5651,4.6035,4.501,4.5651,659800,0.0,0
2010-01-13,4.5843,4.5971,4.5203,4.5971,607500,0.0,0
2010-01-14,4.5587,4.5907,4.5267,4.5715,314400,0.0,0
2010-01-15,4.501,4.501,4.373,4.4498,965500,0.0,0
2010-01-19,4.3154,4.4242,4.3154,4.4178,635900,0.0,0
2010-01-20,4.277,4.277,4.1297,4.2001,738500,0.0,0
2010-01-21,4.1553,4.1745,3.88,3.8864,1442900,0.0,0
2010-01-22,3.9312,3.9952,3.8224,3.848,1178500,0.0,0
2010-01-25,4.0144,4.0337,3.912,3.9312,614600,0.0,0
2010-01-26,3.88,3.976,3.8544,3.8864,427200,0.0,0
2010-01-27,3.8928,3.9504,3.8608,3.9504,578000,0.0,0
2010-01-28,3.9504,3.9568,3.816,3.8544,881400,0.0,0
2010-01-29,3.8864,3.9312,3.7776,3.7904,827100,0.0,0
2010-02-01,3.9504,4.008,3.9376,3.9888,488500,0.0,0
2010-02-02,4.0657,4.1553,4.0401,4.1361,521700,0.0,0
2010-02-03,4.1041,4.1361,4.0529,4.0785,528100,0.0,0
2010-02-04,3.9952,3.9952,3.784,3.784,917100,0.0,0
2010-02-05,3.7327,3.7647,3.5214,3.6623,1245900,0.0,0
2010-02-08,3.5727,3.6559,3.5214,3.5278,616200,0.0,0
2010-02-09,3.7327,3.8608,3.6751,3.8032,1302900,0.0,0
2010-02-10,3.8224,3.8672,3.7647,3.8416,494400,0.0,0
2010-02-11,3.7711,3.848,3.7135,3.8352,521400,0.0,0
2010-02-12,3.6943,3.7904,3.6623,3.7904,472400,0.0,0
2010-02-16,3.8032,3.912,3.7776,3.8864,593000,0.0,0
2010-02-17,3.9056,3.9376,3.8736,3.8928,320400,0.0,0
2010-02-18,3.848,3.944,3.8416,3.9376,393300,0.0,0
2010-02-19,3.8096,3.8736,3.7968,3.8736,360000,0.0,0
2010-02-22,3.8672,3.8864,3.848,3.8608,283800,0.0,0
2010-02-23,3.8096,3.8416,3.7327,3.7327,289400,0.0,0
2010-02-24,3.784,3.8416,3.7455,3.7904,312100,0.0,0
2010-02-25,3.8352,3.8864,3.8032,3.8864,420800,0.0,0
2010-02-26,3.9696,4.0529,3.9056,4.0337,687900,0.0,0
2010-03-01,4.0337,4.0721,4.0209,4.0657,547000,0.0,0
2010-03-02,4.1617,4.1745,4.1041,4.1489,572300,0.0,0
2010-03-03,4.1425,4.1809,4.1233,4.1233,506800,0.0,0
2010-03-04,4.1233,4.1361,4.0465,4.0849,522600,0.0,0
2010-03-05,4.1553,4.2834,4.1489,4.2642,524500,0.0,0
2010-03-08,4.2001,4.2321,4.1617,4.1873,428400,0.0,0
2010-03-09,4.1681,4.2257,4.1617,4.1873,256800,0.0,0
2010-03-10,4.2321,4.2962,4.2257,4.2577,1959900,0.0,0
2010-03-11,4.2642,4.3026,4.2385,4.2962,1184500,0.0,0
2010-03-12,4.3346,4.3474,4.2706,4.309,884600,0.0,0
2010-03-15,4.2193,4.2385,4.1553,4.2257,1926000,0.0,0
2010-03-16,4.2321,4.2834,4.2065,4.2706,1826800,0.0,0
2010-03-17,4.2962,4.3538,4.2898,4.3282,897200,0.0,0
2010-03-18,4.2834,4.2898,4.2001,4.2321,1393500,0.0,0
2010-03-19,4.1617,4.2321,4.1489,4.1617,2304700,0.0,0
2010-03-22,4.0849,4.1937,4.0849,4.1937,1320500,0.0,0
2010-03-23,4.2577,4.3218,4.2385,4.3154,546100,0.0,0
2010-03-24,4.2321,4.2577,4.2065,4.2193,1378700,0.0,0
