Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2019-03-08,24.96,25.15,24.96,25.1,23.77,4204874,0.0,0
2019-03-11,25.15,25.15,25.05,25.1,23.77,851039,0.0,0
2019-03-12,25.2,25.2,25.05,25.14,23.8,1293187,0.0,0
2019-03-13,25.16,25.25,25.05,25.2,23.86,663123,0.0,0
2019-03-14,25.2,25.25,25.17,25.2,23.86,183639,0.0,0
2019-03-15,25.25,25.35,25.25,25.28,23.94,684735,0.0,0
2019-03-18,25.3,25.39,25.22,25.25,23.91,530947,0.0,0
2019-03-19,25.25,25.28,25.14,25.19,23.85,291325,0.0,0
2019-03-20,25.2,25.22,25.03,25.22,23.88,326295,0.0,0
2019-03-21,25.2,25.29,25.2,25.27,23.93,401659,0.0,0
2019-03-22,24.75,25.27,24.75,25.14,23.8,103726,0.0,0
2019-03-25,25.17,25.2,25.1,25.15,23.81,130662,0.0,0
2019-03-26,25.18,25.25,25.16,25.25,23.91,323356,0.0,0
2019-03-27,25.27,25.37,25.25,25.29,23.95,800559,0.0,0
2019-03-28,25.31,25.45,25.28,25.44,24.09,445294,0.0,0
2019-03-29,25.5,25.6,25.31,25.31,23.97,907118,0.0,0
2019-04-01,25.37,25.44,25.33,25.44,24.09,203508,0.0,0
2019-04-02,25.48,25.48,25.4,25.48,24.13,157385,0.0,0
2019-04-03,25.5,25.67,25.47,25.65,24.29,622590,0.0,0
2019-04-04,25.65,25.85,25.61,25.7,24.33,298433,0.0,0
2019-04-05,25.76,25.85,25.72,25.79,24.42,172483,0.0,0
2019-04-08,25.76,25.84,25.63,25.82,24.45,549964,0.0,0
2019-04-09,25.78,25.82,25.66,25.68,24.32,65758,0.0,0
2019-04-10,25.7,25.8,25.64,25.8,24.43,71365,0.0,0
2019-04-11,25.76,25.87,25.72,25.77,24.4,55999,0.0,0
2019-04-12,25.8,25.86,25.7,25.76,24.39,46509,0.0,0
2019-04-15,25.77,25.85,25.73,25.82,24.45,107580,0.0,0
2019-04-16,25.87,25.99,25.85,25.9,24.52,37848,0.0,0
2019-04-17,25.81,25.92,25.79,25.84,24.47,87486,0.0,0
2019-04-18,25.84,25.84,25.61,25.67,24.31,162100,0.0,0
2019-04-22,25.69,25.74,25.61,25.68,24.32,69558,0.0,0
2019-04-23,25.71,25.78,25.63,25.75,24.38,50726,0.0,0
2019-04-24,25.77,25.77,25.59,25.72,24.35,78070,0.0,0
2019-04-25,25.74,25.74,25.66,25.74,24.37,51296,0.0,0
2019-04-26,25.74,25.82,25.71,25.82,24.45,37902,0.0,0
2019-04-29,25.82,26.05,25.8,26.05,24.67,222260,0.0,0
2019-04-30,26.08,26.31,25.97,26.0,24.62,547076,0.0,0
2019-05-01,26.05,26.05,25.85,25.85,24.48,77452,0.0,0
2019-05-02,25.87,25.94,25.81,25.89,24.51,55729,0.0,0
2019-05-03,25.92,25.98,25.88,25.9,24.52,27529,0.0,0
2019-05-06,25.85,25.93,25.8,25.93,24.55,61700,0.0,0
2019-05-07,25.91,25.96,25.82,25.86,24.49,87768,0.0,0
2019-05-08,25.85,25.87,25.83,25.84,24.47,41730,0.0,0
2019-05-09,25.81,25.95,25.71,25.79,24.42,73110,0.0,0
2019-05-10,25.82,25.84,25.75,25.8,24.43,95102,0.0,0
2019-05-13,25.75,25.82,25.7,25.77,24.4,64086,0.0,0
2019-05-14,25.84,25.88,25.76,25.86,24.49,50649,0.0,0
2019-05-15,25.88,25.97,25.85,25.95,24.57,69332,0.0,0
2019-05-16,25.97,26.11,25.97,26.01,24.63,63466,0.0,0
2019-05-17,26.0,26.09,25.94,26.09,24.7,112222,0.0,0
2019-05-20,26.08,26.16,26.0,26.1,24.71,123388,0.0,0
2019-05-21,26.05,26.16,26.03,26.06,24.68,34614,0.0,0
2019-05-22,26.12,26.15,26.07,26.13,24.74,35510,0.0,0
2019-05-23,26.08,26.29,26.08,26.29,24.89,43598,0.0,0
2019-05-24,26.29,26.35,26.24,26.3,24.9,75837,0.0,0
2019-05-28,26.3,26.42,26.3,26.35,24.95,45872,0.0,0
2019-05-29,26.36,26.46,26.21,26.45,25.04,83253,0.0,0
2019-05-30,26.08,26.4,26.08,26.33,25.28,208166,0.369688,0
2019-05-31,26.29,26.37,26.14,26.35,25.3,247913,0.0,0
2019-06-03,26.2,26.32,26.1,26.31,25.27,58397,0.0,0
2019-06-04,26.25,26.33,26.23,26.33,25.28,209901,0.0,0
2019-06-05,26.18,26.27,26.01,26.05,25.02,116678,0.0,0
2019-06-06,26.05,26.09,25.92,25.97,24.94,108086,0.0,0
2019-06-07,26.02,26.05,25.97,25.98,24.95,51192,0.0,0
2019-06-10,26.02,26.08,26.0,26.0,24.97,91110,0.0,0
2019-06-11,26.04,26.04,25.98,26.0,24.97,85733,0.0,0
