Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,22.6,22.81,22.28,22.33,15.89,379300,0.0,0
2010-01-05,22.35,22.42,21.9,22.21,15.8,545700,0.0,0
2010-01-06,22.26,22.44,22.11,22.22,15.81,349400,0.0,0
2010-01-07,22.1,22.15,21.96,22.08,15.71,633500,0.0,0
2010-01-08,22.1,22.18,22.0,22.14,15.75,391300,0.0,0
2010-01-11,22.14,22.3,22.05,22.17,15.77,582600,0.0,0
2010-01-12,22.1,22.35,22.1,22.3,15.86,447000,0.0,0
2010-01-13,22.31,22.36,22.2,22.29,15.86,244200,0.0,0
2010-01-14,22.22,22.28,22.13,22.23,15.81,299400,0.0,0
2010-01-15,22.24,22.28,21.98,22.0,15.65,243300,0.0,0
2010-01-19,22.02,22.26,22.02,22.25,15.83,400800,0.0,0
2010-01-20,22.08,22.14,21.9,22.14,15.75,278800,0.0,0
2010-01-21,22.09,22.37,22.02,22.31,15.87,501600,0.0,0
2010-01-22,22.36,22.73,22.31,22.7,16.15,778500,0.0,0
2010-01-25,22.82,23.34,22.68,22.82,16.23,558700,0.0,0
2010-01-26,22.84,22.99,22.66,22.66,16.12,317000,0.0,0
2010-01-27,22.59,22.83,22.32,22.48,15.99,561700,0.0,0
2010-01-28,22.55,22.74,22.27,22.6,16.08,385900,0.0,0
2010-01-29,22.66,22.98,22.55,22.55,16.04,470000,0.0,0
2010-02-01,22.61,22.84,22.53,22.78,16.21,404700,0.0,0
2010-02-02,22.83,23.0,22.55,22.7,16.15,903500,0.0,0
2010-02-03,22.8,24.12,22.8,23.74,16.89,1457900,0.0,0
2010-02-04,23.5,23.78,23.32,23.56,16.76,925300,0.0,0
2010-02-05,23.49,23.52,22.82,23.1,16.43,843400,0.0,0
2010-02-08,23.25,23.25,22.71,22.77,16.2,571100,0.0,0
2010-02-09,22.92,23.0,22.72,22.86,16.26,530800,0.0,0
2010-02-10,22.85,22.95,22.71,22.88,16.28,339600,0.0,0
2010-02-11,22.9,23.0,22.76,22.94,16.32,304500,0.0,0
2010-02-12,22.85,22.98,22.68,22.98,16.35,523700,0.0,0
2010-02-16,23.04,23.04,22.76,23.04,16.39,399100,0.0,0
2010-02-17,23.06,23.33,22.95,23.27,16.55,588600,0.0,0
2010-02-18,23.28,23.36,23.15,23.34,16.6,443600,0.0,0
2010-02-19,23.34,23.54,23.28,23.54,16.75,361100,0.0,0
2010-02-22,23.6,23.62,23.41,23.61,16.8,317200,0.0,0
2010-02-23,23.6,23.81,23.49,23.72,16.87,455900,0.0,0
2010-02-24,23.79,23.88,23.73,23.87,16.98,378800,0.0,0
2010-02-25,23.63,23.8,23.59,23.77,16.91,362500,0.0,0
2010-02-26,23.79,23.83,23.59,23.73,16.88,480800,0.0,0
2010-03-01,23.77,24.03,23.7,24.02,17.09,567700,0.0,0
2010-03-02,24.01,24.16,23.88,24.13,17.17,484400,0.0,0
2010-03-03,24.09,24.32,24.06,24.29,17.28,389100,0.0,0
2010-03-04,24.39,24.5,24.02,24.17,17.19,482800,0.0,0
2010-03-05,24.32,24.45,24.05,24.43,17.38,334800,0.0,0
2010-03-08,24.42,24.56,24.36,24.39,17.35,541200,0.0,0
2010-03-09,24.37,24.48,24.19,24.43,17.38,728800,0.0,0
2010-03-10,24.42,24.64,24.2,24.64,17.53,768400,0.0,0
2010-03-11,24.58,24.81,24.46,24.73,17.59,434900,0.0,0
2010-03-12,24.86,25.21,24.7,25.21,17.93,729200,0.0,0
2010-03-15,25.25,25.44,25.05,25.32,18.01,625900,0.0,0
2010-03-16,25.3,25.61,25.29,25.49,18.13,496500,0.0,0
2010-03-17,25.56,25.68,25.4,25.64,18.24,325300,0.0,0
2010-03-18,25.7,25.84,25.61,25.73,18.3,327900,0.0,0
2010-03-19,25.58,25.6,24.96,25.58,18.2,915900,0.0,0
2010-03-22,25.5,25.5,24.92,24.97,17.76,2011100,0.0,0
2010-03-23,24.93,25.21,24.76,25.21,17.93,746600,0.0,0
2010-03-24,25.17,25.17,24.74,25.06,17.83,510500,0.0,0
2010-03-25,25.18,25.28,25.06,25.17,17.91,569800,0.0,0
2010-03-26,25.25,25.31,25.02,25.09,17.85,410500,0.0,0
2010-03-29,25.01,25.12,24.77,24.95,17.98,450800,0.32,0
2010-03-30,25.01,25.04,24.76,24.91,17.95,425100,0.0,0
2010-03-31,24.83,24.94,24.53,24.55,17.69,451000,0.0,0
2010-04-01,24.59,24.73,24.33,24.5,17.65,463400,0.0,0
2010-04-05,24.5,24.65,24.46,24.6,17.73,510200,0.0,0
2010-04-06,24.46,24.82,24.46,24.73,17.82,467900,0.0,0
2010-04-07,24.57,24.77,24.46,24.68,17.78,455200,0.0,0
2010-04-08,24.68,24.73,24.5,24.58,17.71,537900,0.0,0
2010-04-09,24.51,24.62,24.29,24.61,17.73,398900,0.0,0
2010-04-12,24.55,24.81,24.3,24.81,17.88,307200,0.0,0
2010-04-13,24.71,25.02,24.71,25.02,18.03,410200,0.0,0
2010-04-14,25.01,25.24,24.99,25.24,18.19,286500,0.0,0
2010-04-15,25.18,25.42,25.1,25.34,18.26,454200,0.0,0
2010-04-16,25.35,25.53,25.17,25.37,18.28,598800,0.0,0
2010-04-19,25.25,25.44,25.07,25.4,18.3,505100,0.0,0
