Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,16.19,16.91,16.15,16.72,45000,0.0,0
2010-01-05,16.64,16.64,16.26,16.32,24600,0.0,0
2010-01-06,15.58,16.39,15.58,15.88,27300,0.0,0
2010-01-07,15.88,16.47,15.45,15.97,24700,0.0,0
2010-01-08,15.95,16.22,15.84,15.93,28600,0.0,0
2010-01-11,16.09,16.4,15.91,16.28,26400,0.0,0
2010-01-12,16.17,16.63,16.1,16.15,17100,0.0,0
2010-01-13,16.25,16.39,15.99,16.32,26200,0.0,0
2010-01-14,16.36,16.61,16.2,16.53,32100,0.06,0
2010-01-15,16.61,16.78,16.3,16.62,28600,0.0,0
2010-01-19,16.62,16.8,16.47,16.76,54500,0.0,0
2010-01-20,16.75,16.76,16.4,16.61,22400,0.0,0
2010-01-21,16.6,17.03,16.57,16.81,28000,0.0,0
2010-01-22,16.81,17.21,16.69,16.87,29800,0.0,0
2010-01-25,17.06,17.19,16.45,16.86,32600,0.0,0
2010-01-26,16.75,17.07,16.66,16.8,17600,0.0,0
2010-01-27,16.45,17.36,16.31,17.27,21200,0.0,0
2010-01-28,17.27,17.27,16.64,16.77,19600,0.0,0
2010-01-29,16.87,17.04,16.74,16.81,27900,0.0,0
2010-02-01,16.95,17.1,16.86,16.87,15300,0.0,0
2010-02-02,16.86,16.99,16.82,16.85,30400,0.0,0
2010-02-03,16.83,17.53,16.78,16.87,52400,0.0,0
2010-02-04,16.79,17.1,16.59,16.66,36600,0.0,0
2010-02-05,16.67,17.12,16.46,16.82,54200,0.0,0
2010-02-08,16.84,17.04,16.33,16.41,74500,0.0,0
2010-02-09,16.54,16.76,16.49,16.62,28200,0.0,0
2010-02-10,16.59,16.81,16.38,16.75,20900,0.0,0
2010-02-11,16.63,16.86,16.47,16.76,50900,0.0,0
2010-02-12,16.62,17.71,16.54,17.39,178500,0.0,0
2010-02-16,17.48,17.52,17.06,17.33,16900,0.0,0
2010-02-17,16.66,17.46,16.66,17.11,17400,0.0,0
2010-02-18,17.15,17.23,17.0,17.23,16700,0.0,0
2010-02-19,17.22,17.23,16.79,17.1,72600,0.0,0
2010-02-22,17.11,17.11,16.83,16.9,58100,0.0,0
2010-02-23,16.92,17.02,16.73,16.91,33300,0.0,0
2010-02-24,16.93,16.97,16.8,16.9,19400,0.0,0
2010-02-25,16.69,17.01,16.51,16.88,37400,0.0,0
2010-02-26,16.88,16.99,16.65,16.68,26000,0.0,0
2010-03-01,16.75,17.11,16.75,17.04,29600,0.0,0
2010-03-02,17.03,17.18,16.76,16.89,40200,0.0,0
2010-03-03,17.0,17.09,16.74,16.87,81900,0.0,0
2010-03-04,16.87,16.89,16.72,16.84,19900,0.0,0
2010-03-05,16.88,16.88,16.68,16.77,42400,0.0,0
2010-03-08,16.81,17.07,16.76,16.95,63600,0.0,0
2010-03-09,17.03,17.06,16.79,16.85,110800,0.0,0
2010-03-10,16.9,16.97,16.71,16.86,121000,0.0,0
2010-03-11,16.75,16.86,16.59,16.85,26900,0.0,0
2010-03-12,16.98,16.99,16.2,16.58,85400,0.0,0
2010-03-15,16.2,16.74,16.09,16.43,183000,0.0,0
2010-03-16,16.52,16.79,16.39,16.75,253200,0.0,0
2010-03-17,16.75,17.43,16.75,17.18,81200,0.0,0
2010-03-18,17.12,17.93,17.12,17.84,28000,0.0,0
2010-03-19,17.42,17.97,16.98,17.42,55200,0.0,0
2010-03-22,17.3,17.9,16.94,17.61,54800,0.0,0
2010-03-23,17.58,18.33,17.58,18.26,70900,0.0,0
2010-03-24,18.26,18.59,18.17,18.58,62600,0.0,0
2010-03-25,18.67,19.07,18.53,18.54,43300,0.0,0
2010-03-26,18.57,18.78,18.48,18.72,32200,0.0,0
2010-03-29,18.91,19.02,18.78,18.83,46100,0.0,0
2010-03-30,18.83,19.01,18.72,18.77,34700,0.0,0
2010-03-31,18.72,18.75,18.51,18.72,52800,0.0,0
2010-04-01,18.75,19.01,18.63,18.73,21700,0.0,0
2010-04-05,18.69,19.11,18.43,18.95,72900,0.0,0
2010-04-06,18.96,19.1,18.34,18.95,52300,0.0,0
2010-04-07,18.96,19.29,18.95,19.17,72000,0.0,0
2010-04-08,19.11,19.24,18.81,19.2,18200,0.0,0
2010-04-09,19.23,19.25,18.89,19.08,18600,0.0,0
2010-04-12,19.11,19.39,19.03,19.39,85800,0.0,0
2010-04-13,19.43,20.47,19.41,20.19,87400,0.0,0
2010-04-14,20.29,20.32,20.15,20.25,32100,0.06,0
2010-04-15,20.25,20.43,20.14,20.24,53600,0.0,0
2010-04-16,20.15,20.44,20.07,20.14,37700,0.0,0
2010-04-19,20.18,21.02,20.0,20.82,121600,0.0,0
2010-04-20,21.03,21.46,20.97,21.19,67200,0.0,0
2010-04-21,21.31,22.02,21.12,21.84,68200,0.0,0
2010-04-22,21.73,22.84,21.71,22.41,75800,0.0,0
2010-04-23,22.45,22.45,22.15,22.29,40000,0.0,0
2010-04-26,22.35,22.39,21.94,21.97,39500,0.0,0
2010-04-27,21.83,22.29,21.83,21.86,46700,0.0,0
2010-04-28,21.87,22.39,21.87,22.32,47600,0.0,0
2010-04-29,22.45,22.96,22.32,22.89,68100,0.0,0
2010-04-30,23.0,23.14,22.11,22.13,58800,0.0,0
2010-05-03,22.29,23.11,22.18,23.09,47800,0.0,0
2010-05-04,22.91,22.91,21.6,21.77,45600,0.0,0
2010-05-05,21.6,21.97,20.88,20.93,68000,0.0,0
2010-05-06,21.17,23.76,21.17,22.08,126900,0.0,0
2010-05-07,22.13,22.26,20.82,21.02,87400,0.0,0
2010-05-10,21.59,23.79,21.59,23.78,121900,0.0,0
2010-05-11,23.6,24.03,22.57,23.19,89500,0.0,0
2010-05-12,23.22,24.89,23.22,24.31,138400,0.0,0
