Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,23.54,23.54,23.27,23.43,1752400,0.0,0.0
2010-01-05,23.61,23.84,23.49,23.73,1526700,0.0,0.0
2010-01-06,23.78,24.3,23.68,23.79,1602800,0.0,0.0
2010-01-07,23.52,23.8,23.32,23.78,2216400,0.0,0.0
2010-01-08,23.72,24.12,23.72,24.1,1532300,0.0,0.0
2010-01-11,24.26,24.46,24.04,24.19,1526700,0.0,0.0
2010-01-12,23.85,24.27,23.82,24.05,1122300,0.0,0.0
2010-01-13,24.1,24.31,23.8,24.3,920600,0.0,0.0
2010-01-14,23.98,24.24,23.91,23.99,1281100,0.0,0.0
2010-01-15,23.86,23.9,23.27,23.32,1533000,0.0,0.0
2010-01-19,22.64,22.96,22.57,22.72,2212600,0.0,0.0
2010-01-20,22.31,22.64,22.22,22.64,2519400,0.0,0.0
2010-01-21,22.78,22.86,22.21,22.26,2241600,0.0,0.0
2010-01-22,22.19,22.56,22.0,22.15,2672400,0.0,0.0
2010-01-25,22.61,22.9,22.29,22.4,1056600,0.0,0.0
2010-01-26,22.09,22.39,21.92,22.0,910300,0.0,0.0
2010-01-27,22.04,22.04,21.47,21.91,1128500,0.0,0.0
2010-01-28,22.2,22.26,21.39,21.68,1650400,0.0,0.0
2010-01-29,23.4,23.63,22.48,22.69,4848800,0.0,0.0
2010-02-01,24.21,25.34,23.93,25.18,4697800,0.0,0.0
2010-02-02,25.26,25.35,24.76,25.24,2924900,0.0,0.0
2010-02-03,24.84,25.42,24.81,25.19,2170400,0.0,0.0
2010-02-04,24.56,24.7,23.92,23.94,2020000,0.0,0.0
2010-02-05,23.54,23.73,22.79,23.55,1373900,0.0,0.0
2010-02-08,22.98,23.46,22.69,23.06,1723400,0.0,0.0
2010-02-09,23.39,23.59,22.96,23.42,1403100,0.0,0.0
2010-02-10,23.06,23.26,22.88,23.03,1247800,0.0,0.0
2010-02-11,23.13,23.24,22.72,23.16,1279400,0.0,0.0
2010-02-12,22.75,23.36,22.65,23.31,781000,0.0,0.0
2010-02-16,23.08,23.45,22.97,23.2,1935800,0.0,0.0
2010-02-17,23.67,23.84,23.54,23.77,1348000,0.0,0.0
2010-02-18,23.37,23.8,23.26,23.69,901300,0.0,0.0
2010-02-19,23.31,23.55,23.24,23.39,1069100,0.0,0.0
2010-02-22,23.61,23.84,23.43,23.67,1025300,0.0,0.0
2010-02-23,23.53,23.85,23.28,23.4,738100,0.0,0.0
2010-02-24,23.5,23.94,23.38,23.79,853400,0.0,0.0
2010-02-25,23.23,23.61,23.15,23.57,1329500,0.0,0.0
2010-02-26,23.51,23.83,23.29,23.64,866600,0.0,0.0
2010-03-01,23.57,24.13,23.56,24.1,1116900,0.0,0.0
2010-03-02,24.29,24.78,24.23,24.59,2029300,0.0,0.0
2010-03-03,24.66,25.11,24.61,24.92,1640800,0.0,0.0
2010-03-04,25.13,25.35,24.99,25.17,1000800,0.0,0.0
2010-03-05,25.43,25.63,25.35,25.54,1155300,0.0,0.0
2010-03-08,25.44,25.47,24.89,24.98,1539800,0.0,0.0
2010-03-09,24.73,24.96,24.56,24.79,1303100,0.0,0.0
2010-03-10,25.16,25.16,24.78,24.99,1301200,0.0,0.0
2010-03-11,25.11,25.37,24.95,25.16,1550200,0.0,0.0
2010-03-12,25.78,25.97,25.41,25.62,1786300,0.0,0.0
2010-03-15,25.26,25.4,24.91,25.09,1178900,0.0,0.0
2010-03-16,25.19,25.47,24.98,25.46,1179100,0.0,0.0
2010-03-17,25.87,26.04,25.77,25.87,1767400,0.0,0.0
2010-03-18,26.16,26.24,25.89,26.0,1350500,0.0,0.0
2010-03-19,25.98,26.14,25.77,25.98,1677200,0.0,0.0
2010-03-22,27.77,27.88,27.28,27.53,4138700,0.0,0.0
2010-03-23,28.04,28.4,27.88,28.36,3011100,0.0,0.0
2010-03-24,28.05,28.46,28.03,28.3,1860600,0.0,0.0
2010-03-25,28.58,28.66,28.02,28.02,1133800,0.0,0.0
2010-03-26,27.88,28.04,27.47,27.84,1792700,0.0,0.0
2010-03-29,27.39,27.85,27.39,27.58,2127100,0.0,0.0
2010-03-30,27.56,27.72,27.26,27.38,1031400,0.0,0.0
2010-03-31,27.5,27.54,27.21,27.31,1599200,0.0,0.0
2010-04-01,27.61,28.01,27.58,27.74,1094500,0.0,0.0
2010-04-05,27.75,27.82,27.44,27.65,1203900,0.0,0.0
2010-04-06,27.66,27.79,27.5,27.73,1414000,0.0,0.0
2010-04-07,27.54,27.59,27.06,27.29,964300,0.0,0.0
2010-04-08,27.11,27.3,26.95,27.26,1316700,0.0,0.0
2010-04-09,27.76,28.56,27.76,28.5,1618500,0.0,0.0
2010-04-12,28.66,28.78,28.51,28.6,1703300,0.0,0.0
2010-04-13,28.71,28.74,28.35,28.48,1141300,0.0,0.0
2010-04-14,28.63,28.83,28.51,28.83,871900,0.0,0.0
2010-04-15,28.63,28.99,28.48,28.93,1498900,0.0,0.0
2010-04-16,29.26,29.43,28.46,28.75,1706800,0.0,0.0
2010-04-19,28.51,28.92,28.26,28.68,1622500,0.0,0.0
2010-04-20,29.36,29.86,29.32,29.66,1667900,0.0,0.0
2010-04-21,29.61,29.89,29.53,29.85,1508200,0.0,0.0
2010-04-22,29.33,29.88,29.15,29.88,1831100,0.0,0.0
2010-04-23,30.06,30.6,30.03,30.6,1274400,0.0,0.0
2010-04-26,30.74,30.92,30.31,30.41,1741100,0.0,0.0
2010-04-27,28.94,28.99,27.57,27.67,5178400,0.0,0.0
2010-04-28,28.7,28.74,27.93,28.38,2935000,0.0,0.0
2010-04-29,28.89,29.44,28.84,29.38,2386100,0.0,0.0
2010-04-30,29.44,29.86,28.96,29.02,1617900,0.0,0.0
2010-05-03,29.33,29.74,29.33,29.64,1079700,0.0,0.0
2010-05-04,28.7,28.84,28.26,28.36,2019200,0.0,0.0
2010-05-05,27.18,27.99,26.78,27.29,1906600,0.0,0.0
2010-05-06,26.73,27.58,24.25,26.22,4041100,0.0,0.0
2010-05-07,25.62,25.83,24.69,25.18,4900100,0.0,0.0
2010-05-10,27.08,27.42,26.77,27.41,3176200,0.0,0.0
2010-05-11,26.35,26.9,26.27,26.58,2893500,0.0,0.0
2010-05-12,26.84,27.7,26.8,27.49,2455000,0.0,0.0
2010-05-13,27.28,27.53,27.2,27.26,2522400,0.0,0.0
2010-05-14,26.82,26.86,25.71,26.07,1419900,0.0,0.0
2010-05-17,26.19,26.49,25.52,26.26,1833500,0.0,0.0
2010-05-18,26.6,26.64,25.23,25.25,1784200,0.0,0.0
2010-05-19,25.01,25.16,24.07,24.68,2957900,0.0,0.0
2010-05-20,23.87,24.06,23.15,23.6,3379300,0.0,0.0
