Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,56.63,57.87,56.56,57.72,46.95,5277400,0.0,0
2010-01-05,57.33,57.69,56.27,57.22,46.55,7882800,0.0,0
2010-01-06,56.94,57.39,56.5,56.79,46.2,6015100,0.0,0
2010-01-07,56.41,56.53,54.65,56.27,45.77,10371600,0.0,0
2010-01-08,56.07,56.83,55.64,56.77,46.18,6576000,0.0,0
2010-01-11,56.93,57.36,56.62,57.02,46.38,4062700,0.0,0
2010-01-12,57.14,57.42,54.82,56.03,45.58,11268300,0.0,0
2010-01-13,56.35,56.75,55.96,56.53,45.99,5056200,0.0,0
2010-01-14,56.35,56.53,55.91,56.16,45.68,4668900,0.0,0
2010-01-15,56.03,56.51,55.65,56.25,45.76,7240000,0.0,0
2010-01-19,56.41,57.75,56.24,57.55,46.81,8570100,0.0,0
2010-01-20,57.62,57.62,56.41,57.2,46.53,6625700,0.0,0
2010-01-21,57.43,57.56,56.31,56.63,46.07,5833700,0.0,0
2010-01-22,56.67,57.3,56.53,56.6,46.04,5967600,0.0,0
2010-01-25,56.72,56.79,55.55,55.71,45.32,6719400,0.0,0
2010-01-26,56.2,56.87,55.7,56.58,46.03,14880300,0.0,0
2010-01-27,56.35,57.88,56.35,57.74,46.97,9695000,0.0,0
2010-01-28,57.87,58.78,57.56,58.08,47.25,11638200,0.0,0
2010-01-29,58.35,58.93,58.16,58.48,47.57,9465700,0.0,0
2010-02-01,58.52,58.84,58.37,58.72,47.77,7079100,0.0,0
2010-02-02,58.6,59.3,58.41,59.23,48.18,7660900,0.0,0
2010-02-03,58.9,59.42,58.86,59.07,48.05,7082600,0.0,0
2010-02-04,58.9,59.06,57.33,57.53,46.8,9534500,0.0,0
2010-02-05,57.54,58.03,56.64,57.68,46.92,8409900,0.0,0
2010-02-08,57.54,57.92,56.7,57.46,46.74,5947800,0.0,0
2010-02-09,58.24,58.4,56.7,57.21,46.54,18732200,0.0,0
2010-02-10,57.09,57.29,56.37,56.84,46.24,6019100,0.0,0
2010-02-11,56.56,57.0,56.23,56.5,45.96,8491100,0.0,0
2010-02-12,56.22,56.72,56.02,56.48,45.94,8008700,0.0,0
2010-02-16,56.62,57.0,56.2,56.99,46.36,5245900,0.0,0
2010-02-17,56.93,57.57,56.75,57.2,46.53,6831900,0.0,0
2010-02-18,57.3,57.44,57.1,57.27,46.59,8120500,0.0,0
2010-02-19,57.05,57.71,56.95,57.38,46.68,7131600,0.0,0
2010-02-22,57.36,57.44,56.8,57.1,46.45,7176800,0.0,0
2010-02-23,56.96,57.22,56.35,56.38,45.86,7703000,0.0,0
2010-02-24,56.66,56.98,56.35,56.74,46.16,4887700,0.0,0
2010-02-25,56.48,56.48,55.78,56.25,45.76,6592200,0.0,0
2010-02-26,56.25,57.03,56.1,56.61,46.05,6351700,0.0,0
2010-03-01,56.74,57.09,56.72,56.9,46.29,5638400,0.0,0
2010-03-02,56.91,57.02,56.47,56.87,46.26,7219100,0.0,0
2010-03-03,56.87,57.17,56.67,56.9,46.29,5655600,0.0,0
2010-03-04,57.01,57.08,56.37,56.77,46.18,6127000,0.0,0
2010-03-05,56.75,57.26,56.21,57.24,46.56,6529100,0.0,0
2010-03-08,57.25,58.1,57.2,57.61,46.86,4409300,0.0,0
2010-03-09,57.27,57.93,57.26,57.76,46.99,5095400,0.0,0
2010-03-10,57.98,57.99,57.5,57.78,47.0,4620700,0.0,0
2010-03-11,57.43,57.74,57.08,57.49,46.77,4346900,0.0,0
2010-03-12,57.72,57.75,57.16,57.43,46.72,3601400,0.0,0
2010-03-15,57.27,57.75,56.53,56.89,46.28,7051800,0.0,0
2010-03-16,57.29,57.54,56.71,57.42,46.71,6256500,0.0,0
2010-03-17,57.36,57.43,56.9,57.43,46.72,5348600,0.0,0
2010-03-18,57.41,58.44,57.16,58.31,47.43,6442600,0.0,0
2010-03-19,58.92,60.13,57.65,60.0,48.81,18901000,0.0,0
2010-03-22,59.61,60.39,59.5,60.09,48.88,8837000,0.0,0
2010-03-23,59.89,60.08,59.61,60.06,48.86,5024800,0.0,0
2010-03-24,59.79,60.0,58.96,59.07,48.05,9367100,0.0,0
2010-03-25,59.4,59.79,59.0,59.26,48.21,8863000,0.0,0
2010-03-26,59.34,59.92,59.0,59.41,48.33,5627100,0.0,0
2010-03-29,59.7,60.15,59.61,59.91,48.73,4268700,0.0,0
2010-03-30,59.81,60.27,59.56,60.09,48.88,4360400,0.0,0
2010-03-31,60.0,60.22,59.69,59.84,48.68,4975100,0.0,0
2010-04-01,59.95,60.94,59.95,60.8,49.46,5916500,0.0,0
2010-04-05,60.74,60.89,60.27,60.42,49.15,3679800,0.0,0
2010-04-06,60.25,60.49,59.84,60.29,49.04,3947200,0.0,0
2010-04-07,60.29,60.76,60.08,60.35,49.09,4573500,0.0,0
2010-04-08,60.41,60.83,59.87,60.52,49.23,4367700,0.0,0
2010-04-09,60.26,60.92,60.26,60.9,49.54,3585500,0.0,0
2010-04-12,60.66,60.9,60.17,60.37,49.11,5588600,0.0,0
2010-04-13,59.93,60.9,59.93,60.68,49.36,4710500,0.0,0
2010-04-14,60.42,61.2,60.38,61.14,49.74,5183600,0.0,0
2010-04-15,60.87,61.07,60.45,60.64,49.33,4636700,0.0,0
2010-04-16,60.68,61.06,60.04,60.72,49.39,7315800,0.0,0
2010-04-19,60.59,61.26,60.16,61.07,49.68,4270300,0.0,0
2010-04-20,61.1,61.1,59.9,60.18,48.95,7220000,0.0,0
2010-04-21,59.85,60.0,58.11,58.71,47.76,13763400,0.0,0
2010-04-22,57.81,58.73,57.03,58.16,47.31,10389400,0.0,0
2010-04-23,58.09,59.0,57.76,58.88,47.9,7107600,0.0,0
2010-04-26,58.98,59.2,58.41,58.43,47.53,6157000,0.0,0
2010-04-27,58.2,58.92,57.78,57.84,47.05,6178400,0.0,0
2010-04-28,57.92,58.56,57.78,58.18,47.33,6236100,0.0,0
2010-04-29,58.38,59.05,58.07,58.59,47.66,4342600,0.0,0
2010-04-30,58.81,59.03,57.29,57.31,46.62,8187900,0.0,0
2010-05-03,57.45,57.95,57.13,57.59,46.85,5912300,0.0,0
2010-05-04,57.11,57.23,55.91,56.83,46.23,7686400,0.0,0
2010-05-05,56.94,57.35,56.3,56.6,46.04,5988200,0.0,0
2010-05-06,56.43,56.49,52.8,54.75,44.54,9744800,0.0,0
2010-05-07,54.53,55.28,53.52,54.46,44.3,10580700,0.0,0
2010-05-10,55.3,56.95,55.16,55.58,45.21,8395700,0.0,0
2010-05-11,55.29,56.74,55.0,55.93,45.5,5909600,0.0,0
2010-05-12,55.92,56.84,55.52,56.6,46.04,5446800,0.0,0
2010-05-13,56.36,56.51,55.78,55.88,45.46,4741100,0.0,0
2010-05-14,55.7,55.88,54.21,54.69,44.49,5717100,0.0,0
2010-05-17,55.38,55.38,53.88,54.81,44.59,5898400,0.0,0
2010-05-18,54.93,55.35,54.56,54.67,44.47,4389400,0.0,0
2010-05-19,54.5,55.76,54.34,55.26,44.95,5816900,0.0,0
