Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2017-04-21,24.78,24.9,24.7,24.72,20.75,181390,0.0,0
2017-04-24,24.7,24.9,24.6,24.7,20.73,738115,0.0,0
2017-04-25,24.75,24.9,24.6,24.7,20.73,262065,0.0,0
2017-04-26,24.7,24.75,24.55,24.73,20.75,461730,0.0,0
2017-04-27,24.75,24.84,24.72,24.8,20.81,194009,0.0,0
2017-04-28,24.84,24.85,24.73,24.8,20.81,167096,0.0,0
2017-05-01,24.83,24.86,24.8,24.81,20.82,82349,0.0,0
2017-05-02,24.83,24.84,24.8,24.84,20.85,122546,0.0,0
2017-05-03,24.82,24.85,24.8,24.82,20.83,51935,0.0,0
2017-05-04,24.8,24.85,24.74,24.8,20.81,95375,0.0,0
2017-05-05,24.79,24.86,24.79,24.81,20.82,41374,0.0,0
2017-05-08,24.83,24.84,24.8,24.8,20.81,217300,0.0,0
2017-05-09,24.85,24.98,24.85,24.97,20.96,454147,0.0,0
2017-05-10,25.01,25.03,24.96,25.03,21.01,131506,0.0,0
2017-05-11,25.0,25.0,24.72,24.85,20.86,41726,0.0,0
2017-05-12,24.83,24.84,24.74,24.83,20.84,16462,0.0,0
2017-05-15,24.86,24.89,24.81,24.89,20.89,13195,0.0,0
2017-05-16,24.84,24.89,24.72,24.85,20.86,12302,0.0,0
2017-05-17,24.83,24.83,24.55,24.55,20.6,15666,0.0,0
2017-05-18,24.65,24.66,24.47,24.5,20.56,14133,0.0,0
2017-05-19,24.48,24.66,24.47,24.64,20.68,15028,0.0,0
2017-05-22,24.65,24.65,24.17,24.35,20.44,58669,0.0,0
2017-05-23,24.4,24.42,24.14,24.15,20.27,36598,0.0,0
2017-05-24,24.16,24.35,24.0,24.25,20.35,52544,0.0,0
2017-05-25,24.27,24.3,24.1,24.16,20.28,52637,0.0,0
2017-05-26,24.2,24.36,24.15,24.2,20.31,13017,0.0,0
2017-05-30,24.25,24.35,24.2,24.33,20.42,34536,0.0,0
2017-05-31,24.33,24.45,24.33,24.36,20.44,29101,0.0,0
2017-06-01,24.44,24.5,24.41,24.46,20.53,36668,0.0,0
2017-06-02,24.49,24.54,24.45,24.49,20.55,73253,0.0,0
2017-06-05,24.51,24.55,24.49,24.53,20.59,29025,0.0,0
2017-06-06,24.57,24.57,24.5,24.51,20.57,41090,0.0,0
2017-06-07,24.51,24.63,24.51,24.63,20.67,47767,0.0,0
2017-06-08,24.66,24.66,24.53,24.56,20.61,38149,0.0,0
2017-06-09,24.6,24.68,24.6,24.65,20.69,12070,0.0,0
2017-06-12,24.61,24.67,24.56,24.66,20.7,40991,0.0,0
