Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,23.89,24.42,23.89,24.41,20.54,6505800,0.0,0.0
2010-01-05,24.38,24.67,24.22,24.4,20.53,5467000,0.0,0.0
2010-01-06,24.3,24.67,24.24,24.43,20.56,4366000,0.0,0.0
2010-01-07,24.26,24.7,24.14,24.67,20.76,4283400,0.0,0.0
2010-01-08,24.59,24.81,24.43,24.67,20.76,3810400,0.0,0.0
2010-01-11,24.67,24.97,24.61,24.94,20.99,5627000,0.0,0.0
2010-01-12,24.57,24.98,24.42,24.87,20.93,4847600,0.0,0.0
2010-01-13,25.07,25.11,24.81,25.0,21.04,5579000,0.0,0.0
2010-01-14,23.88,23.9,23.38,23.8,20.03,44543000,0.0,0.0
2010-01-15,23.74,23.85,23.11,23.28,19.59,21151200,0.0,0.0
2010-01-19,23.49,23.5,23.25,23.44,19.73,13429000,0.0,0.0
2010-01-20,23.32,23.36,22.45,22.5,18.93,17525000,0.0,0.0
2010-01-21,22.5,22.66,21.84,21.89,18.42,21330800,0.0,0.0
2010-01-22,21.92,21.99,21.45,21.64,18.21,21855800,0.0,0.0
2010-01-25,21.81,22.06,21.45,21.47,18.07,21221800,0.0,0.0
2010-01-26,21.31,22.24,21.17,21.86,18.4,17634800,0.0,0.0
2010-01-27,21.82,22.01,21.12,21.76,18.31,17188000,0.0,0.0
2010-01-28,22.11,22.26,21.76,22.17,18.66,12503400,0.0,0.0
2010-01-29,22.26,22.48,21.59,21.83,18.37,13430400,0.0,0.0
2010-02-01,22.04,22.34,21.92,22.32,18.78,6178800,0.0,0.0
2010-02-02,22.27,22.65,22.22,22.52,18.95,9541000,0.0,0.0
2010-02-03,22.49,23.09,22.27,22.92,19.28,11988400,0.0,0.0
2010-02-04,22.7,22.71,22.15,22.16,18.64,11284800,0.0,0.0
2010-02-05,22.02,22.22,21.43,22.18,18.67,11875800,0.0,0.0
2010-02-08,22.12,22.18,21.67,21.69,18.25,10039800,0.0,0.0
2010-02-09,22.08,22.29,21.94,22.1,18.6,11686400,0.0,0.0
2010-02-10,22.1,22.21,21.68,21.76,18.32,6623200,0.0,0.0
2010-02-11,21.66,22.45,21.66,22.35,18.81,7853200,0.0,0.0
2010-02-12,22.18,22.34,21.86,22.31,18.77,6114400,0.0,0.0
2010-02-16,22.61,23.02,22.46,22.94,19.31,9699000,0.0,0.0
2010-02-17,23.22,23.37,22.83,22.94,19.3,5712200,0.0,0.0
2010-02-18,22.76,22.95,22.62,22.83,19.22,9004000,0.0,0.0
2010-02-19,22.57,22.85,22.42,22.67,19.07,9138200,0.0,0.0
2010-02-22,22.88,22.88,22.27,22.44,18.89,7549000,0.0,0.0
2010-02-23,22.17,22.39,21.98,22.07,18.57,8789800,0.0,0.0
2010-02-24,22.12,22.42,22.12,22.24,18.71,5206400,0.0,0.0
2010-02-25,21.92,22.26,21.82,22.17,18.65,7083800,0.0,0.0
2010-02-26,22.16,22.4,22.05,22.28,18.75,4683200,0.0,0.0
2010-03-01,22.5,22.5,22.17,22.19,18.68,7671000,0.0,0.0
2010-03-02,22.28,22.52,22.2,22.45,18.89,6598400,0.0,0.0
2010-03-03,22.67,23.0,22.47,22.91,19.28,7005400,0.0,0.0
2010-03-04,22.98,23.1,22.73,22.97,19.33,6156800,0.0,0.0
2010-03-05,23.12,23.44,23.09,23.44,19.73,5942200,0.0,0.0
2010-03-08,23.4,23.57,23.33,23.51,19.79,8340400,0.0,0.0
2010-03-09,23.46,23.75,23.36,23.65,19.9,6320400,0.0,0.0
2010-03-10,23.64,23.92,23.64,23.89,20.1,7902200,0.0,0.0
2010-03-11,23.88,23.94,23.66,23.94,20.15,4744800,0.0,0.0
2010-03-12,24.03,24.03,23.7,23.85,20.07,4969000,0.0,0.0
2010-03-15,23.92,23.92,23.48,23.78,20.01,2836000,0.0,0.0
2010-03-16,23.75,24.32,23.64,24.28,20.44,5586800,0.0,0.0
2010-03-17,24.37,24.64,24.32,24.62,20.72,6341200,0.0,0.0
2010-03-18,24.53,24.75,24.34,24.59,20.7,8423000,0.0,0.0
2010-03-19,24.5,24.63,24.31,24.5,20.62,7223600,0.0,0.0
2010-03-22,24.3,24.69,24.3,24.59,20.7,6704200,0.0,0.0
2010-03-23,24.55,24.97,24.54,24.92,20.97,6900400,0.0,0.0
2010-03-24,24.9,24.92,24.6,24.7,20.79,6592000,0.0,0.0
2010-03-25,24.81,24.97,24.63,24.67,20.76,6461200,0.0,0.0
2010-03-26,24.7,24.94,24.57,24.86,20.92,7668400,0.0,0.0
2010-03-29,24.96,25.32,24.91,25.28,21.28,8604200,0.0,0.0
2010-03-30,25.45,25.45,25.16,25.41,21.38,5846800,0.0,0.0
2010-03-31,25.4,25.4,25.03,25.17,21.18,9984200,0.0,0.0
2010-04-01,25.25,25.51,25.18,25.3,21.29,7620600,0.0,0.0
2010-04-05,25.43,25.87,25.41,25.76,21.68,6786200,0.0,0.0
2010-04-06,25.85,25.98,25.7,25.86,21.76,7923400,0.0,0.0
2010-04-07,25.68,25.89,25.41,25.49,21.45,8992400,0.0,0.0
2010-04-08,25.42,25.42,25.11,25.17,21.18,8313000,0.0,0.0
2010-04-09,25.26,25.62,25.17,25.6,21.55,8501200,0.0,0.0
2010-04-12,25.53,25.71,25.42,25.68,21.61,5571600,0.0,0.0
2010-04-13,25.62,25.76,25.54,25.74,21.66,8062000,0.0,0.0
2010-04-14,25.92,25.95,25.81,25.93,21.82,6210200,0.0,0.0
2010-04-15,25.91,26.17,25.81,26.16,22.01,6258400,0.0,0.0
2010-04-16,26.0,26.18,25.41,25.73,21.65,8675400,0.0,0.0
2010-04-19,25.57,25.75,25.13,25.49,21.45,8476600,0.0,0.0
2010-04-20,25.68,25.78,25.55,25.58,21.53,4794000,0.0,0.0
2010-04-21,25.5,25.63,25.22,25.41,21.38,7812600,0.0,0.0
