Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,14.29,14.48,14.12,14.25,12.2,167900,0.0,0
2010-01-05,14.24,14.8,14.0,14.44,12.36,617000,0.0,0
2010-01-06,14.4,14.62,14.07,14.2,12.15,205600,0.0,0
2010-01-07,14.19,14.44,14.1,14.16,12.12,215400,0.0,0
2010-01-08,14.15,14.52,14.1,14.52,12.43,170800,0.0,0
2010-01-11,14.65,14.65,14.17,14.34,12.27,188200,0.0,0
2010-01-12,14.2,14.63,14.14,14.58,12.48,389600,0.0,0
2010-01-13,14.7,15.26,14.7,15.21,13.02,403700,0.0,0
2010-01-14,15.11,15.57,15.01,15.35,13.14,545900,0.0,0
2010-01-15,15.47,15.65,15.16,15.54,13.3,392000,0.0,0
2010-01-19,15.53,16.35,15.41,16.32,13.97,404800,0.0,0
2010-01-20,16.13,16.13,15.35,15.49,13.26,314100,0.0,0
2010-01-21,15.48,15.57,14.91,15.08,12.91,235200,0.0,0
2010-01-22,14.9,15.25,14.54,14.6,12.5,244600,0.0,0
2010-01-25,14.78,14.81,14.45,14.56,12.46,174500,0.0,0
2010-01-26,14.56,14.72,14.35,14.41,12.33,178500,0.0,0
2010-01-27,14.4,14.43,14.05,14.34,12.27,229200,0.0,0
2010-01-28,14.33,14.33,13.85,14.02,12.0,242600,0.0,0
2010-01-29,14.12,14.26,13.74,13.76,11.78,248800,0.0,0
2010-02-01,13.9,14.1,13.74,13.95,11.94,183400,0.0,0
2010-02-02,13.99,14.1,13.72,14.05,12.03,211700,0.0,0
2010-02-03,13.99,14.16,13.84,13.94,11.93,137300,0.0,0
2010-02-04,13.84,14.02,13.34,13.35,11.43,175600,0.0,0
2010-02-05,13.35,13.49,13.08,13.39,11.53,246400,0.082,0
2010-02-08,13.44,13.5,13.21,13.23,11.39,136900,0.0,0
2010-02-09,13.44,13.44,12.91,13.41,11.55,243200,0.0,0
2010-02-10,13.36,13.44,13.05,13.33,11.48,171800,0.0,0
2010-02-11,13.25,13.65,13.04,13.63,11.74,259800,0.0,0
2010-02-12,13.53,13.83,13.46,13.82,11.9,125000,0.0,0
2010-02-16,13.95,14.05,13.72,14.05,12.1,70600,0.0,0
2010-02-17,14.95,14.95,14.11,14.26,12.28,131100,0.0,0
2010-02-18,14.29,14.43,14.1,14.42,12.42,78200,0.0,0
2010-02-19,14.42,14.49,14.11,14.44,12.44,145200,0.0,0
2010-02-22,14.45,14.74,14.39,14.55,12.53,78600,0.0,0
2010-02-23,14.57,14.64,14.12,14.27,12.29,123600,0.0,0
2010-02-24,14.35,14.43,14.1,14.3,12.32,130700,0.0,0
2010-02-25,14.18,14.34,13.88,14.34,12.35,119700,0.0,0
2010-02-26,14.39,14.57,14.1,14.29,12.31,119900,0.0,0
2010-03-01,14.41,14.89,14.2,14.86,12.8,140500,0.0,0
2010-03-02,14.84,15.1,14.74,15.04,12.95,137000,0.0,0
2010-03-03,15.09,15.2,14.92,15.01,12.93,185400,0.0,0
2010-03-04,14.98,15.16,14.78,14.97,12.89,94900,0.0,0
2010-03-05,15.01,15.55,14.97,15.5,13.35,170600,0.0,0
2010-03-08,15.43,15.7,15.4,15.49,13.34,92200,0.0,0
2010-03-09,15.43,15.53,15.32,15.48,13.33,140700,0.0,0
2010-03-10,15.53,15.74,15.26,15.65,13.48,134100,0.0,0
2010-03-11,15.5,15.5,15.14,15.26,13.14,120500,0.0,0
2010-03-12,15.38,15.38,15.07,15.21,13.1,68000,0.0,0
2010-03-15,15.14,15.35,14.72,15.09,13.0,175600,0.0,0
2010-03-16,15.1,15.18,15.01,15.08,12.99,132700,0.0,0
2010-03-17,15.16,15.42,15.09,15.3,13.18,155700,0.0,0
2010-03-18,15.34,15.75,15.15,15.52,13.37,129000,0.0,0
2010-03-19,15.64,15.7,15.3,15.47,13.32,254000,0.0,0
2010-03-22,15.46,15.96,15.22,15.91,13.7,159300,0.0,0
2010-03-23,15.92,16.56,15.79,16.5,14.21,162700,0.0,0
2010-03-24,16.35,16.49,16.09,16.1,13.87,131900,0.0,0
2010-03-25,16.26,16.67,16.13,16.22,13.97,157100,0.0,0
2010-03-26,16.33,16.42,15.78,15.79,13.6,149600,0.0,0
2010-03-29,15.88,16.07,15.74,15.95,13.74,166900,0.0,0
2010-03-30,16.0,16.4,15.67,16.27,14.01,99400,0.0,0
2010-03-31,16.16,16.55,15.8,15.81,13.62,172100,0.0,0
2010-04-01,15.97,16.19,15.61,15.93,13.72,121100,0.0,0
2010-04-05,15.92,16.42,15.82,16.25,13.99,140300,0.0,0
2010-04-06,16.17,16.81,15.97,16.76,14.43,182700,0.0,0
2010-04-07,16.69,16.89,16.3,16.57,14.27,210400,0.0,0
2010-04-08,14.03,15.21,14.0,14.35,12.36,1142800,0.0,0
2010-04-09,14.27,14.3,13.59,13.76,11.85,617200,0.0,0
2010-04-12,13.81,14.07,13.65,13.89,11.96,269700,0.0,0
2010-04-13,13.81,14.03,13.62,13.85,11.93,581300,0.0,0
2010-04-14,13.98,14.1,13.21,13.43,11.57,462800,0.0,0
2010-04-15,13.45,13.5,12.7,12.88,11.09,552800,0.0,0
2010-04-16,12.85,13.26,12.77,13.05,11.24,484400,0.0,0
2010-04-19,12.94,13.2,12.75,13.16,11.33,408500,0.0,0
2010-04-20,13.23,13.25,12.73,13.05,11.24,359100,0.0,0
2010-04-21,13.02,13.32,13.02,13.28,11.44,330800,0.0,0
