Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-04-14,18.89,19.78,18.71,19.07,63774200,0.0,0.0
2011-04-15,19.08,19.64,18.71,19.21,5891700,0.0,0.0
2011-04-18,19.16,20.64,18.98,20.59,5759100,0.0,0.0
2011-04-19,20.84,22.45,20.49,22.24,11062300,0.0,0.0
2011-04-20,23.2,23.34,21.4,21.62,5863400,0.0,0.0
2011-04-21,21.67,21.76,20.59,21.29,2406400,0.0,0.0
2011-04-25,21.27,21.44,20.75,21.19,1169800,0.0,0.0
2011-04-26,21.47,21.49,20.46,20.58,1800000,0.0,0.0
2011-04-27,20.77,20.82,19.75,20.14,1828600,0.0,0.0
2011-04-28,20.01,20.19,19.6,19.87,1669100,0.0,0.0
2011-04-29,19.83,19.87,19.34,19.81,1956200,0.0,0.0
2011-05-02,19.87,20.77,19.87,20.23,2014300,0.0,0.0
2011-05-03,20.37,20.46,20.07,20.41,1792100,0.0,0.0
2011-05-04,20.32,20.46,20.27,20.37,844200,0.0,0.0
2011-05-05,20.32,20.82,20.14,20.33,1681400,0.0,0.0
2011-05-06,20.77,20.77,19.34,19.81,3614700,0.0,0.0
2011-05-09,20.0,20.23,19.83,20.22,621600,0.0,0.0
2011-05-10,20.3,20.41,19.96,20.0,888100,0.0,0.0
2011-05-11,19.87,19.89,19.48,19.61,1165300,0.0,0.0
2011-05-12,19.49,19.52,18.79,19.32,1251800,0.0,0.0
2011-05-13,19.32,20.1,19.14,20.01,1497700,0.0,0.0
2011-05-16,20.15,20.15,19.52,19.69,572100,0.0,0.0
2011-05-17,19.68,19.69,19.2,19.56,780000,0.0,0.0
2011-05-18,19.57,20.32,19.57,20.1,914000,0.0,0.0
2011-05-19,20.23,20.28,19.63,20.01,683300,0.0,0.0
2011-05-20,20.01,20.01,19.67,19.79,444100,0.0,0.0
2011-05-23,19.73,19.91,19.57,19.78,858000,0.0,0.0
2011-05-24,20.28,20.28,19.67,19.79,1998600,0.0,0.0
2011-05-25,19.69,19.82,19.6,19.69,531100,0.0,0.0
2011-05-26,19.69,20.59,19.56,20.39,1050600,0.0,0.0
2011-05-27,20.53,21.04,20.33,20.81,924100,0.0,0.0
2011-05-31,21.03,21.04,20.25,20.46,750700,0.0,0.0
2011-06-01,20.63,20.63,19.78,19.87,640400,0.0,0.0
2011-06-02,20.13,20.18,19.52,20.12,1122200,0.0,0.0
2011-06-03,19.94,20.93,19.89,20.66,728300,0.0,0.0
2011-06-06,20.94,20.99,20.28,20.38,529600,0.0,0.0
2011-06-07,20.41,20.91,20.26,20.82,697800,0.0,0.0
2011-06-08,20.74,21.03,19.36,19.54,1310600,0.0,0.0
2011-06-09,19.54,19.84,19.19,19.65,856300,0.0,0.0
2011-06-10,19.61,19.68,19.08,19.19,425500,0.0,0.0
2011-06-13,19.19,19.34,18.79,18.89,719500,0.0,0.0
2011-06-14,18.98,19.11,18.36,18.7,1870000,0.0,0.0
2011-06-15,18.69,18.78,17.77,18.7,945400,0.06,0.0
2011-06-16,18.63,19.02,18.62,18.9,438200,0.0,0.0
2011-06-17,19.03,19.03,18.12,18.17,982700,0.0,0.0
2011-06-20,18.09,18.58,17.87,18.44,770100,0.0,0.0
2011-06-21,18.71,19.11,18.34,19.08,948600,0.0,0.0
