Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,11.35,11.84,11.34,11.58,9.76,2377000.0,0.0,0
2010-01-05,11.62,11.86,11.51,11.55,9.73,1930800.0,0.0,0
2010-01-06,11.55,11.73,11.52,11.58,9.76,1190900.0,0.0,0
2010-01-07,11.55,12.19,11.55,12.08,10.18,1490100.0,0.0,0
2010-01-08,12.02,12.37,11.82,12.34,10.4,1166600.0,0.0,0
2010-01-11,11.05,11.57,10.91,11.48,9.68,14976100.0,0.0,0
2010-01-12,11.81,12.25,11.75,12.01,10.12,32066200.0,0.0,0
2010-01-13,12.0,12.25,11.86,12.02,10.13,5084300.0,0.0,0
2010-01-14,12.17,12.64,12.0,12.4,10.45,4021700.0,0.0,0
2010-01-15,12.34,12.5,12.18,12.33,10.39,4720900.0,0.0,0
2010-01-19,12.27,12.3,12.1,12.21,10.29,3800400.0,0.0,0
2010-01-20,12.16,12.52,12.07,12.37,10.43,3287000.0,0.0,0
2010-01-21,12.37,13.44,12.37,13.25,11.17,6180100.0,0.0,0
2010-01-22,13.22,13.3,12.63,12.76,10.75,5080200.0,0.0,0
2010-01-25,12.88,12.94,12.4,12.77,10.76,2615900.0,0.0,0
2010-01-26,12.71,13.22,12.61,12.9,10.87,3181800.0,0.0,0
2010-01-27,12.84,13.24,12.67,13.16,11.09,2597700.0,0.0,0
2010-01-28,13.22,13.3,12.76,12.85,10.83,3540700.0,0.0,0
2010-01-29,12.89,13.05,12.67,12.72,10.72,2851900.0,0.0,0
2010-02-01,12.73,12.98,12.61,12.74,10.74,1647800.0,0.0,0
2010-02-02,12.74,12.82,12.57,12.75,10.75,1527900.0,0.0,0
2010-02-03,12.69,12.7,12.36,12.45,10.49,1794300.0,0.0,0
2010-02-04,12.31,12.44,12.18,12.29,10.37,3185100.0,0.01,0
2010-02-05,12.29,12.71,12.09,12.55,10.59,2079000.0,0.0,0
2010-02-08,12.55,12.58,12.3,12.38,10.44,1231700.0,0.0,0
2010-02-09,12.52,12.71,12.36,12.39,10.45,1364100.0,0.0,0
2010-02-10,12.4,12.94,12.25,12.75,10.75,1376100.0,0.0,0
2010-02-11,12.68,12.9,12.63,12.8,10.8,1533800.0,0.0,0
2010-02-12,12.75,12.82,12.45,12.55,10.59,2118900.0,0.0,0
2010-02-16,12.67,12.93,12.6,12.82,10.81,1032100.0,0.0,0
2010-02-17,12.89,12.9,12.47,12.56,10.59,1555400.0,0.0,0
2010-02-18,12.58,12.71,12.55,12.68,10.7,951000.0,0.0,0
2010-02-19,12.68,12.83,12.57,12.82,10.81,1101900.0,0.0,0
2010-02-22,12.9,13.2,12.84,13.16,11.1,1419100.0,0.0,0
2010-02-23,13.11,13.19,12.93,12.95,10.92,2143000.0,0.0,0
2010-02-24,13.01,13.43,12.99,13.41,11.31,2650400.0,0.0,0
2010-02-25,13.13,13.33,13.0,13.31,11.23,2531500.0,0.0,0
2010-02-26,13.29,13.41,12.91,12.91,10.89,6576300.0,0.0,0
2010-03-01,12.96,13.11,12.9,13.01,10.97,2346100.0,0.0,0
2010-03-02,13.01,13.15,12.83,12.93,10.91,1918100.0,0.0,0
2010-03-03,12.93,13.09,12.89,12.95,10.92,981600.0,0.0,0
2010-03-04,12.93,13.08,12.83,12.91,10.89,883200.0,0.0,0
2010-03-05,12.94,13.22,12.68,13.19,11.13,2485400.0,0.0,0
2010-03-08,13.12,13.62,13.05,13.24,11.17,2834400.0,0.0,0
2010-03-09,13.2,13.27,13.03,13.16,11.1,1616900.0,0.0,0
2010-03-10,13.16,13.46,13.1,13.29,11.21,1481500.0,0.0,0
2010-03-11,13.19,13.36,13.12,13.35,11.26,1283700.0,0.0,0
2010-03-12,13.46,13.48,13.19,13.3,11.22,1621700.0,0.0,0
2010-03-15,13.29,13.43,13.07,13.16,11.1,2462800.0,0.0,0
2010-03-16,13.15,13.3,13.08,13.29,11.21,2033400.0,0.0,0
2010-03-17,13.34,13.92,13.29,13.86,11.69,1428300.0,0.0,0
2010-03-18,13.78,13.99,13.55,13.67,11.53,1106800.0,0.0,0
2010-03-19,13.67,13.88,13.6,13.79,11.63,2353500.0,0.0,0
2010-03-22,13.7,14.19,13.56,14.09,11.88,1727800.0,0.0,0
2010-03-23,14.14,14.28,13.94,14.26,12.03,1918900.0,0.0,0
2010-03-24,14.18,14.29,14.0,14.17,11.95,1734100.0,0.0,0
2010-03-25,14.28,14.81,14.2,14.54,12.26,2604700.0,0.0,0
2010-03-26,14.61,14.69,13.81,13.93,11.75,2092300.0,0.0,0
2010-03-29,13.9,14.0,13.8,13.9,11.72,1041500.0,0.0,0
2010-03-30,13.88,14.0,13.75,13.86,11.69,714600.0,0.0,0
2010-03-31,13.84,14.12,13.7,13.76,11.61,1796300.0,0.0,0
2010-04-01,13.9,13.94,13.72,13.85,11.68,1432100.0,0.0,0
2010-04-05,13.72,14.1,13.64,14.0,11.81,1953500.0,0.0,0
2010-04-06,13.96,14.64,13.94,14.57,12.29,3521300.0,0.0,0
2010-04-07,14.51,14.66,14.21,14.35,12.1,2289200.0,0.0,0
2010-04-08,14.3,14.45,14.21,14.39,12.14,1485500.0,0.0,0
2010-04-09,14.37,14.6,14.3,14.55,12.27,1679700.0,0.0,0
2010-04-12,14.61,14.82,14.55,14.8,12.48,1929900.0,0.0,0
2010-04-13,14.76,14.81,14.4,14.55,12.27,1513200.0,0.0,0
2010-04-14,14.55,15.25,14.55,15.24,12.85,1620000.0,0.0,0
2010-04-15,15.22,15.43,15.11,15.26,12.87,2448300.0,0.0,0
2010-04-16,15.18,15.47,14.4,14.7,12.4,3188400.0,0.0,0
2010-04-19,14.65,14.86,14.29,14.61,12.32,2094700.0,0.0,0
2010-04-20,14.65,14.99,14.48,14.99,12.64,1673300.0,0.0,0
2010-04-21,14.97,15.71,14.94,15.63,13.18,2939000.0,0.0,0
2010-04-22,15.54,16.29,15.43,16.1,13.58,3676400.0,0.0,0
2010-04-23,14.64,15.2,14.33,14.98,12.64,11667900.0,0.0,0
2010-04-26,14.94,14.94,14.39,14.52,12.25,2803700.0,0.0,0
2010-04-27,14.42,14.76,14.16,14.31,12.07,3778700.0,0.0,0
2010-04-28,14.38,14.66,14.25,14.31,12.07,1983600.0,0.0,0
2010-04-29,14.39,14.74,14.22,14.58,12.3,1620600.0,0.0,0
2010-04-30,14.56,14.76,14.43,14.51,12.24,2267700.0,0.0,0
2010-05-03,14.56,14.84,14.38,14.61,12.32,1450600.0,0.0,0
2010-05-04,14.5,14.62,14.19,14.3,12.06,1899000.0,0.0,0
2010-05-05,14.14,14.4,13.68,13.84,11.68,4187900.0,0.01,0
2010-05-06,13.79,14.88,10.99,13.39,11.3,4010400.0,0.0,0
2010-05-07,13.4,13.46,12.86,13.06,11.02,3405800.0,0.0,0
2010-05-10,13.61,14.01,13.55,14.0,11.82,1789200.0,0.0,0
2010-05-11,13.79,14.38,13.6,14.27,12.04,2020600.0,0.0,0
2010-05-12,14.27,14.56,14.25,14.54,12.27,1647500.0,0.0,0
2010-05-13,14.47,14.72,14.03,14.07,11.88,2654000.0,0.0,0
2010-05-14,13.97,14.08,13.61,13.74,11.6,1638800.0,0.0,0
2010-05-17,14.14,14.47,13.95,14.34,12.1,3305600.0,0.0,0
2010-05-18,14.45,14.55,13.85,14.0,11.82,2847200.0,0.0,0
2010-05-19,13.99,14.43,13.86,14.14,11.93,2269500.0,0.0,0
2010-05-20,13.85,14.01,13.36,13.58,11.46,4533300.0,0.0,0
2010-05-21,13.34,13.76,13.25,13.53,11.42,2273900.0,0.0,0
2010-05-24,13.53,13.62,13.19,13.2,11.14,1867100.0,0.0,0
2010-05-25,13.0,13.31,12.76,13.31,11.23,2495300.0,0.0,0
2010-05-26,13.44,13.59,13.25,13.37,11.28,1627000.0,0.0,0
2010-05-27,13.62,13.71,13.4,13.7,11.56,1243500.0,0.0,0
2010-05-28,13.63,13.65,13.3,13.43,11.34,1286300.0,0.0,0
2010-06-01,13.29,13.55,13.03,13.04,11.01,1206600.0,0.0,0
2010-06-02,13.08,13.62,13.08,13.62,11.5,1244600.0,0.0,0
2010-06-03,13.65,13.82,13.36,13.49,11.39,1071100.0,0.0,0
2010-06-04,13.18,13.26,12.7,12.72,10.74,2419900.0,0.0,0
2010-06-07,12.73,12.95,12.57,12.61,10.64,1891600.0,0.0,0
2010-06-08,12.65,12.85,12.31,12.84,10.84,1535200.0,0.0,0
2010-06-09,12.86,12.91,12.5,12.6,10.64,2441000.0,0.0,0
2010-06-10,12.8,13.38,12.7,13.36,11.28,1745600.0,0.0,0
2010-06-11,13.19,13.29,12.95,13.27,11.2,1101500.0,0.0,0
2010-06-14,13.36,13.46,13.11,13.15,11.1,1171200.0,0.0,0
2010-06-15,13.22,13.65,13.15,13.59,11.47,1836000.0,0.0,0
2010-06-16,13.46,13.87,13.37,13.66,11.53,1832800.0,0.0,0
2010-06-17,13.67,13.69,13.32,13.41,11.32,1256400.0,0.0,0
2010-06-18,13.4,13.68,13.3,13.51,11.4,1042200.0,0.0,0
2010-06-21,13.67,13.7,13.37,13.42,11.33,674800.0,0.0,0
2010-06-22,13.47,13.66,13.07,13.09,11.05,1210100.0,0.0,0
2010-06-23,13.29,13.29,12.85,12.87,10.86,2193800.0,0.0,0
2010-06-24,12.79,13.62,12.63,12.67,10.69,2533800.0,0.0,0
2010-06-25,12.74,13.16,12.63,13.09,11.05,2089700.0,0.0,0
