Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,11.85,11.93,11.7,11.79,10.4072,10538100,0.0,0
2010-01-05,11.86,12.1,11.71,11.81,10.4249,12516800,0.0,0
2010-01-06,12.01,12.38,11.92,12.25,10.8133,14569600,0.0,0
2010-01-07,12.27,12.33,12.01,12.26,10.8221,12045300,0.0,0
2010-01-08,12.4,12.54,12.07,12.54,11.0693,12123200,0.0,0
2010-01-11,12.98,13.06,12.69,12.71,11.2193,14035200,0.0,0
2010-01-12,12.62,12.75,12.13,12.27,10.8309,14649000,0.0,0
2010-01-13,12.28,12.31,11.73,11.97,10.5661,19773800,0.0,0
2010-01-14,11.98,12.02,11.75,11.86,10.469,14092000,0.0,0
2010-01-15,11.75,11.79,11.4,11.55,10.1954,14586500,0.0,0
2010-01-19,11.57,11.75,11.54,11.67,10.3013,10711000,0.0,0
2010-01-20,11.42,11.42,10.85,11.2,9.8864,22126700,0.0,0
2010-01-21,11.11,11.24,10.72,10.73,9.4715,20059300,0.0,0
2010-01-22,10.63,11.0,10.55,10.77,9.5069,20247500,0.0,0
2010-01-25,10.9,10.9,10.52,10.53,9.295,12444200,0.0,0
2010-01-26,10.43,10.85,10.37,10.58,9.3391,13933400,0.0,0
2010-01-27,10.55,10.63,10.18,10.43,9.2067,15634200,0.0,0
2010-01-28,10.6,10.6,10.07,10.37,9.1538,18459200,0.0,0
2010-01-29,10.35,10.5,10.05,10.07,8.889,18538400,0.0,0
2010-02-01,10.22,10.68,10.19,10.66,9.4098,12264500,0.0,0
2010-02-02,10.83,10.86,10.52,10.57,9.3303,13142900,0.0,0
2010-02-03,10.52,10.72,10.43,10.49,9.2597,8679400,0.0,0
2010-02-04,10.16,10.22,9.83,9.85,8.6948,19774900,0.0,0
2010-02-05,9.87,10.46,9.72,10.46,9.2332,23621700,0.0,0
2010-02-08,10.47,10.5,9.99,10.01,8.836,13703500,0.0,0
2010-02-09,10.26,10.52,10.2,10.41,9.1891,16138200,0.0,0
2010-02-10,10.4,10.49,10.15,10.46,9.2332,12693500,0.0,0
2010-02-11,10.55,10.8,10.44,10.73,9.4715,13976800,0.0,0
2010-02-12,10.52,10.69,10.43,10.65,9.4009,11785600,0.0,0
2010-02-16,11.0,11.28,10.85,10.85,9.5775,12902600,0.0,0
2010-02-17,10.85,10.92,10.58,10.66,9.4098,11672300,0.0,0
2010-02-18,10.74,10.87,10.69,10.7,9.4451,12423300,0.0,0
2010-02-19,10.57,10.73,10.5,10.58,9.3391,8348100,0.0,0
2010-02-22,10.62,10.7,10.42,10.47,9.242,7534000,0.0,0
2010-02-23,10.42,10.52,10.07,10.12,8.9331,10560000,0.0,0
2010-02-24,10.02,10.34,10.0,10.09,8.9066,10999800,0.0,0
2010-02-25,9.93,10.52,9.86,10.51,9.2774,14605900,0.0,0
2010-02-26,10.6,10.64,10.39,10.54,9.3038,9102000,0.0,0
2010-03-01,10.65,10.77,10.46,10.74,9.4804,8227600,0.0,0
2010-03-02,10.87,11.0,10.77,10.79,9.5245,15250100,0.0,0
2010-03-03,10.95,11.2,10.84,11.14,9.8335,12899000,0.0,0
2010-03-04,11.12,11.17,10.53,10.61,9.3656,19267000,0.0,0
2010-03-05,10.62,10.67,10.42,10.55,9.3127,13377800,0.0,0
2010-03-08,10.52,10.6,10.13,10.17,8.9772,13028000,0.0,0
2010-03-09,10.04,10.23,9.95,10.08,8.8978,14836000,0.0,0
2010-03-10,10.16,10.22,9.95,9.98,8.8095,13608100,0.0,0
2010-03-11,9.97,10.09,9.85,10.06,8.8801,11419800,0.0,0
2010-03-12,10.12,10.19,10.0,10.06,8.8801,9750400,0.0,0
2010-03-15,10.08,10.11,9.84,9.96,8.7919,8069200,0.0,0
2010-03-16,10.15,10.22,10.08,10.21,9.0125,11492200,0.0,0
2010-03-17,10.24,10.26,10.1,10.21,9.0125,9730700,0.0,0
2010-03-18,10.22,10.39,10.1,10.24,9.039,10277000,0.0,0
2010-03-19,10.18,10.29,9.99,10.18,8.9861,17498800,0.0,0
2010-03-22,10.01,10.2,9.96,10.18,8.9861,13173700,0.0,0
2010-03-23,10.14,10.33,10.03,10.22,9.0214,10192800,0.0,0
2010-03-24,10.05,10.1,9.81,9.83,8.6771,17583400,0.0,0
2010-03-25,9.94,9.97,9.71,9.73,8.5888,13463700,0.0,0
2010-03-26,9.79,9.9,9.61,9.85,8.6948,12183800,0.0,0
2010-03-29,9.99,10.05,9.87,9.98,8.8185,7287500,0.01,0
2010-03-30,9.99,10.03,9.78,9.81,8.6682,7937900,0.0,0
2010-03-31,9.92,9.98,9.83,9.85,8.7036,6954900,0.0,0
2010-04-01,9.97,10.24,9.95,10.21,9.0217,13368100,0.0,0
2010-04-05,10.26,10.39,10.15,10.23,9.0394,10532700,0.0,0
2010-04-06,10.26,10.44,10.23,10.32,9.1189,7921200,0.0,0
2010-04-07,10.4,10.71,10.37,10.68,9.437,18563000,0.0,0
2010-04-08,10.6,10.65,10.48,10.52,9.2956,10456400,0.0,0
2010-04-09,10.6,10.72,10.5,10.57,9.3398,9733500,0.0,0
2010-04-12,10.52,10.7,10.44,10.45,9.2338,7970400,0.0,0
2010-04-13,10.38,10.41,10.2,10.36,9.1542,9570700,0.0,0
2010-04-14,10.44,10.49,10.25,10.28,9.0835,9104800,0.0,0
2010-04-15,10.21,10.38,10.15,10.19,9.004,6140700,0.0,0
