Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,36.74,36.97,36.42,36.85,28.63,1301200,0.0,0
2010-01-05,38.46,38.47,36.33,37.09,28.82,2708800,0.0,0
2010-01-06,36.89,37.28,36.77,37.01,28.76,1234100,0.0,0
2010-01-07,36.8,37.39,36.71,37.36,29.03,995400,0.0,0
2010-01-08,37.11,38.12,37.02,38.07,29.58,1432700,0.0,0
2010-01-11,38.39,39.08,37.79,38.71,30.08,1132500,0.0,0
2010-01-12,38.52,38.66,37.96,38.31,29.77,877800,0.0,0
2010-01-13,38.38,39.84,38.15,39.75,30.88,1493500,0.0,0
2010-01-14,39.79,40.0,39.38,39.79,30.92,695000,0.0,0
2010-01-15,39.59,40.23,39.17,39.48,30.68,1279600,0.0,0
2010-01-19,39.55,40.07,39.46,40.07,31.13,1009100,0.0,0
2010-01-20,39.71,39.71,39.35,39.61,30.78,951300,0.0,0
2010-01-21,39.57,39.83,38.65,38.66,30.04,1480500,0.0,0
2010-01-22,38.47,39.13,38.35,38.62,30.01,1599700,0.0,0
2010-01-25,38.91,39.12,38.55,38.58,29.98,901800,0.0,0
2010-01-26,38.39,38.9,38.28,38.38,29.82,669400,0.0,0
2010-01-27,38.27,38.51,37.87,38.44,29.87,959300,0.0,0
2010-01-28,38.69,39.05,37.97,38.1,29.6,1709700,0.0,0
2010-01-29,35.68,36.42,32.48,32.51,25.26,5724300,0.0,0
2010-02-01,32.82,34.19,32.57,33.34,25.9,3506100,0.0,0
2010-02-02,33.37,33.84,33.18,33.54,26.06,1957200,0.0,0
2010-02-03,33.29,33.56,32.7,33.14,25.75,1399800,0.0,0
2010-02-04,32.83,33.11,32.65,32.71,25.41,1800500,0.0,0
2010-02-05,32.62,32.94,32.11,32.77,25.46,2272900,0.0,0
2010-02-08,32.82,33.25,32.4,32.51,25.26,1499200,0.0,0
2010-02-09,33.03,33.06,31.91,32.54,25.28,1982000,0.0,0
2010-02-10,32.48,32.48,31.87,32.17,25.0,1648500,0.0,0
2010-02-11,32.02,32.58,31.8,32.34,25.13,1456700,0.0,0
2010-02-12,31.9,32.29,31.55,32.09,24.93,1372800,0.0,0
2010-02-16,32.29,32.61,32.1,32.6,25.33,1698700,0.0,0
2010-02-17,32.57,32.85,31.73,32.1,24.94,2447600,0.0,0
2010-02-18,32.1,32.43,31.8,32.05,24.9,2322300,0.0,0
2010-02-19,31.72,31.96,31.34,31.8,24.71,2941300,0.0,0
2010-02-22,32.0,32.44,31.69,32.04,24.89,2049100,0.0,0
2010-02-23,31.94,32.22,31.48,31.52,24.49,1391700,0.0,0
2010-02-24,31.58,31.92,31.42,31.73,24.65,1273800,0.0,0
2010-02-25,31.27,31.66,30.82,31.51,24.48,1190200,0.0,0
2010-02-26,31.51,32.0,31.33,31.6,24.55,1020100,0.0,0
2010-03-01,31.64,32.16,31.23,31.84,24.9,1059600,0.2,0
2010-03-02,32.04,32.04,31.54,31.67,24.76,1414700,0.0,0
2010-03-03,31.83,31.93,31.38,31.43,24.58,1488600,0.0,0
2010-03-04,30.53,30.86,30.22,30.79,24.08,2413400,0.0,0
2010-03-05,30.89,31.26,30.8,31.15,24.36,1541000,0.0,0
2010-03-08,31.11,31.46,30.73,31.38,24.54,1472700,0.0,0
2010-03-09,31.31,32.3,31.14,32.07,25.08,1943000,0.0,0
2010-03-10,32.04,32.5,31.89,32.36,25.3,1565200,0.0,0
2010-03-11,32.25,33.06,32.03,33.04,25.83,2322200,0.0,0
2010-03-12,33.23,33.66,32.79,33.31,26.05,2518900,0.0,0
2010-03-15,33.32,33.79,33.12,33.61,26.28,1525500,0.0,0
2010-03-16,33.57,34.15,33.44,34.05,26.62,1393100,0.0,0
2010-03-17,34.15,34.72,34.14,34.63,27.08,1653000,0.0,0
2010-03-18,34.63,34.84,34.5,34.79,27.2,1246200,0.0,0
2010-03-19,35.03,35.24,34.62,35.03,27.39,2458300,0.0,0
2010-03-22,34.91,35.46,34.91,35.39,27.67,2005600,0.0,0
2010-03-23,35.4,35.75,34.99,35.74,27.95,1544100,0.0,0
2010-03-24,35.64,35.64,35.01,35.06,27.41,1380400,0.0,0
2010-03-25,35.27,35.46,34.97,34.98,27.35,1166500,0.0,0
2010-03-26,35.04,35.52,34.91,35.45,27.72,1479200,0.0,0
2010-03-29,35.61,36.08,35.58,36.08,28.21,1609000,0.0,0
2010-03-30,36.12,36.25,35.61,36.17,28.28,1071400,0.0,0
2010-03-31,35.99,36.62,35.91,36.41,28.47,1849700,0.0,0
2010-04-01,36.63,36.91,36.01,36.4,28.46,1111500,0.0,0
2010-04-05,36.58,36.61,36.33,36.55,28.58,662200,0.0,0
2010-04-06,36.41,37.13,36.41,37.13,29.03,814200,0.0,0
2010-04-07,36.97,37.53,36.97,37.31,29.17,1605000,0.0,0
2010-04-08,37.08,37.37,36.92,37.22,29.1,781400,0.0,0
