Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,2.76,2.9,2.76,2.89,1.3058,6800,0.0,0
2010-01-05,2.93,2.95,2.72,2.72,1.229,18100,0.0,0
2010-01-06,2.78,2.78,2.7,2.7,1.22,6000,0.0,0
2010-01-07,2.72,2.82,2.72,2.79,1.2606,9300,0.0,0
2010-01-08,2.73,2.75,2.72,2.72,1.229,1200,0.0,0
2010-01-11,2.71,2.84,2.65,2.7,1.22,3600,0.0,0
2010-01-12,2.66,2.74,2.65,2.66,1.2019,4600,0.0,0
2010-01-13,2.71,2.72,2.65,2.71,1.2245,4900,0.0,0
2010-01-14,2.64,2.83,2.64,2.66,1.2019,5100,0.0,0
2010-01-15,2.74,2.74,2.59,2.59,1.1703,4000,0.0,0
2010-01-19,2.57,2.57,2.41,2.49,1.1251,21200,0.0,0
2010-01-20,2.48,2.62,2.48,2.62,1.1838,2200,0.0,0
2010-01-21,2.55,2.76,2.46,2.72,1.229,8400,0.0,0
2010-01-22,2.64,2.64,2.4,2.56,1.1567,6300,0.0,0
2010-01-25,2.52,2.6,2.5,2.6,1.1748,3300,0.0,0
2010-01-26,2.6,2.6,2.6,2.6,1.1748,0,0.0,0
2010-01-27,2.46,2.57,2.46,2.57,1.1612,5800,0.0,0
2010-01-28,2.44,2.59,2.44,2.56,1.1567,600,0.0,0
2010-01-29,2.56,2.56,2.45,2.56,1.1567,7900,0.0,0
2010-02-01,2.51,2.54,2.4,2.51,1.1341,32800,0.0,0
2010-02-02,2.51,2.69,2.51,2.57,1.1612,37800,0.0,0
2010-02-03,2.66,2.73,2.55,2.7,1.22,11100,0.0,0
2010-02-04,2.69,2.75,2.57,2.58,1.1657,15600,0.0,0
2010-02-05,2.64,2.64,2.5,2.5,1.1296,7800,0.0,0
2010-02-08,2.44,2.51,2.44,2.48,1.1206,5200,0.0,0
2010-02-09,2.42,2.47,2.41,2.41,1.0889,3600,0.0,0
2010-02-10,2.41,2.75,2.41,2.75,1.2425,22500,0.0,0
2010-02-11,2.74,2.74,2.47,2.47,1.116,33600,0.0,0
2010-02-12,2.56,2.77,2.55,2.74,1.238,32300,0.0,0
2010-02-16,2.69,2.79,2.42,2.42,1.0934,54100,0.0,0
2010-02-17,2.56,2.78,2.51,2.73,1.2335,39500,0.0,0
2010-02-18,2.6,2.7,2.6,2.69,1.2154,32700,0.0,0
2010-02-19,2.81,2.86,2.69,2.7,1.22,10700,0.0,0
2010-02-22,2.7,2.76,2.61,2.66,1.2019,4000,0.0,0
2010-02-23,2.74,2.74,2.65,2.72,1.229,10100,0.0,0
2010-02-24,2.8,2.8,2.58,2.58,1.1657,3600,0.0,0
2010-02-25,2.53,2.75,2.53,2.62,1.1838,6500,0.0,0
2010-02-26,2.62,2.69,2.62,2.64,1.1928,1600,0.0,0
2010-03-01,2.61,2.66,2.55,2.65,1.1974,1500,0.0,0
2010-03-02,2.71,2.71,2.56,2.59,1.1703,4400,0.0,0
2010-03-03,2.57,2.66,2.5,2.54,1.1477,10000,0.0,0
2010-03-04,2.52,2.55,2.5,2.51,1.1341,1800,0.0,0
2010-03-05,2.5,2.55,2.48,2.53,1.1431,2600,0.0,0
2010-03-08,2.5,2.5,2.48,2.48,1.1206,3700,0.0,0
2010-03-09,2.49,2.49,2.47,2.49,1.1251,3500,0.0,0
2010-03-10,2.45,2.51,2.41,2.51,1.1341,13500,0.0,0
2010-03-11,2.57,2.57,2.42,2.43,1.098,4900,0.0,0
2010-03-12,2.47,2.48,2.41,2.44,1.1025,2900,0.0,0
2010-03-15,2.4,2.42,2.31,2.42,1.0934,3000,0.0,0
2010-03-16,2.42,2.5,2.42,2.5,1.1296,3100,0.0,0
2010-03-17,2.46,2.5,2.4,2.44,1.1025,6900,0.0,0
2010-03-18,2.48,2.5,2.45,2.49,1.1251,2200,0.0,0
2010-03-19,2.46,2.6,2.46,2.6,1.1748,400,0.0,0
2010-03-22,2.5,2.5,2.44,2.45,1.107,4000,0.0,0
2010-03-23,2.44,2.45,2.4,2.42,1.0934,3500,0.0,0
2010-03-24,2.37,2.48,2.36,2.46,1.1115,2900,0.0,0
