Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,21.96,22.07,21.86,21.94,864900,0.0,0.0
2010-01-05,21.94,22.05,21.63,21.73,1212700,0.0,0.0
2010-01-06,21.73,21.76,21.24,21.3,1476300,0.0,0.0
2010-01-07,21.29,21.32,21.04,21.04,1771300,0.0,0.0
2010-01-08,20.98,21.16,20.93,21.1,1683800,0.0,0.0
2010-01-11,21.24,21.52,21.2,21.44,2540800,0.0,0.0
2010-01-12,21.41,21.7,21.26,21.56,1257900,0.0,0.0
2010-01-13,21.6,22.06,21.6,22.0,927900,0.0,0.0
2010-01-14,22.03,22.07,21.81,22.06,555000,0.0,0.0
2010-01-15,21.99,22.0,21.79,21.86,797400,0.0,0.0
2010-01-19,21.9,22.19,21.88,22.17,1182000,0.0,0.0
2010-01-20,22.13,22.23,21.99,22.09,743300,0.0,0.0
2010-01-21,22.2,22.29,21.98,22.06,823300,0.0,0.0
2010-01-22,22.03,22.13,21.87,21.89,1414700,0.0,0.0
2010-01-25,22.06,22.13,21.76,22.06,1122800,0.0,0.0
2010-01-26,22.08,22.43,21.95,22.02,893700,0.0,0.0
2010-01-27,22.06,22.23,21.95,22.19,1034400,0.0,0.0
2010-01-28,22.2,22.23,21.86,21.98,922700,0.0,0.0
2010-01-29,22.04,22.34,21.97,22.15,982100,0.0,0.0
2010-02-01,22.21,22.25,21.99,22.13,670400,0.0,0.0
2010-02-02,22.16,22.39,22.09,22.38,944300,0.0,0.0
2010-02-03,22.36,22.37,21.9,22.01,688000,0.0,0.0
2010-02-04,21.93,22.09,21.75,21.82,1624200,0.0,0.0
2010-02-05,21.75,22.02,21.67,21.96,1461500,0.0,0.0
2010-02-08,21.96,22.35,21.83,22.06,1708600,0.0,0.0
2010-02-09,22.3,22.53,21.76,22.32,1799300,0.0,0.0
2010-02-10,22.43,22.8,22.26,22.77,1091400,0.0,0.0
2010-02-11,22.63,23.03,22.56,22.95,947200,0.0,0.0
2010-02-12,22.8,23.39,22.71,23.39,1409400,0.0,0.0
2010-02-16,23.51,23.53,23.12,23.48,924200,0.0,0.0
2010-02-17,23.48,23.62,23.43,23.57,597000,0.0,0.0
2010-02-18,23.42,23.82,23.42,23.75,622400,0.0,0.0
2010-02-19,23.72,24.1,23.69,23.99,983000,0.0,0.0
2010-02-22,24.09,24.22,23.86,24.09,821400,0.0,0.0
2010-02-23,23.97,24.33,23.86,23.99,1555100,0.0,0.0
2010-02-24,24.1,24.32,24.02,24.32,1379800,0.0,0.0
2010-02-25,24.1,24.31,23.94,24.22,921100,0.0,0.0
2010-02-26,24.12,24.4,23.96,24.19,1401400,0.0,0.0
2010-03-01,24.29,24.3,24.08,24.25,949600,0.0,0.0
2010-03-02,24.26,24.35,24.1,24.2,872800,0.0,0.0
2010-03-03,24.11,24.23,23.93,24.08,882400,0.0,0.0
2010-03-04,24.08,24.39,23.89,24.35,1167500,0.0,0.0
2010-03-05,24.35,24.4,24.17,24.3,994600,0.0,0.0
2010-03-08,24.33,24.53,24.25,24.29,1310700,0.0,0.0
2010-03-09,24.33,24.76,24.16,24.58,2428300,0.0,0.0
2010-03-10,24.58,24.63,24.39,24.56,1351000,0.0,0.0
2010-03-11,24.4,24.62,24.33,24.46,970000,0.0,0.0
2010-03-12,24.54,24.62,24.35,24.48,861400,0.0,0.0
2010-03-15,24.73,24.83,24.51,24.68,1289000,0.0,0.0
2010-03-16,24.74,24.75,24.49,24.57,763800,0.0,0.0
2010-03-17,24.56,24.73,24.39,24.65,845100,0.0,0.0
2010-03-18,24.71,24.72,24.35,24.45,782400,0.0,0.0
2010-03-19,24.06,24.53,24.04,24.06,1235800,0.0,0.0
2010-03-22,23.95,24.51,23.95,24.05,1102700,0.0,0.0
2010-03-23,24.06,24.26,23.97,24.19,740000,0.0,0.0
2010-03-24,24.18,24.21,23.94,24.01,1017800,0.0,0.0
2010-03-25,24.1,24.19,23.87,23.99,624500,0.0,0.0
2010-03-26,23.99,24.13,23.84,23.93,436500,0.0,0.0
2010-03-29,24.05,24.35,24.01,24.31,667400,0.21,0.0
2010-03-30,24.27,24.43,24.17,24.17,661700,0.0,0.0
2010-03-31,24.2,24.44,24.1,24.2,818300,0.0,0.0
2010-04-01,24.37,24.48,24.2,24.34,563600,0.0,0.0
2010-04-05,24.38,24.38,24.12,24.27,603700,0.0,0.0
2010-04-06,24.12,24.54,24.12,24.5,684000,0.0,0.0
2010-04-07,24.53,24.83,24.21,24.73,835800,0.0,0.0
2010-04-08,24.7,24.74,24.37,24.51,995000,0.0,0.0
2010-04-09,24.51,24.64,24.28,24.3,1135900,0.0,0.0
2010-04-12,24.28,24.31,24.04,24.3,991300,0.0,0.0
2010-04-13,24.25,24.52,24.16,24.44,960800,0.0,0.0
2010-04-14,24.54,24.73,24.53,24.68,472000,0.0,0.0
2010-04-15,24.68,24.75,24.4,24.51,736200,0.0,0.0
2010-04-16,24.5,24.65,23.94,23.96,1003700,0.0,0.0
2010-04-19,23.82,24.07,23.79,23.93,921500,0.0,0.0
2010-04-20,23.99,23.99,23.77,23.88,761700,0.0,0.0
2010-04-21,23.8,24.06,23.75,23.99,873100,0.0,0.0
2010-04-22,23.85,24.63,23.77,24.53,1217500,0.0,0.0
2010-04-23,24.51,24.92,24.51,24.89,977000,0.0,0.0
2010-04-26,24.89,25.14,24.84,25.02,1153200,0.0,0.0
2010-04-27,24.89,25.05,24.2,24.3,1062900,0.0,0.0
2010-04-28,23.76,24.33,23.76,24.08,1842100,0.0,0.0
2010-04-29,24.3,24.54,24.03,24.22,1108200,0.0,0.0
2010-04-30,24.13,24.34,24.04,24.13,852800,0.0,0.0
2010-05-03,24.14,24.35,24.04,24.31,1189900,0.0,0.0
2010-05-04,24.15,24.27,23.62,23.72,985900,0.0,0.0
2010-05-05,23.52,23.91,23.5,23.73,1034300,0.0,0.0
2010-05-06,23.64,23.83,22.62,23.27,1519600,0.0,0.0
2010-05-07,23.27,23.54,22.92,23.05,1485300,0.0,0.0
2010-05-10,23.86,23.93,23.34,23.6,885400,0.0,0.0
2010-05-11,23.31,23.75,23.23,23.52,540800,0.0,0.0
2010-05-12,23.58,23.87,23.58,23.87,796400,0.0,0.0
2010-05-13,23.89,24.03,23.72,23.72,556100,0.0,0.0
2010-05-14,23.57,23.61,23.27,23.36,685000,0.0,0.0
2010-05-17,23.34,23.71,23.14,23.65,584500,0.0,0.0
2010-05-18,23.84,24.07,23.54,23.58,980300,0.0,0.0
2010-05-19,23.45,23.94,23.42,23.82,968800,0.0,0.0
2010-05-20,23.51,23.64,22.9,22.93,1284400,0.0,0.0
2010-05-21,22.64,22.81,22.18,22.49,1998100,0.0,0.0
2010-05-24,22.42,23.32,22.42,22.88,1938800,0.0,0.0
2010-05-25,22.42,22.9,22.35,22.84,1329900,0.0,0.0
2010-05-26,23.03,23.14,22.55,22.6,2128300,0.0,0.0
2010-05-27,22.83,23.65,22.77,23.63,1403300,0.0,0.0
2010-05-28,23.6,23.69,23.36,23.54,916200,0.0,0.0
2010-06-01,23.31,23.49,22.83,22.84,848200,0.0,0.0
2010-06-02,23.02,23.59,22.84,23.55,968700,0.0,0.0
2010-06-03,23.51,23.74,23.5,23.69,850000,0.0,0.0
2010-06-04,23.41,23.55,23.13,23.22,1179200,0.0,0.0
2010-06-07,23.29,23.41,22.83,22.85,1158800,0.0,0.0
2010-06-08,22.85,23.27,22.63,23.25,1488600,0.0,0.0
2010-06-09,23.41,23.69,23.21,23.46,1826200,0.0,0.0
2010-06-10,23.63,23.69,23.47,23.56,1308100,0.0,0.0
2010-06-11,23.38,23.72,23.34,23.71,1006100,0.0,0.0
2010-06-14,23.86,24.17,23.76,23.94,1164400,0.0,0.0
2010-06-15,24.13,24.57,24.05,24.54,1112400,0.0,0.0
2010-06-16,24.36,24.68,24.33,24.58,890900,0.0,0.0
2010-06-17,24.56,24.75,24.47,24.53,831800,0.0,0.0
2010-06-18,24.64,24.88,24.55,24.78,1099200,0.0,0.0
2010-06-21,24.84,25.1,24.54,24.6,1025600,0.0,0.0
2010-06-22,24.55,24.88,24.48,24.61,2530400,0.0,0.0
2010-06-23,24.55,24.65,24.1,24.16,1176700,0.0,0.0
2010-06-24,24.06,24.16,23.8,23.84,810500,0.0,0.0
2010-06-25,23.83,24.1,23.75,24.1,1232200,0.0,0.0
2010-06-28,23.73,24.31,23.73,24.24,801600,0.21,0.0
2010-06-29,23.93,24.04,23.38,23.46,938700,0.0,0.0
