Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,16.65,16.91,16.51,16.91,13.33,160800,0.0,0.0
2010-01-05,16.97,17.23,16.53,16.67,13.15,425400,0.0,0.0
2010-01-06,16.65,17.08,16.58,17.07,13.46,435000,0.0,0.0
2010-01-07,17.1,17.81,17.02,17.42,13.73,728200,0.0,0.0
2010-01-08,15.94,16.41,15.57,16.17,12.75,1284800,0.0,0.0
2010-01-11,16.17,16.39,15.66,16.08,12.68,539000,0.0,0.0
2010-01-12,15.88,16.25,15.7,15.84,12.49,451000,0.0,0.0
2010-01-13,15.84,16.42,15.65,16.32,12.87,267600,0.0,0.0
2010-01-14,16.33,16.54,16.23,16.27,12.83,194200,0.0,0.0
2010-01-15,14.89,15.56,14.64,15.49,12.21,1911600,0.0,0.0
2010-01-19,15.55,15.98,15.41,15.72,12.39,390200,0.0,0.0
2010-01-20,15.48,15.84,15.38,15.42,12.16,312200,0.0,0.0
2010-01-21,15.52,15.72,15.07,15.35,12.1,847200,0.0,0.0
2010-01-22,15.53,15.64,15.07,15.08,11.89,456800,0.0,0.0
2010-01-25,15.38,15.43,15.05,15.09,11.9,282000,0.0,0.0
2010-01-26,15.07,15.23,14.91,15.06,11.87,292800,0.0,0.0
2010-01-27,15.21,15.59,15.06,15.56,12.27,241400,0.0,0.0
2010-01-28,15.65,15.65,15.05,15.22,12.2,188200,0.25,0.0
2010-01-29,15.32,15.52,15.03,15.04,12.05,211000,0.0,0.0
2010-02-01,15.15,15.38,15.05,15.23,12.21,190800,0.0,0.0
2010-02-02,15.21,15.35,15.05,15.12,12.12,150800,0.0,0.0
2010-02-03,15.02,15.42,14.92,14.96,11.99,174600,0.0,0.0
2010-02-04,14.88,14.95,14.38,14.4,11.54,274200,0.0,0.0
2010-02-05,14.48,14.6,13.95,14.57,11.68,281400,0.0,0.0
2010-02-08,14.52,14.9,14.36,14.51,11.63,177400,0.0,0.0
2010-02-09,14.75,15.11,14.65,14.95,11.99,217400,0.0,0.0
2010-02-10,14.94,15.15,14.57,15.06,12.07,155400,0.0,0.0
2010-02-11,15.0,15.18,14.64,15.16,12.15,125400,0.0,0.0
2010-02-12,15.05,15.34,14.83,15.34,12.29,111000,0.0,0.0
2010-02-16,15.38,15.47,15.13,15.4,12.35,211400,0.0,0.0
2010-02-17,14.99,15.24,14.8,14.97,12.0,254600,0.0,0.0
2010-02-18,14.91,15.01,14.71,14.99,12.02,213000,0.0,0.0
2010-02-19,14.9,15.48,14.87,15.4,12.35,317400,0.0,0.0
2010-02-22,15.45,16.02,15.31,15.94,12.77,235200,0.0,0.0
2010-02-23,15.99,16.03,15.55,15.7,12.58,150000,0.0,0.0
2010-02-24,15.7,16.11,15.53,15.74,12.62,110200,0.0,0.0
2010-02-25,15.57,15.95,15.35,15.82,12.68,115800,0.0,0.0
2010-02-26,15.88,15.88,15.62,15.7,12.59,62600,0.0,0.0
2010-03-01,15.8,16.2,15.64,15.84,12.69,219600,0.0,0.0
2010-03-02,15.91,16.07,15.85,15.9,12.74,156000,0.0,0.0
2010-03-03,16.0,16.34,15.87,16.06,12.87,132600,0.0,0.0
2010-03-04,16.1,16.5,16.03,16.49,13.21,86200,0.0,0.0
2010-03-05,16.61,16.75,16.5,16.73,13.41,219800,0.0,0.0
2010-03-08,16.75,16.96,16.75,16.91,13.55,117400,0.0,0.0
2010-03-09,16.9,17.0,16.75,16.83,13.49,102000,0.0,0.0
2010-03-10,16.85,17.18,16.84,17.08,13.69,104000,0.0,0.0
2010-03-11,17.02,17.15,16.9,17.14,13.73,112400,0.0,0.0
2010-03-12,17.16,17.18,16.92,17.11,13.72,79000,0.0,0.0
2010-03-15,17.08,17.33,16.9,17.13,13.73,111200,0.0,0.0
2010-03-16,17.32,17.4,17.18,17.38,13.93,197800,0.0,0.0
2010-03-17,17.44,17.78,17.36,17.42,13.96,171600,0.0,0.0
2010-03-18,17.51,17.7,17.44,17.67,14.16,157200,0.0,0.0
2010-03-19,17.31,17.81,17.08,17.31,13.87,310800,0.0,0.0
2010-03-22,17.35,17.68,17.25,17.65,14.14,218600,0.0,0.0
2010-03-23,17.67,17.75,17.52,17.73,14.21,127400,0.0,0.0
2010-03-24,17.73,17.75,17.34,17.38,13.93,143000,0.0,0.0
2010-03-25,17.43,17.85,17.31,17.36,13.91,167200,0.0,0.0
2010-03-26,17.46,17.58,17.24,17.33,13.89,104000,0.0,0.0
2010-03-29,17.43,17.59,17.34,17.4,13.95,95200,0.0,0.0
2010-03-30,17.38,17.41,17.08,17.24,13.82,149800,0.0,0.0
2010-03-31,17.23,17.31,16.91,16.92,13.56,228400,0.0,0.0
2010-04-01,17.12,19.48,17.12,19.23,15.41,1242200,0.0,0.0
2010-04-05,19.24,20.0,19.0,19.99,16.02,529800,0.0,0.0
2010-04-06,19.9,20.49,19.76,20.32,16.29,351400,0.0,0.0
2010-04-07,20.36,20.49,19.83,20.06,16.08,307800,0.0,0.0
2010-04-08,19.87,20.3,19.82,20.01,16.04,210400,0.0,0.0
2010-04-09,20.07,20.25,19.89,20.01,16.04,140800,0.0,0.0
2010-04-12,20.06,20.1,19.79,19.86,15.92,156800,0.0,0.0
2010-04-13,19.58,20.54,19.58,20.53,16.66,307400,0.25,0.0
2010-04-14,20.75,21.09,20.65,20.84,16.92,243600,0.0,0.0
2010-04-15,20.88,21.06,20.66,20.72,16.81,163000,0.0,0.0
2010-04-16,20.75,20.89,20.13,20.42,16.58,148200,0.0,0.0
2010-04-19,20.29,20.52,19.64,20.47,16.61,360800,0.0,0.0
2010-04-20,20.67,20.89,20.6,20.81,16.89,100800,0.0,0.0
2010-04-21,20.82,20.95,20.39,20.76,16.85,115200,0.0,0.0
2010-04-22,20.48,20.91,20.31,20.87,16.94,63000,0.0,0.0
2010-04-23,20.89,21.0,20.53,20.82,16.89,84400,0.0,0.0
2010-04-26,20.85,21.16,20.57,20.66,16.76,143800,0.0,0.0
2010-04-27,20.58,20.86,20.4,20.42,16.57,167000,0.0,0.0
2010-04-28,20.49,20.83,20.41,20.69,16.79,128800,0.0,0.0
2010-04-29,20.92,21.5,20.78,21.5,17.45,258800,0.0,0.0
2010-04-30,21.43,21.5,20.31,20.31,16.48,264800,0.0,0.0
2010-05-03,20.35,20.83,19.81,20.76,16.85,255800,0.0,0.0
2010-05-04,20.55,20.55,19.73,19.91,16.16,265200,0.0,0.0
2010-05-05,19.73,19.76,19.0,19.41,15.75,258000,0.0,0.0
2010-05-06,19.19,19.56,17.86,18.67,15.15,294800,0.0,0.0
2010-05-07,18.66,18.92,17.56,18.26,14.83,353000,0.0,0.0
2010-05-10,19.59,19.84,18.99,19.81,16.08,251000,0.0,0.0
2010-05-11,19.75,20.25,19.19,19.9,16.15,214400,0.0,0.0
2010-05-12,19.8,20.87,19.8,20.52,16.66,182000,0.0,0.0
2010-05-13,20.52,20.86,20.28,20.58,16.7,108800,0.0,0.0
2010-05-14,20.46,20.5,19.98,20.33,16.51,146600,0.0,0.0
2010-05-17,20.4,20.57,19.48,20.0,16.24,196000,0.0,0.0
2010-05-18,20.18,20.18,19.31,19.38,15.73,177000,0.0,0.0
2010-05-19,19.24,19.47,18.88,19.38,15.73,204800,0.0,0.0
2010-05-20,18.69,18.9,17.94,18.01,14.62,271800,0.0,0.0
