Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,12.1,12.25,12.02,12.25,4.35,63800,0.0,0
2010-01-05,12.23,12.23,12.14,12.15,4.32,94300,0.0,0
2010-01-06,12.1,12.31,12.1,12.22,4.34,95700,0.0,0
2010-01-07,12.2,12.3,12.15,12.22,4.34,58900,0.0,0
2010-01-08,12.25,12.3,12.15,12.26,4.36,62500,0.0,0
2010-01-11,12.31,12.31,12.07,12.17,4.33,64700,0.0,0
2010-01-12,12.3,12.3,12.12,12.26,4.36,63700,0.0,0
2010-01-13,12.31,12.31,12.11,12.24,4.35,56200,0.0,0
2010-01-14,12.27,12.38,12.19,12.27,4.36,50500,0.0,0
2010-01-15,12.35,12.37,12.22,12.3,4.37,42000,0.0,0
2010-01-19,12.35,12.49,12.3,12.47,4.43,85000,0.0,0
2010-01-20,12.39,12.5,12.21,12.41,4.41,64600,0.0,0
2010-01-21,12.46,12.46,12.17,12.18,4.33,54100,0.0,0
2010-01-22,12.18,12.26,11.9,11.92,4.24,66100,0.0,0
2010-01-25,11.94,12.21,11.9,12.18,4.33,41400,0.0,0
2010-01-26,12.1,12.31,12.09,12.15,4.32,42900,0.0,0
2010-01-27,12.24,12.24,11.97,12.12,4.31,63600,0.0,0
2010-01-28,12.11,12.17,11.9,12.0,4.26,47200,0.0,0
2010-01-29,12.0,12.27,12.0,12.11,4.3,49500,0.0,0
2010-02-01,12.2,12.36,12.05,12.15,4.32,45900,0.0,0
2010-02-02,12.21,12.22,12.0,12.01,4.27,63200,0.0,0
2010-02-03,12.02,12.25,12.0,12.04,4.28,35700,0.0,0
2010-02-04,12.05,12.35,11.82,11.84,4.21,63900,0.0,0
2010-02-05,11.89,12.02,11.45,12.0,4.26,65900,0.0,0
2010-02-08,12.04,12.1,11.81,11.86,4.22,27100,0.0,0
2010-02-09,11.99,12.09,11.73,12.06,4.29,30300,0.0,0
2010-02-10,12.0,12.02,11.73,11.95,4.25,31900,0.0,0
2010-02-11,11.9,12.1,11.85,12.05,4.28,19500,0.0,0
2010-02-12,12.0,12.1,11.81,12.03,4.28,34300,0.0,0
2010-02-16,12.1,12.19,12.0,12.17,4.33,21900,0.0,0
2010-02-17,12.19,12.35,12.16,12.3,4.37,38300,0.0,0
2010-02-18,12.35,12.5,12.0,12.5,4.44,66000,0.0,0
2010-02-19,12.48,12.87,12.43,12.73,4.52,44900,0.0,0
2010-02-22,12.73,12.92,12.51,12.89,4.58,57400,0.0,0
2010-02-23,12.88,13.07,12.61,12.88,4.58,101000,0.0,0
2010-02-24,12.85,13.25,12.85,13.24,4.71,125400,0.0,0
2010-02-25,13.05,13.48,12.82,13.29,4.72,93300,0.0,0
2010-02-26,13.32,13.39,12.95,13.16,4.68,47800,0.0,0
2010-03-01,13.13,13.5,13.02,13.5,4.8,73600,0.0,0
2010-03-02,13.5,13.75,13.29,13.73,4.88,97600,0.0,0
2010-03-03,13.59,13.81,13.34,13.78,4.9,91600,0.0,0
2010-03-04,13.7,13.7,13.21,13.47,4.79,57600,0.0,0
2010-03-05,13.5,13.84,13.48,13.81,4.91,40400,0.0,0
2010-03-08,13.77,13.99,13.62,13.92,4.95,42100,0.0,0
2010-03-09,13.92,14.17,13.73,13.84,4.92,59300,0.0,0
2010-03-10,13.95,13.98,13.8,13.89,4.94,42100,0.0,0
2010-03-11,13.81,13.99,13.8,13.98,4.97,84400,0.0,0
2010-03-12,13.99,13.99,13.29,13.95,4.96,46000,0.0,0
2010-03-15,13.99,14.0,13.81,13.97,4.97,47600,0.0,0
2010-03-16,13.99,14.26,13.97,14.26,5.07,89900,0.0,0
2010-03-17,14.23,14.35,14.09,14.15,5.03,88600,0.0,0
2010-03-18,14.23,14.34,14.21,14.25,5.06,47400,0.0,0
2010-03-19,14.3,14.33,14.2,14.3,5.08,92200,0.0,0
2010-03-22,14.2,14.53,14.2,14.49,5.15,156700,0.0,0
2010-03-23,14.02,14.38,13.92,14.28,5.22,118700,0.41,0
2010-03-24,14.25,14.25,14.01,14.14,5.17,44500,0.0,0
