Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,12.75,12.84,12.71,12.81,6.8,46300.0,0.0,0
2010-01-05,12.73,12.84,12.73,12.83,6.81,43600.0,0.0,0
2010-01-06,12.86,12.92,12.76,12.88,6.84,53000.0,0.0,0
2010-01-07,12.9,12.98,12.83,12.98,6.89,49600.0,0.0,0
2010-01-08,12.98,13.13,12.97,13.13,6.97,47900.0,0.0,0
2010-01-11,13.15,13.15,13.02,13.11,6.96,58800.0,0.0,0
2010-01-12,13.14,13.15,13.05,13.09,6.95,70000.0,0.0,0
2010-01-13,13.04,13.05,12.92,12.97,6.93,57800.0,0.079,0
2010-01-14,12.92,13.09,12.88,13.09,6.99,51000.0,0.0,0
2010-01-15,13.05,13.22,12.98,13.16,7.03,95000.0,0.0,0
2010-01-19,13.1,13.26,13.09,13.25,7.08,78500.0,0.0,0
2010-01-20,13.32,13.39,13.25,13.39,7.15,74000.0,0.0,0
2010-01-21,13.41,13.43,13.33,13.4,7.16,73000.0,0.0,0
2010-01-22,13.4,13.41,13.34,13.35,7.13,62600.0,0.0,0
2010-01-25,13.27,13.31,13.07,13.07,6.98,124500.0,0.0,0
2010-01-26,13.11,13.13,13.04,13.08,6.99,45800.0,0.0,0
2010-01-27,13.05,13.27,13.05,13.26,7.08,67600.0,0.0,0
2010-01-28,13.25,13.31,12.94,13.04,6.96,118800.0,0.0,0
2010-01-29,13.03,13.12,13.01,13.09,6.99,52300.0,0.0,0
2010-02-01,13.19,13.19,13.03,13.13,7.01,80600.0,0.0,0
2010-02-02,13.15,13.38,13.15,13.38,7.15,60700.0,0.0,0
2010-02-03,13.22,13.44,13.22,13.34,7.12,70000.0,0.0,0
2010-02-04,13.32,13.48,13.29,13.29,7.1,93900.0,0.0,0
2010-02-05,13.27,13.29,13.03,13.18,7.04,86600.0,0.0,0
2010-02-08,13.19,13.33,13.17,13.31,7.11,64000.0,0.0,0
2010-02-09,13.31,13.36,13.26,13.28,7.09,59200.0,0.0,0
2010-02-10,13.28,13.28,13.14,13.22,7.1,60500.0,0.079,0
2010-02-11,13.25,13.31,13.21,13.21,7.1,59100.0,0.0,0
