Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2012-06-18,16.84,17.16,16.79,17.0,12.57,7112,0.0,0
2012-06-19,16.87,17.71,16.87,17.35,12.83,26930,0.0,0
2012-06-20,17.32,17.42,17.23,17.23,12.74,2400,0.0,0
2012-06-21,17.27,17.4,17.09,17.09,12.64,3920,0.0,0
2012-06-22,17.24,17.35,17.24,17.29,12.78,5625,0.0,0
2012-06-25,17.28,17.54,17.28,17.48,12.92,3585,0.0,0
2012-06-26,17.38,17.47,17.35,17.42,12.88,10112,0.0,0
2012-06-27,17.35,17.5,17.35,17.5,12.94,4200,0.0,0
2012-06-28,17.34,17.52,17.32,17.5,12.94,7167,0.0,0
2012-06-29,17.59,17.73,17.5,17.51,12.95,5510,0.0,0
2012-07-02,17.57,17.61,17.56,17.56,12.98,4786,0.0,0
2012-07-03,17.59,17.59,17.39,17.39,12.86,4052,0.0,0
2012-07-05,17.3,17.3,17.09,17.13,12.67,9499,0.0,0
2012-07-06,17.17,17.2,17.07,17.07,12.62,1700,0.0,0
2012-07-09,17.02,17.31,17.0,17.19,12.71,5610,0.0,0
2012-07-10,17.27,17.27,17.12,17.22,12.73,8208,0.0,0
2012-07-11,17.32,17.47,17.2,17.44,12.89,11359,0.0,0
2012-07-12,17.26,17.62,17.18,17.56,12.98,8767,0.0,0
2012-07-13,17.68,17.93,17.68,17.81,13.17,12150,0.0,0
2012-07-16,17.91,18.11,17.8,18.0,13.31,20551,0.0,0
2012-07-17,17.97,18.14,17.95,18.0,13.31,6125,0.0,0
2012-07-18,18.08,18.16,17.92,18.16,13.43,9612,0.0,0
2012-07-19,18.04,18.19,18.01,18.07,13.36,19137,0.0,0
2012-07-20,17.95,18.11,17.89,18.01,13.32,14327,0.0,0
2012-07-23,17.99,18.14,17.97,17.97,13.29,3800,0.0,0
2012-07-24,18.11,18.27,18.11,18.25,13.49,9335,0.0,0
2012-07-25,18.2,18.25,18.04,18.23,13.48,2780,0.0,0
2012-07-26,18.26,18.5,18.17,18.17,13.43,13950,0.0,0
