Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,34.68,34.76,34.55,34.59,3956100,0.0,0
2010-01-05,34.88,35.03,34.68,34.83,4109600,0.0,0
2010-01-06,34.8,35.04,34.7,35.02,6227900,0.0,0
2010-01-07,35.04,35.09,34.9,35.0,4431300,0.0,0
2010-01-08,34.96,35.12,34.89,35.09,3786100,0.0,0
2010-01-11,35.99,36.24,35.93,36.19,8227200,0.0,0
2010-01-12,35.59,36.07,35.55,35.96,6126600,0.0,0
2010-01-13,35.85,36.24,35.67,36.14,5686600,0.0,0
2010-01-14,35.8,36.11,35.76,36.1,3330700,0.0,0
2010-01-15,36.03,36.09,35.84,36.04,3596700,0.0,0
2010-01-19,36.11,36.48,36.11,36.44,4914400,0.0,0
2010-01-20,35.87,35.93,35.44,35.71,5410900,0.0,0
2010-01-21,35.64,35.73,34.58,34.83,7184400,0.0,0
2010-01-22,34.37,34.56,33.78,33.84,7297200,0.0,0
2010-01-25,34.24,34.38,34.04,34.24,4039100,0.0,0
2010-01-26,33.89,34.45,33.8,34.2,5684700,0.0,0
2010-01-27,33.85,34.02,33.59,33.95,6025600,0.0,0
2010-01-28,34.15,34.2,33.31,33.52,5003700,0.0,0
2010-01-29,33.38,33.55,32.67,32.82,7643200,0.0,0
2010-02-01,33.02,33.48,33.02,33.47,6031200,0.0,0
2010-02-02,31.81,32.58,31.66,32.43,18574000,0.0,0
2010-02-03,32.37,32.47,32.07,32.26,8410700,0.0,0
2010-02-04,32.02,32.03,31.25,31.27,8364700,0.0,0
2010-02-05,31.06,31.17,30.47,31.1,11065800,0.0,0
2010-02-08,30.78,31.13,30.48,30.66,7808900,0.0,0
2010-02-09,30.95,31.64,30.83,31.35,8017100,0.0,0
2010-02-10,31.41,31.53,31.06,31.37,5598300,0.0,0
2010-02-11,31.51,32.08,31.34,32.04,6878000,0.0,0
2010-02-12,31.66,32.04,31.53,31.97,6761900,0.0,0
2010-02-16,32.08,32.83,31.96,32.72,11509700,0.0,0
2010-02-17,32.44,32.53,32.07,32.2,7368200,0.84,0
2010-02-18,32.16,32.59,32.16,32.5,4666100,0.0,0
2010-02-19,31.87,32.29,31.8,32.24,6051800,0.0,0
2010-02-22,32.4,32.43,32.11,32.21,5497600,0.0,0
2010-02-23,31.79,31.92,31.53,31.59,7009200,0.0,0
2010-02-24,31.77,31.99,31.62,31.81,5022200,0.0,0
2010-02-25,31.1,31.4,30.87,31.4,8799700,0.0,0
2010-02-26,31.26,31.67,31.17,31.59,6343600,0.0,0
2010-03-01,31.68,32.08,31.62,32.05,6020800,0.0,0
2010-03-02,31.89,32.2,31.81,32.06,5975400,0.0,0
2010-03-03,32.22,32.73,32.22,32.57,6239900,0.0,0
2010-03-04,32.85,32.93,32.53,32.71,5038000,0.0,0
2010-03-05,32.89,33.15,32.82,33.11,5177700,0.0,0
2010-03-08,33.23,33.47,33.16,33.35,5918400,0.0,0
2010-03-09,33.0,33.39,32.99,33.27,4712100,0.0,0
2010-03-10,33.23,33.48,33.19,33.36,6177800,0.0,0
2010-03-11,33.34,33.63,33.26,33.6,4161500,0.0,0
2010-03-12,33.65,33.83,33.55,33.76,6646100,0.0,0
2010-03-15,33.58,33.61,33.29,33.59,4747400,0.0,0
2010-03-16,33.65,33.98,33.59,33.95,4949000,0.0,0
2010-03-17,34.41,34.69,34.35,34.52,6501700,0.0,0
2010-03-18,34.71,34.72,34.27,34.52,4531100,0.0,0
2010-03-19,34.25,34.58,33.92,34.25,5393600,0.0,0
2010-03-22,33.62,34.11,33.58,34.05,5869300,0.0,0
2010-03-23,34.16,34.44,34.07,34.4,5391100,0.0,0
2010-03-24,33.9,34.04,33.79,33.98,6600000,0.0,0
2010-03-25,33.99,34.05,33.55,33.56,6029600,0.0,0
2010-03-26,33.54,33.78,33.44,33.65,5852100,0.0,0
2010-03-29,33.49,33.82,33.48,33.77,6023400,0.0,0
2010-03-30,33.8,33.91,33.64,33.74,5848600,0.0,0
2010-03-31,33.65,34.01,33.61,33.88,6330300,0.0,0
2010-04-01,34.11,34.47,34.09,34.28,6979700,0.0,0
2010-04-05,34.59,34.83,34.43,34.74,3636100,0.0,0
2010-04-06,34.75,35.28,34.68,35.24,5790300,0.0,0
2010-04-07,35.01,35.12,34.78,34.9,4961800,0.0,0
2010-04-08,34.59,35.05,34.48,35.01,4117500,0.0,0
2010-04-09,35.1,35.32,35.04,35.3,6550500,0.0,0
2010-04-12,35.19,35.39,35.15,35.23,3896600,0.0,0
2010-04-13,35.35,35.38,34.85,35.2,3691100,0.0,0
