Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-03-28,8.67,8.72,8.63,8.7,311900,0.0,0
2014-03-31,8.67,8.71,8.67,8.67,25000,0.0,0
2014-04-01,8.68,9.35,8.68,9.12,17000,0.0,0
2014-04-02,9.21,9.21,8.88,8.97,6900,0.0,0
2014-04-03,8.97,9.0,8.73,8.73,16100,0.0,0
2014-04-04,8.73,8.75,8.67,8.73,6500,0.0,0
2014-04-07,8.76,8.76,8.67,8.67,5900,0.0,0
2014-04-08,8.67,8.7,8.67,8.7,9700,0.0,0
2014-04-09,8.67,8.73,8.67,8.73,26700,0.0,0
2014-04-10,8.85,8.85,8.67,8.67,15500,0.0,0
2014-04-11,8.73,8.97,8.72,8.73,14400,0.0,0
2014-04-14,8.97,9.12,8.73,8.77,8100,0.0,0
2014-04-15,8.73,8.73,8.71,8.73,3000,0.0,0
2014-04-16,8.85,8.85,8.67,8.73,3800,0.0,0
2014-04-17,8.73,8.79,8.67,8.77,9000,0.0,0
2014-04-21,8.67,8.96,8.67,8.68,12100,0.0,0
2014-04-22,8.85,8.85,8.55,8.56,36400,0.0,0
2014-04-23,8.55,8.61,7.91,8.54,36400,0.096666,0
2014-04-24,8.61,8.61,8.44,8.44,8200,0.0,0
2014-04-25,8.46,8.46,8.43,8.44,1100,0.0,0
2014-04-28,8.5,8.5,8.33,8.48,5800,0.0,0
2014-04-29,8.36,8.43,8.36,8.38,7600,0.0,0
2014-04-30,8.14,8.17,7.89,8.11,24300,0.0,0
2014-05-01,8.13,8.25,8.03,8.12,22700,0.0,0
2014-05-02,8.2,8.21,8.17,8.2,1500,0.0,0
2014-05-05,8.26,8.28,8.22,8.28,3200,0.0,0
2014-05-06,8.26,8.26,7.94,8.03,13900,0.0,0
2014-05-07,8.1,8.23,8.04,8.04,23300,0.0,0
2014-05-08,8.1,8.17,7.53,7.67,30800,0.0,0
2014-05-09,8.11,8.11,7.83,8.06,16000,0.0,0
2014-05-12,8.06,8.06,7.67,7.76,16500,0.0,0
2014-05-13,7.8,7.88,7.59,7.59,13900,0.0,0
2014-05-14,7.71,7.98,7.6,7.6,29900,0.0,0
2014-05-15,7.65,7.95,7.65,7.95,14000,0.0,0
2014-05-16,7.98,8.08,7.92,7.95,14800,0.0,0
2014-05-19,8.04,8.12,7.83,7.87,8700,0.0,0
2014-05-20,7.68,7.89,7.6,7.82,36200,0.0,0
2014-05-21,7.62,7.88,7.61,7.88,25300,0.096667,0
2014-05-22,7.75,7.86,7.58,7.62,40200,0.0,0
2014-05-23,7.64,7.7,7.52,7.55,32100,0.0,0
2014-05-27,7.57,7.58,7.29,7.35,43000,0.0,0
2014-05-28,7.41,7.86,7.32,7.77,38900,0.0,0
2014-05-29,7.63,8.04,7.6,7.89,19200,0.0,0
2014-05-30,7.89,7.95,7.74,7.77,18400,0.0,0
2014-06-02,7.88,8.12,7.88,8.12,25600,0.0,0
2014-06-03,8.07,8.34,7.88,8.21,21400,0.0,0
2014-06-04,8.07,8.34,7.89,8.34,15200,0.0,0
2014-06-05,8.4,8.51,8.32,8.5,33100,0.0,0
2014-06-06,8.49,8.57,8.39,8.57,15900,0.0,0
2014-06-09,8.64,8.66,8.38,8.66,17700,0.0,0
2014-06-10,8.6,8.71,8.19,8.46,14300,0.0,0
2014-06-11,8.65,8.65,8.34,8.46,16900,0.0,0
2014-06-12,8.35,8.46,8.24,8.41,22500,0.0,0
2014-06-13,8.43,8.72,8.43,8.65,24500,0.0,0
2014-06-16,8.61,8.72,8.41,8.72,18600,0.0,0
2014-06-17,8.65,8.74,8.39,8.55,12500,0.0,0
2014-06-18,8.68,8.7,8.29,8.45,24200,0.0,0
2014-06-19,8.6,8.6,8.44,8.55,24300,0.0,0
2014-06-20,8.49,8.49,7.58,7.58,65000,0.0,0
2014-06-23,7.73,8.22,7.73,8.1,23000,0.096667,0
2014-06-24,8.1,8.16,8.01,8.1,15600,0.0,0
2014-06-25,8.07,8.13,8.0,8.13,14200,0.0,0
2014-06-26,8.07,8.1,8.01,8.02,21400,0.0,0
2014-06-27,8.03,8.04,7.89,7.89,16700,0.0,0
2014-06-30,7.93,8.1,7.93,8.06,17000,0.0,0
2014-07-01,8.02,8.22,8.01,8.22,17500,0.0,0
2014-07-02,8.4,8.4,8.11,8.16,10400,0.0,0
2014-07-03,8.11,8.35,7.65,8.35,10900,0.0,0
2014-07-07,8.35,8.35,8.1,8.16,13400,0.0,0
2014-07-08,8.13,8.13,8.01,8.05,22600,0.0,0
