Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,12.15,12.31,12.08,12.16,11.9,488900,0.0,0
2010-01-05,12.18,12.49,12.08,12.48,12.21,411300,0.0,0
2010-01-06,12.46,13.13,12.42,13.07,12.79,716400,0.0,0
2010-01-07,13.08,13.62,12.84,13.44,13.15,1684200,0.0,0
2010-01-08,13.39,13.53,13.34,13.46,13.17,646500,0.0,0
2010-01-11,13.66,13.87,13.45,13.87,13.57,506500,0.0,0
2010-01-12,13.7,13.75,13.11,13.19,12.91,752400,0.0,0
2010-01-13,13.29,13.51,12.84,13.44,13.15,1412100,0.0,0
2010-01-14,13.36,13.9,13.36,13.79,13.49,1053300,0.0,0
2010-01-15,13.82,13.89,13.62,13.7,13.4,865800,0.0,0
2010-01-19,13.65,13.85,13.31,13.66,13.37,465500,0.0,0
2010-01-20,13.41,13.5,13.15,13.29,13.0,745800,0.0,0
2010-01-21,13.25,13.43,13.08,13.25,12.96,865200,0.0,0
2010-01-22,13.2,13.35,12.86,13.01,12.73,700200,0.0,0
2010-01-25,13.15,13.35,12.88,13.14,12.86,590800,0.0,0
2010-01-26,13.07,13.16,12.62,12.62,12.35,619600,0.0,0
2010-01-27,12.6,12.67,12.39,12.58,12.31,701300,0.0,0
2010-01-28,12.62,12.62,12.18,12.29,12.03,673400,0.0,0
2010-01-29,12.32,12.44,12.18,12.27,12.01,437900,0.0,0
2010-02-01,12.33,12.81,12.24,12.74,12.47,664300,0.0,0
2010-02-02,12.71,13.16,12.6,12.84,12.56,460100,0.0,0
2010-02-03,12.76,12.94,12.47,12.71,12.44,296000,0.0,0
2010-02-04,12.65,12.71,12.1,12.27,12.01,616600,0.0,0
2010-02-05,12.6,13.15,12.53,12.83,12.55,959200,0.0,0
2010-02-08,12.89,13.18,12.67,12.77,12.49,434700,0.0,0
2010-02-09,12.96,13.02,12.7,12.84,12.56,341000,0.0,0
2010-02-10,12.84,12.88,12.49,12.54,12.27,313900,0.0,0
2010-02-11,12.52,12.81,12.45,12.79,12.51,227600,0.0,0
2010-02-12,12.66,13.07,12.58,13.07,12.79,486600,0.0,0
2010-02-16,13.11,13.11,12.85,12.94,12.66,335800,0.0,0
2010-02-17,12.99,13.08,12.94,13.04,12.76,241600,0.0,0
2010-02-18,13.07,13.52,13.07,13.47,13.18,596600,0.0,0
2010-02-19,13.48,13.5,13.28,13.38,13.09,634000,0.0,0
2010-02-22,13.39,13.56,13.23,13.48,13.19,315000,0.0,0
2010-02-23,13.48,13.53,13.2,13.3,13.01,425200,0.0,0
2010-02-24,13.29,13.67,13.22,13.59,13.3,412700,0.0,0
2010-02-25,13.41,13.69,12.87,12.87,12.59,1140800,0.0,0
