Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,3.46,3.6,3.35,3.47,2.37,7900,0.0,0
2010-01-05,3.45,3.64,3.45,3.5,2.39,10400,0.0,0
2010-01-06,3.51,3.65,3.36,3.6,2.46,14200,0.0,0
2010-01-07,3.59,3.59,3.35,3.48,2.38,13000,0.0,0
2010-01-08,3.43,3.43,3.4,3.4,2.32,2900,0.0,0
2010-01-11,3.42,3.49,3.34,3.41,2.33,6600,0.0,0
2010-01-12,3.38,3.43,3.38,3.4,2.32,2700,0.0,0
2010-01-13,3.37,3.47,3.3,3.39,2.32,9200,0.0,0
2010-01-14,3.34,3.68,3.33,3.62,2.47,17400,0.0,0
2010-01-15,4.15,4.2,3.6,4.2,2.87,57000,0.0,0
2010-01-19,4.13,4.13,3.81,3.94,2.69,34900,0.0,0
2010-01-20,3.95,3.95,3.65,3.7,2.53,18500,0.0,0
2010-01-21,3.69,3.77,3.56,3.71,2.53,10600,0.0,0
2010-01-22,3.72,4.1,3.44,4.08,2.79,20400,0.0,0
2010-01-25,4.2,4.42,4.12,4.25,2.9,33100,0.0,0
2010-01-26,4.15,4.15,3.75,3.9,2.66,28400,0.0,0
2010-01-27,3.98,4.11,3.89,4.11,2.81,8400,0.0,0
2010-01-28,4.09,4.45,4.09,4.39,3.0,30900,0.0,0
2010-01-29,4.4,4.5,4.31,4.36,2.98,16700,0.0,0
2010-02-01,4.36,4.42,4.15,4.27,2.92,7800,0.0,0
2010-02-02,4.24,4.4,4.24,4.33,2.96,3800,0.0,0
2010-02-03,4.3,4.36,4.28,4.33,2.96,8200,0.0,0
2010-02-04,4.31,4.34,4.27,4.3,2.94,10200,0.0,0
2010-02-05,4.2,4.35,4.2,4.23,2.89,9100,0.0,0
2010-02-08,4.31,4.49,4.12,4.15,2.83,17800,0.0,0
2010-02-09,4.23,4.55,3.97,4.49,3.07,78300,0.0,0
2010-02-10,4.41,4.45,4.21,4.25,2.9,13300,0.0,0
2010-02-11,3.99,4.55,3.89,4.51,3.08,39600,0.0,0
2010-02-12,4.49,4.52,4.29,4.52,3.09,11600,0.0,0
2010-02-16,4.49,4.5,4.41,4.43,3.03,14800,0.0,0
2010-02-17,4.39,4.5,4.31,4.46,3.05,8400,0.0,0
2010-02-18,4.44,4.54,4.44,4.5,3.07,19700,0.0,0
2010-02-19,4.46,4.46,4.27,4.4,3.01,10200,0.0,0
2010-02-22,4.44,4.55,4.14,4.33,2.96,32100,0.0,0
2010-02-23,4.13,4.53,4.13,4.53,3.09,20000,0.0,0
2010-02-24,4.51,4.51,4.16,4.16,2.84,15300,0.0,0
2010-02-25,4.16,4.54,4.16,4.49,3.07,21700,0.0,0
2010-02-26,4.49,4.52,4.1,4.1,2.8,9800,0.0,0
2010-03-01,4.23,4.54,4.23,4.54,3.1,11300,0.0,0
2010-03-02,4.49,4.5,4.41,4.42,3.02,17900,0.0,0
2010-03-03,4.45,4.65,4.45,4.58,3.13,32300,0.0,0
2010-03-04,4.6,4.8,4.6,4.8,3.28,48900,0.0,0
2010-03-05,4.8,4.88,4.71,4.8,3.28,15100,0.0,0
2010-03-08,4.81,4.99,4.81,4.99,3.41,6200,0.0,0
2010-03-09,4.98,5.0,4.84,4.89,3.34,32300,0.0,0
2010-03-10,4.93,5.1,4.86,5.1,3.48,26000,0.0,0
2010-03-11,5.05,5.2,5.05,5.11,3.49,17200,0.0,0
2010-03-12,5.18,5.4,5.18,5.4,3.69,36400,0.0,0
2010-03-15,5.4,5.8,5.33,5.8,3.96,93700,0.0,0
2010-03-16,5.8,6.3,5.8,6.14,4.19,122500,0.0,0
2010-03-17,6.14,6.24,6.0,6.15,4.2,37600,0.0,0
2010-03-18,6.21,6.22,5.8,6.16,4.21,47100,0.0,0
2010-03-19,6.14,6.14,4.59,5.0,3.42,320000,0.0,0
2010-03-22,5.04,5.1,4.9,5.02,3.43,107700,0.0,0
2010-03-23,4.98,5.31,4.98,5.28,3.61,30100,0.0,0
2010-03-24,5.38,5.58,5.36,5.47,3.74,28700,0.0,0
2010-03-25,5.46,5.66,5.21,5.58,3.81,7800,0.0,0
2010-03-26,5.53,5.84,5.53,5.6,3.83,16100,0.0,0
2010-03-29,5.75,5.85,5.62,5.74,3.92,17900,0.0,0
2010-03-30,5.66,5.92,5.62,5.74,3.92,11000,0.0,0
2010-03-31,5.76,5.88,5.64,5.64,3.85,8500,0.0,0
2010-04-01,5.62,5.98,5.6,5.98,4.08,23400,0.0,0
2010-04-05,5.98,6.15,5.93,6.08,4.15,34400,0.0,0
2010-04-06,6.11,6.22,5.91,6.13,4.19,17900,0.0,0
2010-04-07,6.15,6.19,6.02,6.14,4.19,13900,0.0,0
2010-04-08,6.17,6.25,6.12,6.2,4.23,19700,0.0,0
2010-04-09,6.19,6.19,5.85,6.1,4.17,25900,0.0,0
2010-04-12,6.03,6.19,5.97,6.1,4.17,27800,0.0,0
2010-04-13,6.0,6.2,6.0,6.12,4.18,21600,0.0,0
2010-04-14,6.11,6.2,5.98,6.08,4.15,20500,0.0,0
2010-04-15,6.01,6.17,6.01,6.11,4.17,7300,0.0,0
2010-04-16,6.0,6.16,5.94,6.14,4.19,14400,0.0,0
2010-04-19,6.04,6.12,5.73,5.9,4.03,32100,0.0,0
2010-04-20,5.83,6.0,5.77,5.89,4.02,19800,0.0,0
2010-04-21,6.07,6.08,5.61,5.89,4.02,26100,0.0,0
2010-04-22,5.77,5.99,5.71,5.97,4.08,14900,0.0,0
2010-04-23,5.86,5.98,5.79,5.86,4.0,20300,0.0,0
2010-04-26,5.85,6.05,5.81,5.81,3.97,22200,0.0,0
2010-04-27,5.92,5.97,5.9,5.97,4.08,28100,0.0,0
2010-04-28,6.03,6.04,5.96,6.03,4.12,6700,0.0,0
2010-04-29,6.03,6.06,5.98,6.06,4.14,9200,0.0,0
2010-04-30,6.07,6.11,5.93,5.99,4.09,23700,0.0,0
2010-05-03,5.99,6.06,5.86,5.9,4.03,5500,0.0,0
2010-05-04,5.79,5.85,5.68,5.81,3.97,15400,0.0,0
2010-05-05,5.78,5.9,5.52,5.56,3.8,8100,0.0,0
2010-05-06,5.6,5.8,4.69,5.34,3.65,47900,0.0,0
2010-05-07,5.28,5.43,5.0,5.03,3.44,47000,0.0,0
2010-05-10,5.1,5.31,5.1,5.2,3.55,21300,0.0,0
2010-05-11,5.18,5.8,5.07,5.77,3.94,73600,0.0,0
2010-05-12,5.79,5.88,5.69,5.8,3.96,22900,0.0,0
2010-05-13,5.72,5.92,5.72,5.8,3.96,8000,0.0,0
2010-05-14,5.71,5.71,5.46,5.59,3.82,9500,0.0,0
2010-05-17,5.61,5.74,5.35,5.56,3.8,10700,0.0,0
2010-05-18,5.43,5.58,5.28,5.41,3.7,17100,0.0,0
2010-05-19,5.49,5.71,5.27,5.67,3.87,35100,0.0,0
2010-05-20,5.52,5.58,5.1,5.18,3.54,64300,0.0,0
2010-05-21,5.03,5.24,4.9,5.08,3.47,22000,0.0,0
2010-05-24,5.19,5.35,5.08,5.24,3.58,11100,0.0,0
2010-05-25,5.14,5.32,5.05,5.18,3.54,14600,0.0,0
2010-05-26,5.24,5.49,5.11,5.18,3.54,9800,0.0,0
2010-05-27,5.12,5.35,5.11,5.32,3.63,17800,0.0,0
2010-05-28,5.41,5.95,5.11,5.33,3.64,17300,0.0,0
2010-06-01,5.36,5.91,5.0,5.64,3.85,11600,0.0,0
2010-06-02,5.5,5.75,5.39,5.7,3.89,22000,0.0,0
2010-06-03,5.65,5.73,5.47,5.5,3.76,20500,0.0,0
2010-06-04,5.45,5.6,5.2,5.47,3.74,8400,0.0,0
2010-06-07,5.47,5.47,5.28,5.29,3.61,6400,0.0,0
2010-06-08,5.21,5.35,5.09,5.11,3.49,7500,0.0,0
2010-06-09,5.11,5.25,5.1,5.17,3.53,9700,0.0,0
2010-06-10,5.25,5.3,5.12,5.19,3.55,2100,0.0,0
2010-06-11,5.17,5.45,5.17,5.33,3.64,10900,0.0,0
2010-06-14,5.31,5.31,5.14,5.14,3.51,11200,0.0,0
2010-06-15,5.14,5.58,5.07,5.48,3.74,62300,0.0,0
2010-06-16,5.14,5.26,5.14,5.21,3.56,13200,0.0,0
2010-06-17,5.47,5.48,5.1,5.28,3.61,13800,0.0,0
2010-06-18,5.11,5.29,5.09,5.23,3.57,19200,0.0,0
2010-06-21,5.1,5.25,5.08,5.14,3.51,22400,0.0,0
2010-06-22,5.08,5.1,5.0,5.0,3.42,20100,0.0,0
2010-06-23,5.02,5.2,4.64,4.8,3.28,18400,0.0,0
2010-06-24,4.84,4.89,4.7,4.78,3.26,7700,0.0,0
2010-06-25,4.83,5.2,4.65,4.65,3.18,74900,0.0,0
2010-06-28,4.67,4.7,4.5,4.56,3.11,17800,0.0,0
2010-06-29,4.52,4.55,4.32,4.35,2.97,16600,0.0,0
2010-06-30,4.27,4.53,4.23,4.28,2.92,46400,0.0,0
2010-07-01,4.26,4.49,4.04,4.09,2.79,31200,0.0,0
2010-07-02,3.83,4.13,3.83,4.0,2.73,20400,0.0,0
2010-07-06,4.07,4.07,3.85,3.91,2.67,56800,0.0,0
2010-07-07,3.97,4.07,3.92,4.05,2.77,29600,0.0,0
2010-07-08,4.03,4.08,3.77,3.77,2.58,17300,0.0,0
2010-07-09,3.96,4.74,3.96,4.54,3.1,35300,0.0,0
2010-07-12,4.59,4.75,4.59,4.69,3.2,6800,0.0,0
2010-07-13,4.73,4.77,3.98,4.34,2.96,55100,0.0,0
2010-07-14,4.36,4.39,4.25,4.38,2.99,5000,0.0,0
2010-07-15,4.39,4.54,4.39,4.5,3.07,6400,0.0,0
2010-07-16,4.57,4.63,4.46,4.46,3.05,13100,0.0,0
2010-07-19,4.48,4.65,4.4,4.49,3.07,14800,0.0,0
2010-07-20,4.42,4.53,4.15,4.53,3.09,34400,0.0,0
2010-07-21,4.46,4.59,4.33,4.47,3.05,11200,0.0,0
2010-07-22,4.47,4.54,4.47,4.47,3.05,7000,0.0,0
2010-07-23,4.47,4.54,4.47,4.52,3.09,6300,0.0,0
2010-07-26,4.35,4.56,4.35,4.54,3.1,10100,0.0,0
2010-07-27,4.55,4.61,4.51,4.57,3.12,7800,0.0,0
2010-07-28,4.61,4.72,4.61,4.69,3.2,18000,0.0,0
2010-07-29,4.71,4.78,4.68,4.76,3.25,26100,0.0,0
2010-07-30,4.8,4.85,4.75,4.81,3.29,3600,0.0,0
2010-08-02,4.86,4.95,4.86,4.95,3.38,35500,0.0,0
2010-08-03,4.95,4.95,4.72,4.86,3.32,17000,0.0,0
2010-08-04,4.92,4.97,4.85,4.85,3.31,7000,0.0,0
2010-08-05,4.88,4.97,4.86,4.96,3.39,5000,0.0,0
2010-08-06,4.95,4.97,4.75,4.93,3.37,10400,0.0,0
2010-08-09,4.9,4.97,4.9,4.97,3.39,10700,0.0,0
2010-08-10,4.89,4.97,4.89,4.97,3.39,7300,0.0,0
2010-08-11,4.96,4.99,4.96,4.98,3.4,1700,0.0,0
2010-08-12,4.88,5.0,4.88,5.0,3.42,2500,0.0,0
2010-08-13,4.99,5.0,4.96,4.96,3.39,3500,0.0,0
2010-08-16,4.96,4.96,4.75,4.9,3.35,27600,0.0,0
2010-08-17,4.91,4.98,4.77,4.77,3.26,33400,0.0,0
2010-08-18,4.77,4.94,4.75,4.86,3.32,1300,0.0,0
2010-08-19,4.81,4.91,4.81,4.91,3.35,900,0.0,0
2010-08-20,4.87,4.91,4.81,4.88,3.33,5000,0.0,0
2010-08-23,4.88,4.88,4.71,4.71,3.22,11400,0.0,0
2010-08-24,4.76,4.86,4.71,4.8,3.28,12600,0.0,0
2010-08-25,4.81,4.81,4.66,4.75,3.24,1200,0.0,0
2010-08-26,4.76,4.77,4.65,4.77,3.26,14000,0.0,0
2010-08-27,4.72,4.77,4.67,4.67,3.19,8400,0.0,0
2010-08-30,4.65,4.74,4.65,4.7,3.21,8600,0.0,0
2010-08-31,4.68,4.74,4.65,4.74,3.24,7800,0.0,0
2010-09-01,4.68,4.8,4.5,4.5,3.07,66000,0.0,0
2010-09-02,4.52,4.66,4.52,4.66,3.18,500,0.0,0
2010-09-03,4.77,4.94,4.7,4.82,3.29,29300,0.0,0
2010-09-07,4.77,4.77,4.61,4.7,3.21,4500,0.0,0
2010-09-08,4.68,4.83,4.68,4.74,3.24,13300,0.0,0
2010-09-09,4.66,4.95,4.65,4.95,3.38,21800,0.0,0
2010-09-10,4.91,4.95,4.8,4.86,3.32,26400,0.0,0
2010-09-13,4.82,4.95,4.8,4.92,3.36,10000,0.0,0
2010-09-14,4.89,4.96,4.89,4.96,3.39,2500,0.0,0
2010-09-15,4.91,4.95,4.71,4.71,3.22,9500,0.0,0
2010-09-16,4.8,4.97,4.8,4.86,3.32,11700,0.0,0
2010-09-17,4.9,4.9,4.8,4.89,3.34,24600,0.0,0
2010-09-20,4.85,4.95,4.85,4.9,3.35,8800,0.0,0
2010-09-21,4.85,4.97,4.7,4.75,3.24,13900,0.0,0
2010-09-22,4.8,4.9,4.71,4.86,3.32,6900,0.0,0
2010-09-23,4.85,4.85,4.57,4.74,3.24,1600,0.0,0
2010-09-24,4.74,4.92,4.7,4.85,3.31,7000,0.0,0
2010-09-27,4.85,4.93,4.85,4.88,3.33,11000,0.0,0
2010-09-28,4.92,4.94,4.83,4.9,3.35,11600,0.0,0
2010-09-29,4.9,5.04,4.9,5.01,3.42,23900,0.0,0
2010-09-30,4.98,5.0,4.93,4.93,3.37,1800,0.0,0
2010-10-01,5.0,5.0,4.95,4.95,3.38,1200,0.0,0
2010-10-04,4.85,5.01,4.85,4.87,3.33,15200,0.0,0
2010-10-05,5.01,5.08,4.89,5.0,3.42,85500,0.0,0
2010-10-06,5.05,5.05,4.95,4.99,3.41,5500,0.0,0
2010-10-07,4.96,5.01,4.95,4.99,3.41,56600,0.0,0
2010-10-08,4.92,5.1,4.85,5.1,3.48,29700,0.0,0
2010-10-11,5.06,5.06,4.93,4.93,3.37,20800,0.0,0
2010-10-12,4.96,5.0,4.95,4.99,3.41,15300,0.0,0
2010-10-13,5.01,5.01,4.81,4.81,3.29,17100,0.0,0
2010-10-14,4.85,5.0,4.79,5.0,3.42,14800,0.0,0
2010-10-15,5.01,5.01,4.88,4.91,3.35,8700,0.0,0
2010-10-18,4.89,5.0,4.83,5.0,3.42,15100,0.0,0
2010-10-19,5.0,5.0,5.0,5.0,3.42,0,0.0,0
2010-10-20,4.93,5.0,4.85,4.92,3.36,11800,0.0,0
2010-10-21,4.9,4.95,4.88,4.95,3.38,26800,0.0,0
2010-10-22,4.9,4.91,4.82,4.82,3.29,7800,0.0,0
2010-10-25,4.89,4.89,4.62,4.8,3.28,42200,0.0,0
2010-10-26,4.75,4.75,4.61,4.72,3.22,21200,0.0,0
2010-10-27,4.78,4.78,4.42,4.62,3.16,40800,0.0,0
2010-10-28,4.67,4.69,4.56,4.62,3.16,13400,0.0,0
2010-10-29,4.69,4.74,4.6,4.74,3.24,8400,0.0,0
2010-11-01,4.66,4.66,4.57,4.58,3.13,16000,0.0,0
2010-11-02,4.57,4.65,4.57,4.58,3.13,21000,0.0,0
2010-11-03,4.58,4.58,4.48,4.52,3.09,17700,0.0,0
2010-11-04,4.58,4.67,4.57,4.64,3.17,10100,0.0,0
2010-11-05,4.65,4.73,4.61,4.63,3.16,3700,0.0,0
2010-11-08,4.62,4.69,4.6,4.62,3.16,6800,0.0,0
2010-11-09,4.61,4.71,4.56,4.6,3.14,28900,0.0,0
2010-11-10,4.56,4.59,4.34,4.34,2.96,36200,0.0,0
2010-11-11,4.44,4.45,4.4,4.4,3.01,12300,0.0,0
2010-11-12,4.45,4.45,4.35,4.43,3.03,9700,0.0,0
2010-11-15,4.41,4.42,4.35,4.36,2.98,13000,0.0,0
2010-11-16,4.38,4.38,4.3,4.34,2.96,14600,0.0,0
2010-11-17,4.31,4.36,4.21,4.3,2.94,5300,0.0,0
2010-11-18,4.35,4.36,4.14,4.2,2.87,19200,0.0,0
2010-11-19,4.16,4.19,4.04,4.08,2.79,19700,0.0,0
2010-11-22,4.04,4.1,3.89,3.89,2.66,31600,0.0,0
2010-11-23,3.9,3.99,3.69,3.87,2.64,8700,0.0,0
2010-11-24,3.89,4.27,3.84,4.11,2.81,15400,0.0,0
2010-11-26,4.12,4.12,4.05,4.09,2.79,500,0.0,0
