Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2012-09-26,12.6,13.3,12.43,12.91,8.8182,142363200,0.0,0
2012-09-27,13.0,13.5,13.0,13.5,9.2212,22513400,0.0,0
2012-09-28,13.23,13.9,13.23,13.7,9.3578,13060200,0.0,0
2012-10-01,13.6,14.05,12.7,13.72,9.3715,15126100,0.0,0
2012-10-02,13.81,13.89,13.46,13.65,9.3237,13576200,0.0,0
2012-10-03,13.52,13.66,13.51,13.66,9.3305,4815900,0.0,0
2012-10-04,13.75,13.99,13.71,13.78,9.4125,4600700,0.0,0
2012-10-05,13.92,14.14,13.85,14.1,9.631,7754100,0.0,0
2012-10-08,14.08,14.34,13.98,14.24,9.7267,6111000,0.0,0
2012-10-09,14.25,14.77,14.24,14.34,9.795,28150400,0.0,0
2012-10-10,14.35,14.51,14.16,14.43,9.8564,7255500,0.0,0
2012-10-11,14.48,14.67,14.36,14.6,9.9726,6814400,0.0,0
2012-10-12,14.54,14.62,14.48,14.55,9.9384,2258600,0.0,0
2012-10-15,14.59,14.75,14.41,14.5,9.9043,1794000,0.0,0
2012-10-16,14.6,14.7,14.47,14.5,9.9043,1845700,0.0,0
2012-10-17,14.6,14.6,14.25,14.25,9.7335,4846500,0.0,0
2012-10-18,14.25,14.28,14.18,14.19,9.6925,3829700,0.0,0
2012-10-19,14.36,14.59,14.0,14.07,9.6105,7339600,0.0,0
2012-10-22,14.41,14.54,13.65,13.98,9.5491,4454000,0.0,0
2012-10-23,13.88,13.97,13.52,13.66,9.3305,5473700,0.0,0
2012-10-24,13.8,13.86,13.72,13.82,9.4398,1812600,0.0,0
2012-10-25,13.96,14.09,13.88,13.98,9.5491,5679800,0.0,0
2012-10-26,14.05,14.05,13.59,13.77,9.4056,2837400,0.0,0
2012-10-31,13.5,13.83,13.35,13.67,9.3373,3008500,0.0,0
2012-11-01,13.44,14.25,13.22,14.23,9.7198,4067700,0.0,0
2012-11-02,14.3,14.48,14.17,14.43,9.8564,1907900,0.0,0
2012-11-05,14.5,14.5,14.16,14.25,9.7335,4974900,0.0,0
2012-11-06,14.25,14.34,14.18,14.26,9.7403,4327600,0.0,0
2012-11-07,14.09,14.25,13.88,13.98,9.5491,2350900,0.0,0
2012-11-08,14.3,14.3,13.61,13.77,9.4056,1751700,0.0,0
2012-11-09,13.87,13.95,13.6,13.86,9.4671,1258400,0.0,0
2012-11-12,13.95,13.96,13.71,13.78,9.4125,895700,0.0,0
2012-11-13,13.84,14.15,13.68,14.06,9.6037,2078900,0.0,0
2012-11-14,14.1,14.12,13.73,13.75,9.392,1112800,0.0,0
2012-11-15,13.6,13.68,13.5,13.57,9.269,2076200,0.0,0
2012-11-16,13.66,13.71,13.5,13.51,9.228,2452400,0.0,0
2012-11-19,13.57,13.73,13.47,13.73,9.3783,2117500,0.0,0
2012-11-20,13.75,14.1,13.75,13.98,9.5491,1842000,0.0,0
2012-11-21,14.07,14.11,14.0,14.11,9.6379,622500,0.0,0
2012-11-23,14.1,14.15,13.98,14.11,9.6379,722000,0.0,0
2012-11-26,14.07,14.29,14.0,14.14,9.6584,1107700,0.0,0
2012-11-27,13.95,14.39,13.95,14.33,9.7881,1238200,0.0,0
2012-11-28,14.2,14.41,14.01,14.4,9.836,831400,0.0,0
2012-11-29,14.5,14.53,14.41,14.46,9.8769,1621000,0.0,0
2012-11-30,14.39,14.77,14.38,14.61,9.9794,1616900,0.0,0
2012-12-03,14.63,14.79,14.63,14.75,10.075,1744700,0.0,0
2012-12-04,14.7,15.04,14.54,15.02,10.2594,3333700,0.0,0
2012-12-05,15.12,15.29,14.94,15.05,10.2799,1414000,0.0,0
2012-12-06,15.02,15.45,14.84,15.2,10.3824,1776000,0.0,0
2012-12-07,15.32,15.32,15.08,15.29,10.4439,1334800,0.0,0
2012-12-10,15.59,16.14,15.35,15.41,10.5258,3213400,0.0,0
2012-12-11,15.41,15.61,15.37,15.54,10.6146,2100500,0.0,0
2012-12-12,15.66,15.83,14.67,15.66,10.6966,1611300,0.0,0
2012-12-13,15.71,15.8,15.35,15.53,10.6078,1876500,0.0,0
2012-12-14,15.5,15.88,15.32,15.64,10.6829,841900,0.0,0
2012-12-17,15.8,16.55,15.76,16.46,11.243,2296800,0.0,0
2012-12-18,16.38,16.69,16.22,16.53,11.2909,4567200,0.0,0
2012-12-19,16.37,16.77,16.27,16.77,11.4548,2102800,0.0,0
2012-12-20,16.75,16.81,16.12,16.25,11.0996,6613400,0.0,0
2012-12-21,15.85,16.12,15.64,16.1,10.9971,807700,0.0,0
2012-12-24,16.07,16.21,16.0,16.18,11.0518,110500,0.0,0
2012-12-26,16.21,16.29,15.97,15.97,10.9083,265300,0.0,0
2012-12-27,16.2,16.2,15.67,15.75,10.7581,2020500,0.0,0
2012-12-28,15.75,16.06,15.51,16.03,10.9493,2561100,0.0,0
2012-12-31,15.92,16.26,15.92,16.18,11.0518,257200,0.0,0
2013-01-02,16.43,16.61,16.18,16.32,11.1474,1343900,0.0,0
2013-01-03,16.28,16.4,16.28,16.31,11.1406,1340100,0.0,0
2013-01-04,16.38,16.46,16.07,16.1,10.9971,3097200,0.0,0
2013-01-07,16.15,16.19,15.79,15.99,10.922,1115100,0.0,0
2013-01-08,16.0,16.31,15.95,16.12,11.0108,609000,0.0,0
2013-01-09,16.34,16.69,16.09,16.68,11.3933,1794700,0.0,0
2013-01-10,16.72,17.09,16.61,16.81,11.4821,1348700,0.0,0
2013-01-11,16.83,17.27,16.73,17.04,11.6392,1702100,0.0,0
2013-01-14,17.02,17.95,16.96,17.79,12.1515,2010000,0.0,0
2013-01-15,17.79,17.79,17.07,17.42,11.8988,1450600,0.0,0
2013-01-16,17.1,17.59,16.92,17.5,11.9534,865000,0.0,0
2013-01-17,17.58,17.76,16.44,16.48,11.2567,4222200,0.0,0
2013-01-18,16.51,16.56,15.72,16.21,11.0723,8648100,0.0,0
2013-01-22,16.25,16.84,16.1,16.75,11.4411,3847900,0.0,0
2013-01-23,16.66,17.14,16.43,16.94,11.5709,2428600,0.0,0
2013-01-24,17.0,17.15,16.52,16.61,11.3455,864900,0.0,0
2013-01-25,16.65,16.78,16.5,16.69,11.4001,1841900,0.0,0
2013-01-28,16.62,16.66,16.21,16.36,11.1747,1242300,0.0,0
2013-01-29,16.36,16.47,15.98,16.3,11.1338,1610000,0.0,0
2013-01-30,16.28,16.51,14.71,15.2,10.3824,5855600,0.0,0
2013-01-31,15.27,15.83,14.76,15.55,10.6215,7810100,0.0,0
2013-02-01,15.62,15.99,15.3,15.88,10.8469,2839200,0.0,0
2013-02-04,15.7,15.7,15.28,15.37,10.4985,1815800,0.0,0
2013-02-05,15.48,15.67,15.46,15.47,10.5668,2534100,0.0,0
2013-02-06,15.37,15.54,15.27,15.44,10.5463,1669000,0.0,0
2013-02-07,15.45,15.52,15.18,15.3,10.4507,1096800,0.0,0
2013-02-08,15.34,15.5,15.32,15.4,10.519,1288400,0.0,0
2013-02-11,15.33,15.48,15.3,15.43,10.5395,610600,0.0,0
2013-02-12,15.3,15.53,15.3,15.44,10.5463,671800,0.0,0
2013-02-13,15.43,15.45,15.18,15.29,10.4439,1149700,0.0,0
2013-02-14,15.26,15.26,15.06,15.1,10.3141,1301500,0.0,0
2013-02-15,15.22,15.35,14.76,14.79,10.1023,1924900,0.0,0
2013-02-19,14.86,15.35,14.78,15.18,10.3687,2732900,0.0,0
2013-02-20,14.96,15.09,14.12,14.14,9.6584,4491600,0.0,0
2013-02-21,14.11,14.58,13.92,14.4,9.836,3343300,0.0,0
2013-02-22,14.44,14.52,14.29,14.48,9.8906,2841900,0.0,0
2013-02-25,14.55,14.59,13.95,14.01,9.5696,2063000,0.0,0
2013-02-26,14.03,14.3,14.01,14.3,9.7676,5018500,0.0,0
2013-02-27,14.17,14.76,14.17,14.7,10.0409,2072400,0.0,0
2013-02-28,14.53,15.27,14.53,14.92,10.1911,1579700,0.0,0
2013-03-01,14.73,14.96,14.49,14.93,10.198,1147900,0.0,0
2013-03-04,14.78,15.66,14.6,15.37,10.4985,2330400,0.0,0
2013-03-05,15.31,15.41,15.19,15.29,10.4439,2252900,0.0,0
2013-03-06,15.37,15.66,15.3,15.34,10.478,1421800,0.0,0
2013-03-07,15.39,16.01,15.34,15.71,10.7308,1903600,0.0,0
2013-03-08,15.81,16.19,15.81,16.16,11.0381,3395100,0.0,0
2013-03-11,16.88,16.88,15.73,15.8,10.7922,1411500,0.0,0
2013-03-12,15.81,15.91,15.43,15.7,10.7239,1206000,0.0,0
2013-03-13,15.7,15.73,15.38,15.49,10.5805,854000,0.0,0
2013-03-14,15.54,15.74,15.24,15.43,10.5395,923900,0.0,0
2013-03-15,15.46,15.66,15.42,15.64,10.6829,1790600,0.0,0
2013-03-18,15.53,15.84,15.11,15.17,10.3619,706200,0.0,0
2013-03-19,15.17,15.36,14.78,14.83,10.1297,1202400,0.0,0
2013-03-20,14.99,15.0,14.82,14.96,10.2185,1239700,0.0,0
2013-03-21,14.7,14.93,14.6,14.86,10.1502,828500,0.0,0
2013-03-22,14.8,14.86,14.53,14.85,10.1433,1522500,0.0,0
2013-03-25,14.89,15.0,14.67,14.89,10.1707,1077600,0.0,0
2013-03-26,14.91,15.07,14.85,15.0,10.2458,1199600,0.0,0
2013-03-27,14.84,15.15,14.7,15.09,10.3073,1551800,0.0,0
2013-03-28,15.06,15.43,15.01,15.43,10.5395,800900,0.0,0
2013-04-01,15.37,15.69,15.34,15.46,10.56,963000,0.0,0
2013-04-02,15.63,15.91,15.47,15.87,10.84,2444500,0.0,0
2013-04-03,15.81,16.03,15.43,15.51,10.5941,3007100,0.0,0
2013-04-04,15.65,15.67,15.31,15.48,10.5736,1794100,0.0,0
2013-04-05,15.22,15.46,15.09,15.24,10.4097,1461600,0.0,0
2013-04-08,15.35,15.47,14.92,15.35,10.4849,927300,0.0,0
2013-04-09,15.34,15.82,15.29,15.74,10.7512,2410600,0.0,0
2013-04-10,15.8,16.45,15.76,16.25,11.0996,3535500,0.0,0
2013-04-11,16.26,16.4,15.98,16.32,11.1474,2522600,0.0,0
2013-04-12,16.22,16.39,15.66,15.98,10.9152,1114700,0.0,0
2013-04-15,15.91,15.98,15.38,15.39,10.5122,633100,0.0,0
2013-04-16,15.54,15.7,15.22,15.57,10.6351,978000,0.0,0
2013-04-17,15.53,15.69,15.32,15.58,10.642,853500,0.0,0
2013-04-18,15.61,15.66,15.35,15.47,10.5668,960600,0.0,0
2013-04-19,15.59,15.96,15.35,15.83,10.8127,962900,0.0,0
2013-04-22,15.8,15.9,15.51,15.56,10.6283,701500,0.0,0
