Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,32.05,32.61,31.83,32.37,954900,0.0,0
2010-01-05,32.58,33.79,32.28,33.51,1688000,0.0,0
2010-01-06,34.22,35.4,34.14,34.46,1359200,0.0,0
2010-01-07,34.53,35.04,34.08,34.91,1001700,0.0,0
2010-01-08,35.4,35.4,34.3,34.64,1007300,0.0,0
2010-01-11,35.32,35.97,34.66,34.91,973800,0.0,0
2010-01-12,34.4,34.91,33.11,33.24,977400,0.0,0
2010-01-13,33.07,33.88,32.98,33.62,877700,0.0,0
2010-01-14,33.52,33.8,33.0,33.44,510200,0.0,0
2010-01-15,33.25,33.25,32.14,32.46,908300,0.0,0
2010-01-19,32.47,34.05,32.47,33.3,1155000,0.0,0
2010-01-20,32.72,32.75,31.16,31.84,1674100,0.0,0
2010-01-21,31.83,31.95,29.67,30.64,2491600,0.0,0
2010-01-22,30.18,31.59,29.64,30.56,1336100,0.0,0
2010-01-25,31.07,31.11,29.43,30.11,1271600,0.0,0
2010-01-26,29.77,30.96,29.45,30.06,857400,0.0,0
2010-01-27,30.24,30.86,29.47,30.04,1346000,0.0,0
2010-01-28,30.61,31.37,29.17,30.11,1316800,0.0,0
2010-01-29,30.17,30.66,28.91,29.16,1550700,0.0,0
2010-02-01,29.58,30.6,29.48,30.52,1201900,0.0,0
2010-02-02,30.97,31.25,29.99,30.27,1286900,0.0,0
2010-02-03,30.07,30.79,29.45,29.58,694800,0.0,0
2010-02-04,29.15,29.15,27.55,28.09,1509400,0.0,0
2010-02-05,27.85,28.58,26.48,28.51,2516300,0.0,0
2010-02-08,28.57,28.88,27.85,27.92,1184100,0.0,0
2010-02-09,28.62,29.77,28.18,29.4,1322200,0.0,0
2010-02-10,29.89,30.06,28.9,29.58,920400,0.0,0
2010-02-11,29.58,31.12,29.28,30.96,1138200,0.0,0
2010-02-12,30.18,31.29,29.29,31.19,1158700,0.0,0
2010-02-16,32.0,32.3,31.67,31.8,929400,0.0,0
2010-02-17,31.73,32.04,30.77,31.17,935400,0.0,0
2010-02-18,30.42,30.8,29.59,30.16,1784400,0.0,0
2010-02-19,29.86,30.6,29.62,30.2,848100,0.0,0
2010-02-22,30.75,30.81,29.77,30.52,1224000,0.0,0
2010-02-23,30.92,30.93,29.26,29.34,1262600,0.0,0
2010-02-24,29.57,30.12,29.34,29.56,819300,0.0,0
2010-02-25,29.53,30.51,28.78,30.39,1060000,0.0,0
2010-02-26,31.11,31.42,30.41,31.13,1095300,0.0,0
2010-03-01,31.34,31.81,30.72,31.47,852700,0.0,0
2010-03-02,31.56,32.7,31.4,32.26,1311700,0.0,0
2010-03-03,32.42,32.54,30.76,30.95,2245500,0.0,0
2010-03-04,30.76,30.99,30.17,30.5,1356000,0.0,0
2010-03-05,30.94,31.92,30.75,31.29,1466700,0.0,0
2010-03-08,31.61,31.95,31.27,31.51,877000,0.0,0
2010-03-09,31.1,31.29,30.75,30.84,822400,0.0,0
2010-03-10,30.84,31.21,29.65,30.1,984400,0.0,0
2010-03-11,29.91,30.32,29.41,30.32,651200,0.0,0
2010-03-12,30.5,30.66,29.66,29.86,728500,0.0,0
2010-03-15,29.76,30.08,29.17,29.68,538400,0.0,0
2010-03-16,29.93,30.54,29.86,30.48,946600,0.0,0
2010-03-17,30.42,31.26,30.25,30.99,852100,0.0,0
2010-03-18,31.14,31.14,29.99,30.34,980100,0.0,0
2010-03-19,29.19,30.41,29.16,29.19,1723000,0.0,0
2010-03-22,28.81,28.98,28.2,28.77,1272000,0.0,0
2010-03-23,28.71,28.87,28.09,28.74,1274500,0.0,0
2010-03-24,28.05,28.36,27.62,27.68,1621700,0.0,0
2010-03-25,27.9,28.17,27.3,27.32,1636300,0.0,0
2010-03-26,27.59,28.6,27.32,28.59,1223800,0.0,0
2010-03-29,28.86,29.21,28.64,28.99,748700,0.0,0
2010-03-30,28.86,29.13,28.28,28.44,1246200,0.0,0
2010-03-31,28.75,29.6,28.55,28.68,1368000,0.0,0
2010-04-01,29.26,30.29,28.96,30.29,1228400,0.0,0
2010-04-05,30.69,30.84,30.34,30.71,773000,0.0,0
2010-04-06,30.73,31.42,30.39,30.92,984200,0.0,0
2010-04-07,31.04,32.82,31.04,32.19,1861000,0.0,0
2010-04-08,32.2,32.38,31.62,31.9,1080900,0.0,0
2010-04-09,32.08,32.54,31.75,31.89,840500,0.0,0
2010-04-12,31.8,32.49,31.6,31.7,947900,0.0,0
2010-04-13,31.78,31.78,29.96,30.73,1171500,0.287412,0
2010-04-14,31.04,31.21,30.42,30.73,714800,0.0,0
2010-04-15,30.72,30.81,30.1,30.3,899200,0.0,0
2010-04-16,30.06,30.07,28.8,29.51,1448200,0.0,0
2010-04-19,28.95,29.49,28.63,29.43,1406400,0.0,0
2010-04-20,29.86,30.07,28.79,28.93,1385000,0.0,0
2010-04-21,29.06,29.29,28.66,28.89,867600,0.0,0
2010-04-22,28.65,29.13,28.11,29.12,976600,0.0,0
2010-04-23,28.96,29.75,28.63,29.63,710800,0.0,0
2010-04-26,29.58,29.81,28.37,28.64,988100,0.0,0
2010-04-27,28.52,29.95,27.87,29.62,2141100,0.0,0
2010-04-28,29.68,31.13,29.37,30.59,2247000,0.0,0
2010-04-29,30.8,31.08,30.24,30.92,1090100,0.0,0
