Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2012-03-28,20.0,20.1,20.0,20.05,9.87,1014900,0.0,0
2012-03-29,20.0,20.04,20.0,20.0,9.84,55500,0.0,0
2012-03-30,20.01,20.02,20.0,20.0,9.84,40600,0.0,0
2012-04-02,20.0,20.02,20.0,20.0,9.84,42200,0.0,0
2012-04-03,20.01,20.02,20.0,20.0,9.84,16700,0.0,0
2012-04-04,20.01,20.03,20.0,20.0,9.84,18500,0.0,0
2012-04-05,20.0,20.02,20.0,20.0,9.84,10100,0.0,0
2012-04-09,20.0,20.05,20.0,20.0,9.84,26400,0.0,0
2012-04-10,20.01,20.02,20.0,20.0,9.84,47500,0.0,0
2012-04-11,20.1,20.1,20.01,20.02,9.85,5600,0.0,0
2012-04-12,20.02,20.03,20.0,20.02,9.85,14700,0.0,0
2012-04-13,20.1,20.1,20.02,20.04,9.86,3500,0.0,0
2012-04-16,20.03,20.04,20.0,20.02,9.85,20500,0.0,0
2012-04-17,20.03,20.04,20.0,20.01,9.85,38000,0.0,0
2012-04-18,20.0,20.02,20.0,20.0,9.84,25700,0.0,0
2012-04-19,20.01,20.25,20.0,20.03,9.86,34600,0.0,0
2012-04-20,20.02,20.02,20.0,20.0,9.84,14100,0.0,0
2012-04-23,20.0,20.01,20.0,20.01,9.85,9700,0.0,0
2012-04-24,20.0,20.01,20.0,20.0,9.84,40800,0.0,0
2012-04-25,20.0,20.02,20.0,20.0,9.84,87200,0.0,0
2012-04-26,20.01,20.06,20.0,20.0,9.84,50300,0.0,0
2012-04-27,20.0,20.01,20.0,20.01,9.85,7200,0.0,0
2012-04-30,20.0,20.01,20.0,20.0,9.84,454100,0.0,0
2012-05-01,20.0,20.01,20.0,20.0,9.84,62000,0.0,0
2012-05-02,20.0,20.01,20.0,20.0,9.84,100000,0.0,0
2012-05-03,20.0,20.01,20.0,20.0,9.84,184000,0.0,0
2012-05-04,20.0,20.05,20.0,20.04,9.86,60900,0.0,0
2012-05-07,20.0,20.19,20.0,20.06,9.87,91000,0.0,0
2012-05-08,20.03,20.06,20.03,20.03,9.86,105200,0.0,0
2012-05-09,20.09,20.46,20.0,20.0,9.84,207200,0.0,0
2012-05-10,20.04,20.05,20.0,20.0,9.84,53000,0.0,0
2012-05-11,20.01,20.01,20.0,20.0,9.84,71800,0.0,0
2012-05-14,19.9,19.9,19.37,19.74,9.71,117000,0.0,0
2012-05-15,19.9,19.9,19.76,19.77,9.73,47000,0.0,0
2012-05-16,19.63,19.71,19.41,19.45,9.63,8600,0.118,0
2012-05-17,19.38,19.46,19.34,19.35,9.58,44100,0.0,0
2012-05-18,19.28,19.29,18.71,18.77,9.29,27000,0.0,0
2012-05-21,18.9,18.93,18.57,18.67,9.24,43100,0.0,0
2012-05-22,18.7,18.9,18.59,18.59,9.2,44900,0.0,0
2012-05-23,18.57,18.59,18.39,18.43,9.12,51500,0.0,0
2012-05-24,18.4,18.45,18.4,18.41,9.11,15400,0.0,0
2012-05-25,18.83,18.83,18.19,18.33,9.07,29600,0.0,0
2012-05-29,18.41,18.41,18.23,18.38,9.1,11500,0.0,0
2012-05-30,18.35,18.53,18.23,18.23,9.02,24900,0.0,0
2012-05-31,18.23,18.23,17.52,17.93,8.88,71500,0.0,0
2012-06-01,17.77,17.86,17.75,17.83,8.83,16900,0.0,0
2012-06-04,17.87,17.89,17.09,17.21,8.52,98400,0.0,0
2012-06-05,17.24,17.33,17.08,17.25,8.54,35400,0.0,0
2012-06-06,17.42,17.62,17.3,17.62,8.72,27000,0.0,0
2012-06-07,17.6,18.0,17.6,17.92,8.87,19200,0.0,0
2012-06-08,17.87,18.0,17.69,17.98,8.9,23900,0.0,0
2012-06-11,17.94,18.1,17.65,17.65,8.74,23700,0.0,0
2012-06-12,17.65,17.73,17.64,17.73,8.78,16900,0.0,0
2012-06-13,17.9,18.03,17.84,17.85,8.84,41500,0.0,0
2012-06-14,17.86,18.09,17.86,18.0,8.91,32300,0.0,0
2012-06-15,17.99,18.07,17.63,17.91,8.87,36200,0.0,0
2012-06-18,17.91,18.27,17.91,18.2,9.01,30000,0.0,0
2012-06-19,18.21,18.39,18.19,18.28,9.05,33100,0.0,0
2012-06-20,18.17,18.25,17.8,17.93,8.93,45900,0.118,0
2012-06-21,17.83,17.91,17.76,17.84,8.89,41100,0.0,0
2012-06-22,17.96,18.01,17.8,17.81,8.87,33700,0.0,0
2012-06-25,17.82,17.89,17.61,17.66,8.8,72400,0.0,0
2012-06-26,17.59,17.79,17.5,17.55,8.74,123800,0.0,0
2012-06-27,17.75,18.11,17.57,18.11,9.02,58100,0.0,0
2012-06-28,18.01,18.39,17.98,18.38,9.16,43100,0.0,0
2012-06-29,18.5,18.68,18.49,18.55,9.24,22100,0.0,0
2012-07-02,18.6,18.9,18.6,18.86,9.4,34100,0.0,0
2012-07-03,18.7,18.93,18.7,18.92,9.43,8100,0.0,0
2012-07-05,19.0,19.01,18.57,18.6,9.27,37300,0.0,0
2012-07-06,18.6,18.79,18.53,18.75,9.34,28900,0.0,0
2012-07-09,18.8,18.81,18.49,18.54,9.24,38500,0.0,0
2012-07-10,18.65,18.86,18.64,18.76,9.35,33300,0.0,0
2012-07-11,18.85,18.85,18.67,18.67,9.3,15400,0.0,0
2012-07-12,18.71,18.9,18.65,18.72,9.33,32000,0.0,0
2012-07-13,18.84,19.0,18.83,19.0,9.47,27900,0.0,0
2012-07-16,18.92,19.26,18.89,18.89,9.41,41700,0.0,0
2012-07-17,19.05,19.44,19.05,19.33,9.63,52300,0.0,0
2012-07-18,19.21,19.33,19.2,19.21,9.63,22900,0.118,0
2012-07-19,19.44,19.75,19.0,19.21,9.63,104200,0.0,0
2012-07-20,19.26,19.46,19.22,19.31,9.68,41700,0.0,0
2012-07-23,19.28,19.41,19.06,19.35,9.7,41600,0.0,0
2012-07-24,19.44,19.44,19.13,19.21,9.63,88000,0.0,0
2012-07-25,19.3,19.42,18.96,19.2,9.62,67200,0.0,0
2012-07-26,19.4,19.4,18.98,19.05,9.55,79800,0.0,0
2012-07-27,19.26,19.31,19.22,19.23,9.64,25500,0.0,0
2012-07-30,19.1,19.32,19.1,19.18,9.61,41300,0.0,0
2012-07-31,19.25,19.44,19.24,19.27,9.66,84000,0.0,0
2012-08-01,19.46,19.54,19.37,19.53,9.79,28000,0.0,0
2012-08-02,19.61,19.63,19.42,19.59,9.82,36000,0.0,0
2012-08-03,19.62,19.75,19.61,19.64,9.84,46300,0.0,0
2012-08-06,19.84,19.9,19.6,19.75,9.9,78600,0.0,0
2012-08-07,19.62,19.99,19.62,19.91,9.98,68100,0.0,0
2012-08-08,19.96,19.96,19.6,19.61,9.83,36400,0.0,0
2012-08-09,19.5,19.81,19.5,19.6,9.82,39000,0.0,0
2012-08-10,19.47,19.71,19.4,19.61,9.83,54300,0.0,0
2012-08-13,19.77,19.8,19.43,19.59,9.82,38600,0.0,0
2012-08-14,19.51,19.74,19.38,19.41,9.73,75000,0.0,0
2012-08-15,19.45,19.45,19.28,19.28,9.66,65800,0.0,0
2012-08-16,19.43,19.49,19.22,19.49,9.77,43100,0.0,0
2012-08-17,19.49,19.49,19.3,19.31,9.68,42800,0.0,0
2012-08-20,19.25,19.5,19.14,19.19,9.62,81900,0.0,0
2012-08-21,19.18,19.37,19.18,19.33,9.69,94000,0.0,0
2012-08-22,19.3,19.3,19.02,19.07,9.62,106700,0.118,0
2012-08-23,19.0,19.07,18.91,18.91,9.54,96700,0.0,0
2012-08-24,18.97,19.04,18.88,18.96,9.56,125200,0.0,0
2012-08-27,18.96,19.02,18.89,18.91,9.54,63500,0.0,0
2012-08-28,18.99,19.03,18.91,19.02,9.59,64600,0.0,0
2012-08-29,19.17,19.18,19.0,19.06,9.61,36900,0.0,0
2012-08-30,19.16,19.16,19.02,19.08,9.62,77700,0.0,0
2012-08-31,19.3,19.43,19.17,19.39,9.78,59100,0.0,0
2012-09-04,19.49,19.54,19.36,19.54,9.85,37700,0.0,0
2012-09-05,19.66,19.75,19.5,19.61,9.89,77600,0.0,0
2012-09-06,19.7,19.86,19.57,19.85,10.01,67000,0.0,0
2012-09-07,19.85,19.99,19.84,19.97,10.07,59200,0.0,0
2012-09-10,19.99,20.0,19.8,19.8,9.99,80600,0.0,0
2012-09-11,19.9,19.99,19.65,19.68,9.93,77500,0.0,0
2012-09-12,19.85,19.86,19.63,19.83,10.0,78800,0.0,0
2012-09-13,19.83,19.95,19.72,19.88,10.03,53900,0.0,0
2012-09-14,19.99,19.99,19.8,19.88,10.03,70400,0.0,0
2012-09-17,19.93,19.93,19.81,19.89,10.03,24800,0.0,0
2012-09-18,19.92,19.92,19.67,19.72,9.95,80000,0.0,0
2012-09-19,19.7,19.99,19.52,19.66,9.98,123900,0.118,0
2012-09-20,19.71,19.73,19.55,19.66,9.98,49500,0.0,0
2012-09-21,19.83,19.83,19.6,19.67,9.98,71000,0.0,0
2012-09-24,19.67,19.75,19.56,19.59,9.94,147500,0.0,0
2012-09-25,19.53,19.7,19.41,19.54,9.91,155200,0.0,0
2012-09-26,19.6,19.73,19.54,19.73,10.01,88900,0.0,0
2012-09-27,19.75,19.91,19.59,19.85,10.07,77600,0.0,0
2012-09-28,19.75,19.9,19.74,19.86,10.08,53900,0.0,0
