Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,21.44,21.57,21.24,21.57,17.56,3156300,0.0,0
2010-01-05,21.58,21.98,21.3,21.72,17.68,7785200,0.0,0
2010-01-06,21.76,21.98,21.65,21.69,17.66,3300400,0.0,0
2010-01-07,21.69,21.69,21.38,21.46,17.47,2707600,0.0,0
2010-01-08,21.35,21.46,21.08,21.18,17.24,4020000,0.0,0
2010-01-11,21.14,21.21,20.77,21.13,17.2,3335500,0.0,0
2010-01-12,21.0,21.29,20.89,20.98,17.08,2554900,0.0,0
2010-01-13,21.03,21.42,21.03,21.33,17.37,3000400,0.0,0
2010-01-14,21.24,21.38,21.11,21.24,17.29,2982200,0.0,0
2010-01-15,21.23,21.34,21.08,21.25,17.3,4290100,0.0,0
2010-01-19,21.25,21.31,21.1,21.23,17.28,3329800,0.0,0
2010-01-20,21.08,21.21,20.85,21.16,17.23,3750000,0.0,0
2010-01-21,21.1,21.28,20.8,20.85,16.98,4260000,0.0,0
2010-01-22,20.84,21.19,20.75,20.95,17.06,4192100,0.0,0
2010-01-25,21.11,21.11,20.87,20.92,17.03,2855800,0.0,0
2010-01-26,20.78,20.9,20.64,20.78,16.92,2374100,0.0,0
2010-01-27,20.7,20.71,20.31,20.51,16.7,3827900,0.0,0
2010-01-28,20.56,20.56,20.17,20.22,16.46,3840600,0.0,0
2010-01-29,20.19,20.6,20.15,20.19,16.44,3679400,0.0,0
2010-02-01,20.34,20.47,20.2,20.46,16.66,2194200,0.0,0
2010-02-02,20.5,20.97,20.37,20.86,16.98,2662100,0.0,0
2010-02-03,20.73,20.95,20.64,20.87,16.99,3225500,0.0,0
2010-02-04,20.7,20.7,20.17,20.17,16.42,2412600,0.0,0
2010-02-05,20.15,20.18,19.91,20.1,16.36,3558700,0.0,0
2010-02-08,20.14,20.24,19.92,19.95,16.24,2238200,0.0,0
2010-02-09,20.13,20.6,20.13,20.34,16.56,5110500,0.0,0
2010-02-10,20.31,20.34,19.33,19.45,15.84,8896700,0.0,0
2010-02-11,19.47,19.57,19.13,19.2,15.63,5913800,0.0,0
2010-02-12,19.05,19.38,18.84,19.28,15.7,5407300,0.0,0
2010-02-16,19.44,19.54,19.24,19.3,15.71,4668000,0.0,0
2010-02-17,19.43,19.75,19.25,19.52,15.89,4678200,0.0,0
2010-02-18,19.47,19.89,19.47,19.87,16.18,3526900,0.0,0
2010-02-19,19.84,19.84,19.66,19.74,16.07,2755000,0.0,0
2010-02-22,19.76,19.83,19.57,19.59,15.95,2502100,0.0,0
2010-02-23,19.54,19.61,19.19,19.27,15.69,4127600,0.0,0
2010-02-24,19.27,19.33,18.92,19.18,15.62,4266700,0.0,0
2010-02-25,25.11,26.0,24.9,25.48,20.74,60906300,0.0,0
2010-02-26,25.26,25.78,25.15,25.55,20.8,16424800,0.0,0
2010-03-01,25.47,25.7,25.4,25.6,20.84,21656300,0.0,0
2010-03-02,25.63,26.28,25.54,26.23,21.36,17124200,0.0,0
2010-03-03,26.2,26.6,26.16,26.34,21.44,10625900,0.0,0
2010-03-04,26.32,26.48,25.85,25.92,21.1,10001500,0.0,0
2010-03-05,25.98,26.18,25.83,25.86,21.05,5469300,0.0,0
2010-03-08,25.83,26.26,25.73,26.17,21.31,8254600,0.0,0
2010-03-09,26.1,26.32,25.95,26.1,21.25,7661600,0.0,0
2010-03-10,26.11,26.2,25.98,26.06,21.29,11620900,0.09,0
2010-03-11,26.0,26.76,26.0,26.69,21.8,10308900,0.0,0
2010-03-12,26.64,27.32,26.52,27.01,22.07,9968700,0.0,0
2010-03-15,26.66,26.98,26.65,26.9,21.98,4050700,0.0,0
2010-03-16,26.91,27.33,26.9,27.33,22.33,7127200,0.0,0
2010-03-17,27.31,27.6,27.12,27.23,22.25,8804600,0.0,0
2010-03-18,27.14,27.25,26.99,27.16,22.19,6262000,0.0,0
2010-03-19,26.96,27.17,26.72,26.96,22.03,6976900,0.0,0
2010-03-22,27.1,27.51,27.04,27.48,22.45,4335500,0.0,0
2010-03-23,27.47,27.5,27.11,27.35,22.34,4188900,0.0,0
2010-03-24,27.28,27.43,27.04,27.2,22.22,5971800,0.0,0
2010-03-25,27.38,27.58,27.07,27.11,22.15,7237100,0.0,0
2010-03-26,27.17,27.64,27.1,27.6,22.55,7232800,0.0,0
2010-03-29,27.64,28.16,27.53,28.09,22.95,8313700,0.0,0
2010-03-30,28.05,28.05,27.73,27.8,22.71,3905600,0.0,0
2010-03-31,27.88,27.92,27.53,27.66,22.6,6818300,0.0,0
2010-04-01,27.75,28.03,27.73,27.89,22.79,4404900,0.0,0
2010-04-05,27.82,28.32,27.82,28.26,23.09,4632600,0.0,0
2010-04-06,28.13,28.38,28.09,28.18,23.02,5746200,0.0,0
2010-04-07,28.06,28.32,27.99,28.14,22.99,5755400,0.0,0
2010-04-08,28.05,28.17,27.93,28.03,22.9,6476400,0.0,0
2010-04-09,28.0,28.31,27.71,28.26,23.09,4733500,0.0,0
2010-04-12,28.2,28.51,28.19,28.39,23.19,5158800,0.0,0
2010-04-13,28.33,28.45,28.16,28.38,23.19,6460100,0.0,0
2010-04-14,28.33,28.93,28.33,28.8,23.53,7298500,0.0,0
2010-04-15,28.68,28.85,28.46,28.53,23.31,3479500,0.0,0
2010-04-16,28.47,28.81,28.16,28.37,23.18,4535600,0.0,0
2010-04-19,28.38,28.46,28.09,28.15,23.0,3810400,0.0,0
2010-04-20,28.14,28.32,27.96,28.11,22.96,5046400,0.0,0
2010-04-21,28.18,28.23,28.03,28.1,22.96,4597500,0.0,0
2010-04-22,27.98,28.19,27.92,28.03,22.9,5339500,0.0,0
2010-04-23,28.03,28.29,27.92,28.25,23.08,3506400,0.0,0
2010-04-26,28.18,28.37,28.03,28.15,23.0,3888900,0.0,0
2010-04-27,28.12,28.67,28.02,28.16,23.01,11929800,0.0,0
2010-04-28,28.28,28.35,27.89,27.99,22.87,9585500,0.0,0
2010-04-29,28.26,28.33,28.01,28.25,23.08,5759800,0.0,0
2010-04-30,28.19,28.32,27.73,27.73,22.65,5080400,0.0,0
2010-05-03,27.85,28.2,27.79,27.99,22.87,3179500,0.0,0
2010-05-04,27.68,27.95,27.59,27.74,22.66,5222800,0.0,0
2010-05-05,27.5,27.6,26.86,26.96,22.03,8410500,0.0,0
2010-05-06,26.81,27.03,24.39,26.0,21.24,14249000,0.0,0
2010-05-07,25.98,26.31,25.62,25.84,21.11,10895100,0.0,0
2010-05-10,26.51,27.5,26.51,27.39,22.38,8248600,0.0,0
2010-05-11,27.06,27.36,26.8,27.07,22.12,5766900,0.0,0
2010-05-12,27.17,28.02,27.15,27.85,22.75,7490200,0.0,0
2010-05-13,27.87,28.11,27.64,27.69,22.62,3878200,0.0,0
2010-05-14,27.49,27.5,26.46,26.57,21.71,8819400,0.0,0
2010-05-17,26.64,27.03,26.0,26.33,21.51,6677600,0.0,0
2010-05-18,26.47,26.59,25.8,25.81,21.09,8781800,0.0,0
2010-05-19,25.7,25.93,25.35,25.76,21.05,6169200,0.0,0
2010-05-20,25.16,25.68,25.02,25.05,20.47,8565300,0.0,0
2010-05-21,24.67,25.74,24.29,25.36,20.72,10333300,0.0,0
2010-05-24,25.21,25.51,25.01,25.24,20.62,3937300,0.0,0
2010-05-25,24.75,25.47,24.64,25.44,20.78,6645900,0.0,0
2010-05-26,25.47,25.83,25.0,25.01,20.43,8425700,0.0,0
2010-05-27,25.34,26.6,25.34,26.58,21.72,7686100,0.0,0
2010-05-28,26.6,26.6,26.02,26.1,21.32,4429500,0.0,0
2010-06-01,26.06,26.36,25.8,25.9,21.16,6929700,0.0,0
2010-06-02,26.03,26.24,25.57,25.93,21.18,8070800,0.0,0
2010-06-03,25.86,26.13,25.77,26.1,21.32,4742200,0.0,0
2010-06-04,25.7,26.01,25.37,25.47,20.81,4755900,0.0,0
2010-06-07,25.43,25.74,24.82,24.87,20.32,6501500,0.0,0
2010-06-08,24.9,25.41,24.77,25.35,20.71,8586300,0.0,0
2010-06-09,25.29,25.75,25.19,25.35,20.78,6201200,0.09,0
2010-06-10,26.03,26.03,25.65,26.02,21.33,4937600,0.0,0
2010-06-11,25.85,26.29,25.55,26.27,21.54,3388800,0.0,0
2010-06-14,26.39,26.54,26.17,26.25,21.52,4787900,0.0,0
2010-06-15,26.47,26.59,26.26,26.51,21.73,4327100,0.0,0
2010-06-16,26.84,27.0,26.23,26.88,22.04,8506000,0.0,0
2010-06-17,27.06,27.41,26.83,27.32,22.4,5897800,0.0,0
2010-06-18,27.35,27.5,26.96,27.04,22.17,4876900,0.0,0
2010-06-21,27.3,27.5,26.85,26.98,22.12,2462700,0.0,0
2010-06-22,26.92,27.06,26.54,26.65,21.85,4691200,0.0,0
2010-06-23,26.59,26.86,26.42,26.67,21.87,4145000,0.0,0
2010-06-24,26.68,26.73,26.23,26.31,21.57,4540200,0.0,0
2010-06-25,26.38,26.4,25.86,25.88,21.22,8345300,0.0,0
2010-06-28,26.14,26.58,25.99,26.51,21.73,2913000,0.0,0
2010-06-29,26.16,26.18,25.76,25.96,21.28,6566100,0.0,0
2010-06-30,25.86,26.26,25.76,25.86,21.2,5285000,0.0,0
2010-07-01,25.82,26.12,25.56,25.97,21.29,4987600,0.0,0
2010-07-02,26.1,26.35,25.84,26.03,21.34,2731700,0.0,0
2010-07-06,26.17,26.63,26.12,26.4,21.64,3543800,0.0,0
2010-07-07,26.34,27.08,26.25,27.06,22.19,3165000,0.0,0
2010-07-08,27.25,27.91,27.2,27.5,22.55,3935400,0.0,0
2010-07-09,27.43,27.75,27.26,27.68,22.69,3407500,0.0,0
2010-07-12,27.6,27.71,27.35,27.67,22.69,2861000,0.0,0
2010-07-13,27.93,28.19,27.71,28.16,23.09,8016400,0.0,0
2010-07-14,28.06,28.16,27.86,28.02,22.97,2563400,0.0,0
2010-07-15,28.04,28.12,27.67,27.98,22.94,3353300,0.0,0
2010-07-16,27.81,28.0,27.59,27.69,22.7,3562400,0.0,0
2010-07-19,27.74,28.0,27.58,27.89,22.87,2308700,0.0,0
2010-07-20,27.59,28.08,27.59,28.06,23.01,3060800,0.0,0
2010-07-21,28.13,28.29,27.63,27.7,22.71,2759700,0.0,0
2010-07-22,27.9,28.26,27.9,28.22,23.14,3007100,0.0,0
2010-07-23,28.21,28.51,28.02,28.51,23.37,3870500,0.0,0
2010-07-26,28.45,28.9,28.44,28.87,23.67,3838000,0.0,0
2010-07-27,28.86,28.95,28.39,28.48,23.35,5615400,0.0,0
2010-07-28,28.52,28.85,28.24,28.71,23.54,4885000,0.0,0
2010-07-29,28.77,29.0,28.55,28.77,23.59,4537000,0.0,0
2010-07-30,28.51,28.92,28.4,28.7,23.53,2677800,0.0,0
2010-08-02,28.89,29.05,28.83,28.99,23.77,3857500,0.0,0
2010-08-03,29.03,29.26,28.84,29.25,23.98,3604100,0.0,0
2010-08-04,29.23,29.46,29.1,29.41,24.11,3626900,0.0,0
2010-08-05,29.27,29.27,28.97,29.14,23.89,3830900,0.0,0
2010-08-06,28.79,29.29,28.54,29.17,23.92,2574700,0.0,0
2010-08-09,29.23,29.4,29.13,29.39,24.1,1852300,0.0,0
2010-08-10,29.17,29.31,28.9,29.14,23.89,3141800,0.0,0
2010-08-11,28.72,28.86,28.45,28.46,23.33,2020600,0.0,0
2010-08-12,28.21,28.57,28.06,28.53,23.39,2449600,0.0,0
2010-08-13,28.43,28.79,28.39,28.71,23.54,2683900,0.0,0
2010-08-16,28.54,28.75,28.3,28.58,23.43,2176800,0.0,0
2010-08-17,28.72,28.86,28.5,28.8,23.61,3893400,0.0,0
2010-08-18,28.94,29.38,28.77,29.34,24.06,4508000,0.0,0
2010-08-19,29.2,29.27,28.67,28.84,23.65,3476600,0.0,0
2010-08-20,28.65,29.05,28.65,29.02,23.79,2901700,0.0,0
2010-08-23,29.01,29.25,28.63,28.64,23.48,2490800,0.0,0
2010-08-24,28.26,28.49,27.99,28.21,23.13,4914700,0.0,0
