Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,14.53,14.55,14.43,14.45,5.74,9600,0.0,0
2010-01-05,14.54,14.61,14.5,14.6,5.8,20900,0.0,0
2010-01-06,14.71,14.83,14.61,14.64,5.82,13100,0.0,0
2010-01-07,14.77,14.88,14.62,14.79,5.88,24200,0.0,0
2010-01-08,14.87,14.95,14.8,14.9,5.92,14200,0.0,0
2010-01-11,14.84,14.97,14.72,14.75,5.86,27400,0.0,0
2010-01-12,14.8,15.0,14.8,14.91,5.92,30200,0.0,0
2010-01-13,15.0,15.0,14.76,14.93,5.93,23200,0.0,0
2010-01-14,14.93,15.27,14.93,15.17,6.03,23300,0.0,0
2010-01-15,15.19,15.19,14.93,15.03,5.97,34100,0.0,0
2010-01-19,15.09,15.2,15.02,15.09,6.0,22200,0.0,0
2010-01-20,15.07,15.13,14.94,15.04,5.98,19500,0.0,0
2010-01-21,15.11,15.15,14.55,14.61,5.8,36400,0.0,0
2010-01-22,14.76,14.76,14.47,14.57,5.79,38600,0.0,0
2010-01-25,14.82,14.82,14.16,14.29,5.68,22800,0.0,0
2010-01-26,14.37,14.55,14.28,14.28,5.67,20000,0.0,0
2010-01-27,14.29,14.34,14.17,14.33,5.69,20100,0.0,0
2010-01-28,14.34,14.63,13.8,13.85,5.5,51400,0.0,0
2010-01-29,13.78,14.06,13.61,13.77,5.47,39700,0.0,0
2010-02-01,13.74,13.81,13.4,13.74,5.46,44900,0.0,0
2010-02-02,13.33,14.1,13.33,14.1,5.6,26700,0.0,0
2010-02-03,14.02,14.12,13.95,14.05,5.58,12300,0.0,0
2010-02-04,14.01,14.01,13.33,13.33,5.3,39300,0.0,0
2010-02-05,13.25,13.31,12.45,12.8,5.12,61400,0.1,0
2010-02-08,12.94,13.0,12.64,12.9,5.16,27200,0.0,0
2010-02-09,12.99,13.41,12.99,13.1,5.24,21200,0.0,0
2010-02-10,13.12,13.37,13.11,13.37,5.35,24200,0.0,0
2010-02-11,13.44,13.79,13.37,13.62,5.45,32200,0.0,0
2010-02-12,13.65,14.02,13.43,13.62,5.45,21200,0.0,0
2010-02-16,13.85,13.96,13.59,13.85,5.54,27400,0.0,0
2010-02-17,13.88,14.02,13.88,14.02,5.61,24400,0.0,0
2010-02-18,14.02,14.28,14.02,14.11,5.65,23800,0.0,0
2010-02-19,14.18,14.27,14.05,14.17,5.67,16900,0.0,0
2010-02-22,14.37,14.37,14.11,14.23,5.7,13900,0.0,0
2010-02-23,14.23,14.34,14.18,14.22,5.69,19900,0.0,0
2010-02-24,14.16,14.57,14.09,14.27,5.71,44000,0.0,0
2010-02-25,14.32,14.33,14.1,14.15,5.66,14800,0.0,0
