Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,12.58,12.86,12.49,12.86,11.76,132900,0.0,0.0
2010-01-05,12.88,12.89,12.47,12.53,11.46,126000,0.0,0.0
2010-01-06,12.48,12.48,12.17,12.33,11.28,126000,0.0,0.0
2010-01-07,12.31,12.37,12.2,12.28,11.23,123600,0.0,0.0
2010-01-08,12.25,12.35,12.21,12.32,11.27,68400,0.0,0.0
2010-01-11,12.36,12.4,12.26,12.39,11.34,90600,0.0,0.0
2010-01-12,12.36,12.5,12.36,12.44,11.38,157800,0.0,0.0
2010-01-13,12.54,12.58,12.38,12.38,11.32,83700,0.0,0.0
2010-01-14,12.37,12.47,12.3,12.37,11.32,81300,0.0,0.0
2010-01-15,12.59,12.68,12.33,12.48,11.41,103800,0.0,0.0
2010-01-19,12.5,12.59,12.47,12.58,11.51,54600,0.0,0.0
2010-01-20,12.45,12.51,12.27,12.47,11.41,115200,0.0,0.0
2010-01-21,12.47,12.47,12.28,12.33,11.28,72300,0.0,0.0
2010-01-22,12.34,12.47,12.24,12.35,11.3,78900,0.0,0.0
2010-01-25,12.48,12.57,12.33,12.38,11.32,96300,0.0,0.0
2010-01-26,12.35,12.49,12.3,12.32,11.27,97200,0.0,0.0
2010-01-27,12.27,12.5,12.27,12.48,11.42,56700,0.0,0.0
2010-01-28,12.47,12.47,12.22,12.22,11.18,81300,0.0,0.0
2010-01-29,12.22,12.42,11.98,12.1,11.07,113100,0.0,0.0
2010-02-01,12.12,12.22,11.94,11.97,10.95,43800,0.0,0.0
2010-02-02,11.94,12.02,11.85,11.95,10.93,79800,0.0,0.0
2010-02-03,11.94,12.0,11.8,11.96,10.94,86100,0.0,0.0
2010-02-04,11.9,11.9,11.62,11.62,10.63,115800,0.0,0.0
2010-02-05,11.62,11.65,11.32,11.56,10.57,50400,0.0,0.0
2010-02-08,11.5,11.66,11.37,11.39,10.42,48000,0.0,0.0
2010-02-09,11.42,11.5,11.36,11.43,10.46,60000,0.0,0.0
2010-02-10,11.36,11.94,11.31,11.35,10.39,41700,0.0,0.0
2010-02-11,11.35,11.63,11.29,11.62,10.63,33600,0.0,0.0
2010-02-12,11.47,11.68,11.47,11.6,10.62,35100,0.0,0.0
2010-02-16,11.67,11.71,11.51,11.69,10.69,40200,0.0,0.0
2010-02-17,11.74,11.77,11.67,11.75,10.75,44400,0.0,0.0
2010-02-18,11.7,11.86,11.62,11.85,10.84,34200,0.0,0.0
2010-02-19,11.85,12.03,11.8,11.95,10.94,77100,0.0,0.0
2010-02-22,12.12,12.12,11.84,11.98,10.96,36000,0.0,0.0
2010-02-23,11.93,11.98,11.88,11.9,10.89,39000,0.0,0.0
2010-02-24,11.91,12.03,11.88,11.97,10.95,33000,0.0,0.0
2010-02-25,11.2,11.76,11.2,11.68,10.69,124800,0.0,0.0
2010-02-26,11.71,11.97,11.58,11.86,10.85,126900,0.0,0.0
2010-03-01,11.96,11.99,11.87,11.98,10.96,59400,0.0,0.0
2010-03-02,12.0,12.1,11.72,12.04,11.01,61800,0.0,0.0
2010-03-03,12.0,12.0,11.54,11.94,10.92,116700,0.0,0.0
2010-03-04,11.96,12.22,11.87,12.22,11.18,52800,0.0,0.0
2010-03-05,12.27,12.81,12.27,12.72,11.63,96000,0.0,0.0
2010-03-08,12.88,12.88,12.66,12.72,11.64,37200,0.0,0.0
2010-03-09,12.71,12.85,12.33,12.73,11.65,49200,0.0,0.0
2010-03-10,12.73,12.89,12.67,12.84,11.75,54000,0.0,0.0
2010-03-11,12.75,12.83,12.38,12.46,11.4,46500,0.0,0.0
2010-03-12,12.46,12.46,12.13,12.27,11.22,72900,0.0,0.0
2010-03-15,12.27,12.29,12.16,12.28,11.23,35700,0.0,0.0
2010-03-16,12.29,12.32,11.99,12.3,11.26,40500,0.0,0.0
2010-03-17,12.29,12.52,12.27,12.4,11.35,57300,0.0,0.0
2010-03-18,12.4,12.84,12.22,12.32,11.27,210900,0.0,0.0
2010-03-19,12.41,12.52,12.21,12.31,11.26,124500,0.0,0.0
2010-03-22,12.25,12.42,12.2,12.38,11.33,78000,0.0,0.0
2010-03-23,12.37,12.45,12.2,12.43,11.37,32700,0.0,0.0
2010-03-24,12.33,12.37,12.17,12.18,11.15,40500,0.0,0.0
2010-03-25,12.31,12.57,12.22,12.35,11.3,40200,0.0,0.0
2010-03-26,12.42,12.58,12.24,12.58,11.51,102900,0.0,0.0
2010-03-29,12.58,12.79,12.52,12.77,11.68,94500,0.0,0.0
2010-03-30,12.78,12.79,12.52,12.77,11.69,67800,0.0,0.0
2010-03-31,12.69,12.77,12.5,12.5,11.44,95400,0.0,0.0
2010-04-01,12.61,12.65,12.45,12.49,11.43,47700,0.0,0.0
2010-04-05,12.5,12.81,12.5,12.78,11.69,84000,0.0,0.0
2010-04-06,12.63,12.8,12.63,12.72,11.63,27000,0.0,0.0
2010-04-07,12.67,12.82,12.66,12.78,11.69,90000,0.0,0.0
2010-04-08,12.44,13.13,12.44,13.07,11.95,102000,0.0,0.0
2010-04-09,13.02,13.11,12.97,13.07,11.96,39300,0.0,0.0
2010-04-12,13.08,13.25,13.03,13.19,12.07,97800,0.0,0.0
2010-04-13,13.13,13.27,13.08,13.26,12.13,57000,0.0,0.0
2010-04-14,13.16,13.47,13.16,13.46,12.32,132000,0.0,0.0
2010-04-15,13.49,13.56,13.35,13.56,12.4,46500,0.0,0.0
2010-04-16,13.56,13.64,13.17,13.29,12.16,489600,0.0,0.0
2010-04-19,13.23,13.35,12.93,12.95,11.85,451800,0.0,0.0
2010-04-20,13.04,13.06,12.72,13.05,11.94,75600,0.0,0.0
2010-04-21,13.03,13.22,12.83,13.08,11.97,66000,0.0,0.0
2010-04-22,12.92,13.27,12.87,13.26,12.13,66900,0.0,0.0
2010-04-23,13.24,13.5,13.2,13.28,12.15,395100,0.0,0.0
2010-04-26,13.25,13.28,13.1,13.17,12.05,91200,0.0,0.0
2010-04-27,13.08,13.17,12.83,12.98,11.87,132900,0.0,0.0
2010-04-28,13.1,13.1,12.9,12.97,11.87,57000,0.0,0.0
2010-04-29,13.09,13.15,13.02,13.14,12.02,72900,0.0,0.0
2010-04-30,13.09,13.11,12.76,12.78,11.69,260100,0.0,0.0
2010-05-03,12.9,13.2,12.72,13.13,12.01,78900,0.0,0.0
2010-05-04,12.93,12.97,12.69,12.78,11.69,111000,0.0,0.0
2010-05-05,12.67,12.87,12.63,12.63,11.55,105300,0.0,0.0
2010-05-06,12.56,12.7,12.23,12.3,11.25,138300,0.0,0.0
2010-05-07,12.3,12.35,11.85,11.95,10.93,209700,0.0,0.0
2010-05-10,12.52,12.52,12.0,12.23,11.19,159300,0.0,0.0
2010-05-11,12.08,12.58,12.01,12.53,11.46,232200,0.0,0.0
2010-05-12,12.52,12.93,12.48,12.88,11.78,145500,0.0,0.0
2010-05-13,12.81,12.81,12.47,12.54,11.47,91500,0.0,0.0
2010-05-14,12.41,12.54,12.06,12.2,11.16,119700,0.0,0.0
2010-05-17,12.32,12.51,12.12,12.26,11.22,153300,0.0,0.0
2010-05-18,12.44,12.47,12.01,12.03,11.01,61800,0.0,0.0
2010-05-19,12.01,12.08,11.7,11.71,10.71,114900,0.0,0.0
2010-05-20,11.62,11.71,11.08,11.12,10.17,840600,0.0,0.0
2010-05-21,11.01,11.48,10.98,11.39,10.42,341700,0.0,0.0
