Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,20.41,20.7,20.4,20.65,198600,0.0,0
2010-01-05,20.65,21.43,20.51,20.62,393600,0.0,0
2010-01-06,20.8,20.86,20.56,20.75,218200,0.0,0
2010-01-07,20.76,21.12,20.65,20.98,218500,0.0,0
2010-01-08,20.85,20.97,20.73,20.78,91800,0.0,0
2010-01-11,20.76,20.85,20.51,20.82,190000,0.0,0
2010-01-12,20.65,20.88,20.54,20.63,98700,0.0,0
2010-01-13,20.72,21.08,20.6,21.03,117900,0.0,0
2010-01-14,21.06,21.92,21.06,21.85,187900,0.0,0
2010-01-15,21.95,21.95,21.58,21.74,122000,0.0,0
2010-01-19,21.78,21.89,21.7,21.86,46300,0.0,0
2010-01-20,21.67,21.73,21.11,21.41,165200,0.0,0
2010-01-21,21.36,21.62,20.62,20.99,351100,0.0,0
2010-01-22,21.02,21.14,20.67,20.72,96900,0.0,0
2010-01-25,20.92,21.01,20.51,20.6,89300,0.0,0
2010-01-26,20.62,20.7,20.47,20.62,55500,0.0,0
2010-01-27,20.51,20.65,20.24,20.6,84100,0.0,0
2010-01-28,20.58,20.82,20.45,20.58,101900,0.0,0
2010-01-29,20.62,20.82,20.34,20.34,182500,0.0,0
2010-02-01,20.41,20.72,20.3,20.51,107800,0.0,0
2010-02-02,20.58,20.74,20.47,20.7,69200,0.0,0
2010-02-03,20.63,20.67,20.23,20.31,100700,0.0,0
2010-02-04,20.19,20.33,19.88,19.93,279100,0.0,0
2010-02-05,20.37,20.63,20.12,20.32,303600,0.0,0
2010-02-08,20.29,20.4,20.08,20.15,195200,0.0,0
2010-02-09,20.46,20.55,20.0,20.06,342600,0.0,0
2010-02-10,20.12,20.37,19.97,20.16,248800,0.0,0
2010-02-11,20.06,20.37,19.92,20.31,144200,0.0,0
2010-02-12,19.72,20.92,19.62,20.89,539400,0.0,0
2010-02-16,20.89,20.89,20.5,20.74,173200,0.0,0
2010-02-17,20.73,21.31,20.58,21.16,198000,0.0,0
2010-02-18,21.04,21.23,20.92,21.22,79000,0.0,0
2010-02-19,21.22,21.32,21.03,21.28,72200,0.0,0
2010-02-22,21.28,21.28,21.07,21.26,130300,0.0,0
2010-02-23,21.15,21.31,21.0,21.07,99800,0.0,0
2010-02-24,21.19,21.36,21.1,21.24,143400,0.0,0
2010-02-25,21.0,21.25,20.9,21.14,115500,0.0,0
2010-02-26,21.08,21.33,20.92,21.17,187500,0.0,0
2010-03-01,21.18,21.77,21.09,21.69,182100,0.0,0
2010-03-02,21.76,21.81,21.61,21.68,154200,0.0,0
2010-03-03,21.77,21.8,21.6,21.75,108600,0.0,0
2010-03-04,21.67,21.92,21.67,21.85,141900,0.0,0
2010-03-05,21.9,22.29,21.9,22.24,138200,0.0,0
2010-03-08,22.06,22.42,21.98,22.34,121400,0.0,0
2010-03-09,22.3,22.52,21.98,22.22,337000,0.0,0
2010-03-10,22.17,22.54,22.17,22.35,90000,0.0,0
2010-03-11,22.25,22.38,22.13,22.31,107600,0.0,0
2010-03-12,22.31,22.5,22.04,22.38,107600,0.0,0
2010-03-15,22.4,22.4,22.18,22.27,76500,0.0,0
2010-03-16,22.24,22.4,21.98,22.04,202200,0.0,0
2010-03-17,22.03,22.15,21.67,21.72,372800,0.0,0
2010-03-18,21.78,21.82,21.61,21.64,180000,0.0,0
2010-03-19,21.97,22.08,21.63,21.97,440000,0.0,0
