Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,47.02,47.3,47.01,47.1,32.29,2011200,0.0,0
2010-01-05,47.18,47.29,46.8,47.19,32.35,1697200,0.0,0
2010-01-06,47.4,47.61,47.28,47.42,32.51,1640000,0.0,0
2010-01-07,47.3,47.43,47.07,47.36,32.46,1342000,0.0,0
2010-01-08,47.76,48.09,47.63,48.01,32.91,1405100,0.0,0
2010-01-11,48.35,48.72,48.05,48.64,33.34,2329300,0.0,0
2010-01-12,49.04,49.18,48.35,49.01,33.6,3038200,0.0,0
2010-01-13,49.77,50.08,49.53,49.9,34.21,3316600,0.0,0
2010-01-14,50.81,50.91,50.51,50.54,34.64,3661500,0.0,0
2010-01-15,50.68,50.68,49.94,50.0,34.27,2441200,0.0,0
2010-01-19,49.97,50.59,49.95,50.49,34.61,1775400,0.0,0
2010-01-20,49.19,49.53,48.75,49.05,33.62,2474500,0.0,0
2010-01-21,48.33,48.57,47.58,47.84,32.79,3002900,0.0,0
2010-01-22,47.63,47.93,46.8,46.87,32.13,2180300,0.0,0
2010-01-25,48.32,48.47,47.77,47.87,32.81,1973300,0.0,0
2010-01-26,47.56,48.12,47.2,47.74,32.72,1549900,0.0,0
2010-01-27,47.38,47.68,47.0,47.57,32.61,1969500,0.0,0
2010-01-28,47.94,48.07,46.94,47.27,32.4,1997700,0.0,0
2010-01-29,47.73,47.75,46.76,46.95,32.18,2342900,0.0,0
2010-02-01,47.92,48.5,47.84,48.42,33.19,1857300,0.0,0
2010-02-02,48.49,49.4,48.48,49.23,33.75,1741100,0.0,0
2010-02-03,49.14,49.22,48.75,48.91,33.53,1074800,0.0,0
2010-02-04,47.83,47.83,46.97,46.97,32.2,1938400,0.0,0
2010-02-05,47.3,47.43,46.42,47.38,32.48,2282800,0.0,0
2010-02-08,48.42,48.61,47.92,47.96,32.88,1844900,0.0,0
2010-02-09,48.81,49.4,48.54,48.95,33.55,1621700,0.0,0
2010-02-10,48.42,48.49,47.6,48.2,33.04,1389300,0.0,0
2010-02-11,48.69,49.27,48.31,49.18,33.71,1619700,0.0,0
2010-02-12,48.25,48.68,47.83,48.59,33.31,1215600,0.0,0
2010-02-16,48.65,49.16,48.52,49.01,33.6,1403500,0.0,0
2010-02-17,49.34,49.44,49.14,49.36,33.84,1124000,0.0,0
2010-02-18,49.11,49.78,48.92,49.65,34.03,1151100,0.0,0
2010-02-19,48.62,49.02,48.48,48.79,33.44,1520700,0.0,0
2010-02-22,49.4,49.4,48.79,49.09,33.65,1232300,0.0,0
2010-02-23,49.11,49.22,48.48,48.65,33.35,1546800,0.0,0
2010-02-24,49.26,49.69,49.09,49.45,33.9,1636200,0.0,0
2010-02-25,48.92,49.26,48.5,49.17,33.7,1542000,0.0,0
