Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2013-09-13,18.25,18.72,17.76,18.0,10.4,4273700,0.0,0
2013-09-16,18.2,18.29,18.01,18.06,10.44,389000,0.0,0
2013-09-17,18.08,18.35,18.06,18.2,10.52,174100,0.0,0
2013-09-18,18.2,18.45,18.11,18.39,10.63,226300,0.0,0
2013-09-19,18.37,18.44,18.3,18.3,10.58,204500,0.0,0
2013-09-20,18.3,18.32,18.08,18.1,10.46,145800,0.0,0
2013-09-23,18.18,18.2,18.01,18.16,10.5,108000,0.0,0
2013-09-24,18.2,18.24,18.1,18.11,10.47,105800,0.0,0
2013-09-25,18.11,18.15,18.02,18.11,10.47,99700,0.0,0
2013-09-26,18.15,18.29,18.15,18.22,10.53,65500,0.0,0
2013-09-27,18.22,18.24,18.16,18.17,10.5,53700,0.0,0
2013-09-30,18.1,18.39,18.08,18.35,10.61,51800,0.0,0
2013-10-01,18.3,18.37,18.25,18.35,10.61,28100,0.0,0
2013-10-02,18.4,18.68,18.4,18.61,10.76,105100,0.0,0
2013-10-03,18.6,18.94,18.6,18.9,10.92,78900,0.0,0
2013-10-04,18.91,19.14,18.81,19.09,11.03,126600,0.0,0
2013-10-07,19.09,19.49,18.87,19.44,11.24,103300,0.0,0
2013-10-08,19.79,20.19,19.44,20.01,11.57,328700,0.0,0
2013-10-09,20.05,20.1,19.68,19.99,11.56,75900,0.0,0
2013-10-10,19.75,20.3,19.75,20.0,11.56,50100,0.0,0
2013-10-11,20.04,20.31,19.91,19.91,11.51,34400,0.0,0
2013-10-14,19.71,20.2,19.51,20.2,11.68,40800,0.0,0
2013-10-15,20.18,20.44,19.98,20.41,11.8,20400,0.0,0
2013-10-16,20.5,20.85,20.45,20.75,11.99,33800,0.0,0
2013-10-17,20.83,20.98,20.8,20.8,12.02,24800,0.0,0
2013-10-18,21.0,21.24,20.84,21.2,12.25,20800,0.0,0
2013-10-21,21.5,22.11,21.46,22.05,12.75,94700,0.0,0
2013-10-22,22.25,22.4,21.94,22.1,12.77,91900,0.0,0
2013-10-23,22.51,22.51,21.91,22.05,12.75,15100,0.0,0
2013-10-24,22.4,22.4,21.9,22.1,12.77,21800,0.0,0
2013-10-25,22.08,22.37,21.92,22.07,12.76,24100,0.0,0
2013-10-28,22.1,22.28,21.9,22.1,12.77,61200,0.0,0
2013-10-29,22.01,22.18,21.97,22.04,12.74,29900,0.0,0
2013-10-30,22.33,22.33,21.89,21.89,12.65,83600,0.0,0
2013-10-31,21.85,22.09,21.85,21.99,12.71,164700,0.0,0
2013-11-01,22.02,22.31,22.0,22.17,12.82,6800,0.0,0
2013-11-04,22.24,22.64,22.17,22.33,12.91,39500,0.0,0
2013-11-05,22.21,22.64,21.62,22.0,12.72,42300,0.0,0
2013-11-06,21.49,21.49,20.64,21.18,12.24,111500,0.0,0
2013-11-07,21.11,21.11,20.64,20.9,12.08,9500,0.0,0
2013-11-08,20.79,21.16,20.59,21.15,12.23,4100,0.0,0
2013-11-11,21.31,21.51,21.2,21.27,12.29,12500,0.0,0
2013-11-12,21.47,21.48,20.66,20.78,12.01,16100,0.0,0
2013-11-13,20.93,21.07,20.41,20.85,12.05,14700,0.0,0
2013-11-14,21.0,21.5,21.0,21.5,12.43,10400,0.0,0
2013-11-15,21.5,21.77,21.5,21.76,12.58,5000,0.0,0
2013-11-18,21.78,22.25,21.59,21.8,12.6,25300,0.0,0
