Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,10.34,10.34,10.34,10.34,0,0.0,0
2010-01-05,10.34,10.34,10.34,10.34,0,0.0,0
2010-01-06,10.34,10.34,10.34,10.34,0,0.0,0
2010-01-07,10.43,10.43,10.43,10.43,100,0.0,0
2010-01-08,10.43,10.43,10.43,10.43,0,0.0,0
2010-01-11,10.78,11.83,10.6,11.7,6900,0.0,0
2010-01-12,11.97,11.97,11.39,11.44,3100,0.0,0
2010-01-13,11.51,11.51,10.73,10.73,700,0.0,0
2010-01-14,10.94,11.36,10.87,10.95,4700,0.0,0
2010-01-15,10.71,10.71,10.71,10.71,100,0.0,0
2010-01-19,10.97,11.3,10.97,11.3,700,0.0,0
2010-01-20,11.3,11.3,11.3,11.3,0,0.0,0
2010-01-21,10.99,11.07,10.75,10.75,400,0.0,0
2010-01-22,10.71,10.71,10.34,10.34,900,0.0,0
2010-01-25,10.56,10.65,10.38,10.65,1200,0.0,0
2010-01-26,10.59,10.87,10.56,10.87,500,0.0,0
2010-01-27,10.83,10.87,10.52,10.52,2900,0.0,0
2010-01-28,10.59,10.59,10.52,10.52,200,0.0,0
2010-01-29,10.52,10.52,10.52,10.52,0,0.0,0
2010-02-01,10.52,10.52,10.52,10.52,200,0.0,0
2010-02-02,10.52,10.52,10.52,10.52,0,0.0,0
2010-02-03,10.52,10.52,10.52,10.52,0,0.0,0
2010-02-04,10.52,10.52,10.52,10.52,0,0.0,0
2010-02-05,10.52,10.52,10.52,10.52,0,0.0,0
2010-02-08,10.52,10.52,10.34,10.34,2100,0.0,0
2010-02-09,10.34,10.52,10.34,10.52,1000,0.0,0
2010-02-10,10.52,10.52,10.52,10.52,0,0.0,0
2010-02-11,10.34,10.34,10.17,10.17,2100,0.0,0
2010-02-12,10.17,10.17,10.17,10.17,0,0.0,0
2010-02-16,10.69,11.37,10.69,11.37,300,0.0,0
2010-02-17,11.02,11.02,10.69,10.69,200,0.0,0
2010-02-18,10.69,10.69,10.69,10.69,0,0.0,0
2010-02-19,10.69,10.69,10.69,10.69,0,0.0,0
2010-02-22,10.69,10.69,10.69,10.69,0,0.0,0
2010-02-23,10.69,10.95,10.5,10.5,700,0.0,0
2010-02-24,10.5,10.5,9.95,10.22,3200,0.0,0
2010-02-25,10.22,10.22,10.22,10.22,0,0.0,0
2010-02-26,10.22,10.22,10.22,10.22,0,0.0,0
2010-03-01,10.22,10.22,10.22,10.22,0,0.0,0
2010-03-02,10.12,10.34,10.12,10.34,1000,0.0,0
2010-03-03,10.12,10.94,10.08,10.35,3000,0.0,0
2010-03-04,10.35,10.35,10.35,10.35,0,0.0,0
2010-03-05,10.35,10.35,10.35,10.35,0,0.0,0
2010-03-08,10.35,10.35,10.35,10.35,0,0.0,0
2010-03-09,10.21,10.34,10.21,10.34,500,0.0,0
2010-03-10,10.24,10.24,10.24,10.24,100,0.0,0
2010-03-11,10.21,10.21,10.21,10.21,900,0.0,0
2010-03-12,10.56,10.56,10.12,10.34,400,0.0,0
2010-03-15,10.6,10.87,10.6,10.87,200,0.0,0
2010-03-16,10.87,10.87,10.87,10.87,0,0.0,0
2010-03-17,10.87,10.87,10.87,10.87,0,0.0,0
2010-03-18,10.87,10.87,10.87,10.87,0,0.0,0
2010-03-19,10.87,10.87,10.87,10.87,0,0.0,0
2010-03-22,10.87,10.87,10.47,10.47,700,0.0,0
2010-03-23,10.47,10.47,10.47,10.47,0,0.0,0
2010-03-24,10.47,10.47,10.47,10.47,0,0.0,0
2010-03-25,10.05,10.51,10.05,10.51,1400,0.0,0
2010-03-26,10.27,10.95,10.25,10.94,6300,0.0,0
2010-03-29,11.37,11.9,11.02,11.24,9700,0.07,0
2010-03-30,11.24,11.24,11.1,11.1,500,0.0,0
2010-03-31,11.26,11.26,11.06,11.06,2000,0.0,0
2010-04-01,10.75,10.79,10.75,10.79,300,0.0,0
2010-04-05,11.46,11.46,11.46,11.46,300,0.0,0
2010-04-06,10.75,11.1,10.75,10.96,900,0.0,0
2010-04-07,10.61,10.96,10.26,10.57,700,0.0,0
2010-04-08,10.49,10.49,10.13,10.13,900,0.0,0
2010-04-09,10.57,10.59,10.14,10.14,2000,0.0,0
2010-04-12,10.2,10.29,10.14,10.2,1300,0.0,0
2010-04-13,10.2,10.2,10.2,10.2,0,0.0,0
2010-04-14,10.2,10.2,10.2,10.2,0,0.0,0
2010-04-15,10.23,10.24,10.23,10.24,1000,0.0,0
2010-04-16,10.6,10.6,10.6,10.6,200,0.0,0
2010-04-19,10.6,10.6,10.27,10.57,1700,0.0,0
2010-04-20,10.57,10.57,10.57,10.57,0,0.0,0
2010-04-21,10.66,10.91,10.64,10.8,2500,0.0,0
2010-04-22,10.57,10.8,10.22,10.57,4100,0.0,0
2010-04-23,10.43,10.49,10.43,10.49,300,0.0,0
2010-04-26,10.88,11.0,10.5,10.5,7300,0.0,0
2010-04-27,10.26,10.62,10.23,10.62,2300,0.0,0
2010-04-28,10.62,10.62,10.62,10.62,0,0.0,0
2010-04-29,10.62,10.62,10.62,10.62,0,0.0,0
2010-04-30,10.8,10.8,10.79,10.8,1300,0.0,0
2010-05-03,10.82,10.84,10.82,10.84,400,0.07,0
2010-05-04,10.84,10.84,10.84,10.84,0,0.0,0
2010-05-05,10.81,10.81,10.81,10.81,300,0.0,0
2010-05-06,11.06,11.06,11.06,11.06,100,0.0,0
2010-05-07,10.83,10.83,10.81,10.81,200,0.0,0
2010-05-10,10.84,10.84,10.84,10.84,300,0.0,0
2010-05-11,10.84,10.84,10.84,10.84,0,0.0,0
2010-05-12,10.84,10.84,10.84,10.84,0,0.0,0
2010-05-13,10.84,10.84,10.84,10.84,0,0.0,0
2010-05-14,10.86,10.86,10.86,10.86,200,0.0,0
2010-05-17,10.86,10.86,10.86,10.86,0,0.0,0
2010-05-18,11.01,11.08,10.74,11.08,1700,0.0,0
2010-05-19,11.06,11.1,11.06,11.06,1700,0.0,0
2010-05-20,11.18,11.39,11.18,11.39,300,0.0,0
2010-05-21,11.39,11.39,11.39,11.39,0,0.0,0
2010-05-24,11.39,11.39,11.39,11.39,0,0.0,0
2010-05-25,11.36,11.39,11.36,11.39,300,0.0,0
2010-05-26,11.33,11.33,11.33,11.33,100,0.0,0
2010-05-27,11.33,11.33,11.33,11.33,0,0.0,0
2010-05-28,11.33,11.33,11.33,11.33,0,0.0,0
2010-06-01,11.33,11.33,11.33,11.33,0,0.0,0
2010-06-02,11.0,11.51,11.0,11.51,4700,0.0,0
2010-06-03,11.03,11.74,10.93,11.52,4600,0.0,0
2010-06-04,11.83,11.83,11.13,11.16,1200,0.0,0
2010-06-07,11.14,11.48,10.93,10.93,5000,0.0,0
2010-06-08,10.59,11.26,9.8,10.19,10100,0.0,0
2010-06-09,10.14,10.5,9.31,9.57,16600,0.0,0
2010-06-10,9.93,9.93,9.57,9.7,3700,0.0,0
2010-06-11,9.62,9.75,9.62,9.62,1400,0.0,0
2010-06-14,10.02,10.02,9.68,9.68,700,0.0,0
2010-06-15,9.74,9.77,9.59,9.75,4200,0.0,0
2010-06-16,9.66,9.72,9.66,9.66,600,0.0,0
2010-06-17,9.75,9.75,9.75,9.75,200,0.0,0
2010-06-18,10.06,10.56,10.04,10.39,2100,0.0,0
2010-06-21,10.67,11.74,10.46,11.74,1300,0.0,0
2010-06-22,11.6,11.65,11.51,11.58,4600,0.0,0
2010-06-23,10.72,10.83,10.29,10.64,2600,0.0,0
2010-06-24,10.64,10.64,10.64,10.64,0,0.0,0
2010-06-25,10.64,10.65,10.51,10.51,900,0.0,0
2010-06-28,10.46,10.86,10.46,10.75,5300,0.0,0
2010-06-29,10.23,10.23,10.23,10.23,100,0.0,0
2010-06-30,10.64,10.64,10.45,10.46,1600,0.0,0
2010-07-01,10.46,10.46,10.44,10.46,2500,0.0,0
2010-07-02,10.39,10.39,10.1,10.1,2500,0.0,0
2010-07-06,10.46,10.46,10.05,10.05,1400,0.0,0
2010-07-07,9.97,9.97,9.92,9.92,300,0.0,0
2010-07-08,9.81,9.81,9.81,9.81,200,0.0,0
2010-07-09,9.81,9.81,9.81,9.81,0,0.0,0
2010-07-12,9.58,9.58,9.17,9.37,3200,0.0,0
2010-07-13,9.62,9.62,8.6,8.6,800,0.0,0
2010-07-14,8.69,8.95,8.64,8.95,4500,0.0,0
2010-07-15,9.48,9.48,9.08,9.08,300,0.0,0
2010-07-16,9.08,9.08,9.08,9.08,0,0.0,0
2010-07-19,9.48,9.48,9.22,9.22,200,0.0,0
2010-07-20,9.22,9.22,9.22,9.22,1000,0.0,0
2010-07-21,9.22,9.22,9.22,9.22,0,0.0,0
2010-07-22,10.72,10.72,9.79,9.79,900,0.0,0
2010-07-23,9.79,9.79,9.79,9.79,0,0.0,0
2010-07-26,9.81,9.81,9.79,9.79,300,0.0,0
2010-07-27,9.79,9.79,9.79,9.79,0,0.0,0
2010-07-28,9.79,9.79,9.79,9.79,0,0.0,0
2010-07-29,9.79,9.79,9.79,9.79,0,0.0,0
2010-07-30,9.79,9.79,9.79,9.79,0,0.0,0
2010-08-02,9.79,9.79,9.79,9.79,0,0.0,0
2010-08-03,9.75,10.12,9.74,10.12,600,0.0,0
2010-08-04,10.12,10.12,10.12,10.12,0,0.0,0
2010-08-05,10.12,10.12,10.12,10.12,0,0.0,0
2010-08-06,10.12,10.12,10.12,10.12,0,0.0,0
2010-08-09,10.12,10.12,10.12,10.12,0,0.0,0
2010-08-10,10.12,10.12,10.12,10.12,0,0.0,0
2010-08-11,9.97,9.97,9.97,9.97,200,0.0,0
2010-08-12,9.97,9.97,9.97,9.97,0,0.0,0
2010-08-13,9.97,10.54,9.93,9.93,3500,0.0,0
