Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,11.01,11.15,10.97,11.1,5875500,0.0,0
2010-01-05,11.17,11.17,10.99,11.06,4288600,0.0,0
2010-01-06,11.06,11.13,11.01,11.03,4671800,0.0,0
2010-01-07,11.05,11.05,10.77,10.89,5909300,0.0,0
2010-01-08,10.84,10.95,10.75,10.93,2398800,0.0,0
2010-01-11,11.03,11.1,10.92,11.07,4536800,0.0,0
2010-01-12,11.03,11.08,10.94,11.01,2906900,0.0,0
2010-01-13,11.02,11.15,10.94,11.09,2073000,0.0,0
2010-01-14,11.08,11.21,11.03,11.1,2644900,0.0,0
2010-01-15,11.09,11.1,10.89,11.03,3998800,0.0,0
2010-01-19,11.03,11.18,11.0,11.17,1860700,0.0,0
2010-01-20,11.13,11.16,10.94,11.15,3240300,0.0,0
2010-01-21,11.19,11.26,10.92,10.92,3018700,0.0,0
2010-01-22,10.96,10.96,10.68,10.7,4304900,0.0,0
2010-01-25,10.8,10.87,10.68,10.81,2741700,0.0,0
2010-01-26,10.86,11.0,10.75,10.92,3243200,0.0,0
2010-01-27,10.91,10.91,10.7,10.82,3061000,0.0,0
2010-01-28,10.84,10.88,10.7,10.75,2980200,0.0,0
2010-01-29,10.75,10.88,10.63,10.66,4142700,0.0,0
2010-02-01,10.7,10.74,10.6,10.72,3137700,0.0,0
2010-02-02,10.76,10.91,10.63,10.9,2445800,0.0,0
2010-02-03,10.87,10.91,10.74,10.79,2443400,0.0,0
2010-02-04,10.76,10.79,10.57,10.57,3015300,0.15,0
2010-02-05,10.55,10.58,10.34,10.51,2723300,0.0,0
2010-02-08,10.53,10.54,10.34,10.35,2721000,0.0,0
2010-02-09,10.49,10.55,10.37,10.4,2576100,0.0,0
2010-02-10,10.35,10.39,10.22,10.34,2397400,0.0,0
2010-02-11,10.31,10.6,10.27,10.57,3992700,0.0,0
2010-02-12,10.51,10.56,10.44,10.53,3395000,0.0,0
2010-02-16,10.64,10.74,10.55,10.73,1912200,0.0,0
2010-02-17,10.77,10.8,10.67,10.74,1475600,0.0,0
2010-02-18,10.76,10.84,10.68,10.78,3177500,0.0,0
2010-02-19,10.75,11.08,10.68,11.06,4304500,0.0,0
2010-02-22,10.99,11.06,10.96,10.99,2315700,0.0,0
2010-02-23,10.98,11.01,10.81,10.87,3054700,0.0,0
2010-02-24,10.71,10.94,10.59,10.93,4645400,0.0,0
2010-02-25,10.75,10.89,10.69,10.85,3015400,0.0,0
2010-02-26,10.86,10.97,10.79,10.84,2641200,0.0,0
2010-03-01,10.88,10.97,10.78,10.92,5502600,0.0,0
2010-03-02,11.0,11.13,10.96,11.09,5157200,0.0,0
2010-03-03,11.1,11.18,10.98,11.01,5419300,0.0,0
2010-03-04,10.98,11.02,10.86,11.0,4527200,0.0,0
2010-03-05,11.04,11.14,10.99,11.14,2549300,0.0,0
2010-03-08,11.06,11.17,11.05,11.09,3532200,0.0,0
2010-03-09,11.09,11.21,10.99,11.19,4026000,0.0,0
2010-03-10,11.18,11.19,11.04,11.16,3165500,0.0,0
2010-03-11,11.14,11.19,11.09,11.19,1395100,0.0,0
2010-03-12,11.2,11.21,11.09,11.15,1477000,0.0,0
2010-03-15,11.16,11.18,10.99,11.11,1187900,0.0,0
2010-03-16,11.11,11.19,11.06,11.17,1851500,0.0,0
2010-03-17,11.18,11.23,11.06,11.18,1901500,0.0,0
2010-03-18,11.15,11.31,11.13,11.23,2197300,0.0,0
2010-03-19,11.23,11.36,11.13,11.23,2113600,0.0,0
2010-03-22,11.17,11.18,11.08,11.12,2246800,0.0,0
2010-03-23,11.11,11.17,11.08,11.14,2558700,0.0,0
2010-03-24,11.12,11.15,10.98,11.04,2180500,0.0,0
2010-03-25,11.06,11.16,10.95,10.95,2498600,0.0,0
2010-03-26,10.99,11.09,10.94,11.02,3102800,0.0,0
2010-03-29,11.01,11.12,10.96,11.04,2913100,0.0,0
2010-03-30,11.02,11.18,11.01,11.02,2099200,0.0,0
2010-03-31,10.97,11.03,10.93,10.97,2990400,0.0,0
2010-04-01,11.01,11.11,10.99,11.09,3093400,0.0,0
2010-04-05,11.13,11.25,11.06,11.24,2037400,0.0,0
2010-04-06,11.21,11.36,11.18,11.34,2007900,0.0,0
2010-04-07,11.27,11.38,11.25,11.31,4070500,0.0,0
2010-04-08,11.26,11.31,11.14,11.2,2122000,0.0,0
2010-04-09,11.19,11.29,11.11,11.28,1898800,0.0,0
2010-04-12,11.29,11.41,11.29,11.39,2171700,0.0,0
2010-04-13,11.37,11.42,11.25,11.29,2389400,0.0,0
2010-04-14,11.31,11.34,11.22,11.3,1468800,0.0,0
2010-04-15,11.27,11.32,11.21,11.25,2379200,0.0,0
2010-04-16,11.23,11.3,11.13,11.16,3621600,0.0,0
2010-04-19,11.12,11.21,11.07,11.19,3190900,0.0,0
2010-04-20,11.26,11.31,11.2,11.21,5002300,0.0,0
2010-04-21,11.23,11.25,11.15,11.19,2560800,0.0,0
2010-04-22,11.16,11.26,11.11,11.21,3488100,0.0,0
2010-04-23,11.28,11.7,11.22,11.63,6010300,0.0,0
2010-04-26,11.68,11.83,11.65,11.75,6374600,0.0,0
2010-04-27,11.71,11.8,11.43,11.45,5987700,0.0,0
2010-04-28,11.5,11.63,11.43,11.6,3176300,0.0,0
2010-04-29,11.64,11.7,11.55,11.58,2702100,0.0,0
2010-04-30,11.62,11.7,11.53,11.54,2881000,0.0,0
2010-05-03,11.56,11.72,11.5,11.72,4108500,0.0,0
2010-05-04,11.61,11.65,11.38,11.43,3493500,0.0,0
2010-05-05,11.35,11.42,11.2,11.24,4635000,0.15,0
2010-05-06,11.18,11.29,10.41,10.94,9256800,0.0,0
2010-05-07,10.98,11.09,10.64,10.8,7555200,0.0,0
2010-05-10,11.16,11.26,10.96,11.1,3417200,0.0,0
2010-05-11,10.99,11.21,10.96,11.08,3630600,0.0,0
2010-05-12,11.05,11.3,11.03,11.28,2237800,0.0,0
2010-05-13,11.24,11.39,11.17,11.23,3129700,0.0,0
2010-05-14,11.15,11.28,11.07,11.15,4057600,0.0,0
2010-05-17,11.15,11.23,11.0,11.17,2623100,0.0,0
2010-05-18,11.23,11.31,11.03,11.07,3109700,0.0,0
2010-05-19,11.0,11.09,10.85,10.96,3136800,0.0,0
2010-05-20,10.67,10.79,10.54,10.56,3876400,0.0,0
2010-05-21,10.42,10.63,10.33,10.59,3113200,0.0,0
2010-05-24,10.52,10.65,10.45,10.47,1762700,0.0,0
2010-05-25,10.25,10.31,10.09,10.3,5866800,0.0,0
2010-05-26,10.37,10.52,10.23,10.39,8307600,0.0,0
2010-05-27,10.55,10.65,10.38,10.54,3395600,0.0,0
2010-05-28,10.52,10.65,10.47,10.52,3027800,0.0,0
2010-06-01,10.42,10.55,10.26,10.26,2339700,0.0,0
2010-06-02,10.32,10.47,10.27,10.47,2461400,0.0,0
2010-06-03,10.49,10.6,10.45,10.57,1715300,0.0,0
2010-06-04,10.42,10.51,10.17,10.22,3152800,0.0,0
2010-06-07,10.22,10.45,10.22,10.25,3884200,0.0,0
2010-06-08,10.22,10.35,10.18,10.33,2710100,0.0,0
2010-06-09,10.37,10.61,10.32,10.35,4080300,0.0,0
2010-06-10,10.49,10.63,10.47,10.6,2448600,0.0,0
2010-06-11,10.51,10.7,10.43,10.68,3211200,0.0,0
2010-06-14,10.75,10.82,10.67,10.71,2016400,0.0,0
2010-06-15,10.75,10.96,10.74,10.95,2039600,0.0,0
2010-06-16,10.91,11.08,10.87,11.03,2258200,0.0,0
2010-06-17,11.04,11.14,10.97,11.14,1842000,0.0,0
2010-06-18,11.13,11.19,11.04,11.13,2167300,0.0,0
2010-06-21,11.24,11.25,11.01,11.08,2054600,0.0,0
2010-06-22,11.1,11.14,10.82,10.84,1772700,0.0,0
2010-06-23,10.87,10.87,10.6,10.67,2174200,0.0,0
2010-06-24,10.67,10.99,10.64,10.8,6098200,0.0,0
2010-06-25,10.82,10.93,10.67,10.87,5288900,0.0,0
2010-06-28,10.85,10.99,10.8,10.94,982600,0.0,0
2010-06-29,10.84,10.85,10.65,10.7,2602600,0.0,0
2010-06-30,10.7,10.76,10.45,10.5,2546800,0.0,0
2010-07-01,10.53,10.56,10.37,10.52,4692400,0.0,0
2010-07-02,10.54,10.59,10.41,10.52,2170800,0.0,0
2010-07-06,10.6,10.72,10.51,10.65,2100100,0.0,0
2010-07-07,10.65,10.92,10.62,10.92,1855200,0.0,0
2010-07-08,10.95,11.06,10.85,11.06,2233600,0.0,0
2010-07-09,11.07,11.25,10.98,11.23,2912800,0.0,0
2010-07-12,11.2,11.34,11.19,11.29,3001200,0.0,0
2010-07-13,11.36,11.44,11.29,11.35,2815100,0.0,0
2010-07-14,11.29,11.35,11.21,11.33,5039400,0.0,0
2010-07-15,11.32,11.48,11.25,11.46,4176600,0.0,0
2010-07-16,11.38,11.43,11.16,11.19,2939300,0.0,0
2010-07-19,11.23,11.38,11.17,11.35,4507000,0.0,0
2010-07-20,11.25,11.48,11.18,11.44,2963300,0.0,0
2010-07-21,11.48,11.51,11.16,11.24,3050400,0.0,0
2010-07-22,11.3,11.44,11.3,11.41,2772200,0.0,0
2010-07-23,11.43,11.51,11.32,11.51,2281200,0.0,0
2010-07-26,11.48,11.66,11.48,11.66,2644200,0.0,0
2010-07-27,11.7,11.88,11.62,11.87,5855800,0.0,0
2010-07-28,11.8,11.87,11.55,11.68,5399200,0.0,0
2010-07-29,11.79,11.79,11.46,11.58,2673100,0.0,0
2010-07-30,11.47,11.51,11.31,11.41,3611800,0.0,0
2010-08-02,11.51,11.63,11.51,11.63,2232000,0.0,0
2010-08-03,11.57,11.75,11.54,11.58,2469300,0.0,0
2010-08-04,11.52,11.63,11.45,11.61,3629900,0.15,0
2010-08-05,11.54,11.71,11.53,11.71,1475500,0.0,0
2010-08-06,11.61,12.21,11.54,12.21,11315500,0.0,0
2010-08-09,12.28,12.56,12.2,12.34,11771900,0.0,0
2010-08-10,12.26,12.44,12.16,12.41,4031000,0.0,0
2010-08-11,12.26,12.38,12.18,12.26,4416600,0.0,0
2010-08-12,12.05,12.42,12.02,12.42,4684800,0.0,0
2010-08-13,12.39,12.63,12.39,12.55,4872000,0.0,0
2010-08-16,12.52,12.68,12.41,12.58,2461300,0.0,0
2010-08-17,12.67,12.73,12.5,12.54,6605200,0.0,0
2010-08-18,12.56,12.6,12.32,12.39,7062800,0.0,0
2010-08-19,12.39,12.39,12.16,12.32,4149600,0.0,0
2010-08-20,12.21,12.39,12.19,12.32,3658100,0.0,0
2010-08-23,12.38,12.65,12.34,12.53,4390000,0.0,0
2010-08-24,12.47,12.7,12.44,12.65,5006000,0.0,0
2010-08-25,12.61,12.65,12.44,12.65,5339900,0.0,0
2010-08-26,12.79,12.85,12.6,12.63,4338500,0.0,0
2010-08-27,12.7,12.9,12.54,12.84,3733100,0.0,0
2010-08-30,12.83,12.85,12.59,12.6,2520600,0.0,0
2010-08-31,12.56,12.7,12.48,12.65,3779000,0.0,0
2010-09-01,12.76,12.93,12.7,12.9,4268200,0.0,0
2010-09-02,12.96,13.01,12.86,12.87,3812500,0.0,0
2010-09-03,12.83,12.95,12.78,12.86,3162500,0.0,0
2010-09-07,12.86,12.96,12.75,12.82,3231400,0.0,0
2010-09-08,12.82,12.89,12.62,12.67,10837700,0.0,0
2010-09-09,12.77,12.81,12.68,12.76,2693600,0.0,0
2010-09-10,12.75,12.86,12.6,12.8,4712000,0.0,0
2010-09-13,12.91,12.98,12.85,12.92,4569300,0.0,0
2010-09-14,12.92,12.99,12.81,12.95,2720400,0.0,0
2010-09-15,12.89,13.0,12.81,12.99,2160200,0.0,0
2010-09-16,12.96,13.07,12.85,12.92,5819100,0.0,0
2010-09-17,12.99,13.02,12.79,12.82,3475000,0.0,0
2010-09-20,12.86,13.1,12.83,13.05,5430200,0.0,0
2010-09-21,13.05,13.09,12.83,12.87,5318400,0.0,0
2010-09-22,12.83,13.07,12.83,13.02,4866000,0.0,0
2010-09-23,12.98,13.0,12.79,12.81,6238600,0.0,0
2010-09-24,12.93,13.07,12.91,13.06,2344900,0.0,0
2010-09-27,13.02,13.08,12.87,13.02,3889800,0.0,0
2010-09-28,13.02,13.1,12.9,13.03,3594400,0.0,0
2010-09-29,13.0,13.16,12.97,13.12,3480100,0.0,0
2010-09-30,13.18,13.29,13.02,13.03,4035800,0.0,0
2010-10-01,13.15,13.22,13.04,13.17,2518500,0.0,0
2010-10-04,13.2,13.26,13.05,13.21,3660300,0.0,0
2010-10-05,13.32,13.44,13.27,13.41,6472700,0.0,0
2010-10-06,13.41,13.46,13.35,13.45,4451400,0.0,0
2010-10-07,13.56,13.56,13.38,13.51,3420100,0.0,0
2010-10-08,13.49,13.63,13.4,13.62,5201000,0.0,0
2010-10-11,13.59,13.79,13.54,13.68,5648600,0.0,0
2010-10-12,13.67,13.7,13.51,13.62,5331900,0.0,0
2010-10-13,13.6,13.65,13.33,13.4,6383300,0.0,0
2010-10-14,13.36,13.57,13.36,13.56,5534600,0.0,0
2010-10-15,13.62,13.62,13.46,13.6,4064300,0.0,0
2010-10-18,13.55,13.67,12.99,13.56,5335000,0.0,0
2010-10-19,13.44,13.6,13.41,13.49,4061800,0.0,0
2010-10-20,13.53,13.65,13.49,13.5,5299700,0.0,0
2010-10-21,13.56,13.56,13.31,13.41,6704800,0.0,0
2010-10-22,13.44,13.52,13.38,13.51,5819000,0.0,0
2010-10-25,13.6,13.65,13.49,13.54,4999600,0.0,0
2010-10-26,13.43,13.43,13.17,13.25,5702800,0.0,0
2010-10-27,13.16,13.26,13.01,13.23,5767400,0.0,0
2010-10-28,13.42,13.57,13.29,13.38,2587200,0.0,0
2010-10-29,13.35,13.36,13.2,13.29,5350600,0.0,0
2010-11-01,13.41,13.46,13.09,13.18,2698000,0.0,0
2010-11-02,13.41,13.49,13.26,13.46,3634000,0.0,0
2010-11-03,13.53,13.53,13.22,13.35,3861600,0.21,0
2010-11-04,13.46,13.63,13.37,13.63,4829200,0.0,0
2010-11-05,13.65,13.68,13.39,13.44,4317500,0.0,0
2010-11-08,13.4,13.45,13.27,13.35,3027200,0.0,0
2010-11-09,13.31,13.4,13.14,13.24,5609300,0.0,0
2010-11-10,13.3,13.3,13.05,13.12,6242600,0.0,0
2010-11-11,13.07,13.19,13.05,13.13,3794300,0.0,0
