Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,54.76,55.02,54.03,54.32,47.11,293600,0.0,0
2010-01-05,54.66,55.09,54.13,54.76,47.49,345500,0.0,0
2010-01-06,54.85,55.09,54.28,54.3,47.09,368500,0.0,0
2010-01-07,54.07,54.53,53.52,54.08,46.9,451700,0.0,0
2010-01-08,54.14,55.49,54.14,55.4,48.05,330500,0.0,0
2010-01-11,55.6,55.74,54.59,54.98,47.68,358200,0.0,0
2010-01-12,54.56,54.7,53.77,54.61,47.36,354800,0.0,0
2010-01-13,54.52,54.92,54.05,54.77,47.5,202500,0.0,0
2010-01-14,54.67,54.97,53.76,53.85,46.7,354500,0.0,0
2010-01-15,53.97,53.99,52.56,52.93,45.9,1060100,0.0,0
2010-01-19,52.4,52.4,51.29,51.87,44.99,661300,0.0,0
2010-01-20,51.17,51.17,49.68,50.09,43.44,1331300,0.0,0
2010-01-21,50.32,51.85,50.22,51.2,44.4,1044000,0.0,0
2010-01-22,51.23,52.22,50.43,50.67,43.94,745800,0.0,0
2010-01-25,51.3,51.3,50.21,50.85,44.1,380600,0.0,0
2010-01-26,50.46,51.4,49.92,50.78,44.04,567400,0.0,0
2010-01-27,50.38,51.14,50.03,51.02,44.25,678300,0.0,0
2010-01-28,51.91,52.43,49.32,49.47,42.9,946900,0.0,0
2010-01-29,49.47,49.58,46.77,47.0,40.76,960300,0.0,0
2010-02-01,47.55,48.15,47.16,48.11,41.72,863400,0.0,0
2010-02-02,48.33,48.98,48.21,48.73,42.26,561100,0.0,0
2010-02-03,48.68,49.05,48.06,48.3,41.89,380800,0.0,0
2010-02-04,47.9,48.01,46.95,47.07,40.82,655400,0.0,0
2010-02-05,47.1,47.47,46.29,46.92,40.69,840800,0.0,0
2010-02-08,46.94,47.0,46.13,46.24,40.1,515800,0.0,0
2010-02-09,46.69,48.04,46.69,47.42,41.13,556700,0.0,0
2010-02-10,47.56,48.32,47.33,47.93,41.57,463900,0.0,0
2010-02-11,48.33,49.09,47.97,49.07,42.56,353300,0.0,0
2010-02-12,48.45,48.97,48.32,48.84,42.36,262100,0.0,0
2010-02-16,49.38,49.38,48.57,48.94,42.44,874000,0.0,0
2010-02-17,49.12,49.5,48.75,49.11,42.59,682800,0.0,0
2010-02-18,49.01,49.33,48.7,49.09,42.57,517500,0.0,0
2010-02-19,48.67,49.85,48.59,49.77,43.16,591200,0.0,0
2010-02-22,49.99,50.39,49.64,49.88,43.26,315200,0.0,0
2010-02-23,49.89,49.96,48.5,48.83,42.35,391800,0.0,0
2010-02-24,49.03,49.17,48.3,48.54,42.1,559200,0.0,0
2010-02-25,47.95,48.22,47.19,48.1,41.72,834500,0.0,0
2010-02-26,47.91,48.29,47.45,48.18,41.79,529700,0.0,0
2010-03-01,48.71,50.23,48.29,50.13,43.48,534100,0.0,0
2010-03-02,50.51,51.26,50.51,51.08,44.3,588800,0.0,0
2010-03-03,51.67,53.31,51.37,53.14,46.09,1218800,0.0,0
2010-03-04,53.03,53.49,52.65,53.41,46.32,525100,0.0,0
2010-03-05,53.71,55.26,53.65,55.04,47.73,661100,0.0,0
2010-03-08,55.41,55.41,54.03,54.19,47.0,418600,0.0,0
2010-03-09,54.07,55.0,53.85,54.76,47.49,392800,0.0,0
2010-03-10,54.57,54.86,54.21,54.52,47.28,434500,0.0,0
2010-03-11,53.94,55.09,53.94,54.9,47.61,565500,0.0,0
2010-03-12,55.38,55.6,54.84,55.13,47.81,349900,0.0,0
2010-03-15,55.13,55.26,54.49,55.05,47.74,152500,0.0,0
2010-03-16,55.42,55.63,54.85,55.58,48.2,196300,0.0,0
2010-03-17,55.59,55.91,55.22,55.43,48.07,215900,0.0,0
2010-03-18,55.23,55.57,54.74,54.87,47.59,413600,0.0,0
2010-03-19,54.24,55.15,54.03,54.24,47.04,495200,0.0,0
2010-03-22,53.78,54.59,53.54,54.44,47.21,344100,0.0,0
2010-03-23,54.71,54.71,53.73,54.14,46.95,294500,0.0,0
2010-03-24,53.36,53.82,53.2,53.37,46.5,260200,0.2475,0
2010-03-25,53.87,55.04,53.87,54.5,47.48,357500,0.0,0
2010-03-26,54.61,54.69,53.91,54.23,47.25,265100,0.0,0
2010-03-29,54.65,55.76,54.04,55.5,48.35,383100,0.0,0
2010-03-30,55.87,56.65,55.65,55.88,48.69,311200,0.0,0
2010-03-31,55.85,56.32,55.34,56.24,49.0,375800,0.0,0
2010-04-01,56.59,57.3,56.56,57.21,49.84,255100,0.0,0
2010-04-05,57.62,58.34,57.35,57.94,50.48,267000,0.0,0
2010-04-06,57.97,58.0,56.48,56.7,49.4,361600,0.0,0
2010-04-07,56.53,56.59,55.43,56.36,49.1,397800,0.0,0
2010-04-08,56.22,57.56,55.75,57.44,50.04,463500,0.0,0
2010-04-09,57.41,57.98,57.15,57.51,50.11,411000,0.0,0
2010-04-12,57.51,57.53,56.65,57.09,49.74,301600,0.0,0
2010-04-13,57.3,58.16,56.63,57.82,50.38,430400,0.0,0
2010-04-14,58.36,59.17,58.36,58.69,51.13,322100,0.0,0
2010-04-15,58.45,59.82,58.45,58.84,51.26,303400,0.0,0
2010-04-16,58.58,58.72,56.75,57.67,50.25,415300,0.0,0
2010-04-19,57.28,58.4,57.28,58.26,50.76,904100,0.0,0
2010-04-20,58.96,60.0,58.96,59.06,51.46,331800,0.0,0
2010-04-21,59.12,59.68,59.0,59.49,51.83,351500,0.0,0
2010-04-22,59.26,59.47,58.31,59.37,51.73,340100,0.0,0
2010-04-23,59.08,59.8,59.01,59.52,51.86,224900,0.0,0
2010-04-26,59.14,59.78,59.12,59.43,51.78,271100,0.0,0
2010-04-27,58.98,59.17,57.18,57.29,49.91,603100,0.0,0
2010-04-28,58.86,60.74,58.74,59.56,51.89,1114500,0.0,0
2010-04-29,59.92,61.38,59.92,60.35,52.58,695600,0.0,0
2010-04-30,60.14,60.84,58.86,58.86,51.28,472000,0.0,0
2010-05-03,59.55,60.39,59.38,60.13,52.39,365300,0.0,0
2010-05-04,59.05,59.05,57.16,57.43,50.04,690200,0.0,0
2010-05-05,56.49,56.94,55.19,55.83,48.64,835700,0.0,0
2010-05-06,55.37,56.17,51.28,54.17,47.2,1087500,0.0,0
2010-05-07,54.1,54.96,53.21,53.93,46.99,1270700,0.0,0
2010-05-10,56.82,58.09,56.39,57.9,50.45,993300,0.0,0
2010-05-11,57.52,59.25,57.21,58.51,50.98,1121600,0.0,0
2010-05-12,59.12,60.78,58.94,60.6,52.8,776600,0.0,0
2010-05-13,60.38,60.54,59.4,59.65,51.97,689200,0.0,0
2010-05-14,59.0,59.03,56.87,57.35,49.97,832500,0.0,0
2010-05-17,57.29,57.67,55.16,56.63,49.34,713200,0.0,0
2010-05-18,57.53,58.04,54.95,55.48,48.34,705500,0.0,0
2010-05-19,55.12,55.35,52.71,54.4,47.4,1261800,0.0,0
2010-05-20,52.34,52.94,51.33,51.38,44.76,1052000,0.0,0
2010-05-21,50.66,53.54,49.98,53.01,46.19,1144900,0.0,0
2010-05-24,53.2,53.84,52.53,52.55,45.78,530800,0.0,0
2010-05-25,50.55,53.0,50.22,52.78,45.98,1012900,0.0,0
2010-05-26,53.44,54.46,52.97,53.08,46.25,788300,0.0,0
2010-05-27,54.21,55.0,53.97,54.99,47.91,618600,0.0,0
2010-05-28,55.37,55.74,54.39,55.03,47.94,777000,0.0,0
2010-06-01,54.78,56.32,54.22,54.4,47.4,641700,0.0,0
2010-06-02,54.76,55.95,54.21,55.85,48.66,480000,0.0,0
2010-06-03,56.29,58.1,56.21,57.25,49.88,967100,0.0,0
2010-06-04,55.93,56.82,54.6,54.79,47.74,1178000,0.0,0
2010-06-07,55.01,55.48,53.6,53.8,46.87,953500,0.0,0
2010-06-08,54.65,55.28,53.49,54.64,47.61,1469300,0.0,0
2010-06-09,55.39,56.26,54.78,55.02,47.94,1234500,0.0,0
2010-06-10,56.12,57.65,56.12,57.49,50.09,880500,0.0,0
2010-06-11,56.68,57.94,56.46,57.73,50.3,622000,0.0,0
2010-06-14,58.44,59.16,57.81,58.05,50.58,638200,0.0,0
2010-06-15,58.3,59.31,58.28,59.14,51.53,904200,0.0,0
2010-06-16,58.78,60.16,58.39,59.75,52.06,577000,0.0,0
2010-06-17,59.79,59.88,58.62,59.62,51.94,584700,0.0,0
2010-06-18,59.75,60.5,59.7,60.29,52.53,598300,0.0,0
2010-06-21,61.19,61.98,60.29,60.57,52.77,532200,0.0,0
2010-06-22,60.99,61.11,58.75,58.78,51.21,802800,0.0,0
2010-06-23,58.06,58.75,57.04,57.73,50.53,660200,0.27,0
2010-06-24,56.88,57.43,56.09,56.48,49.44,787900,0.0,0
2010-06-25,57.08,57.08,55.69,56.47,49.43,776600,0.0,0
2010-06-28,56.6,57.29,56.33,56.41,49.37,791500,0.0,0
2010-06-29,54.7,55.11,53.15,53.66,46.97,1086600,0.0,0
2010-06-30,53.22,54.37,53.17,53.62,46.93,704200,0.0,0
2010-07-01,53.81,54.36,52.15,54.08,47.33,639200,0.0,0
2010-07-02,54.23,54.69,53.07,53.29,46.64,902500,0.0,0
2010-07-06,53.93,54.8,52.75,53.14,46.51,612700,0.0,0
2010-07-07,53.22,55.28,53.22,55.11,48.24,464400,0.0,0
2010-07-08,56.22,56.63,55.12,55.62,48.68,470800,0.0,0
2010-07-09,56.0,56.43,55.76,56.15,49.15,315200,0.0,0
2010-07-12,55.87,56.62,55.7,56.58,49.52,452700,0.0,0
2010-07-13,57.83,58.17,56.46,57.13,50.0,801900,0.0,0
2010-07-14,57.04,58.19,56.53,57.79,50.58,723400,0.0,0
2010-07-15,57.73,58.42,57.11,58.29,51.02,649500,0.0,0
2010-07-16,57.86,57.86,55.8,56.16,49.16,586800,0.0,0
2010-07-19,56.25,56.85,55.56,56.13,49.13,376500,0.0,0
