Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,25.46,26.8,25.22,26.24,42500,0.0,0
2010-01-05,26.13,26.15,24.92,25.17,28200,0.0,0
2010-01-06,25.08,25.22,24.41,24.43,43000,0.0,0
2010-01-07,24.54,25.74,24.42,25.38,48200,0.0,0
2010-01-08,25.24,25.44,24.93,24.94,9700,0.0,0
2010-01-11,25.11,25.15,24.74,24.84,10100,0.0,0
2010-01-12,24.74,24.95,24.5,24.77,15900,0.0,0
2010-01-13,25.5,25.63,24.8,25.31,23000,0.0,0
2010-01-14,26.44,26.82,25.33,25.48,30800,0.0,0
2010-01-15,25.61,25.72,24.41,24.85,34400,0.0,0
2010-01-19,24.96,26.41,24.96,26.22,29000,0.0,0
2010-01-20,25.99,26.04,24.97,25.39,43100,0.0,0
2010-01-21,25.84,25.84,24.94,25.1,34100,0.0,0
2010-01-22,25.16,25.67,24.71,24.91,12900,0.0,0
2010-01-25,25.01,25.62,24.63,25.34,28200,0.0,0
2010-01-26,25.2,25.21,24.09,24.11,25300,0.0,0
2010-01-27,23.95,25.03,23.95,25.03,17800,0.0,0
2010-01-28,25.1,25.1,23.41,24.26,23600,0.0,0
2010-01-29,24.31,24.65,23.83,24.51,22500,0.0,0
2010-02-01,24.61,24.61,24.12,24.33,20400,0.0,0
2010-02-02,24.33,24.86,23.83,24.46,33400,0.0,0
2010-02-03,24.31,25.3,24.31,24.55,27800,0.0,0
2010-02-04,24.55,25.26,23.89,23.92,41000,0.0,0
2010-02-05,24.04,25.28,23.91,25.09,22800,0.0,0
2010-02-08,25.01,25.01,23.72,23.72,21500,0.0,0
2010-02-09,23.99,24.74,23.74,24.59,19000,0.0,0
2010-02-10,24.45,24.47,23.87,24.42,24400,0.0,0
2010-02-11,24.29,24.68,23.98,24.37,37000,0.0,0
2010-02-12,24.12,24.61,23.38,23.65,38600,0.0,0
2010-02-16,23.62,24.39,23.54,24.37,19100,0.0,0
2010-02-17,24.44,25.17,24.44,25.13,15700,0.0,0
2010-02-18,25.18,25.61,25.1,25.36,12200,0.0,0
