Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,3.26,3.42,3.26,3.4,36500,0.0,0
2010-01-05,3.4,3.4,3.26,3.28,17000,0.0,0
2010-01-06,3.27,3.41,3.22,3.23,29800,0.0,0
2010-01-07,3.23,3.27,3.18,3.18,17300,0.0,0
2010-01-08,3.16,3.23,3.16,3.19,21800,0.0,0
2010-01-11,3.2,3.43,3.2,3.29,36600,0.0,0
2010-01-12,3.27,3.27,3.04,3.13,23900,0.0,0
2010-01-13,3.13,3.2,3.13,3.17,16100,0.0,0
2010-01-14,3.17,3.3,3.17,3.26,14000,0.0,0
2010-01-15,3.28,3.32,3.08,3.08,50300,0.0,0
2010-01-19,3.1,3.18,3.08,3.17,30900,0.0,0
2010-01-20,3.13,3.24,2.99,3.08,31800,0.0,0
2010-01-21,3.08,3.1,2.93,2.93,55000,0.0,0
2010-01-22,2.91,3.08,2.91,2.98,57400,0.0,0
2010-01-25,2.99,3.04,2.81,2.82,34400,0.0,0
2010-01-26,2.81,2.87,2.58,2.59,39800,0.0,0
2010-01-27,2.58,2.72,2.53,2.68,19500,0.0,0
2010-01-28,2.68,2.91,2.68,2.81,33200,0.0,0
2010-01-29,2.82,2.93,2.82,2.85,32000,0.0,0
2010-02-01,2.85,2.92,2.72,2.89,31200,0.0,0
2010-02-02,2.88,2.96,2.77,2.78,27500,0.0,0
2010-02-03,2.77,2.91,2.77,2.78,24300,0.0,0
2010-02-04,2.76,2.8,2.46,2.54,33400,0.0,0
2010-02-05,2.54,2.6,2.46,2.54,32900,0.0,0
2010-02-08,2.83,2.84,2.59,2.62,51300,0.0,0
2010-02-09,2.65,2.69,2.58,2.65,21900,0.0,0
2010-02-10,2.63,2.64,2.49,2.54,39100,0.0,0
2010-02-11,2.53,2.63,2.48,2.57,52200,0.0,0
2010-02-12,2.54,2.65,2.49,2.56,27000,0.0,0
2010-02-16,2.58,2.74,2.55,2.73,19800,0.0,0
