Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,10.69,10.88,10.55,10.79,34400.0,0.0,0.0
2010-01-05,10.75,10.8,10.67,10.73,24000.0,0.0,0.0
2010-01-06,10.72,10.87,10.72,10.86,31200.0,0.0,0.0
2010-01-07,10.83,10.95,10.83,10.92,50400.0,0.0,0.0
2010-01-08,11.02,11.08,10.92,11.08,17200.0,0.0,0.0
2010-01-11,11.09,11.11,11.01,11.11,22000.0,0.0,0.0
2010-01-12,11.05,11.05,10.89,11.02,11200.0,0.0,0.0
2010-01-13,11.02,11.12,11.01,11.09,34800.0,0.0,0.0
2010-01-14,10.85,11.09,10.85,11.09,23600.0,0.0,0.0
2010-01-15,11.12,11.12,10.92,11.02,28000.0,0.0,0.0
2010-01-19,11.05,11.19,11.05,11.19,30000.0,0.0,0.0
2010-01-20,11.14,11.2,11.06,11.07,6400.0,0.0,0.0
2010-01-21,10.94,11.09,10.92,11.0,38000.0,0.0,0.0
2010-01-22,11.02,11.15,10.97,11.02,20000.0,0.0,0.0
2010-01-25,11.02,11.08,11.02,11.04,14000.0,0.0,0.0
2010-01-26,11.02,11.05,11.0,11.01,17600.0,0.0,0.0
2010-01-27,10.93,11.09,10.93,11.02,30400.0,0.0,0.0
2010-01-28,11.06,11.12,10.89,11.02,35600.0,0.0,0.0
2010-01-29,11.01,11.07,10.83,10.95,35200.0,0.0,0.0
2010-02-01,11.02,11.06,10.94,11.05,16800.0,0.0,0.0
2010-02-02,11.07,11.18,11.04,11.04,11200.0,0.0,0.0
2010-02-03,11.05,11.09,11.0,11.0,20000.0,0.0,0.0
2010-02-04,10.96,11.0,10.83,10.86,53600.0,0.0,0.0
2010-02-05,10.89,10.95,10.85,10.94,15600.0,0.0,0.0
2010-02-08,10.98,11.07,10.77,11.0,50800.0,0.0,0.0
2010-02-09,10.8,11.15,10.8,11.14,31200.0,0.0,0.0
2010-02-10,11.14,11.14,11.08,11.13,19600.0,0.0,0.0
2010-02-11,11.13,11.19,11.05,11.19,23200.0,0.0,0.0
2010-02-12,11.14,11.15,11.02,11.15,25200.0,0.0,0.0
2010-02-16,11.15,11.41,11.15,11.33,30800.0,0.0,0.0
2010-02-17,11.33,11.42,11.23,11.4,36400.0,0.0,0.0
2010-02-18,11.36,11.39,11.26,11.36,20000.0,0.0,0.0
2010-02-19,11.37,11.62,11.34,11.62,55600.0,0.0,0.0
2010-02-22,11.65,11.69,11.42,11.69,36400.0,0.0,0.0
2010-02-23,11.66,11.68,11.42,11.44,12400.0,0.0,0.0
2010-02-24,11.51,11.69,11.51,11.66,50800.0,0.0,0.0
2010-02-25,11.55,11.69,11.53,11.67,15600.0,0.0,0.0
2010-02-26,11.66,11.78,11.43,11.73,41600.0,0.0,0.0
2010-03-01,11.79,11.79,11.69,11.79,7600.0,0.0,0.0
2010-03-02,11.75,11.95,11.75,11.95,8400.0,0.0,0.0
2010-03-03,11.97,12.43,11.95,12.17,45600.0,0.0,0.0
2010-03-04,12.18,12.43,12.18,12.39,6800.0,0.0,0.0
2010-03-05,12.4,12.76,12.39,12.71,52400.0,0.0,0.0
2010-03-08,12.69,12.8,12.37,12.77,10000.0,0.0,0.0
2010-03-09,12.78,12.79,12.67,12.75,8000.0,0.0,0.0
2010-03-10,12.77,12.77,12.51,12.67,6400.0,0.0,0.0
2010-03-11,12.63,12.77,12.63,12.77,6800.0,0.0,0.0
2010-03-12,12.08,12.91,12.08,12.73,14400.0,0.0,0.0
2010-03-15,12.75,12.75,12.5,12.72,3600.0,0.0,0.0
2010-03-16,12.7,12.81,12.68,12.81,3200.0,0.0,0.0
2010-03-17,12.78,12.87,12.7,12.86,6000.0,0.0,0.0
2010-03-18,12.77,12.79,12.77,12.79,800.0,0.0,0.0
2010-03-19,12.86,12.86,12.2,12.73,36400.0,0.0,0.0
2010-03-22,12.67,12.87,12.67,12.87,11200.0,0.0,0.0
2010-03-23,12.87,12.87,12.83,12.83,3200.0,0.0,0.0
2010-03-24,12.81,12.89,12.47,12.72,37600.0,0.0,0.0
2010-03-25,12.83,12.86,12.72,12.78,12800.0,0.0,0.0
2010-03-26,12.77,12.83,12.5,12.7,7200.0,0.0,0.0
2010-03-29,12.77,12.82,12.68,12.73,2800.0,0.0,0.0
2010-03-30,12.73,12.8,12.57,12.6,13600.0,0.0,0.0
2010-03-31,12.57,12.59,12.21,12.21,18800.0,0.0,0.0
2010-04-01,12.56,12.57,12.03,12.23,10800.0,0.0,0.0
2010-04-05,12.16,12.16,12.09,12.14,14400.0,0.0,0.0
2010-04-06,12.11,12.57,12.08,12.57,30800.0,0.0,0.0
2010-04-07,12.63,12.63,12.5,12.62,18400.0,0.0,0.0
2010-04-08,12.45,12.58,12.45,12.55,3200.0,0.0,0.0
2010-04-09,12.62,12.62,12.38,12.61,4000.0,0.0,0.0
2010-04-12,12.56,12.56,12.32,12.45,14800.0,0.0,0.0
2010-04-13,12.46,12.49,11.97,12.4,4800.0,0.0,0.0
2010-04-14,12.42,12.42,12.24,12.41,6800.0,0.0,0.0
2010-04-15,12.43,12.49,12.43,12.49,2800.0,0.0,0.0
2010-04-16,12.49,12.49,12.37,12.37,17600.0,0.0,0.0
2010-04-19,12.37,12.46,12.37,12.4,16000.0,0.0,0.0
2010-04-20,12.61,12.61,12.45,12.56,12800.0,0.0,0.0
2010-04-21,12.55,12.6,12.53,12.58,8800.0,0.0,0.0
2010-04-22,12.49,12.58,12.48,12.56,12400.0,0.0,0.0
2010-04-23,12.61,12.61,12.56,12.61,18000.0,0.0,0.0
2010-04-26,12.6,12.63,12.6,12.63,19200.0,0.0,0.0
2010-04-27,12.59,12.62,12.31,12.37,19200.0,0.0,0.0
2010-04-28,12.4,12.54,12.4,12.53,6400.0,0.0,0.0
2010-04-29,12.59,12.76,12.59,12.76,56000.0,0.0,0.0
2010-04-30,12.44,12.77,12.44,12.64,28800.0,0.0,0.0
2010-05-03,12.7,12.73,12.59,12.7,12400.0,0.0,0.0
2010-05-04,12.57,12.7,12.46,12.5,10400.0,0.0,0.0
2010-05-05,12.49,12.6,12.23,12.37,11600.0,0.0,0.0
2010-05-06,12.36,12.36,11.02,11.48,61600.0,0.0,0.0
2010-05-07,11.48,11.96,11.48,11.7,34000.0,0.0,0.0
2010-05-10,12.03,12.3,11.73,12.3,28400.0,0.0,0.0
2010-05-11,12.18,12.43,11.83,12.42,6800.0,0.0,0.0
2010-05-12,12.47,12.82,12.47,12.67,28800.0,0.1,0.0
2010-05-13,12.67,12.82,12.61,12.82,10800.0,0.0,0.0
2010-05-14,12.74,12.75,12.6,12.75,12400.0,0.0,0.0
2010-05-17,12.53,12.79,12.53,12.76,7600.0,0.0,0.0
2010-05-18,12.82,13.15,12.71,13.04,9600.0,0.0,0.0
2010-05-19,13.07,13.07,12.71,12.81,16800.0,0.0,0.0
2010-05-20,12.63,12.63,11.65,11.66,12400.0,0.0,0.0
2010-05-21,11.52,12.51,11.52,12.29,38800.0,0.0,0.0
2010-05-24,12.34,12.47,11.93,11.96,13200.0,0.0,0.0
2010-05-25,11.76,11.95,11.63,11.81,16800.0,0.0,0.0
2010-05-26,11.93,12.08,11.59,11.73,63600.0,0.0,0.0
2010-05-27,11.88,12.55,11.76,12.49,19200.0,0.0,0.0
2010-05-28,12.49,12.49,12.21,12.44,8400.0,0.0,0.0
2010-06-01,12.4,12.4,11.75,11.8,17600.0,0.0,0.0
2010-06-02,11.92,12.55,11.92,12.48,9200.0,0.0,0.0
2010-06-03,12.55,12.57,12.48,12.54,10000.0,0.0,0.0
2010-06-04,12.38,12.45,11.91,11.97,20000.0,0.0,0.0
2010-06-07,12.04,12.16,11.53,11.61,26800.0,0.0,0.0
2010-06-08,11.6,11.9,11.59,11.61,23200.0,0.0,0.0
2010-06-09,11.69,12.01,11.61,11.73,9600.0,0.0,0.0
2010-06-10,11.86,11.99,11.61,11.72,28400.0,0.0,0.0
2010-06-11,11.68,11.8,11.45,11.73,11200.0,0.0,0.0
2010-06-14,11.84,11.88,11.56,11.83,11600.0,0.0,0.0
2010-06-15,11.85,11.98,11.77,11.98,9600.0,0.0,0.0
2010-06-16,11.89,11.96,11.8,11.89,132000.0,0.0,0.0
2010-06-17,11.95,12.02,11.86,11.96,5600.0,0.0,0.0
2010-06-18,12.04,12.21,12.03,12.21,43200.0,0.0,0.0
2010-06-21,12.32,12.33,11.89,11.96,17200.0,0.0,0.0
2010-06-22,11.91,11.94,11.55,11.64,48800.0,0.0,0.0
2010-06-23,11.66,11.66,11.43,11.44,23200.0,0.0,0.0
2010-06-24,11.22,11.54,11.22,11.37,24800.0,0.0,0.0
2010-06-25,11.55,12.55,11.46,12.52,122400.0,0.0,0.0
2010-06-28,12.24,12.35,12.01,12.23,27200.0,0.0,0.0
2010-06-29,12.2,12.28,11.81,11.83,37600.0,0.0,0.0
2010-06-30,11.86,12.07,11.78,11.86,22800.0,0.0,0.0
2010-07-01,11.9,12.07,11.88,11.94,38800.0,0.0,0.0
2010-07-02,11.91,12.01,11.86,12.01,18000.0,0.0,0.0
2010-07-06,12.07,12.07,11.48,11.88,17600.0,0.0,0.0
2010-07-07,12.05,12.11,11.99,12.06,25600.0,0.0,0.0
2010-07-08,12.11,12.11,12.0,12.08,13600.0,0.0,0.0
2010-07-09,12.12,12.19,12.03,12.1,20800.0,0.0,0.0
2010-07-12,11.91,11.96,11.9,11.9,8800.0,0.0,0.0
2010-07-13,11.9,12.62,11.9,12.45,22000.0,0.0,0.0
2010-07-14,12.24,12.24,12.09,12.14,13600.0,0.0,0.0
2010-07-15,11.93,11.99,11.88,11.91,8800.0,0.0,0.0
2010-07-16,11.79,11.88,11.72,11.72,21600.0,0.0,0.0
2010-07-19,11.72,11.9,11.72,11.9,9600.0,0.0,0.0
2010-07-20,11.77,11.97,11.7,11.97,6800.0,0.0,0.0
2010-07-21,12.01,12.01,11.66,11.66,14400.0,0.0,0.0
2010-07-22,11.71,12.02,11.71,12.02,14800.0,0.0,0.0
2010-07-23,12.01,12.63,11.89,12.55,15200.0,0.0,0.0
2010-07-26,12.55,12.56,12.09,12.41,38800.0,0.0,0.0
2010-07-27,12.29,12.45,12.22,12.34,9600.0,0.0,0.0
2010-07-28,11.97,12.21,11.91,12.15,11200.0,0.0,0.0
2010-07-29,12.25,12.55,11.97,12.07,14000.0,0.0,0.0
2010-07-30,11.97,12.11,11.88,11.99,39600.0,0.0,0.0
2010-08-02,11.93,12.65,11.93,12.55,18800.0,0.0,0.0
2010-08-03,12.25,12.53,12.13,12.36,11600.0,0.0,0.0
2010-08-04,12.48,12.62,12.47,12.62,22000.0,0.0,0.0
2010-08-05,12.26,12.55,12.26,12.42,17600.0,0.0,0.0
2010-08-06,12.32,12.62,12.32,12.35,31600.0,0.0,0.0
2010-08-09,12.35,12.54,12.35,12.5,10400.0,0.0,0.0
2010-08-10,12.15,12.32,11.99,11.99,10000.0,0.0,0.0
2010-08-11,11.88,11.91,11.71,11.75,54000.0,0.0,0.0
2010-08-12,11.6,11.92,11.6,11.78,16800.0,0.0,0.0
2010-08-13,11.7,11.79,11.59,11.74,37200.0,0.0,0.0
2010-08-16,11.8,12.51,11.8,12.38,14400.0,0.0,0.0
2010-08-17,12.47,12.5,12.37,12.4,11600.0,0.0,0.0
2010-08-18,12.36,12.55,12.29,12.35,8400.0,0.0,0.0
2010-08-19,12.11,12.29,11.72,11.74,24400.0,0.0,0.0
2010-08-20,11.64,11.93,11.53,11.79,43200.0,0.0,0.0
2010-08-23,11.85,11.85,11.63,11.69,16400.0,0.0,0.0
2010-08-24,11.58,11.84,11.58,11.64,15600.0,0.0,0.0
2010-08-25,11.61,11.95,11.61,11.82,8400.0,0.0,0.0
2010-08-26,11.92,11.92,11.8,11.8,2000.0,0.0,0.0
2010-08-27,12.06,12.25,11.8,12.18,18400.0,0.0,0.0
2010-08-30,12.18,12.18,11.9,11.9,12800.0,0.0,0.0
2010-08-31,11.88,11.88,11.77,11.77,9600.0,0.0,0.0
2010-09-01,12.29,12.36,12.28,12.36,11600.0,0.0,0.0
2010-09-02,12.27,12.39,12.09,12.38,24800.0,0.0,0.0
2010-09-03,12.48,12.48,12.2,12.39,13600.0,0.0,0.0
2010-09-07,12.32,12.32,12.06,12.06,14400.0,0.0,0.0
2010-09-08,12.28,12.38,12.2,12.29,3600.0,0.0,0.0
2010-09-09,12.3,12.3,11.96,12.11,16000.0,0.0,0.0
2010-09-10,12.03,12.08,11.94,12.03,12000.0,0.0,0.0
2010-09-13,12.04,12.14,11.89,12.14,13600.0,0.0,0.0
2010-09-14,12.14,12.14,12.0,12.01,8400.0,0.0,0.0
2010-09-15,12.0,12.1,11.91,12.06,5200.0,0.0,0.0
2010-09-16,12.0,12.0,11.92,11.92,1600.0,0.0,0.0
2010-09-17,12.09,12.09,11.93,11.95,26400.0,0.0,0.0
2010-09-20,12.14,12.23,12.04,12.23,18800.0,0.0,0.0
2010-09-21,12.21,12.21,12.14,12.14,10000.0,0.0,0.0
2010-09-22,12.15,12.22,12.15,12.18,10400.0,0.0,0.0
2010-09-23,12.06,12.07,11.94,11.94,6000.0,0.0,0.0
2010-09-24,12.11,12.15,12.0,12.15,15200.0,0.0,0.0
2010-09-27,12.15,12.15,11.95,11.95,6000.0,0.0,0.0
2010-09-28,12.03,12.21,11.94,12.21,21600.0,0.0,0.0
2010-09-29,12.14,12.41,11.92,12.4,40400.0,0.0,0.0
2010-09-30,12.38,12.48,12.09,12.26,60400.0,0.0,0.0
2010-10-01,12.4,12.42,12.3,12.38,21600.0,0.0,0.0
2010-10-04,12.29,12.34,12.17,12.21,13600.0,0.0,0.0
2010-10-05,12.35,12.45,12.35,12.45,10400.0,0.0,0.0
2010-10-06,12.55,12.55,12.42,12.43,16800.0,0.0,0.0
2010-10-07,12.43,12.5,12.4,12.47,13200.0,0.0,0.0
2010-10-08,12.32,12.5,12.15,12.49,17600.0,0.0,0.0
2010-10-11,12.48,12.52,12.47,12.5,5600.0,0.0,0.0
2010-10-12,12.55,12.55,12.47,12.49,5600.0,0.0,0.0
2010-10-13,12.52,12.65,12.5,12.63,28400.0,0.0,0.0
2010-10-14,12.61,12.77,12.61,12.67,20000.0,0.0,0.0
2010-10-15,12.8,12.81,12.68,12.77,32800.0,0.0,0.0
2010-10-18,12.75,13.19,12.75,13.06,16800.0,0.0,0.0
2010-10-19,12.94,13.09,12.88,12.93,22000.0,0.0,0.0
2010-10-20,13.02,13.16,12.98,13.05,6800.0,0.0,0.0
2010-10-21,13.04,13.11,12.87,12.99,10400.0,0.0,0.0
2010-10-22,13.06,13.15,12.92,13.15,13600.0,0.0,0.0
2010-10-25,13.16,13.2,13.1,13.17,19600.0,0.0,0.0
2010-10-26,13.13,13.18,13.07,13.16,15200.0,0.0,0.0
2010-10-27,13.14,13.21,13.05,13.05,12400.0,0.0,0.0
2010-10-28,13.06,13.1,13.05,13.05,4400.0,0.0,0.0
2010-10-29,12.98,13.15,12.98,13.04,20000.0,0.0,0.0
2010-11-01,13.15,13.21,13.07,13.14,13600.0,0.0,0.0
2010-11-02,13.21,13.61,13.21,13.43,57200.0,0.0,0.0
2010-11-03,13.43,13.63,13.43,13.63,8400.0,0.0,0.0
2010-11-04,13.82,14.24,13.82,14.23,16000.0,0.0,0.0
2010-11-05,14.39,14.39,14.04,14.04,10000.0,0.0,0.0
2010-11-08,13.84,13.84,13.84,13.84,2000.0,0.0,0.0
2010-11-09,13.86,13.86,13.64,13.64,7600.0,0.0,0.0
2010-11-10,13.86,14.09,13.67,13.89,38400.0,0.1,0.0
2010-11-11,13.83,13.96,13.73,13.87,22400.0,0.0,0.0
2010-11-12,13.71,13.75,13.6,13.6,16800.0,0.0,0.0
2010-11-15,13.68,13.75,13.65,13.65,12800.0,0.0,0.0
2010-11-16,13.73,13.73,13.46,13.46,11200.0,0.0,0.0
2010-11-17,13.36,13.52,13.36,13.51,3200.0,0.0,0.0
2010-11-18,13.57,13.71,13.57,13.65,22800.0,0.0,0.0
2010-11-19,13.67,13.67,13.34,13.56,20000.0,0.0,0.0
2010-11-22,13.4,13.56,13.4,13.54,21600.0,0.0,0.0
2010-11-23,13.36,13.41,12.86,13.0,18000.0,0.0,0.0
2010-11-24,13.07,13.54,13.0,13.54,28800.0,0.0,0.0
2010-11-26,13.54,13.54,13.54,13.54,0.0,0.0,0.0
2010-11-29,13.1,13.37,13.1,13.37,7600.0,0.0,0.0
2010-11-30,13.28,13.59,13.28,13.59,27200.0,0.0,0.0
2010-12-01,13.66,13.66,13.25,13.52,38800.0,0.0,0.0
2010-12-02,13.58,13.58,13.43,13.51,20000.0,0.0,0.0
2010-12-03,13.19,14.0,13.19,13.6,80400.0,0.0,0.0
2010-12-06,13.56,13.62,13.44,13.55,20800.0,0.0,0.0
2010-12-07,13.72,13.72,13.53,13.55,21200.0,0.0,0.0
2010-12-08,13.55,13.84,13.54,13.68,60000.0,0.0,0.0
2010-12-09,13.72,13.9,13.72,13.9,10400.0,0.0,0.0
2010-12-10,13.89,13.89,13.7,13.86,12400.0,0.0,0.0
2010-12-13,13.86,14.08,13.71,13.85,12800.0,0.0,0.0
2010-12-14,14.09,14.38,14.09,14.29,8800.0,0.0,0.0
2010-12-15,14.27,14.44,14.01,14.33,60000.0,0.0,0.0
2010-12-16,14.29,14.73,14.0,14.67,22000.0,0.0,0.0
2010-12-17,14.72,15.23,14.63,15.04,77600.0,0.0,0.0
2010-12-20,15.16,15.16,14.31,14.46,137200.0,0.0,0.0
2010-12-21,14.57,14.57,14.42,14.5,20400.0,0.0,0.0
2010-12-22,14.5,14.65,14.4,14.4,22000.0,0.0,0.0
2010-12-23,14.52,14.52,14.14,14.41,53600.0,0.0,0.0
2010-12-27,14.5,14.83,14.48,14.56,34000.0,0.0,0.0
2010-12-28,14.51,14.58,14.26,14.52,52000.0,0.0,0.0
2010-12-29,14.47,14.47,14.34,14.36,90000.0,0.0,0.0
2010-12-30,14.48,14.48,14.11,14.11,114800.0,0.0,0.0
2010-12-31,14.15,14.18,14.0,14.07,21600.0,0.0,0.0
2011-01-03,14.18,14.2,14.01,14.2,20400.0,0.0,0.0
2011-01-04,14.2,14.34,13.83,13.97,32400.0,0.0,0.0
2011-01-05,14.01,14.12,13.68,14.06,49600.0,0.0,0.0
2011-01-06,14.06,14.08,13.89,14.02,15200.0,0.0,0.0
2011-01-07,13.93,13.93,13.73,13.75,8000.0,0.0,0.0
2011-01-10,13.75,13.79,13.68,13.69,8000.0,0.0,0.0
2011-01-11,13.69,13.71,13.49,13.49,22800.0,0.0,0.0
2011-01-12,13.55,13.65,13.5,13.65,36400.0,0.0,0.0
2011-01-13,13.65,13.65,13.41,13.43,22400.0,0.0,0.0
2011-01-14,13.43,13.97,13.41,13.55,72400.0,0.0,0.0
2011-01-18,13.55,13.69,13.55,13.58,5600.0,0.0,0.0
2011-01-19,13.58,13.58,13.26,13.26,25600.0,0.0,0.0
2011-01-20,13.1,13.48,12.86,12.99,22000.0,0.0,0.0
2011-01-21,13.13,13.44,13.13,13.29,33600.0,0.0,0.0
2011-01-24,13.35,13.41,13.23,13.25,4000.0,0.0,0.0
2011-01-25,13.25,13.41,12.74,12.88,39600.0,0.0,0.0
2011-01-26,12.93,13.52,12.92,13.32,52800.0,0.0,0.0
2011-01-27,13.25,13.41,13.21,13.26,5600.0,0.0,0.0
2011-01-28,13.28,13.49,13.24,13.24,16400.0,0.0,0.0
2011-01-31,13.41,13.41,13.16,13.22,14800.0,0.0,0.0
2011-02-01,13.33,13.62,13.28,13.42,18400.0,0.0,0.0
2011-02-02,12.97,13.62,12.97,13.51,4800.0,0.0,0.0
2011-02-03,13.45,13.56,13.45,13.55,6800.0,0.0,0.0
