Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,35.29,35.97,35.1,35.97,34.85,5500,0.0,0
2010-01-05,36.0,36.0,35.43,35.5,34.4,6700,0.0,0
2010-01-06,35.33,35.63,34.84,35.0,33.91,7000,0.0,0
2010-01-07,35.06,35.72,34.73,35.56,34.46,6700,0.0,0
2010-01-08,35.7,36.0,35.56,35.67,34.56,2100,0.0,0
2010-01-11,35.86,36.0,35.56,35.94,34.83,4300,0.0,0
2010-01-12,35.62,35.97,35.53,35.82,34.71,6000,0.0,0
2010-01-13,36.21,36.21,35.67,35.76,34.65,4200,0.0,0
2010-01-14,35.69,36.8,35.69,36.6,35.46,4600,0.0,0
2010-01-15,36.53,37.1,36.07,36.08,34.96,11700,0.0,0
2010-01-19,36.03,36.19,35.41,35.84,34.73,7000,0.0,0
2010-01-20,35.65,35.78,34.85,34.93,33.85,7800,0.0,0
2010-01-21,34.91,35.2,33.5,33.5,32.46,11400,0.0,0
2010-01-22,33.6,33.87,33.01,33.05,32.02,8000,0.0,0
2010-01-25,33.61,33.8,33.3,33.38,32.34,5500,0.0,0
2010-01-26,33.31,33.5,32.5,32.6,31.59,10800,0.0,0
2010-01-27,32.53,33.45,32.5,33.36,32.33,7600,0.0,0
2010-01-28,33.65,33.65,32.55,32.8,31.78,12300,0.0,0
2010-01-29,33.13,33.3,33.0,33.08,32.05,5800,0.0,0
2010-02-01,33.25,33.25,32.8,33.04,32.01,3600,0.0,0
2010-02-02,32.92,32.92,31.85,32.35,31.35,15400,0.0,0
2010-02-03,32.23,32.44,32.0,32.0,31.01,7500,0.0,0
2010-02-04,31.7,31.99,30.18,31.26,30.29,11700,0.0,0
2010-02-05,31.48,31.7,31.02,31.36,30.39,5500,0.0,0
2010-02-08,31.3,31.38,30.15,30.15,29.22,4700,0.01,0
2010-02-09,30.63,31.13,30.33,30.71,29.77,5800,0.0,0
2010-02-10,30.66,30.69,30.21,30.67,29.73,6300,0.0,0
2010-02-11,30.63,31.51,30.42,31.5,30.53,6000,0.0,0
2010-02-12,31.14,31.47,30.75,31.19,30.23,11600,0.0,0
2010-02-16,31.44,31.46,31.05,31.39,30.43,4100,0.0,0
2010-02-17,31.62,31.9,31.29,31.9,30.92,3400,0.0,0
2010-02-18,31.75,32.1,31.75,32.1,31.11,4900,0.0,0
2010-02-19,32.45,32.6,32.0,32.14,31.15,6600,0.0,0
2010-02-22,32.1,32.27,32.01,32.13,31.14,3200,0.0,0
2010-02-23,32.17,32.65,31.3,31.7,30.73,7700,0.0,0
2010-02-24,31.87,32.25,31.6,31.95,30.97,6300,0.0,0
2010-02-25,31.45,31.95,30.99,31.52,30.55,2600,0.0,0
2010-02-26,31.55,31.95,31.44,31.76,30.78,5700,0.0,0
2010-03-01,32.24,32.24,31.35,31.83,30.85,9700,0.0,0
2010-03-02,31.96,32.35,31.95,32.25,31.26,9300,0.0,0
2010-03-03,32.33,32.62,32.33,32.51,31.51,6700,0.0,0
2010-03-04,32.78,32.78,32.52,32.69,31.69,2300,0.0,0
2010-03-05,32.69,34.2,32.19,34.2,33.15,5900,0.0,0
2010-03-08,34.14,34.2,33.55,33.88,32.84,3900,0.0,0
2010-03-09,33.65,35.0,33.55,35.0,33.92,5200,0.0,0
2010-03-10,35.01,36.0,35.01,35.68,34.58,10500,0.0,0
2010-03-11,35.6,35.64,34.94,35.54,34.45,3800,0.0,0
2010-03-12,35.7,35.7,35.3,35.5,34.41,2400,0.0,0
2010-03-15,35.25,35.5,35.21,35.21,34.13,1500,0.0,0
2010-03-16,35.25,35.26,34.51,35.13,34.05,4400,0.0,0
2010-03-17,34.72,34.72,34.22,34.31,33.26,6700,0.0,0
2010-03-18,34.21,34.59,34.21,34.39,33.33,4100,0.0,0
2010-03-19,33.03,35.35,32.84,33.03,32.02,14700,0.0,0
2010-03-22,32.89,33.1,32.2,32.99,31.98,8000,0.0,0
2010-03-23,33.01,33.35,32.61,33.15,32.13,7100,0.0,0
2010-03-24,33.12,33.5,32.5,32.5,31.5,6300,0.0,0
2010-03-25,32.58,33.49,32.5,32.6,31.6,8000,0.0,0
2010-03-26,32.62,33.1,32.02,32.49,31.49,10700,0.0,0
2010-03-29,32.46,32.46,31.5,32.06,31.08,5000,0.0,0
2010-03-30,32.2,32.74,31.66,32.35,31.36,8400,0.0,0
2010-03-31,31.08,32.7,31.08,31.51,30.54,9600,0.0,0
2010-04-01,31.91,32.75,31.51,31.91,30.93,6500,0.0,0
2010-04-05,32.0,32.6,32.0,32.49,31.49,3700,0.0,0
2010-04-06,32.5,32.99,32.08,32.43,31.43,5400,0.0,0
2010-04-07,32.12,33.84,32.12,33.62,32.59,9400,0.0,0
2010-04-08,33.6,34.05,33.4,33.7,32.66,2600,0.0,0
2010-04-09,33.82,33.82,32.5,32.75,31.74,6300,0.0,0
2010-04-12,33.0,33.13,32.07,32.07,31.08,6600,0.0,0
2010-04-13,32.01,32.95,32.01,32.71,31.71,5000,0.0,0
2010-04-14,33.05,35.5,32.85,33.87,32.83,4300,0.0,0
2010-04-15,33.95,34.05,33.53,33.95,32.91,2700,0.0,0
2010-04-16,34.4,35.0,33.79,34.66,33.6,10900,0.0,0
2010-04-19,34.63,35.0,34.62,34.62,33.56,7100,0.0,0
2010-04-20,35.0,35.0,34.42,34.54,33.48,8500,0.0,0
2010-04-21,34.65,34.65,34.1,34.44,33.38,3600,0.0,0
2010-04-22,34.09,34.24,34.0,34.22,33.17,2600,0.0,0
2010-04-23,34.35,34.95,34.21,34.57,33.51,4800,0.0,0
2010-04-26,34.6,34.9,34.21,34.54,33.48,4800,0.0,0
2010-04-27,34.32,34.5,34.25,34.25,33.2,7100,0.0,0
2010-04-28,34.29,34.29,33.51,33.65,32.62,6200,0.0,0
2010-04-29,33.79,35.42,33.07,34.77,33.7,37800,0.0,0
2010-04-30,34.77,34.77,33.85,34.18,33.13,5600,0.0,0
2010-05-03,34.15,34.84,33.75,34.45,33.39,7200,0.0,0
2010-05-04,34.13,34.4,33.51,33.85,32.81,8200,0.0,0
2010-05-05,33.5,34.45,32.42,32.51,31.51,9600,0.0,0
2010-05-06,32.6,33.2,30.99,30.99,30.04,9100,0.0,0
2010-05-07,31.4,31.6,30.75,30.96,30.01,11100,0.0,0
2010-05-10,31.5,33.21,31.05,33.21,32.19,11800,0.0,0
2010-05-11,32.91,33.76,32.48,33.76,32.72,5800,0.0,0
2010-05-12,33.7,34.4,33.7,34.37,33.32,14100,0.01,0
2010-05-13,33.9,34.57,33.5,34.44,33.39,5500,0.0,0
2010-05-14,34.11,34.3,33.38,33.4,32.38,5900,0.0,0
2010-05-17,33.64,33.64,33.31,33.42,32.4,2900,0.0,0
2010-05-18,33.95,33.95,33.31,33.37,32.35,4500,0.0,0
2010-05-19,33.36,33.53,32.18,32.45,31.46,19700,0.0,0
2010-05-20,32.0,32.0,30.65,30.68,29.75,15600,0.0,0
2010-05-21,30.5,31.63,30.05,30.43,29.5,18300,0.0,0
2010-05-24,30.36,30.45,29.96,30.21,29.29,12200,0.0,0
2010-05-25,29.96,30.47,29.8,30.24,29.32,6900,0.0,0
2010-05-26,30.1,30.1,28.17,28.31,27.45,30800,0.0,0
2010-05-27,29.48,30.8,29.0,30.57,29.64,8900,0.0,0
2010-05-28,30.65,30.65,29.75,29.75,28.84,4900,0.0,0
2010-06-01,29.2,30.7,29.05,29.43,28.53,8300,0.0,0
2010-06-02,29.75,30.25,29.01,30.25,29.33,5000,0.0,0
2010-06-03,30.4,31.15,30.4,30.56,29.63,2800,0.0,0
2010-06-04,30.01,30.31,29.1,29.28,28.39,11700,0.0,0
2010-06-07,29.37,30.43,29.05,29.3,28.41,7600,0.0,0
2010-06-08,29.21,29.21,27.42,28.46,27.59,17600,0.0,0
2010-06-09,28.55,29.46,28.25,28.88,28.0,6500,0.0,0
2010-06-10,29.27,29.29,27.83,28.94,28.06,17600,0.0,0
2010-06-11,28.75,28.9,28.31,28.89,28.01,4800,0.0,0
2010-06-14,29.17,29.17,27.45,28.25,27.39,7400,0.0,0
2010-06-15,28.5,29.96,28.18,29.74,28.84,8400,0.0,0
2010-06-16,29.4,29.86,29.25,29.41,28.52,2800,0.0,0
2010-06-17,29.36,29.94,29.1,29.66,28.76,3200,0.0,0
2010-06-18,29.89,29.93,29.08,29.3,28.41,20300,0.0,0
2010-06-21,29.74,29.74,28.69,28.8,27.92,2900,0.0,0
2010-06-22,28.87,29.0,27.72,27.73,26.89,5400,0.0,0
2010-06-23,27.75,28.33,27.75,27.81,26.96,8500,0.0,0
2010-06-24,27.8,28.59,27.73,27.9,27.05,3400,0.0,0
2010-06-25,28.58,29.8,27.51,29.8,28.89,67500,0.0,0
2010-06-28,29.6,30.0,29.01,29.88,28.97,6500,0.0,0
2010-06-29,29.33,29.65,28.57,28.6,27.73,10400,0.0,0
2010-06-30,28.78,29.04,28.41,28.5,27.63,7000,0.0,0
2010-07-01,28.5,28.99,28.1,28.84,27.96,6300,0.0,0
2010-07-02,28.56,28.95,28.35,28.61,27.74,14200,0.0,0
2010-07-06,28.94,29.75,27.98,28.17,27.31,10200,0.0,0
2010-07-07,28.41,29.04,28.35,29.04,28.16,8100,0.0,0
2010-07-08,29.17,29.26,29.06,29.26,28.37,4800,0.0,0
2010-07-09,28.77,31.96,28.49,31.5,30.54,20500,0.0,0
2010-07-12,31.16,31.5,30.24,30.24,29.32,6500,0.0,0
2010-07-13,30.49,31.85,28.35,31.85,30.88,11400,0.0,0
2010-07-14,31.92,32.0,31.45,31.58,30.62,3600,0.0,0
2010-07-15,31.72,31.72,30.6,30.8,29.86,5000,0.0,0
2010-07-16,30.84,30.84,28.0,28.45,27.58,20400,0.0,0
2010-07-19,28.46,28.75,28.2,28.73,27.86,3400,0.0,0
2010-07-20,28.5,28.93,28.35,28.93,28.05,7500,0.0,0
2010-07-21,29.05,29.23,28.2,28.2,27.34,6900,0.0,0
2010-07-22,28.46,29.95,28.46,29.95,29.04,9600,0.0,0
2010-07-23,29.71,29.81,28.5,29.81,28.9,10400,0.0,0
2010-07-26,30.04,30.63,29.6,29.8,28.89,22500,0.0,0
2010-07-27,29.55,30.5,29.34,29.78,28.87,13200,0.0,0
2010-07-28,29.84,30.11,29.84,29.88,28.97,8000,0.0,0
2010-07-29,29.7,30.05,28.6,29.28,28.39,7300,0.0,0
2010-07-30,28.77,29.46,28.7,28.81,27.93,2000,0.0,0
2010-08-02,29.22,29.22,28.77,29.11,28.22,4300,0.0,0
2010-08-03,28.83,29.31,28.5,28.55,27.68,4500,0.0,0
2010-08-04,28.65,29.15,28.65,29.15,28.26,4500,0.0,0
2010-08-05,28.96,28.96,28.49,28.49,27.62,1700,0.0,0
2010-08-06,28.5,28.7,28.25,28.7,27.83,2900,0.0,0
2010-08-09,28.91,28.91,27.98,28.4,27.54,5700,0.0,0
2010-08-10,28.45,28.45,28.11,28.29,27.43,6400,0.0,0
2010-08-11,28.0,28.33,27.52,27.52,26.69,15600,0.01,0
2010-08-12,27.33,27.59,26.75,26.75,25.95,7300,0.0,0
2010-08-13,26.73,27.01,26.4,26.4,25.61,9400,0.0,0
2010-08-16,26.39,27.0,26.39,26.99,26.18,9100,0.0,0
2010-08-17,27.38,27.56,27.0,27.09,26.28,11200,0.0,0
2010-08-18,27.13,27.55,27.0,27.39,26.57,8300,0.0,0
2010-08-19,27.39,27.39,26.45,26.45,25.65,14000,0.0,0
2010-08-20,26.45,26.8,26.45,26.65,25.85,10400,0.0,0
2010-08-23,26.83,26.93,26.23,26.23,25.44,9800,0.0,0
2010-08-24,26.31,26.65,26.19,26.36,25.57,7300,0.0,0
2010-08-25,26.35,27.56,26.27,27.56,26.73,5500,0.0,0
2010-08-26,27.59,27.59,26.97,26.97,26.16,3700,0.0,0
2010-08-27,27.17,27.51,26.3,27.47,26.64,9000,0.0,0
2010-08-30,27.41,27.42,26.64,26.64,25.84,5700,0.0,0
2010-08-31,26.69,27.15,26.5,27.06,26.25,13900,0.0,0
