Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2012-08-03,20.07,20.25,20.02,20.04,10.2793,67600,0.0,0
2012-08-06,20.16,20.33,20.1,20.25,10.387,92500,0.0,0
2012-08-07,20.41,20.65,20.11,20.6,10.5666,126100,0.0,0
2012-08-08,20.57,20.57,20.25,20.36,10.4435,68200,0.0,0
2012-08-09,20.45,20.5,20.3,20.41,10.4691,54300,0.0,0
2012-08-10,20.31,20.48,20.21,20.33,10.4281,83600,0.0,0
2012-08-13,20.4,20.46,20.04,20.38,10.4537,82900,0.0,0
2012-08-14,20.4,20.4,20.01,20.18,10.3511,108800,0.0,0
2012-08-15,20.17,20.28,20.05,20.24,10.5518,125100,0.325,0
2012-08-16,20.3,20.3,19.95,20.14,10.4997,109200,0.0,0
2012-08-17,20.1,20.3,19.97,20.21,10.5362,60300,0.0,0
2012-08-20,20.11,20.28,20.03,20.19,10.5258,44200,0.0,0
2012-08-21,20.22,20.25,20.05,20.08,10.4684,87700,0.0,0
2012-08-22,20.13,20.2,19.95,19.95,10.4007,111700,0.0,0
2012-08-23,20.0,20.35,19.95,20.19,10.5258,106200,0.0,0
2012-08-24,20.34,20.34,20.0,20.08,10.4684,91600,0.0,0
2012-08-27,20.06,20.18,20.0,20.1,10.4789,63900,0.0,0
2012-08-28,20.0,20.1,19.9,19.95,10.4007,75400,0.0,0
2012-08-29,20.05,20.16,19.9,20.09,10.4736,95400,0.0,0
2012-08-30,20.04,20.19,19.98,20.12,10.4893,94400,0.0,0
2012-08-31,20.12,20.12,20.0,20.06,10.458,51400,0.0,0
2012-09-04,20.06,20.25,20.02,20.02,10.4371,86700,0.0,0
2012-09-05,20.08,20.25,20.06,20.15,10.5049,68900,0.0,0
2012-09-06,20.1,20.2,20.04,20.06,10.458,60800,0.0,0
2012-09-07,20.16,20.27,20.07,20.23,10.5466,65700,0.0,0
2012-09-10,20.27,20.27,20.05,20.23,10.5466,114800,0.0,0
2012-09-11,20.15,20.2,20.07,20.19,10.5258,77600,0.0,0
2012-09-12,20.2,20.25,20.06,20.19,10.5258,86100,0.0,0
2012-09-13,20.18,20.25,20.0,20.05,10.4528,82300,0.0,0
2012-09-14,20.12,20.19,20.06,20.17,10.5153,49200,0.0,0
2012-09-17,20.13,20.15,20.05,20.08,10.4684,45100,0.0,0
2012-09-18,20.18,20.2,20.08,20.16,10.5101,74500,0.0,0
2012-09-19,20.1,20.27,20.07,20.25,10.5571,110600,0.0,0
2012-09-20,20.25,20.4,20.08,20.1,10.4789,107900,0.0,0
2012-09-21,20.19,20.27,20.08,20.08,10.4684,82000,0.0,0
2012-09-24,20.1,20.18,20.0,20.01,10.4319,130100,0.0,0
2012-09-25,20.02,20.31,19.94,20.02,10.4371,163400,0.0,0
2012-09-26,19.95,20.26,19.88,20.11,10.4841,140100,0.0,0
2012-09-27,20.19,20.24,20.01,20.12,10.4893,97000,0.0,0
2012-09-28,20.05,20.22,20.01,20.16,10.5101,82300,0.0,0
2012-10-01,20.24,20.55,20.16,20.4,10.6353,178000,0.0,0
2012-10-02,20.34,20.4,20.17,20.34,10.604,118800,0.0,0
2012-10-03,20.37,20.4,20.16,20.35,10.6092,112300,0.0,0
2012-10-04,20.27,20.47,20.23,20.35,10.6092,146400,0.0,0
2012-10-05,20.36,20.51,20.15,20.36,10.6144,166000,0.0,0
2012-10-08,20.27,20.7,20.27,20.65,10.7656,145700,0.0,0
2012-10-09,20.59,20.75,20.53,20.54,10.7082,160600,0.0,0
2012-10-10,20.65,20.75,20.29,20.6,10.7395,95700,0.0,0
2012-10-11,20.69,20.75,20.46,20.65,10.7656,77700,0.0,0
2012-10-12,20.61,20.75,20.43,20.71,10.7969,99400,0.0,0
2012-10-15,20.71,20.75,20.42,20.72,10.8021,89300,0.0,0
2012-10-16,20.6,20.75,20.5,20.53,10.703,117500,0.0,0
2012-10-17,20.49,20.89,20.44,20.64,10.7604,101500,0.0,0
2012-10-18,20.74,20.79,20.44,20.54,10.7082,156500,0.0,0
2012-10-19,20.58,20.8,20.42,20.69,10.7864,114400,0.0,0
2012-10-22,20.74,20.76,20.45,20.58,10.7291,101000,0.0,0
2012-10-23,20.48,20.57,20.36,20.38,10.6248,88800,0.0,0
2012-10-24,20.38,20.46,20.19,20.25,10.5571,145000,0.0,0
2012-10-25,20.34,20.37,20.08,20.15,10.5049,128600,0.0,0
2012-10-26,20.2,20.39,20.11,20.24,10.5518,85800,0.0,0
2012-10-31,20.25,20.75,20.23,20.31,10.5883,108700,0.0,0
2012-11-01,20.41,20.76,20.29,20.35,10.6092,95600,0.0,0
2012-11-02,20.43,20.47,20.29,20.37,10.6196,72600,0.0,0
2012-11-05,20.38,20.38,20.2,20.27,10.5675,72500,0.0,0
2012-11-06,20.21,20.4,20.21,20.31,10.5883,102400,0.0,0
2012-11-07,20.26,20.5,20.04,20.3,10.5831,112700,0.0,0
2012-11-08,20.28,20.43,20.09,20.16,10.5101,111900,0.0,0
2012-11-09,20.08,20.23,20.06,20.07,10.4632,76300,0.0,0
2012-11-12,20.08,20.39,20.01,20.03,10.4424,103000,0.0,0
2012-11-13,20.0,20.12,19.68,20.05,10.4528,166600,0.0,0
2012-11-14,19.94,19.98,19.16,19.33,10.0774,128900,0.0,0
2012-11-15,19.4,19.56,18.53,19.02,9.9158,155000,0.0,0
2012-11-16,18.94,19.17,18.8,18.95,9.8793,141200,0.0,0
2012-11-19,19.25,19.43,19.05,19.2,10.0097,177900,0.0,0
2012-11-20,19.2,19.2,18.88,19.02,10.0865,138800,0.325,0
2012-11-21,19.12,19.19,18.9,19.05,10.1025,106900,0.0,0
2012-11-23,19.25,19.25,18.93,19.05,10.1025,80200,0.0,0
2012-11-26,19.16,19.16,18.75,18.82,9.9805,118100,0.0,0
2012-11-27,18.76,19.04,18.74,18.96,10.0547,277400,0.0,0
2012-11-28,18.96,19.55,18.92,19.21,10.1873,153900,0.0,0
2012-11-29,19.42,19.56,19.31,19.4,10.2881,112800,0.0,0
2012-11-30,19.7,19.87,19.52,19.82,10.5108,147500,0.0,0
2012-12-03,19.8,20.0,19.44,19.51,10.3464,100100,0.0,0
2012-12-04,19.43,19.62,19.3,19.62,10.4047,86600,0.0,0
2012-12-05,19.55,19.72,19.5,19.61,10.3994,97700,0.0,0
2012-12-06,19.73,19.77,19.45,19.66,10.4259,80500,0.0,0
2012-12-07,19.73,19.81,19.55,19.72,10.4578,66100,0.0,0
2012-12-10,19.65,19.97,19.64,19.73,10.4631,82500,0.0,0
2012-12-11,19.88,19.97,19.65,19.95,10.5797,55700,0.0,0
2012-12-12,20.09,20.13,19.7,19.83,10.5161,104100,0.0,0
2012-12-13,19.7,19.95,19.43,19.67,10.4312,109000,0.0,0
2012-12-14,19.7,19.77,19.36,19.37,10.2722,88400,0.0,0
2012-12-17,19.42,19.55,18.97,19.22,10.1926,138300,0.0,0
2012-12-18,19.75,19.95,19.15,19.15,10.1555,144800,0.0,0
2012-12-19,19.25,19.47,18.86,18.9,10.0229,541900,0.0,0
2012-12-20,19.05,19.31,18.83,18.85,9.9964,157400,0.0,0
2012-12-21,18.9,19.15,18.76,19.06,10.1078,147300,0.0,0
2012-12-24,18.97,19.49,18.97,19.3,10.235,59100,0.0,0
2012-12-26,19.2,19.29,18.91,19.2,10.182,195600,0.0,0
2012-12-27,19.16,19.4,18.81,19.0,10.1917,191900,0.218,0
2012-12-28,18.96,19.2,18.81,18.93,10.1541,115200,0.0,0
2012-12-31,18.83,19.19,18.83,19.04,10.2131,104600,0.0,0
2013-01-02,19.19,19.95,19.19,19.88,10.6637,153700,0.0,0
2013-01-03,19.92,20.19,19.57,19.66,10.5457,201500,0.0,0
2013-01-04,19.85,20.33,19.68,20.14,10.8032,184100,0.0,0
2013-01-07,20.15,20.25,19.9,20.25,10.8622,126300,0.0,0
2013-01-08,20.13,20.44,20.13,20.35,10.9158,122300,0.0,0
2013-01-09,20.44,20.49,20.34,20.4,10.9426,105600,0.0,0
2013-01-10,20.45,20.56,20.32,20.5,10.9963,113400,0.0,0
2013-01-11,20.4,20.55,20.35,20.53,11.0124,105900,0.0,0
2013-01-14,20.54,20.8,20.35,20.5,10.9963,73600,0.0,0
2013-01-15,20.31,20.6,20.31,20.56,11.0284,135300,0.0,0
2013-01-16,20.78,20.79,20.45,20.56,11.0284,113100,0.0,0
2013-01-17,20.57,20.66,20.48,20.63,11.066,140200,0.0,0
2013-01-18,20.57,20.71,20.39,20.53,11.0124,111300,0.0,0
2013-01-22,20.6,20.8,20.51,20.71,11.1089,193300,0.0,0
2013-01-23,20.69,20.9,20.52,20.64,11.0714,229900,0.0,0
2013-01-24,20.73,20.82,20.5,20.56,11.0284,199000,0.0,0
2013-01-25,20.51,20.64,20.47,20.55,11.0231,131100,0.0,0
2013-01-28,20.43,20.65,20.43,20.65,11.0767,118300,0.0,0
2013-01-29,20.51,21.23,20.51,21.1,11.3181,355700,0.0,0
2013-01-30,21.35,21.35,21.0,21.07,11.302,262700,0.0,0
2013-01-31,21.22,21.3,21.01,21.19,11.3664,146800,0.0,0
2013-02-01,21.3,21.37,21.11,21.25,11.3986,146700,0.0,0
2013-02-04,21.03,21.2,20.95,20.95,11.2376,144700,0.0,0
2013-02-05,21.14,21.3,21.05,21.22,11.3825,152900,0.0,0
2013-02-06,21.34,21.69,21.23,21.53,11.5488,200600,0.0,0
2013-02-07,21.51,21.78,21.26,21.32,11.4361,206300,0.0,0
2013-02-08,21.3,21.39,21.17,21.36,11.4576,138200,0.0,0
2013-02-11,21.26,21.5,21.21,21.45,11.5058,135500,0.0,0
2013-02-12,21.5,21.69,21.37,21.69,11.6346,205400,0.0,0
2013-02-13,21.64,21.64,21.26,21.28,11.591,166400,0.33,0
2013-02-14,21.17,21.44,21.17,21.34,11.6237,170300,0.0,0
2013-02-15,21.4,21.49,21.14,21.19,11.542,140200,0.0,0
2013-02-19,21.3,21.45,21.14,21.22,11.5583,193200,0.0,0
2013-02-20,21.31,21.41,20.88,20.88,11.3731,212900,0.0,0
2013-02-21,20.76,20.8,20.44,20.66,11.2533,290400,0.0,0
2013-02-22,20.73,20.98,20.7,20.82,11.3404,172500,0.0,0
2013-02-25,21.27,21.27,20.84,20.86,11.3622,200800,0.0,0
2013-02-26,21.08,21.21,20.89,21.17,11.5311,172000,0.0,0
2013-02-27,21.39,21.5,21.16,21.48,11.6999,265600,0.0,0
2013-02-28,21.5,21.68,21.44,21.45,11.6836,312700,0.0,0
2013-03-01,21.5,21.67,21.39,21.48,11.6999,219700,0.0,0
2013-03-04,21.5,21.59,21.21,21.41,11.6618,218000,0.0,0
2013-03-05,21.37,21.78,21.3,21.64,11.7871,206400,0.0,0
2013-03-06,21.84,21.84,21.26,21.59,11.7599,231800,0.0,0
2013-03-07,21.5,21.71,21.44,21.71,11.8252,225900,0.0,0
2013-03-08,21.8,21.89,21.65,21.72,11.8307,156300,0.0,0
2013-03-11,21.82,21.92,21.52,21.74,11.8416,154900,0.0,0
2013-03-12,21.85,22.0,21.52,21.74,11.8416,159400,0.0,0
2013-03-13,21.79,21.79,21.53,21.64,11.7871,134400,0.0,0
2013-03-14,21.78,21.78,21.51,21.59,11.7599,154800,0.0,0
2013-03-15,21.66,21.72,21.38,21.43,11.6727,173600,0.0,0
2013-03-18,21.26,21.49,21.26,21.49,11.7054,197700,0.0,0
2013-03-19,21.46,21.54,21.27,21.3,11.6019,149800,0.0,0
2013-03-20,21.32,21.44,21.27,21.37,11.64,225900,0.0,0
2013-03-21,21.44,21.59,21.35,21.49,11.7054,228800,0.0,0
2013-03-22,21.59,21.77,21.5,21.64,11.7871,241300,0.0,0
2013-03-25,21.75,21.89,21.41,21.58,11.7544,252100,0.0,0
2013-03-26,21.6,21.94,21.6,21.94,11.9505,178900,0.0,0
2013-03-27,21.83,22.1,21.7,22.05,12.0104,179200,0.0,0
2013-03-28,22.22,22.37,22.01,22.37,12.1847,154700,0.0,0
2013-04-01,22.5,22.68,22.29,22.68,12.3536,151900,0.0,0
2013-04-02,22.75,22.75,22.39,22.53,12.2719,145300,0.0,0
2013-04-03,22.67,22.67,21.79,22.24,12.1139,149100,0.0,0
