Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2013-07-17,13.38,13.85,13.25,13.62,9.29,31385540,0.0,0
2013-07-18,13.67,14.07,13.5,14.0,9.55,3125000,0.0,0
2013-07-19,13.98,14.05,13.81,13.94,9.5,1246492,0.0,0
2013-07-22,13.85,14.05,13.7,13.75,9.38,832892,0.0,0
2013-07-23,13.7,13.94,13.7,13.9,9.48,1110970,0.0,0
2013-07-24,13.82,13.86,13.75,13.82,9.42,418842,0.0,0
2013-07-25,13.81,14.12,13.75,14.0,9.55,432114,0.0,0
2013-07-26,14.01,14.73,13.98,14.49,9.88,253874,0.0,0
2013-07-29,14.34,14.62,14.13,14.16,9.65,296086,0.0,0
2013-07-30,14.38,14.44,14.2,14.31,9.76,521924,0.0,0
2013-07-31,14.15,14.3,13.91,14.25,9.72,230016,0.0,0
2013-08-01,14.27,14.5,13.94,14.25,9.72,556978,0.0,0
2013-08-02,14.5,14.52,14.0,14.35,9.78,244152,0.0,0
2013-08-05,14.35,14.52,14.06,14.27,9.73,438460,0.0,0
2013-08-06,14.45,14.48,14.25,14.35,9.79,136736,0.0,0
2013-08-07,14.35,14.44,14.12,14.3,9.75,195790,0.0,0
2013-08-08,14.38,14.38,14.07,14.21,9.69,794786,0.0,0
2013-08-09,14.06,14.27,14.05,14.19,9.67,517330,0.0,0
2013-08-12,14.3,14.38,14.2,14.35,9.78,520550,0.0,0
2013-08-13,14.38,14.38,14.1,14.15,9.65,587940,0.0,0
2013-08-14,14.0,14.3,14.0,14.1,9.61,314398,0.0,0
2013-08-15,14.2,14.28,13.99,14.07,9.59,752114,0.0,0
2013-08-16,14.0,14.2,13.93,14.08,9.6,234758,0.0,0
2013-08-19,14.12,14.28,14.01,14.11,9.62,509018,0.0,0
2013-08-20,14.06,14.06,13.93,13.97,9.53,641232,0.0,0
2013-08-21,13.94,13.94,13.62,13.72,9.35,728752,0.0,0
2013-08-22,13.82,13.98,13.77,13.85,9.44,211646,0.0,0
2013-08-23,13.94,14.05,13.77,13.9,9.48,248220,0.0,0
2013-08-26,14.15,14.15,13.95,13.98,9.53,345700,0.0,0
2013-08-27,13.97,14.06,13.82,13.9,9.47,414702,0.0,0
2013-08-28,13.96,14.01,13.75,13.89,9.47,445466,0.0,0
2013-08-29,13.93,14.13,13.85,13.9,9.47,569992,0.0,0
2013-08-30,13.95,14.02,13.88,13.93,9.5,119222,0.0,0
2013-09-03,14.05,14.06,13.93,14.02,9.56,657902,0.0,0
2013-09-04,14.09,14.23,13.98,14.16,9.66,677220,0.0,0
2013-09-05,14.24,14.3,14.14,14.15,9.64,393390,0.0,0
2013-09-06,14.35,14.36,13.98,14.07,9.59,973116,0.0,0
2013-09-09,14.16,14.85,14.03,14.55,9.92,928642,0.0,0
2013-09-10,14.64,14.78,14.54,14.57,9.93,433480,0.0,0
2013-09-11,14.62,14.88,14.58,14.75,10.06,649530,0.0,0
2013-09-12,14.76,15.05,14.66,14.79,10.08,606408,0.0,0
2013-09-13,14.77,14.85,14.32,14.75,10.06,979220,0.0,0
2013-09-16,14.88,15.05,14.68,14.94,10.19,606004,0.0,0
2013-09-17,14.99,15.12,14.81,14.94,10.19,449008,0.0,0
2013-09-18,14.91,15.48,14.91,15.35,10.46,720474,0.0,0
2013-09-19,15.47,15.63,15.4,15.43,10.52,542316,0.0,0
2013-09-20,15.51,15.52,15.1,15.1,10.3,2037738,0.0,0
2013-09-23,15.1,15.38,14.84,15.27,10.42,745746,0.0,0
2013-09-24,15.3,15.44,14.81,15.04,10.25,466662,0.0,0
2013-09-25,15.0,15.24,14.56,15.04,10.25,654610,0.0,0
2013-09-26,15.03,15.42,14.91,15.28,10.42,532482,0.0,0
2013-09-27,15.22,15.49,15.0,15.24,10.39,577102,0.0,0
2013-09-30,15.15,15.2,14.72,15.15,10.33,2906664,0.0,0
2013-10-01,15.2,15.86,15.2,15.86,10.81,579014,0.0,0
2013-10-02,15.81,16.08,15.56,15.88,10.82,532418,0.0,0
2013-10-03,15.81,16.31,15.58,16.22,11.06,317576,0.0,0
2013-10-04,16.23,16.3,15.94,15.98,10.9,640268,0.0,0
2013-10-07,15.94,16.27,15.86,15.9,10.84,495992,0.0,0
2013-10-08,15.95,16.17,15.91,15.91,10.85,588890,0.0,0
2013-10-09,15.91,16.07,15.69,15.77,10.76,266728,0.0,0
2013-10-10,15.96,15.99,15.77,15.81,10.78,313518,0.0,0
2013-10-11,15.8,15.88,15.62,15.8,10.77,243386,0.0,0
2013-10-14,15.77,15.92,15.65,15.81,10.78,362576,0.0,0
2013-10-15,15.81,15.81,15.41,15.59,10.63,307188,0.0,0
2013-10-16,15.65,15.84,15.15,15.26,10.4,700780,0.0,0
2013-10-17,15.23,15.72,15.03,15.65,10.67,344324,0.0,0
2013-10-18,15.77,17.09,15.61,16.85,11.49,2797190,0.0,0
2013-10-21,16.92,17.58,16.81,16.91,11.53,1311022,0.0,0
2013-10-22,17.44,17.73,17.0,17.62,12.02,872166,0.0,0
2013-10-23,17.58,18.46,17.53,18.13,12.36,761174,0.0,0
2013-10-24,18.11,18.55,17.93,18.41,12.55,465124,0.0,0
2013-10-25,18.4,18.49,18.09,18.49,12.6,323608,0.0,0
2013-10-28,18.57,18.75,18.04,18.17,12.39,244628,0.0,0
2013-10-29,18.24,18.24,17.75,17.98,12.26,280920,0.0,0
2013-10-30,18.0,18.0,17.64,17.82,12.15,338508,0.0,0
2013-10-31,17.76,17.99,17.4,17.71,12.08,593462,0.0,0
2013-11-01,17.65,17.74,17.3,17.5,11.93,445516,0.0,0
2013-11-04,17.47,17.69,17.38,17.65,12.03,326974,0.0,0
2013-11-05,17.61,17.88,17.41,17.42,11.88,202770,0.0,0
2013-11-06,17.51,17.67,17.25,17.38,11.85,195986,0.0,0
2013-11-07,17.41,17.65,17.19,17.26,11.77,198278,0.0,0
2013-11-08,17.24,17.72,16.9,17.68,12.06,452052,0.0,0
2013-11-11,17.62,18.35,16.95,17.09,11.66,398664,0.0,0
2013-11-12,16.75,18.2,16.6,17.2,11.73,1157066,0.0,0
2013-11-13,17.18,17.78,17.14,17.52,11.95,935024,0.0,0
2013-11-14,17.55,17.81,17.19,17.28,11.79,372362,0.0,0
2013-11-15,17.25,17.58,17.22,17.5,11.94,372262,0.0,0
2013-11-18,17.59,17.62,17.2,17.34,11.82,248068,0.0,0
2013-11-19,17.37,17.45,17.22,17.41,11.87,254464,0.0,0
2013-11-20,17.42,17.48,17.28,17.36,11.84,101496,0.0,0
2013-11-21,17.38,17.44,17.26,17.39,11.85,416202,0.0,0
2013-11-22,17.44,17.62,17.31,17.6,12.0,207792,0.0,0
2013-11-25,17.74,18.25,17.64,17.97,12.25,316126,0.0,0
2013-11-26,17.99,17.99,17.48,17.58,11.99,396968,0.0,0
2013-11-27,17.53,17.88,17.5,17.75,12.26,405482,0.23,0
2013-11-29,17.84,18.24,17.65,18.08,12.49,202614,0.0,0
2013-12-02,18.02,18.15,17.77,18.06,12.47,257970,0.0,0
2013-12-03,18.09,18.5,17.89,18.34,12.67,586358,0.0,0
2013-12-04,18.36,19.06,18.12,18.77,12.97,750966,0.0,0
2013-12-05,18.97,19.42,18.89,19.11,13.21,485650,0.0,0
2013-12-06,19.25,19.72,18.94,19.46,13.44,333104,0.0,0
2013-12-09,19.53,20.08,19.42,19.51,13.48,627558,0.0,0
2013-12-10,19.46,19.49,18.89,19.0,13.13,602506,0.0,0
2013-12-11,19.05,19.41,18.66,18.71,12.93,548920,0.0,0
2013-12-12,18.73,19.39,18.61,19.16,13.23,514668,0.0,0
2013-12-13,19.18,19.65,18.91,19.04,13.15,502538,0.0,0
2013-12-16,19.07,19.52,19.06,19.47,13.45,433494,0.0,0
2013-12-17,19.39,19.72,19.36,19.65,13.58,394972,0.0,0
2013-12-18,19.62,20.3,19.52,20.29,14.02,512480,0.0,0
2013-12-19,20.31,20.59,19.73,19.92,13.77,247864,0.0,0
2013-12-20,19.88,20.17,19.7,20.01,13.83,633856,0.0,0
