Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-07,10.03,10.05,10.03,10.04,2363180,0,0
2019-11-08,10.03,10.05,10.03,10.03,319743,0,0
2019-11-11,10.04,10.04,10.03,10.04,100960,0,0
2019-11-12,10.04,10.04,10.04,10.04,228528,0,0
2019-11-13,10.04,10.05,10.03,10.04,247425,0,0
2019-11-14,10.04,10.06,10.04,10.06,71117,0,0
2019-11-15,10.06,10.07,10.05,10.07,268900,0,0
2019-11-18,10.07,10.07,10.05,10.05,91103,0,0
2019-11-19,10.07,10.07,10.05,10.05,42432,0,0
2019-11-20,10.05,10.05,10.05,10.05,0,0,0
2019-11-21,10.07,10.07,10.06,10.06,3300,0,0
2019-11-22,10.06,10.06,10.05,10.06,46571,0,0
2019-11-25,10.06,10.06,10.06,10.06,1150,0,0
2019-11-26,10.06,10.08,10.06,10.08,25487,0,0
2019-11-27,10.08,10.08,10.08,10.08,0,0,0
2019-11-29,10.08,10.08,10.07,10.07,5600,0,0
2019-12-02,10.08,10.08,10.06,10.06,16942,0,0
2019-12-03,10.07,10.07,10.06,10.06,44600,0,0
2019-12-04,10.05,10.07,10.05,10.06,102522,0,0
2019-12-05,10.06,10.07,10.06,10.06,4100,0,0
2019-12-06,10.07,10.07,10.07,10.07,76253,0,0
2019-12-09,10.07,10.08,10.07,10.07,2125,0,0
2019-12-10,10.07,10.07,10.07,10.07,0,0,0
2019-12-11,10.09,10.09,10.08,10.08,259249,0,0
2019-12-12,10.09,10.1,10.09,10.1,11100,0,0
2019-12-13,10.1,10.11,10.1,10.1,61731,0,0
2019-12-16,10.11,10.15,10.11,10.11,164480,0,0
2019-12-17,10.12,10.12,10.12,10.12,10125,0,0
2019-12-18,10.14,10.15,10.14,10.14,238080,0,0
2019-12-19,10.13,10.14,10.13,10.13,150300,0,0
2019-12-20,10.14,10.19,10.14,10.14,271900,0,0
2019-12-23,10.25,10.25,10.15,10.18,6112,0,0
2019-12-24,10.18,10.18,10.18,10.18,0,0,0
2019-12-26,10.18,10.18,10.18,10.18,0,0,0
2019-12-27,10.16,10.16,10.15,10.15,3146,0,0
2019-12-30,10.23,10.23,10.15,10.15,22010,0,0
2019-12-31,10.2,10.2,10.13,10.2,6050,0,0
