Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,3.16,3.16,2.93,2.96,1.0465,150700,0.0,0
2010-01-05,3.0,3.05,2.96,3.03,1.0713,156200,0.0,0
2010-01-06,3.03,3.12,3.01,3.12,1.1031,262800,0.0,0
2010-01-07,3.11,3.13,3.06,3.09,1.0925,356400,0.0,0
2010-01-08,3.09,3.17,3.08,3.15,1.1137,166100,0.0,0
2010-01-11,3.17,3.25,3.17,3.23,1.142,282500,0.0,0
2010-01-12,3.25,3.25,3.2,3.21,1.1349,227800,0.0,0
2010-01-13,3.21,3.22,3.16,3.18,1.1243,239200,0.0,0
2010-01-14,3.16,3.16,3.09,3.14,1.1197,223400,0.027,0
2010-01-15,3.17,3.17,3.03,3.07,1.0947,320200,0.0,0
2010-01-19,3.05,3.15,3.05,3.15,1.1232,282500,0.0,0
2010-01-20,3.14,3.14,3.05,3.09,1.1018,102800,0.0,0
2010-01-21,3.11,3.11,3.0,3.0,1.0698,208900,0.0,0
2010-01-22,3.0,3.04,3.0,3.0,1.0698,170500,0.0,0
2010-01-25,3.01,3.01,2.98,2.98,1.0626,131500,0.0,0
2010-01-26,3.01,3.01,2.93,2.95,1.0519,230600,0.0,0
2010-01-27,2.97,2.97,2.86,2.86,1.0198,295200,0.0,0
2010-01-28,2.85,2.89,2.82,2.83,1.0091,265100,0.0,0
2010-01-29,2.83,2.85,2.78,2.78,0.9913,294300,0.0,0
2010-02-01,2.77,2.92,2.77,2.92,1.0412,280400,0.0,0
2010-02-02,2.86,3.03,2.86,3.03,1.0805,213100,0.0,0
2010-02-03,3.06,3.06,2.98,2.98,1.0626,190100,0.0,0
2010-02-04,2.97,2.98,2.89,2.95,1.0519,205700,0.0,0
2010-02-05,2.91,2.93,2.83,2.83,1.0091,273700,0.0,0
2010-02-08,2.83,2.87,2.8,2.8,0.9984,182500,0.0,0
2010-02-09,2.81,2.87,2.81,2.85,1.0163,68600,0.0,0
2010-02-10,2.81,2.91,2.81,2.88,1.027,188600,0.0,0
2010-02-11,2.86,2.9,2.85,2.9,1.0439,167100,0.027,0
2010-02-12,2.84,2.89,2.83,2.85,1.0259,129300,0.0,0
2010-02-16,2.83,2.85,2.83,2.83,1.0187,132800,0.0,0
2010-02-17,2.84,2.87,2.82,2.84,1.0223,151900,0.0,0
2010-02-18,2.84,2.88,2.84,2.87,1.0331,90800,0.0,0
2010-02-19,2.9,2.91,2.86,2.91,1.0475,109600,0.0,0
2010-02-22,2.96,2.96,2.88,2.94,1.0583,253700,0.0,0
2010-02-23,2.96,3.0,2.93,3.0,1.0799,267900,0.0,0
