Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,28.79,28.82,28.56,28.69,15.87,1706200,0.0,0.0
2010-01-05,28.75,28.79,28.46,28.68,15.86,1400000,0.0,0.0
2010-01-06,28.7,28.79,28.55,28.78,15.92,1748400,0.0,0.0
2010-01-07,28.62,28.76,28.38,28.49,15.76,1515900,0.0,0.0
2010-01-08,28.42,28.42,28.14,28.42,15.72,1412500,0.0,0.0
2010-01-11,28.46,28.58,28.11,28.24,15.62,1298600,0.0,0.0
2010-01-12,28.14,28.14,27.79,27.94,15.45,1804600,0.0,0.0
2010-01-13,27.95,28.31,27.92,28.23,15.61,1203900,0.0,0.0
2010-01-14,28.26,28.38,28.07,28.32,15.67,1453500,0.0,0.0
2010-01-15,28.27,28.34,27.69,27.8,15.38,1624600,0.0,0.0
2010-01-19,27.74,28.32,27.68,28.32,15.67,1848500,0.0,0.0
2010-01-20,28.1,28.1,27.8,28.07,15.52,1619400,0.0,0.0
2010-01-21,28.06,28.14,27.24,27.32,15.11,2615400,0.0,0.0
2010-01-22,27.28,27.28,26.42,26.45,14.63,2542500,0.0,0.0
2010-01-25,26.55,26.67,26.18,26.43,14.62,2322200,0.0,0.0
2010-01-26,26.4,26.4,26.18,26.2,14.49,2043900,0.0,0.0
2010-01-27,26.19,26.28,25.8,26.05,14.41,3069500,0.0,0.0
2010-01-28,26.18,26.22,25.59,25.9,14.33,2239800,0.0,0.0
2010-01-29,26.06,26.06,25.44,25.49,14.1,2218800,0.0,0.0
2010-02-01,25.64,26.14,25.34,26.09,14.43,2926900,0.0,0.0
2010-02-02,26.06,26.38,25.93,26.36,14.58,1852300,0.0,0.0
2010-02-03,26.27,26.41,26.08,26.27,14.53,1116400,0.0,0.0
2010-02-04,26.06,26.16,25.48,25.48,14.09,2053100,0.0,0.0
2010-02-05,25.5,25.59,25.1,25.52,14.11,2241500,0.0,0.0
2010-02-08,25.86,26.26,25.57,25.68,14.2,2479900,0.0,0.0
2010-02-09,25.91,26.2,25.7,26.08,14.43,2483500,0.0,0.0
2010-02-10,26.66,26.66,25.73,25.9,14.33,3337800,0.0,0.0
2010-02-11,25.82,26.06,25.54,25.95,14.35,2335500,0.0,0.0
2010-02-12,25.71,25.82,25.09,25.47,14.09,3184800,0.0,0.0
2010-02-16,25.63,25.93,25.47,25.93,14.34,1894400,0.0,0.0
2010-02-17,25.98,25.99,25.76,25.86,14.3,1712800,0.0,0.0
2010-02-18,25.86,26.03,25.78,25.98,14.37,1334800,0.0,0.0
2010-02-19,25.9,26.18,25.73,26.06,14.41,1823300,0.0,0.0
2010-02-22,25.87,26.13,25.84,25.98,14.37,1686400,0.0,0.0
2010-02-23,25.95,26.06,25.68,25.92,14.34,1910200,0.0,0.0
2010-02-24,25.95,26.0,25.7,25.78,14.26,2263200,0.0,0.0
2010-02-25,25.45,25.59,25.2,25.54,14.12,1654200,0.0,0.0
2010-02-26,25.51,25.76,25.38,25.73,14.23,1892000,0.0,0.0
2010-03-01,25.73,26.17,25.68,26.06,14.41,2141000,0.0,0.0
2010-03-02,26.13,26.33,26.04,26.11,14.44,1766900,0.0,0.0
2010-03-03,26.22,26.22,25.94,25.99,14.37,2074200,0.0,0.0
2010-03-04,25.97,26.03,25.73,25.83,14.29,2237700,0.0,0.0
2010-03-05,25.94,26.33,25.91,26.31,14.55,1305000,0.0,0.0
2010-03-08,26.28,26.5,26.28,26.41,14.61,1501000,0.0,0.0
2010-03-09,26.33,26.56,26.22,26.48,14.64,1255900,0.0,0.0
2010-03-10,26.51,26.63,26.35,26.61,14.72,1709400,0.0,0.0
2010-03-11,26.48,26.63,26.37,26.63,14.73,1566300,0.0,0.0
2010-03-12,26.63,26.64,26.4,26.55,14.69,1134600,0.0,0.0
2010-03-15,26.51,26.66,26.41,26.62,14.72,989800,0.0,0.0
2010-03-16,26.69,26.7,26.5,26.66,14.75,1229500,0.0,0.0
2010-03-17,26.67,27.06,26.63,27.02,14.94,2132500,0.0,0.0
2010-03-18,27.04,27.15,26.93,27.05,14.96,1871100,0.0,0.0
2010-03-19,27.11,27.29,26.98,27.11,14.99,3289500,0.0,0.0
2010-03-22,26.91,27.41,26.83,27.34,15.12,2498100,0.0,0.0
2010-03-23,27.43,27.56,27.26,27.54,15.23,1816300,0.0,0.0
2010-03-24,27.46,27.46,27.23,27.27,15.08,2030000,0.0,0.0
2010-03-25,27.33,27.39,27.2,27.23,15.06,2921300,0.0,0.0
2010-03-26,27.27,27.32,27.08,27.12,15.0,2112000,0.0,0.0
2010-03-29,27.19,27.36,27.14,27.31,15.11,1152500,0.0,0.0
2010-03-30,27.32,27.36,27.19,27.32,15.11,1106900,0.0,0.0
2010-03-31,27.17,27.31,27.04,27.07,14.97,2287900,0.0,0.0
2010-04-01,26.93,27.37,26.63,26.95,14.91,9261100,0.0,0.0
2010-04-05,26.48,27.18,26.28,26.85,14.85,3816800,0.0,0.0
2010-04-06,26.67,26.87,26.62,26.77,14.81,3347300,0.0,0.0
2010-04-07,26.73,26.86,26.65,26.71,14.78,2968000,0.0,0.0
2010-04-08,26.6,26.72,26.41,26.66,14.75,2442200,0.0,0.0
2010-04-09,26.74,27.1,26.63,27.08,14.98,2092100,0.0,0.0
2010-04-12,27.06,27.31,27.0,27.24,15.06,3135300,0.0,0.0
2010-04-13,27.27,27.32,27.1,27.28,15.09,2446900,0.0,0.0
2010-04-14,27.33,27.62,27.2,27.59,15.26,3039400,0.0,0.0
2010-04-15,27.55,27.67,27.37,27.67,15.31,3775100,0.0,0.0
2010-04-16,27.62,27.63,27.35,27.42,15.17,2843400,0.0,0.0
2010-04-19,27.31,27.32,27.02,27.25,15.07,2897900,0.0,0.0
2010-04-20,27.38,27.46,27.18,27.43,15.17,2325100,0.0,0.0
2010-04-21,27.52,27.52,27.24,27.46,15.19,1640200,0.0,0.0
2010-04-22,27.28,27.55,27.02,27.49,15.21,1861000,0.0,0.0
2010-04-23,27.45,27.65,27.26,27.63,15.28,1433000,0.0,0.0
2010-04-26,27.6,27.75,27.52,27.53,15.23,2046500,0.0,0.0
2010-04-27,27.37,27.46,26.84,26.89,14.87,1951500,0.0,0.0
2010-04-28,27.01,27.07,26.39,26.57,14.7,3250200,0.0,0.0
2010-04-29,26.7,26.74,26.45,26.69,14.76,2003100,0.0,0.0
2010-04-30,26.74,26.74,25.99,26.03,14.4,2166900,0.0,0.0
2010-05-03,26.24,26.24,25.74,25.79,14.27,2947100,0.0,0.0
2010-05-04,25.59,25.66,25.01,25.34,14.01,3050700,0.0,0.0
2010-05-05,25.06,25.45,25.06,25.32,14.0,2701100,0.0,0.0
2010-05-06,25.3,25.61,24.37,24.97,13.81,6192200,0.0,0.0
