Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-02,2.52,2.64,2.52,2.52,76434,0.0,0
2015-01-05,2.51,2.53,2.45,2.45,235764,0.0,0
2015-01-06,2.61,2.63,2.45,2.46,215184,0.0,0
2015-01-07,2.76,2.78,2.52,2.7,246211,0.0,0
2015-01-08,2.69,2.74,2.54,2.65,395270,0.0,0
2015-01-09,2.52,2.63,2.51,2.62,71238,0.0,0
2015-01-12,2.57,2.64,2.51,2.57,58493,0.0,0
2015-01-13,2.69,2.69,2.57,2.59,1304255,0.0,0
2015-01-14,2.63,2.67,2.58,2.63,504256,0.0,0
2015-01-15,2.71,2.71,2.55,2.63,240328,0.0,0
2015-01-16,2.57,2.6,2.4,2.49,92224,0.0,0
2015-01-20,2.32,2.48,2.32,2.45,146946,0.0,0
2015-01-21,2.37,2.54,2.36,2.52,133112,0.0,0
2015-01-22,2.46,2.52,2.37,2.49,81170,0.0,0
2015-01-23,2.4,2.4,2.29,2.32,76445,0.0,0
2015-01-26,2.29,2.32,2.2,2.24,93750,0.0,0
2015-01-27,2.24,2.31,2.2,2.21,31709,0.0,0
2015-01-28,2.19,2.3,2.16,2.3,92389,0.0,0
2015-01-29,2.2,2.25,2.16,2.23,87700,0.0,0
2015-01-30,2.04,2.05,1.93,2.01,352318,0.0,0
2015-02-02,1.99,2.05,1.97,2.01,263158,0.0,0
2015-02-03,2.07,2.1,2.04,2.07,137482,0.0,0
2015-02-04,2.05,2.11,1.98,1.99,132287,0.0,0
2015-02-05,2.04,2.04,1.95,2.02,153858,0.0,0
2015-02-06,1.97,1.99,1.91,1.96,180656,0.0,0
2015-02-09,1.91,2.04,1.9,2.04,89307,0.0,0
2015-02-10,1.9,1.9,1.83,1.87,98202,0.0,0
2015-02-11,1.79,1.82,1.78,1.82,64894,0.0,0
2015-02-12,1.83,1.89,1.83,1.88,55081,0.0,0
2015-02-13,1.92,1.95,1.86,1.9,555265,0.0,0
2015-02-17,1.9,1.9,1.82,1.9,68120,0.0,0
2015-02-18,1.82,2.02,1.82,2.01,67527,0.0,0
2015-02-19,1.99,2.04,1.96,2.03,48354,0.0,0
2015-02-20,2.04,2.04,1.98,1.98,151140,0.0,0
2015-02-23,2.03,2.03,1.9,1.96,98464,0.0,0
2015-02-24,1.96,2.04,1.96,1.99,109531,0.0,0
2015-02-25,1.98,2.03,1.93,1.99,119524,0.0,0
2015-02-26,1.99,2.09,1.97,2.04,378842,0.0,0
2015-02-27,2.08,2.13,2.04,2.11,343592,0.0,0
2015-03-02,2.05,2.09,1.92,1.92,90903,0.0,0
2015-03-03,1.92,1.95,1.84,1.9,216979,0.0,0
2015-03-04,1.85,1.85,1.75,1.77,115530,0.0,0
2015-03-05,1.78,1.82,1.75,1.76,113228,0.0,0
2015-03-06,1.8,1.8,1.75,1.78,53911,0.0,0
2015-03-09,1.76,1.77,1.74,1.75,117853,0.0,0
2015-03-10,1.76,1.81,1.75,1.78,74810,0.0,0
2015-03-11,1.77,1.78,1.75,1.76,33943,0.0,0
2015-03-12,1.83,1.83,1.7,1.71,112010,0.0,0
2015-03-13,1.72,1.73,1.67,1.72,197434,0.0,0
2015-03-16,1.75,1.77,1.7,1.72,46799,0.0,0
2015-03-17,1.72,1.82,1.72,1.77,178404,0.0,0
2015-03-18,1.79,1.9,1.78,1.84,153486,0.0,0
2015-03-19,1.87,1.87,1.76,1.78,67375,0.0,0
2015-03-20,1.92,2.02,1.9,2.0,287637,0.0,0
2015-03-23,2.04,2.13,2.04,2.11,217255,0.0,0
2015-03-24,2.19,2.19,2.09,2.11,94359,0.0,0
2015-03-25,2.16,2.18,2.04,2.06,83216,0.0,0
2015-03-26,1.99,2.01,1.95,1.99,69217,0.0,0
2015-03-27,1.97,1.97,1.87,1.91,315079,0.0,0
2015-03-30,1.92,1.93,1.84,1.87,237327,0.0,0
2015-03-31,1.93,1.95,1.83,1.83,158744,0.0,0
2015-04-01,1.94,2.0,1.9,1.99,168292,0.0,0
2015-04-02,2.04,2.09,2.01,2.03,112842,0.0,0
2015-04-06,2.08,2.17,2.07,2.1,211553,0.0,0
2015-04-07,2.09,2.1,2.05,2.07,38978,0.0,0
2015-04-08,2.14,2.16,2.04,2.11,48029,0.0,0
2015-04-09,2.12,2.16,2.07,2.09,180640,0.0,0
2015-04-10,2.1,2.17,2.08,2.16,182460,0.0,0
2015-04-13,2.15,2.17,2.13,2.17,85361,0.0,0
2015-04-14,2.17,2.18,2.14,2.16,83286,0.0,0
2015-04-15,2.17,2.22,2.15,2.21,127779,0.0,0
2015-04-16,2.2,2.27,2.19,2.22,89932,0.0,0
2015-04-17,2.17,2.22,2.16,2.16,138927,0.0,0
2015-04-20,2.21,2.23,2.18,2.21,14739,0.0,0
2015-04-21,2.28,2.28,2.22,2.25,28223,0.0,0
2015-04-22,2.27,2.39,2.27,2.38,192309,0.0,0
2015-04-23,2.38,2.5,2.38,2.5,42840,0.0,0
2015-04-24,2.56,2.65,2.53,2.65,243148,0.0,0
2015-04-27,2.59,2.6,2.52,2.53,799868,0.0,0
2015-04-28,2.6,2.67,2.57,2.64,3194982,0.0,0
2015-04-29,2.66,2.68,2.6,2.62,961834,0.0,0
2015-04-30,2.68,2.68,2.45,2.51,249959,0.0,0
2015-05-01,2.52,2.52,2.31,2.43,328561,0.0,0
2015-05-04,2.4,2.54,2.38,2.51,670492,0.0,0
2015-05-05,2.6,2.92,2.58,2.91,648159,0.0,0
2015-05-06,3.08,3.08,2.88,2.96,397228,0.0,0
2015-05-07,3.03,3.03,2.81,2.85,187445,0.0,0
2015-05-08,2.88,2.88,2.79,2.83,214269,0.0,0
2015-05-11,2.85,2.88,2.76,2.78,110360,0.0,0
2015-05-12,2.81,2.91,2.79,2.84,47869,0.0,0
2015-05-13,2.86,2.88,2.69,2.73,100932,0.0,0
2015-05-14,2.81,2.84,2.69,2.75,145408,0.0,0
2015-05-15,2.78,2.82,2.64,2.78,298244,0.0,0
2015-05-18,2.83,2.83,2.72,2.77,163468,0.0,0
2015-05-19,2.72,2.72,2.62,2.64,99793,0.0,0
2015-05-20,2.66,2.71,2.64,2.68,200531,0.0,0
2015-05-21,2.66,2.7,2.63,2.65,102432,0.0,0
2015-05-22,2.54,2.59,2.44,2.57,150141,0.0,0
2015-05-26,2.61,2.66,2.54,2.56,257999,0.0,0
2015-05-27,2.59,2.76,2.56,2.72,85507,0.0,0
2015-05-28,2.8,2.8,2.64,2.69,58224,0.0,0
2015-05-29,2.64,2.64,2.51,2.51,154983,0.0,0
2015-06-01,2.57,2.66,2.52,2.66,71807,0.0,0
2015-06-02,2.69,2.76,2.67,2.74,54145,0.0,0
2015-06-03,2.75,2.76,2.66,2.69,87889,0.0,0
2015-06-04,2.66,2.66,2.6,2.63,28638,0.0,0
2015-06-05,2.62,2.66,2.58,2.61,83786,0.0,0
2015-06-08,2.63,2.69,2.61,2.66,46986,0.0,0
2015-06-09,2.7,2.7,2.59,2.6,80438,0.0,0
2015-06-10,2.7,2.7,2.52,2.52,129500,0.0,0
2015-06-11,2.53,2.6,2.52,2.59,78598,0.0,0
2015-06-12,2.61,2.61,2.56,2.59,55128,0.0,0
2015-06-15,2.59,2.64,2.57,2.59,34449,0.0,0
2015-06-16,2.63,2.65,2.54,2.54,59847,0.0,0
2015-06-17,2.57,2.64,2.52,2.59,56662,0.0,0
2015-06-18,2.66,2.67,2.62,2.66,75825,0.0,0
2015-06-19,2.62,2.63,2.59,2.59,35774,0.0,0
2015-06-22,2.63,2.65,2.59,2.6,41646,0.0,0
2015-06-23,2.59,2.59,2.54,2.54,26631,0.0,0
2015-06-24,2.54,2.56,2.45,2.47,44680,0.0,0
2015-06-25,2.47,2.47,2.38,2.38,31742,0.0,0
2015-06-26,2.42,2.42,2.38,2.38,96664,0.0,0
2015-06-29,2.3,2.41,2.28,2.4,79751,0.0,0
2015-06-30,2.46,2.46,2.32,2.35,141959,0.0,0
2015-07-01,2.36,2.38,2.28,2.31,124143,0.0,0
2015-07-02,2.31,2.42,2.31,2.39,75197,0.0,0
2015-07-06,2.31,2.41,2.31,2.38,20622,0.0,0
2015-07-07,2.31,2.32,2.24,2.31,135741,0.0,0
2015-07-08,2.28,2.31,2.23,2.25,206341,0.0,0
2015-07-09,2.32,2.34,2.28,2.34,17797,0.0,0
2015-07-10,2.31,2.34,2.29,2.33,11508,0.0,0
2015-07-13,2.33,2.41,2.33,2.41,12621,0.0,0
2015-07-14,2.37,2.5,2.37,2.49,18342,0.0,0
2015-07-15,2.45,2.48,2.44,2.45,14999,0.0,0
2015-07-16,2.46,2.48,2.37,2.38,34124,0.0,0
2015-07-17,2.39,2.39,2.31,2.35,24523,0.0,0
2015-07-20,2.3,2.3,2.25,2.28,32209,0.0,0
2015-07-21,2.25,2.38,2.25,2.38,32321,0.0,0
2015-07-22,2.34,2.34,2.27,2.29,16990,0.0,0
2015-07-23,2.18,2.2,2.15,2.2,26062,0.0,0
2015-07-24,2.11,2.11,2.04,2.1,362874,0.0,0
2015-07-27,2.01,2.19,2.01,2.16,84100,0.0,0
2015-07-28,2.15,2.18,2.11,2.12,95859,0.0,0
2015-07-29,2.11,2.16,2.08,2.16,23938,0.0,0
2015-07-30,2.11,2.18,2.11,2.17,42624,0.0,0
2015-07-31,2.22,2.25,2.12,2.16,132539,0.0,0
2015-08-03,2.2,2.26,2.11,2.24,204520,0.0,0
2015-08-04,2.22,2.24,2.13,2.16,59578,0.0,0
2015-08-05,2.09,2.1,2.06,2.07,29152,0.0,0
2015-08-06,2.03,2.08,2.03,2.05,12183,0.0,0
2015-08-07,2.05,2.08,2.04,2.08,10565,0.0,0
2015-08-10,2.04,2.08,2.04,2.06,2255,0.0,0
2015-08-11,2.02,2.04,1.96,2.01,51045,0.0,0
2015-08-12,2.02,2.02,1.95,1.98,38433,0.0,0
2015-08-13,1.93,1.96,1.91,1.92,18896,0.0,0
2015-08-14,1.94,1.97,1.93,1.93,18635,0.0,0
2015-08-17,1.99,1.99,1.9,1.9,36486,0.0,0
2015-08-18,1.9,1.9,1.83,1.88,108817,0.0,0
2015-08-19,1.83,1.85,1.77,1.84,53768,0.0,0
2015-08-20,1.8,1.91,1.76,1.9,77757,0.0,0
2015-08-21,1.82,1.83,1.75,1.82,107159,0.0,0
2015-08-24,1.68,1.83,1.64,1.7,173587,0.0,0
2015-08-25,1.72,1.73,1.67,1.69,132911,0.0,0
2015-08-26,1.68,1.81,1.65,1.79,140437,0.0,0
2015-08-27,1.8,1.91,1.8,1.91,105973,0.0,0
2015-08-28,1.84,1.87,1.82,1.86,154819,0.0,0
2015-08-31,1.73,1.83,1.7,1.78,110527,0.0,0
2015-09-01,1.72,1.78,1.68,1.76,101178,0.0,0
2015-09-02,1.74,1.77,1.69,1.75,106555,0.0,0
2015-09-03,1.75,1.85,1.74,1.82,124219,0.0,0
2015-09-04,1.9,1.97,1.88,1.95,758137,0.0,0
2015-09-08,1.92,1.92,1.83,1.85,137569,0.0,0
2015-09-09,1.87,1.89,1.81,1.83,133964,0.0,0
2015-09-10,1.79,1.9,1.78,1.87,74482,0.0,0
2015-09-11,1.85,1.9,1.84,1.88,99885,0.0,0
2015-09-14,1.89,1.97,1.84,1.97,212088,0.0,0
2015-09-15,1.93,1.97,1.9,1.97,110310,0.0,0
2015-09-16,1.98,2.0,1.96,1.97,42822,0.0,0
2015-09-17,1.97,2.04,1.97,2.0,227329,0.0,0
2015-09-18,1.97,1.99,1.84,1.87,122771,0.0,0
2015-09-21,1.87,1.93,1.87,1.88,27605,0.0,0
2015-09-22,1.82,1.82,1.75,1.79,87134,0.0,0
2015-09-23,1.78,1.79,1.76,1.76,88360,0.0,0
2015-09-24,1.66,1.81,1.65,1.8,223630,0.0,0
2015-09-25,1.84,1.88,1.78,1.81,143753,0.0,0
2015-09-28,1.76,1.79,1.72,1.74,162295,0.0,0
2015-09-29,1.72,1.8,1.71,1.79,386741,0.0,0
2015-09-30,1.88,1.93,1.86,1.89,197380,0.0,0
2015-10-01,1.9,1.9,1.83,1.9,63182,0.0,0
2015-10-02,1.83,2.04,1.82,2.02,372019,0.0,0
2015-10-05,2.06,2.22,2.06,2.22,181462,0.0,0
