Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,13.72,13.95,13.72,13.94,5.64,219000,0.0,0
2010-01-05,13.99,14.19,13.99,14.19,5.74,299100,0.0,0
2010-01-06,14.14,14.31,14.14,14.29,5.79,317900,0.0,0
2010-01-07,14.33,14.55,14.24,14.49,5.87,373500,0.0,0
2010-01-08,14.49,14.51,14.4,14.48,5.86,228100,0.0,0
2010-01-11,14.48,14.59,14.36,14.59,5.91,324400,0.0,0
2010-01-12,14.43,14.6,14.43,14.6,5.91,286800,0.0,0
2010-01-13,14.58,14.64,14.5,14.5,5.87,236800,0.0,0
2010-01-14,14.5,14.6,14.49,14.6,5.91,242000,0.0,0
2010-01-15,14.57,14.6,14.44,14.59,5.91,188300,0.0,0
2010-01-19,14.56,14.64,14.53,14.54,5.89,284600,0.0,0
2010-01-20,14.5,14.53,14.24,14.37,5.82,457800,0.0,0
2010-01-21,14.37,14.46,14.03,14.36,5.81,292900,0.0,0
2010-01-22,14.25,14.33,14.14,14.17,5.74,146800,0.0,0
2010-01-25,13.99,14.23,13.76,14.05,5.69,900500,0.0,0
2010-01-26,13.97,14.19,13.94,14.02,5.68,546200,0.0,0
2010-01-27,14.01,14.11,13.97,14.02,5.68,286100,0.0,0
2010-01-28,14.01,14.09,13.95,14.04,5.68,532500,0.0,0
2010-01-29,14.04,14.06,13.9,13.92,5.64,288000,0.0,0
2010-02-01,13.93,14.09,13.9,14.04,5.68,331300,0.0,0
2010-02-02,13.97,14.21,13.97,14.2,5.75,278400,0.0,0
2010-02-03,14.07,14.29,14.07,14.27,5.78,320300,0.0,0
2010-02-04,14.18,14.18,13.71,13.71,5.55,432000,0.0,0
2010-02-05,13.65,13.7,13.2,13.46,5.45,1013500,0.0,0
2010-02-08,13.38,13.55,13.33,13.46,5.45,349500,0.0,0
2010-02-09,13.49,13.84,13.48,13.82,5.59,389100,0.0,0
2010-02-10,13.84,13.92,13.67,13.91,5.63,291600,0.0,0
2010-02-11,13.9,13.94,13.82,13.92,5.64,182800,0.0,0
2010-02-12,13.78,13.97,13.71,13.92,5.64,216600,0.0,0
2010-02-16,14.0,14.22,13.9,14.19,5.74,333900,0.0,0
2010-02-17,14.26,14.36,14.21,14.31,5.79,352700,0.0,0
2010-02-18,14.2,14.37,14.16,14.34,5.81,276600,0.0,0
2010-02-19,14.28,14.38,14.18,14.27,5.78,227800,0.0,0
2010-02-22,14.25,14.35,14.23,14.3,5.79,246700,0.0,0
2010-02-23,14.29,14.36,14.2,14.3,5.79,252500,0.0,0
2010-02-24,14.2,14.32,14.19,14.27,5.78,222600,0.0,0
2010-02-25,14.22,14.3,14.06,14.3,5.79,233900,0.0,0
2010-02-26,14.3,14.33,14.2,14.3,5.79,181900,0.0,0
2010-03-01,14.22,14.42,14.22,14.41,5.83,279800,0.0,0
2010-03-02,14.47,14.64,14.44,14.64,5.93,385400,0.0,0
2010-03-03,14.67,14.82,14.65,14.82,6.0,280100,0.0,0
2010-03-04,14.76,14.85,14.66,14.8,5.99,226500,0.0,0
2010-03-05,14.8,14.98,14.76,14.94,6.05,232000,0.0,0
2010-03-08,14.9,14.99,14.88,14.99,6.07,181400,0.0,0
2010-03-09,14.89,15.05,14.89,15.05,6.09,235600,0.0,0
2010-03-10,15.0,15.1,14.99,15.03,6.08,207800,0.0,0
2010-03-11,15.04,15.08,14.95,15.05,6.09,184300,0.0,0
2010-03-12,15.06,15.1,14.99,15.1,6.11,171900,0.0,0
