Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-10-08,21.5,22.08,21.05,21.75,6.85,3743600,0.0,0
2010-10-11,21.75,21.86,21.45,21.75,6.85,346500,0.0,0
2010-10-12,21.76,22.3,21.76,22.25,7.01,271100,0.0,0
2010-10-13,22.37,22.49,22.15,22.4,7.06,237500,0.0,0
2010-10-14,22.4,22.49,22.28,22.35,7.04,71800,0.0,0
2010-10-15,22.45,22.48,22.33,22.36,7.04,87700,0.0,0
2010-10-18,22.36,22.4,22.3,22.4,7.06,38000,0.0,0
2010-10-19,22.35,22.38,22.2,22.21,7.0,39500,0.0,0
2010-10-20,22.28,22.55,22.18,22.23,7.0,37100,0.0,0
2010-10-21,22.3,22.3,22.2,22.24,7.01,27800,0.0,0
2010-10-22,22.24,22.24,22.14,22.2,6.99,14900,0.0,0
2010-10-25,22.0,22.01,21.7,21.85,6.88,86900,0.0,0
2010-10-26,21.75,21.98,21.73,21.95,6.91,60800,0.0,0
2010-10-27,21.85,21.95,21.85,21.91,6.9,25000,0.0,0
2010-10-28,21.99,21.99,21.92,21.95,6.91,12500,0.0,0
2010-10-29,21.97,22.1,21.9,22.03,6.94,20800,0.0,0
2010-11-01,22.11,22.12,22.08,22.11,6.97,33300,0.0,0
2010-11-02,22.21,22.21,21.99,21.99,6.93,4300,0.0,0
2010-11-03,22.0,22.0,21.9,21.94,6.91,20200,0.0,0
2010-11-04,22.15,22.19,22.09,22.15,6.98,12400,0.0,0
2010-11-05,22.14,22.14,22.08,22.09,6.96,11400,0.0,0
2010-11-08,22.09,22.29,21.93,21.93,6.91,46800,0.0,0
2010-11-09,21.93,21.93,21.87,21.87,6.89,4700,0.0,0
2010-11-10,21.45,21.87,21.45,21.75,6.85,19400,0.0,0
2010-11-11,21.75,22.24,21.75,21.9,6.9,27300,0.0,0
2010-11-12,21.9,22.15,21.9,21.9,6.9,36900,0.0,0
2010-11-15,22.05,22.06,21.87,21.97,6.92,14800,0.0,0
2010-11-16,21.96,22.24,21.92,22.1,6.96,15100,0.0,0
2010-11-17,22.25,22.25,22.0,22.09,6.96,17500,0.0,0
2010-11-18,22.5,22.5,22.02,22.05,6.95,22400,0.0,0
2010-11-19,21.96,22.48,21.96,22.35,7.04,44300,0.0,0
2010-11-22,22.24,22.39,22.1,22.35,7.04,44400,0.0,0
2010-11-23,22.2,22.4,22.2,22.4,7.06,27100,0.0,0
2010-11-24,22.5,22.6,22.5,22.56,7.11,35300,0.0,0
2010-11-26,22.6,22.65,22.55,22.59,7.12,26000,0.0,0
2010-11-29,22.5,22.5,22.0,22.25,7.27,93600,0.8,0
2010-11-30,22.5,22.56,22.2,22.3,7.28,33500,0.0,0
2010-12-01,22.4,22.5,22.0,22.3,7.28,40700,0.0,0
2010-12-02,22.5,22.52,22.13,22.29,7.28,83300,0.0,0
2010-12-03,22.24,22.47,22.24,22.29,7.28,32700,0.0,0
2010-12-06,22.34,22.65,22.01,22.4,7.32,46000,0.0,0
2010-12-07,22.5,22.57,21.87,22.0,7.18,24900,0.0,0
2010-12-08,22.05,22.3,22.0,22.0,7.18,23300,0.0,0
2010-12-09,22.1,22.25,22.0,22.15,7.23,17400,0.0,0
2010-12-10,22.11,22.33,22.11,22.25,7.27,8400,0.0,0
2010-12-13,22.26,22.26,22.12,22.24,7.26,9900,0.0,0
2010-12-14,22.25,22.25,22.06,22.2,7.25,21900,0.0,0
2010-12-15,22.28,22.34,22.17,22.18,7.24,17400,0.0,0
2010-12-16,22.11,22.68,21.76,22.24,7.26,33000,0.0,0
2010-12-17,22.21,22.31,21.95,21.95,7.17,36500,0.0,0
2010-12-20,22.07,22.2,22.07,22.2,7.25,3100,0.0,0
2010-12-21,22.42,22.49,22.21,22.24,7.26,5300,0.0,0
2010-12-22,22.23,22.25,22.14,22.24,7.26,20500,0.0,0
2010-12-23,22.37,22.37,22.17,22.2,7.25,22300,0.0,0
2010-12-27,22.2,22.3,22.2,22.3,7.28,15900,0.0,0
2010-12-28,22.4,22.4,22.18,22.25,7.27,86100,0.0,0
2010-12-29,22.28,22.37,22.28,22.28,7.28,39800,0.0,0
2010-12-30,22.28,22.33,22.25,22.25,7.27,19200,0.0,0
2010-12-31,22.25,22.28,22.21,22.24,7.26,12200,0.0,0
2011-01-03,22.53,22.57,22.0,22.19,7.25,18300,0.0,0
2011-01-04,22.17,22.25,22.01,22.19,7.25,21000,0.0,0
2011-01-05,22.25,22.25,22.12,22.15,7.23,10800,0.0,0
2011-01-06,22.2,22.2,22.07,22.15,7.23,6500,0.0,0
2011-01-07,22.2,22.28,22.13,22.28,7.28,14000,0.0,0
2011-01-10,22.28,22.29,22.05,22.24,7.26,70000,0.0,0
2011-01-11,22.45,22.45,22.09,22.22,7.26,59900,0.0,0
2011-01-12,22.35,22.35,22.18,22.18,7.24,80700,0.0,0
