Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-06-26,12.82,12.88,12.82,12.83,240000,0.0,0
2013-06-27,12.88,12.91,12.82,12.91,34300,0.0,0
2013-06-28,12.85,13.0,12.85,12.88,17000,0.0,0
2013-07-01,12.91,13.13,12.87,13.07,25500,0.0,0
2013-07-02,13.14,13.94,12.82,13.25,47300,0.0,0
2013-07-03,13.07,13.12,12.95,13.07,8100,0.0,0
2013-07-05,13.2,13.2,13.06,13.07,2400,0.0,0
2013-07-08,13.02,13.14,13.02,13.07,9700,0.0,0
2013-07-09,13.2,13.2,13.04,13.2,10200,0.0,0
2013-07-10,13.2,13.2,13.12,13.18,5400,0.0,0
2013-07-11,13.12,13.2,13.09,13.11,6200,0.0,0
2013-07-12,13.2,13.2,13.01,13.04,4400,0.0,0
2013-07-15,13.18,13.18,12.95,13.18,14000,0.0,0
2013-07-16,13.17,13.18,12.95,13.18,17400,0.0,0
2013-07-17,13.02,13.18,12.99,13.14,13300,0.0,0
2013-07-18,13.12,13.2,13.11,13.2,32100,0.0,0
2013-07-19,13.2,13.2,13.07,13.17,6700,0.0,0
2013-07-22,13.14,13.14,12.91,12.93,21100,0.0,0
2013-07-23,13.0,13.01,12.82,12.82,34700,0.0,0
2013-07-24,12.86,12.86,12.82,12.83,8300,0.0,0
2013-07-25,12.82,12.85,12.82,12.82,20600,0.0,0
2013-07-26,12.91,12.92,12.82,12.82,16900,0.0,0
2013-07-29,12.82,12.84,12.82,12.82,40400,0.0,0
2013-07-30,12.82,12.85,12.82,12.84,33600,0.0,0
2013-07-31,13.07,13.07,12.84,12.84,24700,0.0,0
2013-08-01,12.93,12.94,12.82,12.92,28500,0.0,0
2013-08-02,13.07,13.07,12.86,13.06,64700,0.0,0
2013-08-05,12.91,13.16,12.82,12.83,35200,0.0,0
2013-08-06,12.84,12.91,12.84,12.88,20200,0.0,0
2013-08-07,12.82,12.86,12.82,12.82,18300,0.0,0
2013-08-08,12.82,12.86,12.82,12.82,8000,0.0,0
2013-08-09,12.82,13.01,12.82,12.84,24600,0.0,0
2013-08-12,12.79,12.79,12.5,12.69,51000,0.0,0
2013-08-13,12.76,12.76,12.53,12.65,12800,0.0,0
2013-08-14,12.63,12.71,12.5,12.5,25800,0.0,0
2013-08-15,12.46,12.66,12.3,12.63,37100,0.0,0
2013-08-16,12.51,12.62,12.5,12.52,8200,0.0,0
2013-08-19,12.51,12.87,12.51,12.6,12800,0.0,0
2013-08-20,12.59,12.75,12.59,12.59,6700,0.0,0
2013-08-21,12.76,12.76,12.27,12.27,24400,0.104,0
2013-08-22,12.56,12.56,12.34,12.34,9800,0.0,0
2013-08-23,12.5,12.5,12.34,12.49,6900,0.0,0
2013-08-26,12.49,12.56,12.34,12.46,8000,0.0,0
2013-08-27,12.31,12.53,12.29,12.38,13300,0.0,0
2013-08-28,12.52,12.71,12.45,12.49,8800,0.0,0
2013-08-29,12.31,12.44,12.31,12.4,7500,0.0,0
2013-08-30,12.4,12.41,12.34,12.41,3100,0.0,0
2013-09-03,12.51,12.51,12.16,12.28,22400,0.0,0
2013-09-04,12.24,12.4,11.82,11.98,41300,0.0,0
2013-09-05,11.92,12.02,11.92,12.0,4600,0.0,0
2013-09-06,11.84,11.84,11.72,11.72,9100,0.0,0
2013-09-09,11.78,11.81,11.69,11.69,7400,0.0,0
2013-09-10,11.64,11.64,11.37,11.57,64300,0.0,0
2013-09-11,11.56,11.66,11.46,11.51,30800,0.0,0
2013-09-12,11.43,11.51,11.38,11.38,49700,0.0,0
2013-09-13,11.37,11.59,11.37,11.59,11200,0.0,0
2013-09-16,11.53,11.75,11.53,11.71,14300,0.0,0
2013-09-17,11.73,11.76,11.47,11.51,17400,0.0,0
2013-09-18,11.47,11.98,11.47,11.98,60500,0.0,0
2013-09-19,12.04,12.14,11.68,11.91,31100,0.095,0
2013-09-20,11.98,11.99,11.57,11.6,23900,0.0,0
2013-09-23,11.64,11.68,11.57,11.66,36600,0.0,0
2013-09-24,11.64,11.73,11.55,11.7,13900,0.0,0
2013-09-25,11.49,11.72,11.48,11.66,31500,0.0,0
2013-09-26,11.52,11.67,11.5,11.62,6300,0.0,0
2013-09-27,11.53,11.71,11.53,11.67,9100,0.0,0
2013-09-30,11.57,11.66,11.22,11.61,71100,0.0,0
2013-10-01,11.46,11.68,11.41,11.67,12300,0.0,0
2013-10-02,11.68,11.86,11.59,11.86,7800,0.0,0
2013-10-03,11.81,11.81,11.7,11.7,18800,0.0,0
2013-10-04,11.67,11.81,11.65,11.71,13300,0.0,0
2013-10-07,11.59,11.81,11.59,11.78,10500,0.0,0
2013-10-08,11.82,11.89,11.79,11.79,12200,0.0,0
2013-10-09,11.79,11.86,11.79,11.79,6400,0.0,0
2013-10-10,11.79,11.84,11.79,11.81,8000,0.0,0
2013-10-11,11.79,11.85,11.51,11.59,34800,0.0,0
